meta_label,q
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
52161,1133067635,0,1149.927048700,0.000000000,-0.395000,-1.149000,0.106000,-12.600000,55.300000,26.500000
52162,1133076913,9278,1149.927624800,0.000576100,-0.331000,-1.077000,0.128000,-21.200000,63.500000,36.300000
52163,1133086344,18709,1149.940780800,0.013732100,-0.204000,-0.951000,0.122000,-20.100000,60.100000,41.700000
52164,1133096415,28780,1149.958496900,0.031448200,-0.194000,-0.859000,0.120000,-10.000000,43.700000,39.400000
52165,1133106090,38455,1149.964441800,0.037393100,-0.215000,-0.782000,0.181000,16.700000,33.700000,31.900000
52166,1133115154,47519,1149.965261900,0.038213200,-0.250000,-0.719000,0.205000,40.800000,26.100000,22.500000
52167,1133124799,57164,1149.979790100,0.052741400,-0.300000,-0.780000,0.244000,58.100000,21.900000,9.700000
52168,1133134901,67266,1149.987465200,0.060416500,-0.320000,-0.899000,0.222000,61.600000,18.200000,-3.600000
52169,1133144393,76758,1149.995298900,0.068250200,-0.314000,-1.110000,0.072000,52.000000,13.500000,-7.300000
52170,1133153671,86036,1150.014915000,0.087866300,-0.220000,-1.260000,-0.449000,-14.200000,-50.600000,17.800000
52171,1133163803,96168,1150.017806000,0.090757300,-0.413000,-1.090000,0.172000,-18.900000,-44.700000,46.400000
52172,1133173295,105660,1150.024487900,0.097439200,-0.632000,-0.779000,0.213000,-3.500000,-49.100000,37.500000
52173,1133182512,114877,1150.039621600,0.112572900,-0.576000,-0.793000,0.149000,5.200000,-47.400000,16.800000
52174,1133192156,124521,1150.040089900,0.113041200,-0.594000,-0.763000,0.155000,-4.300000,-39.400000,7.100000
52175,1133202259,134624,1150.055537200,0.128488500,-0.494000,-0.612000,0.181000,-6.600000,-36.900000,-20.700000
52176,1133211781,144146,1150.073593600,0.146544900,-0.562000,-0.535000,0.137000,-6.000000,-27.800000,-40.500000
52177,1133220937,153302,1150.073603000,0.146554300,-0.541000,-0.558000,0.106000,-7.200000,-16.800000,-55.500000
52178,1133230978,163343,1150.093146400,0.166097700,-0.455000,-0.604000,0.074000,-17.500000,-6.000000,-69.200000
52179,1133240500,172865,1150.093161100,0.166112400,-0.385000,-0.671000,0.046000,-25.800000,2.900000,-77.800000
52180,1133250266,182631,1150.100058800,0.173010100,-0.345000,-0.766000,0.013000,-34.600000,11.700000,-78.000000
52181,1133259453,191818,1150.123011800,0.195963100,-0.250000,-0.845000,0.001000,-40.800000,19.500000,-76.600000
52182,1133269525,201890,1150.123521300,0.196472600,-0.214000,-0.946000,-0.025000,-47.800000,26.500000,-70.900000
52183,1133279199,211564,1150.174652700,0.247604000,-0.209000,-1.026000,-0.037000,-53.100000,34.600000,-60.100000
52184,1133288264,220629,1150.175895800,0.248847100,-0.135000,-1.046000,-0.027000,-50.800000,40.600000,-48.400000
52185,1133298061,230426,1150.176588000,0.249539300,-0.002000,-1.074000,0.001000,-35.400000,36.800000,-40.700000
52186,1133307980,240345,1150.198297200,0.271248500,0.088000,-1.172000,0.022000,-11.600000,21.900000,-34.800000
52187,1133346954,279319,1150.198307600,0.271258900,-0.263000,-1.504000,0.012000,17.700000,-4.100000,31.600000
52188,1133350830,283195,1150.204886000,0.277837300,-0.210000,-1.389000,0.012000,17.700000,-7.400000,37.400000
52189,1133354889,287254,1150.227688400,0.300639700,-0.179000,-1.285000,0.041000,30.300000,-12.900000,39.100000
52190,1133369539,301904,1150.227699600,0.300650900,-0.174000,-1.211000,0.101000,75.000000,-28.500000,36.200000
52191,1133373354,305719,1150.228605600,0.301556900,-0.236000,-1.269000,0.105000,75.000000,-28.500000,36.200000
52192,1133377260,309625,1150.249697500,0.322648800,-0.299000,-1.309000,0.105000,70.400000,-30.500000,36.200000
52193,1133399448,331813,1150.250343900,0.323295200,-0.417000,-0.921000,0.082000,10.200000,-21.500000,51.900000
52194,1133403294,335659,1150.262787900,0.335739200,-0.417000,-0.810000,0.084000,1.300000,-18.200000,53.400000
52195,1133407170,339535,1150.271936700,0.344888000,-0.423000,-0.810000,0.095000,-6.300000,-14.700000,52.700000
52196,1133421941,354306,1150.272305600,0.345256900,-0.314000,-0.337000,0.150000,-25.200000,-9.900000,35.600000
52197,1133425634,357999,1150.273957300,0.346908600,-0.314000,-0.337000,0.174000,-25.200000,-11.700000,25.700000
52198,1133429785,362150,1150.302085600,0.375036900,-0.266000,-0.191000,0.174000,-19.300000,-15.500000,12.500000
52199,1133444496,376861,1150.302099900,0.375051200,-0.445000,-0.579000,-0.050000,-10.000000,-1.100000,-23.200000
52200,1133448280,380645,1150.302303700,0.375255000,-0.718000,-0.579000,-0.050000,-42.300000,20.100000,-15.100000
52201,1133452553,384918,1150.321160100,0.394111400,-0.777000,-0.758000,-0.041000,-71.400000,35.000000,-9.700000
52202,1133466958,399323,1150.321174300,0.394125600,-0.314000,-0.321000,0.114000,-106.800000,51.200000,-33.000000
52203,1133471262,403627,1150.325029000,0.397980300,-0.333000,-0.342000,0.109000,-106.800000,55.500000,-42.800000
52204,1133481028,413393,1150.340213400,0.413164700,-0.271000,-0.287000,0.129000,-124.900000,60.400000,-62.000000
52205,1133490215,422580,1150.340225200,0.413176500,-0.178000,-0.305000,0.127000,-127.300000,59.100000,-81.800000
52206,1133499798,432163,1150.347168700,0.420120000,-0.071000,-0.319000,0.128000,-116.600000,48.800000,-109.700000
52207,1133509870,442235,1150.362128100,0.435079400,0.177000,-0.253000,0.085000,-86.400000,23.200000,-145.200000
52208,1133519300,451665,1150.374687700,0.447639000,0.262000,-0.393000,-0.018000,-35.100000,-6.500000,-174.900000
52209,1133528639,461004,1150.377850700,0.450802000,0.153000,-0.789000,-0.093000,21.200000,-28.800000,-186.400000
52210,1133538742,471107,1150.395621800,0.468573100,0.073000,-1.220000,-0.102000,76.700000,-43.000000,-176.400000
52211,1133548386,480751,1150.399978400,0.472929700,-0.013000,-1.718000,-0.113000,118.400000,-52.000000,-149.700000
52212,1133557450,489815,1150.414957500,0.487908800,-0.204000,-1.995000,-0.064000,125.300000,-49.900000,-106.800000
52213,1133567095,499460,1150.422227000,0.495178300,-0.286000,-1.998000,-0.058000,105.400000,-45.700000,-21.500000
52214,1133577258,509623,1150.436857500,0.509808800,-0.892000,-1.998000,-0.266000,40.900000,18.000000,35.500000
52215,1133586749,519114,1150.444455800,0.517407100,-0.396000,-1.964000,-0.074000,1.100000,37.000000,68.500000
52216,1133595967,528332,1150.444996900,0.517948200,-0.362000,-1.622000,-0.050000,17.400000,51.300000,81.700000
52217,1133605824,538189,1150.483562500,0.556513800,-0.110000,-1.308000,0.028000,45.100000,48.800000,80.400000
52218,1133616995,549360,1150.483578300,0.556529600,0.015000,-1.261000,0.064000,59.000000,39.400000,71.600000
52219,1133624777,557142,1150.483583900,0.556535200,0.004000,-1.284000,0.059000,46.500000,30.100000,64.100000
52220,1133634422,566787,1150.505027800,0.577979100,0.002000,-1.134000,0.089000,27.800000,18.600000,61.900000
52221,1133654565,586930,1150.505044900,0.577996200,-0.077000,-0.782000,0.067000,12.300000,-7.700000,63.100000
52222,1133658319,590684,1150.511523800,0.584475100,-0.119000,-0.730000,0.035000,11.300000,-13.200000,60.900000
52223,1133663324,595689,1150.527500500,0.600451800,-0.146000,-0.686000,-0.016000,9.200000,-18.200000,57.600000
52224,1133677028,609393,1150.527515700,0.600467000,-0.186000,-0.542000,-0.170000,1.300000,-38.900000,44.600000
52225,1133683101,615466,1150.534559900,0.607511200,-0.269000,-0.491000,-0.157000,1.700000,-45.200000,34.200000
52226,1133692135,624500,1150.550410000,0.623361300,-0.412000,-0.501000,-0.094000,5.700000,-49.700000,20.800000
52227,1133701718,634083,1150.557182100,0.630133400,-0.466000,-0.567000,-0.063000,6.600000,-49.100000,7.000000
52228,1133711790,644155,1150.565745600,0.638696900,-0.469000,-0.661000,-0.061000,2.400000,-45.500000,-4.700000
52229,1133721373,653738,1150.571838000,0.644789300,-0.443000,-0.756000,0.000000,-10.000000,-42.600000,-17.500000
52230,1133730560,662925,1150.580219900,0.653171200,-0.441000,-0.877000,0.008000,-22.600000,-36.800000,-23.700000
52231,1133740204,672569,1150.594714600,0.667665900,-0.438000,-0.968000,0.043000,-34.900000,-29.600000,-25.700000
52232,1133750154,682519,1150.603766900,0.676718200,-0.354000,-1.012000,0.038000,-44.600000,-25.800000,-26.700000
52233,1133759462,691827,1150.609607500,0.682558800,-0.229000,-0.993000,0.046000,-47.900000,-26.300000,-24.300000
52234,1133768984,701349,1150.626001000,0.698952300,-0.200000,-0.979000,0.073000,-44.700000,-27.600000,-22.400000
