meta_label,q
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
6234,61350907,0,86.164336600,0.000000000,-0.606000,-0.886000,0.336000,-18.300000,20.800000,26.100000
6235,61360398,9491,86.171764000,0.007427400,-0.599000,-0.814000,0.376000,-17.200000,29.900000,28.800000
6236,61369616,18709,86.192330300,0.027993700,-0.584000,-0.737000,0.398000,-9.400000,38.500000,27.200000
6237,61379779,28872,86.194677100,0.030340500,-0.563000,-0.719000,0.429000,4.300000,45.800000,26.600000
6238,61389392,38485,86.203234000,0.038897400,-0.529000,-0.742000,0.421000,18.600000,48.700000,24.000000
6239,61398457,47550,86.216915800,0.052579200,-0.505000,-0.783000,0.388000,28.900000,44.000000,29.600000
6240,61408101,57194,86.217586400,0.053249800,-0.540000,-0.843000,0.369000,35.900000,41.400000,36.700000
6241,61417929,67022,86.232113300,0.067776700,-0.559000,-0.882000,0.358000,39.300000,39.300000,35.300000
6242,61427695,76788,86.244396500,0.080059900,-0.546000,-0.908000,-0.466000,35.000000,30.300000,32.100000
6243,61436943,86036,86.247583600,0.083247000,-0.180000,-1.207000,0.428000,-14.600000,-44.100000,113.900000
6244,61446862,95955,86.266487300,0.102150700,-0.386000,-0.869000,0.278000,-25.100000,-42.900000,68.500000
6245,61456659,105752,86.269949400,0.105612800,-0.988000,-0.526000,0.252000,-11.500000,-48.500000,70.700000
6246,61465723,114816,86.276843200,0.112506600,-0.784000,-0.391000,0.249000,0.800000,-29.000000,29.100000
6247,61475367,124460,86.291992200,0.127655600,-0.565000,-0.298000,0.283000,13.100000,-30.500000,0.600000
6248,61485469,134562,86.305335200,0.140998600,-0.628000,-0.349000,0.253000,24.500000,-32.100000,-37.100000
6249,61495144,144237,86.307808200,0.143471600,-0.614000,-0.493000,0.234000,28.000000,-28.200000,-77.800000
6250,61504209,153302,86.323209600,0.158873000,-0.593000,-0.710000,0.193000,16.100000,-24.000000,-82.200000
6251,61513975,163068,86.329522300,0.165185700,-0.575000,-0.843000,0.139000,-6.400000,-16.700000,-73.500000
6252,61523803,172896,86.341986900,0.177650300,-0.560000,-0.896000,0.100000,-48.600000,0.400000,-60.600000
6253,61533050,182143,86.352027900,0.187691300,-0.507000,-0.799000,0.086000,-66.400000,14.100000,-53.000000
6254,61542694,191787,86.354345400,0.190008800,-0.405000,-0.709000,0.108000,-67.600000,22.300000,-51.900000
6255,61552613,201706,86.366622900,0.202286300,-0.353000,-0.705000,0.089000,-60.400000,28.800000,-53.700000
6256,61562410,211503,86.379785400,0.215448800,-0.434000,-0.912000,0.076000,-51.500000,39.100000,-53.700000
6257,61571505,220598,86.382199600,0.217863000,-0.462000,-1.002000,0.109000,-37.700000,47.800000,-54.300000
6258,61581119,230212,86.397876600,0.233540000,-0.279000,-1.092000,0.183000,-11.400000,42.700000,-46.600000
6259,61591282,240375,86.404567600,0.240231000,-0.252000,-1.294000,0.211000,15.000000,25.200000,-32.900000
6260,61600377,249470,86.419838900,0.255502300,-0.517000,-1.549000,0.111000,18.000000,16.100000,-6.400000
6261,61609991,259084,86.426792100,0.262455500,-0.587000,-1.575000,0.099000,8.200000,25.300000,28.600000
6262,61620093,269186,86.437835100,0.273498500,-0.406000,-1.374000,0.168000,11.500000,24.100000,66.600000
6263,61629737,278830,86.449660200,0.285323600,-0.222000,-1.098000,0.244000,37.400000,-4.600000,68.800000
6264,61638863,287956,86.451966000,0.287629400,-0.178000,-0.994000,0.279000,66.300000,-29.100000,51.100000
6265,61648477,297570,86.458128500,0.293791900,-0.303000,-1.012000,0.252000,69.200000,-45.300000,32.500000
6266,61658548,307641,86.475668700,0.311332100,-0.452000,-1.078000,0.219000,27.900000,-51.100000,29.700000
6267,61667857,316950,86.478925600,0.314589000,-0.579000,-1.050000,0.165000,-12.600000,-48.100000,43.300000
6268,61677257,326350,86.487018100,0.322681500,-0.588000,-0.759000,0.203000,-41.600000,-43.300000,45.100000
6269,61687420,336513,86.513000100,0.348663500,-0.489000,-0.075000,0.295000,-54.200000,-45.800000,27.100000
6270,61696790,345883,86.513014400,0.348677800,-0.336000,0.409000,0.276000,-19.400000,-56.600000,-17.400000
6271,61706129,355222,86.517889600,0.353553000,-0.523000,0.197000,0.168000,31.400000,-58.200000,-71.300000
6272,61715743,364836,86.531959300,0.367622700,-1.532000,-1.045000,-0.189000,-1.200000,-4.200000,-71.600000
6273,61725723,374816,86.539168900,0.374832300,-0.953000,-0.678000,0.089000,-83.800000,61.200000,-27.200000
6274,61735306,384399,86.550732700,0.386396100,-0.442000,-0.383000,0.196000,-101.000000,71.800000,-40.500000
6275,61744584,393677,86.562014000,0.397677400,-0.450000,-0.526000,0.169000,-114.000000,75.600000,-71.900000
6276,61754656,403749,86.572622700,0.408286100,-0.474000,-0.574000,0.178000,-135.200000,81.900000,-85.600000
6277,61764422,413515,86.576889700,0.412553100,-0.454000,-0.599000,0.195000,-142.100000,88.400000,-94.000000
6278,61773426,422519,86.592696400,0.428359800,-0.238000,-0.539000,0.193000,-133.700000,73.700000,-98.200000
6279,61782978,432071,86.592711100,0.428374500,-0.019000,-0.432000,0.160000,-47.600000,40.200000,-92.800000
6280,61792958,442051,86.608715100,0.444378500,0.008000,-0.709000,0.043000,10.100000,9.700000,-94.100000
6281,61802786,451879,86.614365800,0.450029200,-0.253000,-1.214000,0.053000,41.900000,-5.100000,-75.800000
6282,61811881,460974,86.629341600,0.465005000,-0.277000,-1.313000,0.101000,68.400000,-20.900000,-65.000000
6283,61821891,470984,86.636625300,0.472288700,-0.073000,-1.470000,0.232000,104.000000,-49.900000,-61.900000
6284,61831627,480720,86.645473400,0.481136800,-0.771000,-1.997000,0.072000,85.600000,-64.800000,-30.500000
6285,61840753,489846,86.652004900,0.487668300,-1.299000,-1.914000,-0.155000,39.600000,-22.600000,18.000000
6286,61850367,499460,86.667666100,0.503329500,-0.768000,-1.642000,0.043000,30.200000,20.600000,56.600000
6287,61860499,509592,86.674310500,0.509973900,-0.504000,-1.109000,0.157000,67.600000,27.200000,70.700000
6288,61870021,519114,86.684555500,0.520218900,-0.256000,-1.154000,0.219000,114.100000,13.900000,51.400000
6289,61879208,528301,86.704364500,0.540027900,-0.366000,-1.353000,0.167000,114.300000,4.700000,27.800000
6290,61889035,538128,86.704571600,0.540235000,-0.438000,-1.469000,0.161000,74.300000,1.400000,24.200000
6291,61898893,547986,86.712055300,0.547718700,-0.483000,-1.369000,0.124000,7.400000,2.000000,31.100000
6292,61908019,557112,86.727219300,0.562882700,-0.351000,-1.123000,0.100000,-22.400000,-4.400000,31.200000
6293,61917633,566726,86.727754100,0.563417500,-0.347000,-0.726000,-0.045000,-33.600000,-13.200000,30.200000
6294,61927735,576828,86.742195700,0.577859100,-0.293000,-0.457000,-0.233000,-37.800000,-29.600000,26.800000
6295,61937349,586442,86.749804800,0.585468200,-0.250000,-0.255000,-0.220000,-34.200000,-50.800000,21.800000
6296,61946505,595598,86.759805300,0.595468700,-0.436000,-0.324000,-0.081000,-25.800000,-66.900000,10.400000
6297,61956179,605272,86.772810400,0.608473800,-0.616000,-0.409000,0.050000,-20.200000,-68.000000,-3.100000
6298,61966129,615222,86.779650600,0.615314000,-0.656000,-0.450000,0.145000,-18.500000,-57.900000,-14.300000
6299,61975468,624561,86.786523500,0.622186900,-0.581000,-0.474000,0.208000,-16.100000,-47.400000,-29.300000
6300,61984960,634053,86.802679900,0.638343300,-0.497000,-0.555000,0.241000,-10.400000,-41.700000,-45.400000
6301,61995001,644094,86.808959400,0.644622800,-0.472000,-0.707000,0.255000,-7.400000,-38.000000,-59.300000
6302,62004676,653769,86.822533800,0.658197200,-0.471000,-0.859000,0.271000,-9.400000,-29.600000,-58.300000
