meta_label,q
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
19320,187172628,0,233.499947900,0.000000000,-0.764000,-0.815000,0.326000,26.200000,14.300000,-16.000000
19321,187181876,9248,233.502717900,0.002770000,-0.789000,-0.861000,0.336000,21.300000,27.500000,-12.100000
19322,187192039,19411,233.515197500,0.015249600,-0.750000,-0.849000,0.328000,16.800000,37.200000,-8.800000
19323,187201683,29055,233.523450200,0.023502300,-0.655000,-0.812000,0.311000,23.200000,39.600000,-3.600000
19324,187210717,38089,233.530993000,0.031045100,-0.580000,-0.805000,0.169000,32.800000,35.700000,-0.400000
19325,187220270,47642,233.547348100,0.047400200,-0.042000,-1.353000,-0.452000,-7.600000,-21.200000,-7.400000
19326,187230372,57744,233.552871700,0.052923800,-0.723000,-0.747000,0.154000,0.700000,-21.400000,41.600000
19327,187239955,67327,233.564868700,0.064920800,-0.765000,-0.631000,0.261000,25.500000,-27.400000,38.400000
19328,187249172,76544,233.584352400,0.084404500,-0.879000,-0.738000,0.188000,28.400000,-21.300000,25.500000
19329,187259336,86708,233.584801400,0.084853500,-0.995000,-0.746000,0.168000,6.800000,-2.100000,19.700000
19330,187268949,96321,233.590125400,0.090177500,-0.750000,-0.625000,0.276000,-1.300000,9.300000,13.400000
19331,187278044,105416,233.608254300,0.108306400,-0.565000,-0.594000,0.298000,-1.500000,-1.600000,-1.500000
19332,187287628,115000,233.612227600,0.112279700,-0.694000,-0.576000,0.252000,-4.000000,-7.500000,-13.400000
19333,187297730,125102,233.627433500,0.127485600,-0.653000,-0.578000,0.243000,-11.200000,-9.100000,-22.500000
19334,187307466,134838,233.628266900,0.128319000,-0.649000,-0.496000,0.211000,-22.600000,-5.800000,-30.400000
19335,187316530,143902,233.640187600,0.140239700,-0.664000,-0.461000,0.183000,-28.900000,2.000000,-36.700000
19336,187326693,154065,233.650057500,0.150109600,-0.650000,-0.285000,0.140000,-35.500000,14.700000,-45.900000
19337,187336093,163465,233.659552700,0.159604800,-0.535000,-0.114000,0.108000,-16.200000,23.400000,-63.000000
19338,187345310,172682,233.665025100,0.165077200,-0.414000,-0.173000,0.083000,12.300000,26.600000,-84.000000
19339,187354924,182296,233.681248800,0.181300900,-0.328000,-0.643000,0.051000,32.800000,27.800000,-101.400000
19340,187365118,192490,233.687741400,0.187793500,-0.344000,-1.083000,0.036000,36.300000,28.400000,-97.100000
19341,187374610,201982,233.697813200,0.197865300,-0.409000,-1.319000,0.046000,27.700000,30.600000,-75.300000
19342,187383796,211168,233.711404500,0.211456600,-0.383000,-1.446000,0.101000,27.400000,27.100000,-46.400000
19343,187393379,220751,233.717979200,0.218031300,-0.414000,-1.535000,0.137000,27.200000,17.100000,-24.700000
19344,187403543,230915,233.725403900,0.225456000,-0.570000,-1.602000,0.145000,21.900000,9.900000,10.500000
19345,187412668,240040,233.740166500,0.240218600,-0.774000,-1.571000,0.151000,16.800000,10.500000,34.100000
19346,187422282,249654,233.740847500,0.240899600,-0.793000,-1.404000,0.197000,22.100000,14.200000,50.800000
19347,187432231,259603,233.755344900,0.255397000,-0.669000,-1.248000,0.269000,36.800000,-0.200000,56.600000
19348,187442089,269461,233.762774400,0.262826500,-0.665000,-1.150000,0.288000,49.400000,-12.900000,52.000000
19349,187451062,278434,233.774107200,0.274159300,-0.753000,-1.092000,0.275000,38.100000,-17.100000,46.700000
19350,187460676,288048,233.785324100,0.285376200,-0.853000,-0.943000,0.241000,22.100000,-13.900000,41.700000
19351,187470870,298242,233.793294200,0.293346300,-0.816000,-0.689000,0.233000,8.900000,-8.700000,40.100000
19352,187480148,307520,233.800682100,0.300734200,-0.783000,-0.552000,0.185000,-11.300000,0.700000,36.100000
19353,187489609,316981,233.815225900,0.315278000,-0.827000,-0.457000,0.188000,-44.100000,16.700000,28.700000
19354,187499650,327022,233.822626900,0.322679000,-0.520000,0.139000,0.229000,-63.100000,29.700000,17.400000
19355,187509203,336575,233.831723500,0.331775600,-0.050000,0.409000,0.243000,-17.200000,14.200000,-17.300000
19356,187518420,345792,233.847007400,0.347059500,0.125000,0.387000,0.244000,32.000000,-12.800000,-49.500000
19357,187528034,355406,233.847407100,0.347459200,-0.204000,-0.603000,0.043000,57.400000,-37.400000,-90.500000
19358,187538075,365447,233.860553700,0.360605800,-1.246000,-0.750000,-0.120000,-40.900000,45.800000,-59.200000
19359,187547597,374969,233.875242800,0.375294900,-0.113000,-0.402000,0.136000,-65.300000,39.300000,-58.400000
19360,187556845,384217,233.882752000,0.382804100,-0.395000,-0.549000,0.088000,-72.000000,43.800000,-58.100000
19361,187567008,394380,233.890536900,0.390589000,-0.311000,-0.545000,0.157000,-95.600000,39.500000,-67.000000
19362,187576560,403932,233.897418300,0.397470400,-0.371000,-0.618000,0.150000,-109.600000,37.300000,-74.300000
19363,187585747,413119,233.913008600,0.413060700,-0.532000,-0.681000,0.149000,-111.700000,39.600000,-76.000000
19364,187595361,422733,233.928020600,0.428072700,-0.421000,-0.662000,0.119000,-86.300000,30.600000,-74.800000
19365,187605432,432804,233.928379100,0.428431200,-0.464000,-0.861000,0.082000,-51.000000,19.400000,-73.800000
