meta_label,R
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
5826,57427439,0,62.543679200,0.000000000,-0.407000,-0.891000,0.310000,3.300000,1.100000,9.900000
5827,57437541,10102,62.556040800,0.012361600,-0.428000,-0.864000,0.353000,4.800000,3.400000,15.800000
5828,57447155,19716,62.568720500,0.025041300,-0.451000,-0.837000,0.416000,7.300000,9.700000,19.200000
5829,57456341,28902,62.568727900,0.025048700,-0.491000,-0.812000,0.495000,9.200000,23.700000,19.000000
5830,57465955,38516,62.594024000,0.050344800,-0.492000,-0.821000,0.533000,6.200000,42.800000,12.900000
5831,57476027,48588,62.594033200,0.050354000,-0.470000,-0.830000,0.526000,-3.600000,70.600000,-0.800000
5832,57485549,58110,62.604334900,0.060655700,-0.197000,-0.756000,0.162000,-17.800000,15.000000,-20.800000
5833,57494735,67296,62.613351600,0.069672400,0.253000,-0.109000,-0.104000,23.800000,-71.700000,-4.000000
5834,57504837,77398,62.631131300,0.087452100,0.141000,-0.976000,0.152000,8.700000,-90.300000,-0.900000
5835,57514421,86982,62.633560000,0.089880800,-1.411000,-1.378000,0.035000,-38.000000,-35.200000,10.100000
5836,57523607,96168,62.634547300,0.090868100,-0.923000,-1.018000,0.115000,-77.500000,-1.700000,25.400000
5837,57533190,105751,62.656644400,0.112965200,-0.751000,-0.618000,0.144000,-87.800000,19.900000,22.200000
5838,57545643,118204,62.657269700,0.113590500,-0.660000,-0.358000,0.191000,-77.000000,41.300000,-17.300000
5839,57553028,125589,62.664684200,0.121005000,-0.669000,-0.413000,0.182000,-65.400000,47.400000,-34.100000
5840,57562093,134654,62.691424100,0.147744900,-0.742000,-0.655000,0.186000,-67.000000,60.500000,-47.800000
5841,57571768,144329,62.691433200,0.147754000,-0.583000,-0.787000,0.218000,-74.300000,67.600000,-59.000000
5842,57581992,154553,62.701424600,0.157745400,-0.395000,-0.788000,0.248000,-74.800000,58.700000,-60.600000
5843,57590873,163434,62.717167100,0.173487900,-0.267000,-0.778000,0.265000,-53.000000,36.900000,-59.300000
5844,57600487,173048,62.717178200,0.173499000,-0.262000,-0.866000,0.198000,-22.200000,14.300000,-71.000000
5845,57610742,183303,62.731230200,0.187551000,-0.329000,-1.113000,0.164000,-2.800000,-10.700000,-66.200000
5846,57620661,193222,62.739180200,0.195501000,-0.423000,-1.229000,0.165000,21.600000,-21.800000,-62.500000
5847,57629420,201981,62.739468300,0.195789100,-0.497000,-1.370000,0.147000,34.900000,-25.900000,-55.100000
5848,57639583,212144,62.764770800,0.221091600,-0.588000,-1.646000,0.132000,25.000000,-24.700000,-35.800000
5849,57649014,221575,62.764779100,0.221099900,-0.477000,-1.571000,0.235000,24.800000,-34.400000,-25.900000
5850,57658628,231189,62.769139900,0.225460700,-0.293000,-1.184000,0.226000,54.900000,-51.400000,-39.400000
5851,57667845,240406,62.784192900,0.240513700,-0.345000,-1.203000,0.176000,90.700000,-55.800000,-44.900000
5852,57677947,250508,62.799191300,0.255512100,-0.584000,-1.315000,0.112000,109.200000,-42.400000,-39.800000
5853,57687530,260091,62.799199000,0.255519800,-0.524000,-1.190000,0.126000,121.700000,-19.100000,-23.200000
5854,57696656,269217,62.814723500,0.271044300,-0.389000,-1.177000,0.089000,132.000000,1.800000,-18.600000
5855,57706269,278830,62.817493500,0.273814300,-0.378000,-1.249000,0.085000,122.300000,24.300000,5.700000
5856,57716280,288841,62.829133900,0.285454700,-0.224000,-1.092000,0.111000,111.000000,39.200000,37.700000
5857,57725802,298363,62.844452100,0.300772900,-0.097000,-1.008000,0.125000,109.000000,48.600000,51.100000
5858,57735111,307672,62.844461200,0.300782000,-0.035000,-1.163000,0.079000,89.100000,48.600000,64.700000
5859,57745182,317743,62.860303200,0.316624000,-0.068000,-1.199000,0.038000,35.800000,43.200000,84.600000
5860,57754888,327449,62.878242900,0.334563700,-0.110000,-0.941000,0.115000,-28.900000,37.900000,95.900000
5861,57763983,336544,62.878251200,0.334572000,-0.146000,-0.599000,0.162000,-41.300000,32.400000,97.100000
5862,57773597,346158,62.897153900,0.353474700,-0.171000,-0.385000,0.206000,-43.900000,23.300000,87.000000
5863,57783546,356107,62.897162100,0.353482900,-0.261000,-0.228000,0.282000,-41.800000,10.800000,69.900000
5864,57793404,365965,62.916490400,0.372811200,-0.372000,-0.156000,0.345000,-30.300000,-7.100000,52.200000
5865,57802468,375029,62.926444600,0.382765400,-0.539000,-0.170000,0.355000,-16.300000,-24.600000,29.600000
5866,57812387,384948,62.937753300,0.394074100,-0.780000,-0.343000,0.304000,-8.300000,-33.600000,6.400000
5867,57822154,394715,62.940942700,0.397263500,-0.956000,-0.762000,0.282000,-34.000000,-29.900000,-5.800000
5868,57831310,403871,62.955207000,0.411527800,-0.866000,-0.573000,0.388000,-68.600000,-33.200000,-13.900000
5869,57840863,413424,62.963645800,0.419966600,-0.856000,-0.500000,0.401000,-77.000000,-41.200000,-33.300000
5870,57853254,425815,62.964415200,0.420736000,-0.928000,-0.248000,0.324000,-53.000000,-35.100000,-62.100000
5871,57860640,433201,62.975627700,0.431948500,-0.874000,-0.344000,0.278000,-10.500000,-19.000000,-78.600000
5872,57869704,442265,62.987542000,0.443862800,-0.766000,-0.748000,0.191000,1.000000,-0.200000,-84.200000
5873,57879837,452398,62.996588100,0.452908900,-0.609000,-1.029000,0.158000,25.300000,16.800000,-77.600000
5874,57889420,461981,63.001549400,0.457870200,-0.444000,-1.252000,0.098000,43.400000,33.900000,-56.100000
5875,57898606,471167,63.023681600,0.480002400,-0.256000,-1.276000,0.134000,74.100000,52.200000,-26.400000
5876,57908281,480842,63.038948400,0.495269200,0.265000,-1.847000,0.174000,44.100000,29.800000,6.100000
5877,57918383,490944,63.039189900,0.495510700,-0.718000,-1.731000,-0.242000,6.000000,56.500000,45.500000
5878,57927997,500558,63.050217100,0.506537900,0.266000,-1.284000,0.049000,-22.500000,83.900000,78.300000
5879,57937062,509623,63.050224200,0.506545000,-0.022000,-0.895000,0.041000,-23.100000,86.400000,82.500000
5880,57947042,519603,63.070447100,0.526767900,0.124000,-0.829000,0.127000,-29.800000,83.600000,71.700000
5881,57958212,530773,63.070461000,0.526781800,-0.004000,-0.886000,0.129000,-42.900000,66.200000,75.300000
5882,57966208,538769,63.076593900,0.532914700,-0.149000,-1.048000,0.123000,-51.600000,63.400000,82.500000
5883,57975486,548047,63.091354400,0.547675200,-0.233000,-1.019000,0.161000,-70.100000,54.800000,95.000000
5884,57985527,558088,63.098568000,0.554888800,-0.227000,-0.791000,0.229000,-74.100000,27.900000,91.900000
5885,57995294,567855,63.107797200,0.564118000,-0.355000,-0.584000,0.209000,-50.600000,11.900000,84.500000
5886,58004358,576919,63.127213500,0.583534300,-0.438000,-0.441000,0.207000,-20.200000,-5.300000,76.100000
5887,58014216,586777,63.127223100,0.583543900,-0.523000,-0.397000,-0.036000,10.500000,-18.600000,57.500000
5888,58024135,596696,63.146537900,0.602858700,-0.472000,-0.760000,-0.438000,21.300000,-45.300000,44.100000
5889,58033566,606127,63.146549800,0.602870600,-0.473000,-0.931000,-0.473000,20.900000,-88.200000,50.800000
5890,58042813,615374,63.151423500,0.607744300,-0.828000,-1.128000,-0.253000,13.700000,-110.100000,64.400000
5891,58052855,625416,63.166446100,0.622766900,-1.044000,-1.089000,0.004000,1.300000,-111.100000,70.100000
5892,58062529,635090,63.174012600,0.630333400,-1.086000,-0.940000,0.179000,-8.600000,-102.400000,64.700000
5893,58071624,644185,63.182163000,0.638483800,-1.076000,-0.794000,0.264000,-10.000000,-90.800000,52.700000
5894,58081238,653799,63.201142400,0.657463200,-0.976000,-0.671000,0.292000,-4.800000,-81.000000,39.400000
5895,58091493,664054,63.203588400,0.659909200,-0.867000,-0.688000,0.331000,0.600000,-72.500000,24.700000
5896,58100801,673362,63.221394800,0.677715600,-0.871000,-0.735000,0.369000,-2.000000,-63.000000,17.500000
5897,58110110,682671,63.226527000,0.682847800,-0.846000,-0.715000,0.460000,-5.300000,-50.900000,8.900000
5898,58120243,692804,63.242205200,0.698526000,-0.814000,-0.697000,0.549000,-8.400000,-36.600000,-2.100000
5899,58129795,702356,63.248884800,0.705205600,-0.763000,-0.703000,0.570000,-10.900000,-22.900000,-13.800000
5900,58138951,711512,63.249363800,0.705684600,-0.736000,-0.732000,0.521000,-13.900000,-10.000000,-24.100000
5901,58148565,721126,63.259551500,0.715872300,-0.659000,-0.703000,0.468000,-13.900000,-1.600000,-34.000000
5902,58158759,731320,63.271582000,0.727902800,-0.613000,-0.737000,0.435000,-13.600000,5.100000,-41.100000
5903,58168159,740720,63.279011300,0.735332100,-0.570000,-0.780000,0.354000,-12.700000,11.000000,-42.000000
