meta_label,R
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
14193,137876480,0,192.864927300,0.000000000,-0.273000,-0.853000,0.210000,-12.900000,20.600000,-45.300000
14194,137886277,9797,192.877227600,0.012300300,-0.285000,-0.941000,0.210000,-3.700000,22.400000,-41.300000
14195,137895433,18953,192.879237100,0.014309800,-0.275000,-1.032000,0.213000,-0.700000,25.000000,-39.900000
14196,137905413,28933,192.894288200,0.029360900,-0.256000,-1.095000,0.230000,-3.500000,27.500000,-38.700000
14197,137915088,38608,192.901959300,0.037032000,-0.232000,-1.146000,0.249000,-11.400000,33.000000,-37.200000
14198,137924244,47764,192.910916000,0.045988700,-0.178000,-1.184000,0.236000,-14.500000,33.700000,-32.100000
14199,137933858,57378,192.925783400,0.060856100,-0.122000,-1.186000,0.180000,-17.300000,30.900000,-24.400000
14200,137943990,67510,192.933274400,0.068347100,-0.072000,-1.163000,0.122000,-13.500000,25.800000,-15.700000
14201,137953604,77124,192.939462900,0.074535600,-0.058000,-1.100000,0.137000,-4.000000,20.400000,-6.200000
14202,137962669,86189,192.954408700,0.089481400,-0.099000,-1.071000,0.182000,10.700000,17.100000,6.500000
14203,137972496,96016,192.962718100,0.097790800,-0.165000,-1.031000,0.234000,28.600000,15.800000,18.300000
14204,137982354,105874,192.970112100,0.105184800,-0.204000,-0.992000,0.324000,50.100000,18.800000,25.700000
14205,137991571,115091,192.986987000,0.122059700,-0.237000,-1.021000,0.416000,66.200000,27.700000,21.500000
14206,138001185,124705,192.986995500,0.122068200,-0.257000,-1.112000,0.431000,69.400000,40.400000,17.300000
14207,138011043,134563,193.001288700,0.136361400,-0.263000,-1.169000,0.409000,56.800000,56.000000,15.300000
14208,138020962,144482,193.007290000,0.142362700,0.238000,-1.347000,-0.140000,20.500000,-22.900000,78.000000
14209,138029996,153516,193.014493200,0.149565900,-0.064000,-1.063000,-0.109000,-18.800000,-14.300000,63.100000
14210,138039640,163160,193.029136600,0.164209300,-0.024000,-1.143000,0.188000,-34.000000,-19.200000,71.700000
14211,138049712,173232,193.036677200,0.171749900,-0.587000,-0.848000,0.083000,-33.200000,4.500000,63.800000
14212,138059081,182601,193.045137600,0.180210300,0.043000,-0.345000,0.190000,-6.900000,-7.200000,43.100000
14213,138068420,191940,193.063426300,0.198499000,-0.053000,-0.254000,-0.107000,8.000000,-7.000000,3.600000
14214,138078584,202104,193.066741100,0.201813800,-0.837000,-0.909000,-0.118000,-47.500000,47.300000,5.400000
14215,138088289,211809,193.074329400,0.209402100,-0.446000,-0.658000,0.021000,-77.500000,74.400000,5.500000
14216,138097323,220843,193.089383900,0.224456600,-0.194000,-0.737000,0.056000,-86.100000,85.900000,-7.300000
14217,138106937,230457,193.090150900,0.225223600,-0.056000,-0.833000,0.154000,-98.200000,83.800000,-29.600000
14218,138117100,240620,193.104244700,0.239317400,-0.069000,-0.903000,0.238000,-106.800000,68.000000,-45.700000
14219,138126561,250081,193.111747400,0.246820100,-0.092000,-0.953000,0.265000,-105.200000,46.200000,-44.900000
14220,138135778,259298,193.120289800,0.255362500,-0.071000,-0.934000,0.254000,-87.300000,17.400000,-33.300000
14221,138145941,269461,193.135426400,0.270499100,-0.138000,-1.038000,0.185000,-58.100000,-11.500000,-25.800000
14222,138155585,279105,193.141449800,0.276522500,-0.313000,-1.147000,0.116000,-32.300000,-30.700000,-17.700000
14223,138164650,288170,193.149258400,0.284331100,-0.459000,-1.171000,0.095000,-4.100000,-32.300000,-14.900000
14224,138174203,297723,193.164147800,0.299220500,-0.640000,-1.432000,0.032000,17.600000,-19.700000,-11.100000
14225,138184274,307794,193.177086700,0.312159400,-0.603000,-1.729000,0.099000,-0.800000,-19.500000,7.000000
14226,138193613,317133,193.179499000,0.314571700,-0.068000,-1.081000,0.285000,43.200000,-57.100000,-16.000000
14227,138203105,326625,193.197346700,0.332419400,-0.115000,-1.221000,0.218000,91.900000,-82.500000,-44.000000
14228,138213207,336727,193.201603400,0.336676100,-0.341000,-1.348000,0.205000,114.300000,-88.300000,-53.400000
14229,138222821,346341,193.210206800,0.345279500,-0.357000,-1.376000,0.136000,123.100000,-83.900000,-62.700000
14230,138231885,355405,193.224242700,0.359315400,-0.490000,-1.466000,0.017000,111.100000,-63.300000,-44.100000
14231,138241530,365050,193.224836600,0.359909300,-0.428000,-1.296000,0.028000,94.500000,-38.100000,-2.600000
14232,138251601,375121,193.239413500,0.374486200,-0.319000,-1.054000,0.037000,93.900000,-17.500000,39.500000
14233,138261246,384766,193.252768300,0.387841000,-0.239000,-1.055000,0.010000,94.100000,2.900000,59.200000
14234,138270402,393922,193.254956600,0.390029300,-0.195000,-1.030000,-0.022000,83.500000,21.700000,70.500000
14235,138280534,404054,193.271692500,0.406765200,-0.070000,-0.940000,-0.021000,63.900000,40.300000,75.800000
14236,138289996,413516,193.277215700,0.412288400,-0.015000,-0.775000,-0.011000,47.400000,50.600000,84.100000
14237,138299182,422702,193.285758000,0.420830700,-0.013000,-0.687000,-0.018000,39.800000,60.500000,87.000000
14238,138308857,432377,193.299525900,0.434598600,0.030000,-0.636000,0.019000,27.200000,64.600000,81.800000
14239,138318837,442357,193.314334700,0.449407400,0.033000,-0.616000,0.073000,11.100000,63.300000,69.000000
14240,138328573,452093,193.314344300,0.449417000,0.030000,-0.588000,0.137000,-0.600000,55.300000,60.700000
14241,138337637,461157,193.329509100,0.464581800,-0.091000,-0.575000,0.192000,-8.000000,44.600000,57.600000
14242,138347312,470832,193.336556200,0.471628900,-0.136000,-0.590000,0.237000,-12.000000,29.900000,53.400000
14243,138357445,480965,193.348647300,0.483720000,-0.212000,-0.617000,0.304000,-17.100000,11.000000,47.600000
14244,138366662,490182,193.361555000,0.496627700,-0.366000,-0.627000,0.326000,-22.800000,-10.600000,35.500000
14245,138376184,499704,193.363386600,0.498459300,-0.609000,-0.655000,0.337000,-33.400000,-25.000000,22.800000
14246,138386347,509867,193.374897300,0.509970000,-0.786000,-0.635000,0.355000,-47.200000,-35.000000,1.500000
14247,138396053,519573,193.386263100,0.521335800,-0.866000,-0.484000,0.389000,-58.800000,-37.300000,-15.700000
14248,138404964,528484,193.389675600,0.524748300,-0.867000,-0.383000,0.409000,-55.400000,-39.400000,-40.300000
14249,138414609,538129,193.407130100,0.542202800,-0.859000,-0.423000,0.364000,-51.600000,-37.600000,-67.200000
14250,138424680,548200,193.411837500,0.546910200,-0.784000,-0.432000,0.306000,-29.300000,-31.000000,-90.200000
14251,138434142,557662,193.424102300,0.559175000,-0.709000,-0.651000,0.179000,-7.400000,-17.000000,-100.300000
14252,138443481,567001,193.434417700,0.569490400,-0.576000,-1.006000,0.056000,4.000000,1.700000,-94.900000
14253,138453552,577072,193.444126100,0.579198800,-0.424000,-1.050000,0.065000,13.700000,20.000000,-79.900000
14254,138463166,586686,193.449895700,0.584968400,-0.016000,-1.171000,0.009000,39.900000,34.900000,-60.000000
14255,138472292,595812,193.464156700,0.599229400,0.460000,-1.412000,0.147000,90.000000,39.800000,-37.100000
14256,138481936,605456,193.466081300,0.601154000,-0.031000,-1.996000,-0.185000,65.000000,11.800000,23.600000
14257,138491977,615497,193.480994900,0.616067600,-0.608000,-1.948000,-0.197000,7.300000,97.200000,75.000000
14258,138501499,625019,193.486536100,0.621608800,0.174000,-1.377000,0.020000,-4.800000,112.200000,127.500000
14259,138510686,634206,193.501787000,0.636859700,0.094000,-1.189000,0.087000,2.100000,124.000000,127.500000
14260,138520940,644460,193.509142400,0.644215100,0.202000,-1.057000,0.175000,-1.600000,108.200000,112.800000
14261,138530371,653891,193.518925600,0.653998300,-0.002000,-1.035000,0.170000,-19.100000,83.000000,102.900000
14262,138539558,663078,193.524340500,0.659413200,-0.208000,-0.979000,0.188000,-34.300000,69.900000,97.000000
14263,138549232,672752,193.540752200,0.675824900,-0.282000,-0.770000,0.205000,-41.500000,54.800000,87.800000
14264,138559243,682763,193.546657900,0.681730600,-0.276000,-0.515000,0.224000,-34.500000,33.400000,74.800000
14265,138568979,692499,193.558473400,0.693546100,-0.330000,-0.270000,0.137000,-12.300000,10.700000,52.100000
14266,138578043,701563,193.570982000,0.706054700,-0.339000,-0.391000,-0.064000,7.500000,-15.800000,36.100000
14267,138587779,711299,193.576869100,0.711941800,-0.176000,-0.598000,-0.146000,15.600000,-57.000000,15.600000
14268,138597790,721310,193.583942900,0.719015600,-0.463000,-0.848000,-0.033000,12.800000,-90.000000,6.300000
14269,138606976,730496,193.599566600,0.734639300,-0.659000,-0.939000,0.089000,5.900000,-104.500000,1.800000
14270,138616560,740080,193.599973400,0.735046100,-0.716000,-0.883000,0.152000,1.200000,-108.300000,-2.700000
14271,138626601,750121,193.615562800,0.750635500,-0.750000,-0.852000,0.214000,4.700000,-101.200000,-16.300000
14272,138636245,759765,193.621824300,0.756897000,-0.748000,-0.894000,0.207000,10.500000,-81.600000,-17.100000
14273,138645370,768890,193.632651700,0.767724400,-0.703000,-0.965000,0.163000,14.500000,-67.900000,-12.500000
14274,138655564,779084,193.644438600,0.779511300,-0.653000,-1.045000,0.144000,12.700000,-56.300000,-5.800000
14275,138664964,788484,193.651606800,0.786679500,-0.589000,-1.087000,0.190000,2.100000,-47.900000,-1.300000
14276,138674181,797701,193.659740400,0.794813100,-0.577000,-1.073000,0.282000,-4.800000,-38.000000,-0.200000
14277,138683795,807315,193.674328300,0.809401000,-0.602000,-1.046000,0.383000,-11.600000,-24.500000,-2.300000
14278,138693989,817509,193.681918200,0.816990900,-0.594000,-0.976000,0.392000,-19.400000,-9.700000,-6.400000
14279,138703511,827031,193.690747000,0.825819700,-0.537000,-0.904000,0.370000,-24.200000,2.000000,-11.400000
14280,138712728,836248,193.705408400,0.840481100,-0.390000,-0.838000,0.326000,-22.700000,6.000000,-20.600000
14281,138722311,845831,193.705416200,0.840488900,-0.353000,-0.827000,0.279000,-19.300000,6.500000,-29.100000
14282,138732230,855750,193.720069100,0.855141800,-0.306000,-0.833000,0.201000,-15.800000,3.800000,-34.900000
14283,138741783,865303,193.727443300,0.862516000,-0.256000,-0.819000,0.121000,-11.000000,-2.400000,-38.600000
14284,138751122,874642,193.734104800,0.869177500,-0.256000,-0.840000,0.080000,-5.000000,-10.900000,-40.400000
14285,138761194,884714,193.749564100,0.884636800,-0.292000,-0.899000,0.091000,-2.500000,-18.200000,-42.600000
14286,138770838,894358,193.756888900,0.891961600,-0.329000,-0.961000,0.112000,-6.900000,-24.500000,-43.300000
14287,138779933,903453,193.767566000,0.902638700,-0.357000,-0.984000,0.124000,-9.300000,-25.900000,-41.500000
14288,138789547,913067,193.780678000,0.915750700,-0.360000,-1.002000,0.150000,-15.400000,-26.500000,-39.200000
14289,138799741,923261,193.786344900,0.921417600,-0.373000,-1.018000,0.175000,-21.000000,-26.400000,-34.500000
14290,138809019,932539,193.794525300,0.929598000,-0.392000,-1.043000,0.192000,-27.700000,-25.100000,-28.000000
