meta_label,R
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
40458,1020542775,0,1025.316675300,0.000000000,-0.357000,-0.872000,0.183000,29.700000,-1.300000,-5.100000
40459,1020552389,9614,1025.321057200,0.004381900,-0.369000,-0.972000,0.202000,32.100000,0.500000,-2.800000
40460,1020562400,19625,1025.344316000,0.027640700,-0.370000,-1.037000,0.225000,26.400000,1.800000,-1.600000
40461,1020571952,29177,1025.344607000,0.027931700,-0.359000,-1.060000,0.256000,16.100000,1.400000,-0.700000
40462,1020581200,38425,1025.347211400,0.030536100,-0.367000,-1.069000,0.278000,3.800000,2.300000,2.000000
40463,1020591333,48558,1025.369984200,0.053308900,-0.357000,-1.030000,0.308000,-7.000000,3.900000,5.100000
40464,1020601008,58233,1025.382843400,0.066168100,-0.345000,-0.965000,0.353000,-12.000000,5.100000,10.000000
40465,1020610072,67297,1025.384975200,0.068299900,-0.323000,-0.894000,0.377000,-11.800000,6.700000,8.000000
40466,1020619686,76911,1025.391764900,0.075089600,-0.309000,-0.813000,0.390000,-4.800000,8.300000,5.000000
40467,1020629818,87043,1025.400132400,0.083457100,-0.326000,-0.775000,0.431000,8.700000,18.000000,0.200000
40468,1020639158,96383,1025.418365400,0.101690100,-0.327000,-0.783000,0.462000,26.000000,27.600000,-4.600000
40469,1020648527,105752,1025.418374100,0.101698800,-0.342000,-0.832000,0.482000,28.300000,40.800000,-4.400000
40470,1020658599,115824,1025.429304800,0.112629500,-0.393000,-0.899000,0.496000,16.100000,61.300000,-6.300000
40471,1020668365,125590,1025.437846800,0.121171500,-0.253000,-0.899000,0.044000,5.900000,28.600000,6.400000
40472,1020677399,134624,1025.444035100,0.127359800,0.550000,-0.872000,0.148000,13.200000,-58.000000,5.100000
40473,1020687043,144268,1025.458952300,0.142277000,-0.115000,-1.167000,0.178000,-15.500000,-67.300000,23.100000
40474,1020697115,154340,1025.466330500,0.149655200,-0.510000,-0.923000,0.115000,-30.100000,-41.400000,25.600000
40475,1020706424,163649,1025.475363100,0.158687800,-0.567000,-0.817000,0.076000,-56.100000,-21.400000,36.600000
40476,1020715824,173049,1025.489188400,0.172513100,-0.525000,-0.503000,0.089000,-63.800000,2.900000,33.400000
40477,1020725956,183181,1025.504203000,0.187527700,-0.298000,-0.186000,0.158000,-43.300000,14.600000,8.100000
40478,1020735540,192765,1025.504665100,0.187989800,-0.375000,-0.313000,0.116000,-18.000000,22.700000,-55.000000
40479,1020745031,202256,1025.518761700,0.202086400,-0.606000,-0.748000,0.071000,-19.800000,54.400000,-69.600000
40480,1020754309,211534,1025.519564700,0.202889400,-0.527000,-1.051000,0.123000,-45.100000,67.100000,-69.000000
40481,1020764381,221606,1025.534132600,0.217457300,-0.385000,-1.174000,0.216000,-69.800000,65.300000,-64.900000
40482,1020773964,231189,1025.541518100,0.224842800,-0.345000,-1.217000,0.340000,-77.100000,51.900000,-46.200000
40483,1020783151,240376,1025.550610400,0.233935100,-0.306000,-1.128000,0.366000,-51.800000,30.500000,-28.400000
