meta_label,r
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
20704,200479684,0,217.501073100,0.000000000,-0.589000,-0.818000,0.351000,-17.400000,13.400000,-21.400000
20705,200489054,9370,217.501495000,0.000421900,-0.536000,-0.794000,0.321000,-16.900000,9.900000,-17.900000
20706,200499247,19563,217.524065100,0.022992000,-0.525000,-0.762000,0.299000,-12.400000,5.700000,-14.700000
20707,200509258,29574,217.524390700,0.023317600,-0.532000,-0.741000,0.312000,-2.600000,2.700000,-12.600000
20708,200517926,38242,217.534415000,0.033341900,-0.566000,-0.770000,0.341000,0.900000,3.200000,-10.500000
20709,200527478,47794,217.547355200,0.046282100,-0.614000,-0.799000,0.361000,0.800000,9.200000,-11.100000
20710,200537519,57835,217.554955300,0.053882200,-0.650000,-0.814000,0.408000,0.400000,19.500000,-10.100000
20711,200546706,67022,217.561786000,0.060712900,-0.549000,-0.827000,0.440000,6.400000,25.300000,-14.300000
20712,200556381,76697,217.575923600,0.074850500,-0.581000,-0.954000,0.422000,3.600000,30.800000,-14.900000
20713,200566483,86799,217.583991600,0.082918500,-0.617000,-1.021000,0.376000,-11.900000,41.700000,-12.000000
20714,200576097,96413,217.608031700,0.106958600,-0.575000,-0.967000,0.364000,-31.300000,53.600000,-7.100000
20715,200585161,105477,217.608040700,0.106967600,-0.477000,-0.831000,0.302000,-41.100000,63.300000,-1.900000
20716,200594836,115152,217.608043400,0.106970300,-0.035000,-0.495000,-0.276000,-39.000000,65.400000,18.600000
20717,200604785,125101,217.628683300,0.127610200,0.356000,-0.839000,0.055000,-17.700000,-53.900000,31.600000
20718,200614247,134563,217.635748000,0.134674900,-0.035000,-0.720000,0.246000,-12.600000,-73.200000,64.200000
20719,200623677,143993,217.636191800,0.135118700,-1.284000,-0.757000,0.090000,-10.600000,-20.200000,33.700000
20720,200633840,154156,217.660125900,0.159052800,-0.602000,-0.576000,0.131000,-13.500000,-5.200000,22.800000
20721,200643271,163587,217.660136900,0.159063800,-0.712000,-0.666000,0.065000,-28.100000,16.200000,9.100000
20722,200652458,172774,217.666379800,0.165306700,-0.817000,-0.791000,0.160000,-47.100000,36.300000,7.000000
20723,200662133,182449,217.689999000,0.188925900,-0.639000,-0.680000,0.179000,-55.800000,44.500000,-4.900000
20724,200672082,192398,217.690244400,0.189171300,-0.723000,-0.794000,0.201000,-71.600000,52.700000,-7.700000
20725,200681665,201981,217.696833300,0.195760200,-0.550000,-0.686000,0.273000,-81.000000,49.700000,-8.800000
20726,200690913,211229,217.724491400,0.223418300,-0.441000,-0.579000,0.316000,-71.600000,29.900000,-13.100000
20727,200700954,221270,217.724501400,0.223428300,-0.505000,-0.574000,0.310000,-48.000000,5.900000,-19.700000
20728,200710873,231189,217.726668800,0.225595700,-0.601000,-0.682000,0.283000,-20.700000,-14.600000,-24.600000
20729,200719815,240131,217.741112500,0.240039400,-0.714000,-0.806000,0.262000,5.300000,-29.600000,-22.900000
20730,200729460,249776,217.741477900,0.240404800,-0.914000,-1.132000,0.229000,24.000000,-33.300000,-17.800000
20731,200739409,259725,217.771211500,0.270138400,-0.850000,-1.375000,0.244000,19.900000,-34.200000,-3.500000
20732,200749023,269339,217.771223600,0.270150500,-0.584000,-1.196000,0.319000,34.700000,-55.500000,-7.400000
20733,200758240,278556,217.781763300,0.280690200,-0.627000,-1.149000,0.273000,58.700000,-63.500000,-14.700000
20734,200768342,288658,217.794439400,0.293366300,-0.895000,-1.377000,0.094000,58.900000,-42.700000,-3.300000
20735,200779329,299645,217.794459700,0.293386600,-0.940000,-1.476000,0.078000,39.000000,-10.600000,23.800000
20736,200787417,307733,217.801327700,0.300254600,-0.779000,-1.220000,0.104000,30.200000,14.200000,46.600000
20737,200796756,317072,217.817479900,0.316406800,-0.671000,-0.929000,0.103000,40.400000,34.900000,65.500000
20738,200806858,327174,217.823332200,0.322259100,-0.655000,-0.784000,0.105000,60.200000,56.300000,85.700000
20739,200816350,336666,217.831795200,0.330722100,-0.589000,-0.662000,0.132000,74.400000,77.300000,100.700000
20740,200825567,345883,217.846058600,0.344985500,-0.432000,-0.651000,0.173000,82.600000,87.400000,103.800000
20741,200835395,355711,217.856843800,0.355770700,-0.262000,-0.686000,0.177000,67.100000,82.800000,89.100000
20742,200845283,365599,217.860775700,0.359702600,-0.192000,-0.671000,0.202000,41.300000,52.900000,72.100000
20743,200854439,374755,217.877533000,0.376459900,-0.264000,-0.656000,0.175000,11.000000,33.800000,68.800000
20744,200863992,384308,217.877543500,0.376470400,-0.273000,-0.480000,0.144000,-12.400000,12.400000,59.700000
20745,200874033,394349,217.893641700,0.392568600,-0.274000,-0.229000,0.048000,-23.700000,-12.200000,48.100000
20746,200883708,404024,217.898409500,0.397336400,-0.385000,-0.130000,-0.125000,-21.500000,-35.800000,39.800000
20747,200892833,413149,217.907581600,0.406508500,-0.491000,-0.107000,-0.107000,-13.600000,-58.000000,25.800000
20748,200902508,422824,217.930164100,0.429091000,-0.692000,-0.157000,-0.020000,-1.200000,-68.900000,8.600000
20749,200912488,432804,217.935827800,0.434754700,-0.858000,-0.257000,0.066000,9.500000,-69.300000,-9.800000
20750,200922010,442326,217.936454000,0.435380900,-0.944000,-0.410000,0.121000,17.100000,-65.000000,-25.600000
20751,200931319,451635,217.958640300,0.457567200,-0.959000,-0.573000,0.139000,15.900000,-57.400000,-35.500000
20752,200944320,464636,217.973396700,0.472323600,-0.882000,-0.755000,0.166000,8.600000,-48.900000,-45.100000
20753,200951187,471503,217.973407500,0.472334400,-0.822000,-0.819000,0.169000,4.900000,-47.800000,-43.600000
20754,200960252,480568,217.981270100,0.480197000,-0.785000,-0.907000,0.180000,-4.800000,-46.000000,-36.200000
20755,200969866,490182,217.981282000,0.480208900,-0.733000,-0.924000,0.195000,-14.700000,-45.700000,-28.100000
20756,200979968,500284,217.996728300,0.495655200,-0.697000,-0.901000,0.219000,-25.900000,-46.700000,-20.200000
20757,200989460,509776,218.007374400,0.506301300,-0.669000,-0.880000,0.258000,-29.000000,-48.700000,-13.200000
20758,200998646,518962,218.011091700,0.510018600,-0.668000,-0.842000,0.311000,-32.000000,-48.400000,-7.400000
20759,201008870,529186,218.026605700,0.525532600,-0.658000,-0.794000,0.369000,-32.200000,-45.700000,-4.100000
20760,201018331,538647,218.033835000,0.532761900,-0.646000,-0.703000,0.386000,-29.600000,-41.600000,-3.900000
20761,201027457,547773,218.045495100,0.544422000,-0.624000,-0.673000,0.399000,-25.200000,-37.000000,-7.500000
20762,201037071,557387,218.057575400,0.556502300,-0.617000,-0.659000,0.420000,-19.700000,-31.600000,-12.000000
20763,201047173,567489,218.067458400,0.566385300,-0.621000,-0.679000,0.435000,-13.400000,-24.500000,-16.100000
20764,201056634,576950,218.070900900,0.569827800,-0.617000,-0.723000,0.406000,-9.600000,-17.400000,-20.900000
20765,201066004,586320,218.087171900,0.586098800,-0.591000,-0.751000,0.376000,-6.900000,-12.100000,-24.700000
20766,201076075,596391,218.093405300,0.592332200,-0.574000,-0.784000,0.349000,-6.800000,-8.900000,-29.100000
20767,201085536,605852,218.104194900,0.603121800,-0.551000,-0.814000,0.296000,-9.000000,-6.600000,-30.100000
20768,201094784,615100,218.118007400,0.616934300,-0.523000,-0.821000,0.255000,-12.100000,-6.400000,-29.800000
20769,201104398,624714,218.118021600,0.616948500,-0.505000,-0.811000,0.241000,-13.200000,-8.900000,-29.500000
20770,201114378,634694,218.131482200,0.630409100,-0.505000,-0.817000,0.247000,-11.400000,-10.200000,-29.700000
20771,201123992,644308,218.161538200,0.660465100,-0.531000,-0.842000,0.266000,-11.400000,-9.800000,-26.700000
20772,201133209,653525,218.161550200,0.660477100,-0.548000,-0.864000,0.271000,-11.900000,-8.600000,-23.000000
20773,201142945,663261,218.162408900,0.661335800,-0.543000,-0.866000,0.282000,-12.100000,-7.800000,-20.600000
20774,201153230,673546,218.183397300,0.682324200,-0.541000,-0.863000,0.297000,-11.900000,-6.800000,-19.100000
20775,201169436,689752,218.183791100,0.682718000,-0.552000,-0.864000,0.299000,-12.400000,-3.300000,-14.300000
20776,201173159,693475,218.184704000,0.683630900,-0.556000,-0.864000,0.298000,-12.700000,-3.300000,-12.000000
