meta_label,r
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
33033,319023118,0,348.053155400,0.000000000,-0.710000,-0.763000,0.374000,4.000000,5.900000,-5.600000
33034,319032365,9247,348.053520000,0.000364600,-0.700000,-0.789000,0.354000,-3.600000,10.900000,-8.200000
33035,319042437,19319,348.069143000,0.015987600,-0.698000,-0.804000,0.340000,-15.800000,13.800000,-11.600000
33036,319052051,28933,348.080768700,0.027613300,-0.708000,-0.772000,0.338000,-27.700000,16.700000,-13.300000
33037,319061207,38089,348.090460900,0.037305500,-0.681000,-0.674000,0.327000,-31.600000,18.100000,-14.800000
33038,319070912,47794,348.097893200,0.044737800,-0.615000,-0.589000,0.287000,-24.900000,12.700000,-18.900000
33039,319081014,57896,348.105369600,0.052214200,-0.583000,-0.576000,0.260000,-8.800000,5.700000,-21.100000
33040,319090476,67358,348.119936200,0.066780800,-0.604000,-0.609000,0.301000,3.400000,0.000000,-18.400000
33041,319099693,76575,348.127629100,0.074473700,-0.653000,-0.654000,0.351000,13.000000,-1.600000,-16.700000
33042,319109490,86372,348.135975500,0.082820100,-0.691000,-0.710000,0.410000,17.800000,-0.900000,-16.700000
33043,319119500,96382,348.155506100,0.102350700,-0.723000,-0.790000,0.465000,18.100000,2.400000,-15.200000
33044,319128595,105477,348.155520600,0.102365200,-0.745000,-0.770000,0.487000,15.200000,8.700000,-18.100000
33045,319138117,114999,348.158750200,0.105594800,-0.747000,-0.723000,0.505000,16.500000,17.700000,-19.000000
33046,319148189,125071,348.174689200,0.121533800,-0.755000,-0.665000,0.524000,23.200000,32.200000,-19.900000
33047,319157833,134715,348.179863500,0.126708100,-0.691000,-0.642000,0.496000,35.100000,49.400000,-24.200000
33048,319166989,143871,348.188604700,0.135449300,0.089000,-1.089000,-0.418000,37.000000,48.400000,-36.400000
33049,319176664,153546,348.202763700,0.149608300,-0.521000,-0.698000,0.373000,5.200000,-52.600000,-6.500000
33050,319186736,163618,348.212722000,0.159566600,-0.850000,-1.009000,0.135000,-9.000000,-24.100000,52.200000
33051,319196075,172957,348.217656700,0.164501300,-0.928000,-0.680000,0.206000,-3.400000,-3.700000,27.800000
33052,319205444,182326,348.233592500,0.180437100,-0.357000,-0.560000,0.251000,-5.300000,-10.600000,2.600000
33053,319215608,192490,348.240214200,0.187058800,-1.026000,-1.125000,-0.056000,-77.400000,36.500000,24.900000
33054,319225038,201920,348.255280000,0.202124600,-1.003000,-0.670000,0.186000,-99.100000,74.600000,25.900000
33055,319234255,211137,348.264361100,0.211205700,-0.569000,-0.369000,0.215000,-86.200000,80.800000,10.500000
33056,319243869,220751,348.264368900,0.211213500,-0.606000,-0.424000,0.212000,-67.900000,84.300000,-7.800000
33057,319253910,230792,348.291452900,0.238297500,-0.416000,-0.511000,0.245000,-56.000000,74.800000,-15.200000
33058,319263585,240467,348.291744500,0.238589100,-0.496000,-0.577000,0.242000,-45.000000,62.700000,-28.200000
33059,319272741,249623,348.294047000,0.240891600,-0.438000,-0.618000,0.283000,-28.100000,46.700000,-17.900000
33060,319282843,259725,348.307750700,0.254595300,-0.242000,-0.653000,0.283000,1.800000,12.400000,-29.800000
33061,319292518,269400,348.315049100,0.261893700,-0.406000,-0.817000,0.283000,30.400000,-22.200000,-26.800000
33062,319301582,278464,348.326933100,0.273777700,-0.685000,-1.148000,0.240000,54.800000,-49.800000,-6.700000
33063,319311196,288078,348.338345800,0.285190400,-1.117000,-1.394000,0.155000,31.200000,-28.000000,28.000000
33064,319321359,298241,348.345407600,0.292252200,-1.068000,-1.376000,0.164000,-5.700000,-13.200000,57.200000
33065,319330882,307764,348.352631200,0.299475800,-0.929000,-1.136000,0.507000,7.400000,-26.000000,80.700000
33066,319340099,316981,348.367694900,0.314539500,0.224000,-0.298000,0.387000,100.500000,-106.300000,2.600000
33067,319349743,326625,348.374927900,0.321772500,-1.157000,-1.101000,0.090000,104.100000,-82.900000,15.900000
33068,319359784,336666,348.383272200,0.330116800,-1.157000,-1.112000,0.088000,83.300000,-45.200000,43.300000
33069,319368879,345761,348.397926900,0.344771500,-1.204000,-1.018000,0.038000,65.000000,-2.500000,66.900000
33070,319378493,355375,348.403634300,0.350478900,-0.917000,-0.672000,0.128000,73.100000,28.700000,83.200000
33071,319388564,365446,348.412558100,0.359402700,-0.870000,-0.579000,0.147000,92.100000,48.100000,95.500000
33072,319398270,375152,348.420930800,0.367775400,-0.823000,-0.593000,0.145000,98.700000,71.800000,101.200000
33073,319407365,384247,348.427299700,0.374144300,-0.662000,-0.535000,0.181000,84.600000,90.000000,98.000000
33074,319417528,394410,348.442567400,0.389412000,-0.449000,-0.435000,0.237000,67.900000,93.600000,85.300000
33075,319427050,403932,348.450080200,0.396924800,-0.293000,-0.380000,0.246000,56.300000,76.900000,47.900000
33076,319436206,413088,348.462254700,0.409099300,-0.303000,-0.470000,0.213000,43.000000,65.200000,32.300000
33077,319445850,422732,348.474596000,0.421440600,-0.333000,-0.621000,0.168000,21.600000,54.100000,24.600000
33078,319455922,432804,348.480528300,0.427372900,-0.330000,-0.739000,0.111000,-19.300000,34.300000,26.400000
33079,319465444,442326,348.487276700,0.434121300,-0.237000,-0.729000,-0.078000,-40.800000,-2.400000,28.700000
33080,319474631,451513,348.502406300,0.449250900,-0.234000,-0.650000,-0.061000,-52.900000,-44.100000,27.200000
33081,319484245,461127,348.503336800,0.450181400,-0.564000,-0.493000,0.056000,-56.700000,-63.600000,23.400000
33082,319494194,471076,348.518583700,0.465428300,-0.842000,-0.360000,0.179000,-50.000000,-67.000000,13.800000
