meta_label,r
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
58675,565570575,0,611.830565200,0.000000000,-0.395000,-0.909000,0.333000,-3.000000,2.000000,-7.300000
58676,565580830,10255,611.838137800,0.007572600,-0.386000,-0.893000,0.358000,0.700000,2.400000,-9.900000
58677,565590383,19808,611.845574500,0.015009300,-0.402000,-0.902000,0.386000,3.600000,6.400000,-11.700000
58678,565599508,28933,611.860262000,0.029696800,-0.415000,-0.884000,0.407000,7.500000,14.400000,-13.400000
58679,565609092,38517,611.860678900,0.030113700,-0.403000,-0.839000,0.417000,14.500000,24.800000,-16.000000
58680,565619072,48497,611.875979200,0.045414000,-0.411000,-0.793000,0.432000,24.800000,38.500000,-18.400000
58681,565628777,58202,611.882823000,0.052257800,0.259000,-0.823000,-0.218000,27.000000,-12.800000,23.500000
58682,565637903,67328,611.893501600,0.062936400,-0.416000,-1.345000,0.036000,13.100000,-33.200000,30.200000
58683,565648127,77552,611.905972900,0.075407700,-0.601000,-1.310000,0.174000,-11.600000,-19.000000,46.100000
58684,565657588,87013,611.930371000,0.099805800,-0.240000,-0.749000,0.216000,-13.400000,-17.800000,28.000000
58685,565666713,96138,611.930637300,0.100072100,-0.258000,-0.623000,0.214000,-6.300000,-23.700000,9.700000
58686,565676327,105752,611.935640600,0.105075400,-0.316000,-0.583000,0.209000,11.200000,-25.300000,-0.900000
58687,565686399,115824,611.952154000,0.121588800,-0.718000,-0.837000,-0.095000,-19.700000,11.500000,-3.600000
58688,565695921,125346,611.957379500,0.126814300,-0.876000,-0.551000,0.128000,-48.400000,47.700000,9.400000
58689,565705260,134685,611.969774700,0.139209500,-0.339000,-0.435000,0.174000,-37.000000,50.500000,-0.600000
58690,565714843,144268,611.988535100,0.157969900,-0.325000,-0.612000,0.191000,-29.700000,50.300000,-13.800000
58691,565726685,156110,611.988546200,0.157981000,-0.333000,-0.816000,0.220000,-29.200000,41.100000,-17.300000
58692,565734346,163771,611.990891000,0.160325800,-0.353000,-1.007000,0.239000,-38.000000,36.800000,-15.100000
58693,565743654,173079,612.017492500,0.186927300,-0.255000,-0.911000,0.302000,-39.900000,20.200000,-12.700000
58694,565756625,186050,612.019410900,0.188845700,-0.342000,-0.967000,0.284000,-11.200000,-10.500000,-16.900000
58695,565763248,192673,612.025581900,0.195016700,-0.412000,-1.016000,0.274000,-0.100000,-17.000000,-16.300000
58696,565772801,202226,612.045128200,0.214563000,-0.555000,-1.176000,0.227000,23.900000,-19.800000,-12.900000
58697,565786657,216082,612.045439900,0.214874700,-0.700000,-1.564000,0.173000,21.600000,-4.900000,12.700000
58698,565792608,222033,612.048285200,0.217720000,-0.627000,-1.535000,0.216000,5.000000,-6.700000,19.100000
58699,565801642,231067,612.063441800,0.232876600,-0.265000,-1.163000,0.393000,22.400000,-31.700000,10.500000
58700,565811012,240437,612.070152900,0.239587700,-0.147000,-0.818000,0.308000,71.500000,-56.400000,-12.700000
58701,565820962,250387,612.085211000,0.254645800,-0.463000,-1.327000,0.177000,91.900000,-53.400000,-22.500000
58702,565831582,261007,612.085660900,0.255095700,-0.602000,-1.459000,0.114000,79.600000,-31.400000,-15.100000
58703,565839792,269217,612.102830600,0.272265400,-0.475000,-1.365000,0.081000,60.200000,-10.100000,3.700000
58704,565849437,278862,612.107892300,0.277327100,-0.347000,-1.053000,0.066000,55.800000,8.500000,26.500000
58705,565859508,288933,612.117369300,0.286804100,-0.332000,-0.862000,0.078000,69.700000,27.300000,42.900000
58706,565868969,298394,612.140842400,0.310277200,-0.359000,-0.774000,0.097000,82.300000,49.600000,57.500000
58707,565878309,307734,612.144993700,0.314428500,-0.292000,-0.837000,0.125000,89.700000,65.500000,66.100000
58708,565887953,317378,612.146332300,0.315767100,-0.227000,-0.848000,0.153000,83.100000,73.800000,67.800000
58709,565897933,327358,612.161896800,0.331331600,-0.179000,-0.890000,0.149000,63.200000,69.900000,66.100000
58710,565907089,336514,612.161908100,0.331342900,-0.209000,-0.836000,0.176000,34.200000,61.200000,67.700000
58711,565916764,346189,612.167813700,0.337248500,-0.263000,-0.657000,0.223000,14.100000,52.300000,64.100000
58712,565926713,356138,612.182854900,0.352289700,-0.297000,-0.537000,0.243000,13.600000,42.400000,57.800000
