meta_label,S
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
4054,1300647614,0,1306.772030400,0.000000000,-0.650000,-0.400000,0.260000,7.000000,24.000000,-6.600000
4055,1300656587,8973,1306.783952500,0.011922100,-0.651000,-0.410000,0.279000,15.300000,20.700000,-9.300000
4056,1300666200,18586,1306.794426000,0.022395600,-0.679000,-0.471000,0.295000,25.300000,17.800000,-13.200000
4057,1300676303,28689,1306.803767900,0.031737500,-0.715000,-0.558000,0.290000,33.400000,17.600000,-19.200000
4058,1300685703,38089,1306.809395400,0.037365000,-0.730000,-0.683000,0.281000,36.100000,18.400000,-16.000000
4059,1300695072,47458,1306.824749200,0.052718800,-0.778000,-0.783000,0.279000,33.800000,21.600000,-9.700000
4060,1300705205,57591,1306.832096000,0.060065600,-0.794000,-0.834000,0.287000,31.100000,28.300000,1.300000
4061,1300714727,67113,1306.841286800,0.069256400,-0.792000,-0.832000,0.301000,35.800000,31.000000,15.900000
4062,1300723853,76239,1306.855117700,0.083087300,-0.829000,-0.841000,0.326000,45.700000,36.600000,25.100000
4063,1300733497,85883,1306.855802800,0.083772400,-0.837000,-0.858000,0.369000,54.600000,41.200000,33.900000
4064,1300743538,95924,1306.869825200,0.097794800,-0.845000,-0.870000,0.390000,57.300000,44.600000,38.400000
4065,1300753182,105568,1306.878770800,0.106740400,-0.835000,-0.784000,0.420000,57.600000,46.800000,39.600000
4066,1300762369,114755,1306.884755700,0.112725300,-0.799000,-0.710000,0.460000,60.500000,45.300000,39.600000
4067,1300772532,124918,1306.907148900,0.135118500,-0.799000,-0.686000,0.480000,64.700000,42.200000,37.300000
4068,1300781993,134379,1306.907715300,0.135684900,-0.480000,-1.025000,-0.112000,61.100000,39.100000,34.200000
4069,1300791455,143841,1306.917820400,0.145790000,-0.466000,-1.014000,0.136000,-11.600000,-53.100000,100.300000
4070,1300800824,153210,1306.929824800,0.157794400,-1.367000,-0.898000,0.330000,-35.800000,-40.100000,94.700000
4071,1300810804,163190,1306.937234800,0.165204400,-1.085000,-0.342000,0.419000,-23.100000,-25.500000,88.500000
4072,1300820479,172865,1306.944413900,0.172383500,-1.074000,-0.205000,0.325000,-22.800000,-10.200000,69.100000
4073,1300829605,181991,1306.959936700,0.187906300,-0.977000,0.012000,0.342000,-23.000000,-3.800000,40.400000
4074,1300839340,191726,1306.968817300,0.196786900,-0.815000,0.154000,0.400000,-13.100000,-7.200000,0.200000
4075,1300849412,201798,1306.974922800,0.202892400,-0.839000,0.116000,0.337000,-6.400000,-5.800000,-35.300000
4076,1300858538,210924,1306.992757400,0.220727000,-0.846000,-0.107000,0.285000,-21.300000,-1.500000,-48.300000
4077,1300868121,220507,1306.992766400,0.220736000,-0.794000,-0.274000,0.246000,-46.100000,4.500000,-48.200000
4078,1300878162,230548,1307.006840200,0.234809800,-0.734000,-0.257000,0.241000,-72.600000,10.900000,-46.700000
4079,1300887867,240253,1307.012074500,0.240044100,-0.530000,-0.057000,0.253000,-81.700000,14.300000,-45.200000
4080,1300896932,249318,1307.019859500,0.247829100,-0.413000,0.071000,0.253000,-66.300000,9.800000,-58.400000
4081,1300907156,259542,1307.041841400,0.269811000,-0.344000,0.035000,0.210000,-28.900000,2.400000,-76.900000
4082,1300916678,269064,1307.043203700,0.271173300,-0.413000,-0.307000,0.160000,8.000000,-1.400000,-92.800000
4083,1300926017,278403,1307.050459100,0.278428700,-0.485000,-0.714000,0.128000,28.900000,1.400000,-97.000000
4084,1300935387,287773,1307.069678000,0.297647600,-0.482000,-1.037000,0.136000,39.300000,6.100000,-78.900000
4085,1300945550,297936,1307.072192500,0.300162100,-0.459000,-1.265000,0.139000,42.700000,10.200000,-54.400000
4086,1300954950,307336,1307.079100200,0.307069800,-0.481000,-1.404000,0.105000,33.200000,16.900000,-28.100000
4087,1300964289,316675,1307.094875200,0.322844800,-0.463000,-1.437000,0.087000,18.600000,25.500000,-1.400000
4088,1300973873,326259,1307.106716500,0.334686100,-0.447000,-1.406000,0.092000,10.100000,33.600000,25.400000
4089,1300983914,336300,1307.109450200,0.337419800,-0.405000,-1.321000,0.162000,6.800000,35.200000,50.900000
4090,1300993222,345608,1307.125623900,0.353593500,-0.387000,-1.153000,0.194000,4.100000,30.500000,69.800000
4091,1301002714,355100,1307.125633300,0.353602900,-0.434000,-0.980000,0.234000,0.400000,22.700000,84.200000
4092,1301012694,365080,1307.139872300,0.367841900,-0.574000,-0.746000,0.232000,-1.100000,15.600000,91.000000
4093,1301022521,374907,1307.147544800,0.375514400,-0.637000,-0.524000,0.265000,-2.600000,12.000000,91.600000
4094,1301031586,383972,1307.154557000,0.382526600,-0.685000,-0.331000,0.334000,-4.300000,3.600000,83.600000
4095,1301041139,393525,1307.170133600,0.398103200,-0.805000,-0.183000,0.375000,-7.200000,-7.600000,68.900000
4096,1301051332,403718,1307.177167700,0.405137300,-0.952000,-0.100000,0.385000,-12.100000,-15.300000,44.200000
4097,1301060671,413057,1307.184840300,0.412809900,-1.059000,-0.062000,0.395000,-19.600000,-19.300000,29.600000
4098,1301070041,422427,1307.202487300,0.430456900,-1.120000,-0.006000,0.415000,-24.600000,-18.800000,16.800000
4099,1301080174,432560,1307.207043200,0.435012800,-1.156000,0.082000,0.433000,-22.400000,-19.400000,2.300000
