meta_label,S
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
35376,1601808017,0,1618.576134900,0.000000000,-0.620000,-0.559000,0.353000,-28.100000,-5.900000,1.100000
35377,1601818119,10102,1618.593248600,0.017113700,-0.649000,-0.434000,0.393000,-8.700000,4.400000,-14.800000
35378,1601827855,19838,1618.596617300,0.020482400,-0.629000,-0.427000,0.368000,6.400000,13.100000,-31.700000
35379,1601836797,28780,1618.604022500,0.027887600,-0.583000,-0.494000,0.312000,19.700000,16.500000,-44.200000
35380,1601846442,38425,1618.619303500,0.043168600,-0.494000,-0.626000,0.246000,30.500000,11.500000,-52.500000
35381,1601856391,48374,1618.630185300,0.054050400,-0.436000,-0.871000,0.200000,38.000000,3.400000,-53.300000
35382,1601866127,58110,1618.634294700,0.058159800,-0.429000,-1.070000,0.192000,36.300000,-6.100000,-46.300000
35383,1601875314,67297,1618.650699000,0.074564100,-0.484000,-1.172000,0.227000,27.800000,-11.300000,-33.900000
35384,1601884928,76911,1618.656757100,0.080622200,-0.552000,-1.168000,0.313000,21.900000,-6.600000,-15.500000
35385,1601894999,86982,1618.667531400,0.091396500,-0.562000,-1.110000,0.399000,22.200000,6.500000,0.600000
35386,1601904094,96077,1618.678921900,0.102787000,-0.513000,-0.991000,0.503000,31.800000,21.000000,8.400000
35387,1601913769,105752,1618.679678000,0.103543100,-0.535000,-0.968000,0.586000,51.300000,34.600000,11.000000
35388,1601923871,115854,1618.693876900,0.117742000,-0.563000,-1.053000,0.551000,64.900000,58.400000,18.600000
35389,1601933485,125468,1618.706747800,0.130612900,-0.517000,-1.128000,0.497000,60.100000,66.400000,23.700000
35390,1601942641,134624,1618.709084500,0.132949600,0.252000,-1.394000,-0.252000,24.000000,-58.600000,39.000000
35391,1601952773,144756,1618.725184700,0.149049800,-0.506000,-1.207000,0.380000,-10.400000,-58.300000,69.400000
35392,1601962265,154248,1618.731393900,0.155259000,-1.310000,-1.424000,0.385000,-38.600000,-20.500000,107.100000
35393,1601971452,163435,1618.744000200,0.167865300,-0.510000,-0.483000,0.352000,-25.900000,-22.200000,93.300000
35394,1601981096,173079,1618.754524400,0.178389500,-0.750000,-0.241000,0.304000,-15.300000,-12.600000,69.700000
35395,1601991137,183120,1618.769169600,0.193034700,-0.501000,0.019000,0.423000,6.700000,-15.600000,36.700000
35396,1602000659,192642,1618.769517600,0.193382700,-0.641000,-0.029000,0.386000,27.900000,-22.300000,-8.400000
35397,1602009876,201859,1618.784168800,0.208033900,-0.658000,-0.279000,0.349000,28.600000,-20.000000,-40.800000
35398,1602019521,211504,1618.784549200,0.208414300,-0.612000,-0.553000,0.312000,4.100000,-22.300000,-53.200000
35399,1602029531,221514,1618.806401800,0.230266900,-0.655000,-0.661000,0.246000,-38.300000,-22.700000,-47.700000
35400,1602038931,230914,1618.806976000,0.230841100,-0.630000,-0.546000,0.231000,-78.100000,-14.200000,-45.300000
35401,1602048393,240376,1618.815215900,0.239081000,-0.543000,-0.374000,0.245000,-92.400000,-0.500000,-48.400000
35402,1602058403,250386,1618.829537900,0.253403000,-0.379000,-0.170000,0.247000,-71.400000,0.100000,-64.600000
35403,1602068109,260092,1618.838770500,0.262635600,-0.255000,-0.185000,0.166000,-0.900000,1.600000,-86.500000
35404,1602077204,269187,1618.844108500,0.267973600,-0.274000,-0.487000,0.140000,40.800000,10.000000,-98.800000
35405,1602086848,278831,1618.860358500,0.284223600,-0.222000,-0.914000,0.146000,70.000000,17.900000,-99.000000
35406,1602096919,288902,1618.877120400,0.300985500,-0.139000,-1.592000,0.143000,80.100000,22.800000,-80.300000
35407,1602106411,298394,1618.877128800,0.300993900,-0.266000,-1.919000,0.056000,61.400000,32.400000,-37.700000
35408,1602115628,307611,1618.889675400,0.313540500,-0.318000,-1.990000,0.044000,27.600000,52.600000,17.200000
35409,1602125761,317744,1618.896416300,0.320281400,-0.125000,-1.817000,0.169000,0.500000,62.900000,62.700000
35410,1602135375,327358,1618.904184600,0.328049700,-0.093000,-1.580000,0.218000,-15.000000,58.600000,90.600000
