meta_label,S
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
20726,1460948695,0,1465.650771000,0.000000000,-0.524000,-0.905000,0.249000,36.200000,-5.600000,0.800000
20727,1460958370,9675,1465.650781800,0.000010800,-0.567000,-0.926000,0.293000,40.200000,-1.800000,3.500000
20728,1460967800,19105,1465.655304700,0.004533700,-0.600000,-0.946000,0.324000,43.100000,4.800000,6.100000
20729,1460977109,28414,1465.671236800,0.020465800,-0.607000,-0.983000,0.335000,45.100000,12.300000,10.000000
20730,1460987211,38516,1465.677647900,0.026876900,-0.605000,-1.013000,0.328000,43.000000,19.600000,14.400000
20731,1460996703,48008,1465.687426800,0.036655800,-0.581000,-1.019000,0.336000,36.700000,25.600000,20.800000
20732,1461005889,57194,1465.701081600,0.050310600,-0.601000,-1.005000,0.380000,29.500000,31.000000,24.200000
20733,1461015686,66991,1465.708107800,0.057336800,-0.618000,-0.920000,0.423000,25.900000,38.100000,31.600000
20734,1461025636,76941,1465.715501200,0.064730200,-0.601000,-0.800000,0.472000,36.800000,49.800000,32.400000
20735,1461034822,86127,1465.729941900,0.079170900,0.137000,-1.052000,-0.390000,38.000000,-26.000000,48.600000
20736,1461044375,95680,1465.730801700,0.080030700,-0.561000,-0.382000,0.310000,41.400000,-24.400000,46.400000
20737,1461054508,105813,1465.745162800,0.094391800,-0.846000,-0.756000,0.354000,52.700000,-14.200000,42.500000
20738,1461064152,115457,1465.752513000,0.101742000,-0.903000,-0.656000,0.326000,56.000000,-1.900000,28.900000
20739,1461073216,124521,1465.765039800,0.114268800,-0.836000,-0.823000,0.312000,42.600000,6.100000,21.800000
20740,1461082861,134166,1465.775589100,0.124818100,-0.920000,-0.874000,0.315000,18.000000,13.700000,13.400000
20741,1461092932,144237,1465.782986100,0.132215100,-0.873000,-0.763000,0.347000,4.600000,22.500000,9.000000
20742,1461102302,153607,1465.790126600,0.139355600,-0.679000,-0.649000,0.448000,6.900000,22.600000,4.600000
20743,1461111733,163038,1465.805512400,0.154741400,-0.546000,-0.620000,0.457000,17.500000,3.500000,0.000000
20744,1461121743,173048,1465.813246600,0.162475600,-0.582000,-0.660000,0.397000,19.500000,-14.100000,-18.900000
20745,1461131510,182815,1465.820493500,0.169722500,-0.624000,-0.696000,0.355000,8.400000,-26.600000,-20.900000
20746,1461140574,191879,1465.837588800,0.186817800,-0.690000,-0.641000,0.321000,-4.900000,-26.600000,-23.300000
20747,1461150127,201432,1465.839483300,0.188712300,-0.632000,-0.559000,0.318000,-14.800000,-29.100000,-29.600000
20748,1461160290,211595,1465.852096700,0.201325700,-0.674000,-0.521000,0.286000,-30.000000,-26.500000,-36.000000
20749,1461169721,221026,1465.858849300,0.208078300,-0.695000,-0.550000,0.244000,-48.000000,-21.600000,-40.400000
20750,1461178999,230304,1465.865093000,0.214322000,-0.718000,-0.505000,0.212000,-67.500000,-10.900000,-43.400000
20751,1461189101,240406,1465.880126700,0.229355700,-0.667000,-0.192000,0.217000,-65.700000,1.800000,-53.000000
20752,1461198684,249989,1465.887673400,0.236902400,-0.484000,-0.098000,0.196000,-38.300000,9.800000,-71.700000
20753,1461207840,259145,1465.898296700,0.247525700,-0.206000,-0.237000,0.170000,1.500000,14.200000,-91.200000
20754,1461217485,268790,1465.912098400,0.261327400,-0.035000,-0.570000,0.183000,43.500000,15.400000,-105.400000
20755,1461227556,278861,1465.921580500,0.270809500,0.114000,-0.952000,0.208000,76.400000,10.600000,-107.100000
20756,1461237048,288353,1465.925043900,0.274272900,0.191000,-1.443000,0.221000,94.900000,-0.200000,-93.400000
20757,1461246326,297631,1465.940285800,0.289514800,-0.257000,-1.961000,-0.015000,64.700000,1.900000,-53.200000
20758,1461256367,307672,1465.954903800,0.304132800,-0.171000,-1.875000,0.047000,16.700000,32.600000,20.500000
20759,1461265828,317133,1465.955483200,0.304712200,-0.087000,-1.629000,0.126000,-3.400000,45.500000,49.100000
20760,1461275381,326686,1465.988254200,0.337483200,-0.065000,-1.388000,0.184000,-21.700000,42.600000,63.200000
20761,1461289756,341061,1465.988664000,0.337893000,-0.232000,-1.065000,0.244000,-28.300000,37.100000,67.300000
20762,1461294792,346097,1465.988677200,0.337906200,-0.317000,-0.986000,0.244000,-30.100000,37.800000,66.300000
20763,1461304558,355863,1466.015210500,0.364439500,-0.476000,-0.805000,0.275000,-31.700000,39.200000,64.300000
20764,1461319849,371154,1466.015221300,0.364450300,-0.620000,-0.416000,0.328000,-27.600000,33.700000,48.100000
20765,1461323603,374908,1466.015224900,0.364453900,-0.686000,-0.363000,0.327000,-26.100000,30.400000,40.400000
20766,1461333308,384613,1466.030620000,0.379849000,-0.790000,-0.296000,0.358000,-24.900000,26.300000,24.700000
