meta_label,s
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
33170,320340514,0,326.637829500,0.000000000,-0.270000,-0.827000,0.163000,-3.100000,10.100000,8.500000
33171,320349670,9156,326.653567500,0.015738000,-0.280000,-0.845000,0.142000,1.100000,10.900000,7.200000
33172,320359222,18708,326.653936100,0.016106600,-0.279000,-0.851000,0.146000,5.400000,11.900000,5.900000
33173,320369294,28780,326.670509800,0.032680300,-0.298000,-0.886000,0.168000,11.000000,15.300000,5.300000
33174,320378786,38272,326.675806900,0.037977400,-0.269000,-0.973000,0.174000,13.300000,17.300000,3.200000
33175,320388094,47580,326.682889800,0.045060300,-0.240000,-1.063000,0.164000,7.000000,17.600000,0.900000
33176,320398227,57713,326.697918800,0.060089300,-0.197000,-1.103000,0.146000,-5.300000,14.000000,2.600000
33177,320407688,67174,326.707691800,0.069862300,-0.191000,-1.089000,0.140000,-16.900000,8.500000,5.500000
33178,320416905,76391,326.712775000,0.074945500,-0.231000,-1.046000,0.140000,-23.800000,6.100000,8.600000
33179,320426550,86036,326.728146900,0.090317400,-0.288000,-0.981000,0.152000,-25.400000,9.000000,13.300000
33180,320436652,96138,326.735522000,0.097692500,-0.321000,-0.928000,0.167000,-20.000000,21.300000,10.700000
33181,320446082,105568,326.746666200,0.108836700,-0.311000,-0.898000,0.161000,-9.800000,28.400000,8.300000
33182,320455422,114908,326.759134700,0.121305200,-0.267000,-0.893000,0.130000,12.600000,31.000000,7.500000
33183,320465432,124918,326.765571200,0.127741700,-0.256000,-0.874000,0.122000,29.900000,32.700000,8.400000
33184,320475015,134501,326.773292400,0.135462900,-0.255000,-0.909000,0.200000,48.700000,35.700000,9.600000
33185,320484232,143718,326.787790500,0.149961000,-0.261000,-0.978000,0.245000,60.400000,40.200000,9.700000
33186,320493877,153363,326.788328000,0.150498500,-0.252000,-1.185000,0.248000,55.900000,42.600000,7.400000
33187,320503674,163160,326.804877300,0.167047800,-0.204000,-1.266000,0.249000,37.400000,38.400000,8.100000
33188,320513440,172926,326.810802000,0.172972500,-0.234000,-1.283000,0.280000,12.400000,33.200000,10.900000
33189,320522657,182143,326.820497100,0.182667600,-0.250000,-1.218000,0.314000,-8.400000,29.500000,16.900000
33190,320532668,192154,326.832864500,0.195035000,-0.269000,-1.110000,0.320000,-21.900000,25.700000,21.600000
33191,320542587,202073,326.841383700,0.203554200,0.240000,-1.062000,-0.480000,-28.600000,-38.600000,61.600000
33192,320551498,210984,326.847537100,0.209707600,-0.044000,-1.168000,0.224000,-34.700000,-58.600000,64.200000
33193,320561204,220690,326.862699900,0.224870400,-0.726000,-0.791000,0.198000,-31.400000,-73.500000,54.600000
33194,320571275,230761,326.869947700,0.232118200,-0.667000,-0.434000,0.201000,-12.000000,-50.100000,26.800000
33195,320580798,240284,326.877729700,0.239900200,-0.610000,-0.319000,0.249000,22.400000,-47.400000,-10.700000
33196,320589984,249470,326.896297100,0.258467600,-0.651000,-0.394000,0.231000,36.100000,-42.100000,-42.600000
33197,320599751,259237,326.900045300,0.262215800,-0.641000,-0.508000,0.186000,37.300000,-33.600000,-66.700000
33198,320609731,269217,326.907691200,0.269861700,-0.630000,-0.756000,0.129000,25.800000,-21.100000,-76.200000
33199,320618917,278403,326.923137400,0.285307900,-0.563000,-0.870000,0.088000,10.200000,-6.800000,-75.500000
33200,320628470,287956,326.923605800,0.285776300,-0.319000,-0.896000,0.078000,2.100000,4.500000,-72.300000
33201,320638328,297814,326.937906300,0.300076800,-0.188000,-0.941000,0.061000,1.900000,12.400000,-67.000000
33202,320648155,307641,326.945041300,0.307211800,-0.045000,-0.955000,0.040000,8.200000,20.900000,-62.200000
33203,320657311,316797,326.954318900,0.316489400,0.143000,-1.024000,0.040000,22.000000,25.800000,-57.100000
33204,320666925,326411,326.974481200,0.336651700,0.320000,-1.193000,0.053000,37.400000,23.700000,-47.300000
33205,320676936,336422,326.975265400,0.337435900,0.325000,-1.500000,-0.002000,35.100000,17.500000,-9.000000
33206,320686244,345730,326.982792400,0.344962900,0.009000,-1.732000,-0.132000,-1.000000,34.900000,28.100000
33207,320695736,355222,326.997441400,0.359611900,0.239000,-1.543000,-0.010000,-32.700000,35.000000,58.500000
33208,320705838,365324,327.013117200,0.375287700,0.274000,-1.354000,0.045000,-47.100000,28.500000,73.700000
33209,320715452,374938,327.013393500,0.375564000,0.198000,-1.234000,0.087000,-51.000000,20.200000,81.300000
33210,320724608,384094,327.030417900,0.392588400,0.092000,-1.157000,0.096000,-54.000000,12.100000,86.900000
33211,320734252,393738,327.030429100,0.392599600,-0.086000,-1.034000,0.123000,-58.700000,8.000000,88.700000
33212,320744385,403871,327.044451800,0.406622300,-0.199000,-0.906000,0.165000,-60.900000,1.800000,83.200000
33213,320753877,413363,327.051618800,0.413789300,-0.353000,-0.766000,0.210000,-61.400000,-6.700000,75.200000
33214,320763063,422549,327.058313400,0.420483900,-0.453000,-0.618000,0.241000,-54.900000,-16.800000,61.100000
33215,320773165,432651,327.073014600,0.435185100,-0.568000,-0.501000,0.254000,-41.600000,-25.700000,43.100000
33216,320782810,442296,327.080004300,0.442174800,-0.674000,-0.406000,0.268000,-22.300000,-32.700000,10.400000
33217,320791966,451452,327.088400200,0.450570700,-0.811000,-0.369000,0.254000,2.300000,-35.300000,-13.300000
33218,320801518,461004,327.106070500,0.468241000,-1.004000,-0.540000,0.211000,27.000000,-26.700000,-34.000000
