meta_label,s
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
28278,2163689335,0,2180.358023800,0.000000000,-0.496000,-0.926000,0.163000,8.200000,-4.800000,-16.900000
28279,2163698949,9614,2180.372915700,0.014891900,-0.514000,-0.876000,0.206000,14.300000,0.300000,-13.400000
28280,2163709143,19808,2180.387878900,0.029855100,-0.524000,-0.905000,0.236000,22.200000,7.000000,-7.800000
28281,2163718665,29330,2180.395293300,0.037269500,-0.524000,-0.946000,0.252000,27.500000,15.400000,-2.900000
28282,2163727821,38486,2180.403888800,0.045865000,-0.522000,-0.953000,0.268000,32.800000,24.000000,5.800000
28283,2163737618,48283,2180.410552100,0.052528300,-0.507000,-0.973000,0.291000,39.500000,33.800000,14.600000
28284,2163747537,58202,2180.425251800,0.067228000,-0.495000,-0.978000,0.287000,41.700000,44.400000,25.000000
28285,2163756663,67328,2180.426103100,0.068079300,-0.493000,-0.959000,0.352000,43.400000,54.800000,27.600000
28286,2163766307,76972,2180.432833700,0.074809900,-0.475000,-0.965000,0.402000,45.900000,63.400000,27.900000
28287,2163776378,87043,2180.448086500,0.090062700,-0.435000,-0.997000,0.403000,42.300000,68.700000,26.600000
28288,2163785992,96657,2180.459923200,0.101899400,0.269000,-1.324000,-0.416000,-17.400000,-5.900000,63.500000
28289,2163795087,105752,2180.462786900,0.104763100,-0.582000,-0.819000,0.265000,-25.400000,-12.900000,72.300000
28290,2163804701,115366,2180.478756700,0.120732900,-0.824000,-0.868000,0.273000,-19.200000,-4.600000,79.600000
28291,2163814773,125438,2180.485441000,0.127417200,-0.718000,-0.500000,0.269000,-0.300000,-1.800000,48.600000
28292,2163824142,134807,2180.492955400,0.134931600,-0.741000,-0.477000,0.258000,-0.700000,3.600000,39.000000
28293,2163833573,144238,2180.508223300,0.150199500,-0.406000,-0.294000,0.382000,11.600000,-5.100000,6.600000
28294,2163843614,154279,2180.516558500,0.158534700,-0.533000,-0.328000,0.334000,25.400000,-25.800000,-23.000000
28295,2163853319,163984,2180.523101800,0.165078000,-0.686000,-0.512000,0.274000,23.700000,-26.400000,-48.900000
28296,2163862414,173079,2180.537854400,0.179830600,-0.591000,-0.550000,0.239000,10.200000,-25.100000,-58.400000
28297,2163872059,182724,2180.538657300,0.180633500,-0.508000,-0.505000,0.202000,4.900000,-23.000000,-66.600000
28298,2163882130,192795,2180.554914000,0.196890200,-0.423000,-0.546000,0.175000,14.400000,-19.700000,-71.100000
28299,2163891744,202409,2180.560572100,0.202548300,-0.374000,-0.721000,0.148000,25.800000,-12.800000,-68.400000
28300,2163900931,211596,2180.571502800,0.213479000,-0.305000,-0.878000,0.133000,37.100000,-8.400000,-60.800000
28301,2163911094,221759,2180.582805900,0.224782100,-0.189000,-1.063000,0.144000,49.300000,-8.000000,-47.400000
28302,2163920524,231189,2180.592305800,0.234282000,-0.095000,-1.296000,0.096000,48.100000,-13.100000,-23.900000
28303,2163929772,240437,2180.597941100,0.239917300,-0.450000,-1.649000,-0.079000,6.300000,10.700000,13.400000
28304,2163939325,249990,2180.613881400,0.255857600,-0.707000,-1.661000,0.063000,-29.100000,45.700000,45.000000
28305,2163949396,260061,2180.620695000,0.262671200,-0.438000,-1.337000,0.156000,-44.500000,57.800000,68.400000
28306,2163958919,269584,2180.632201300,0.274177500,-0.423000,-1.177000,0.205000,-50.300000,63.000000,81.500000
28307,2163968197,278862,2180.642847600,0.284823800,-0.357000,-0.978000,0.270000,-51.700000,56.800000,85.000000
28308,2163978268,288933,2180.652293300,0.294269500,-0.425000,-0.809000,0.290000,-49.800000,45.600000,79.100000
28309,2163987882,298547,2180.658225600,0.300201800,-0.455000,-0.649000,0.321000,-45.800000,32.900000,69.000000
28310,2163997038,307703,2180.673320000,0.315296200,-0.496000,-0.497000,0.334000,-39.400000,16.400000,54.100000
28311,2164006621,317286,2180.673657800,0.315634000,-0.553000,-0.377000,0.339000,-31.100000,0.300000,22.200000
28312,2164016662,327327,2180.690055600,0.332031800,-0.631000,-0.248000,0.346000,-18.100000,-18.900000,-0.400000
28313,2164026704,337369,2180.695373500,0.337349700,-0.844000,-0.310000,0.291000,-3.600000,-15.900000,-17.700000
28314,2164035524,346189,2180.707788200,0.349764400,-1.051000,-0.661000,0.268000,-32.700000,-5.600000,-19.000000
28315,2164045565,356230,2180.717909400,0.359885600,-0.787000,-0.377000,0.377000,-32.000000,-14.100000,-36.100000
28316,2164055240,365905,2180.725538000,0.367514200,-0.725000,-0.300000,0.342000,-14.800000,-25.100000,-60.300000
28317,2164064304,374969,2180.732835400,0.374811600,-0.695000,-0.406000,0.265000,5.300000,-29.600000,-82.200000
28318,2164073948,384613,2180.747810000,0.389786200,-0.739000,-0.865000,0.197000,14.000000,-25.600000,-96.600000
28319,2164083990,394655,2180.755945100,0.397921300,-0.717000,-1.151000,0.143000,8.800000,-15.100000,-96.800000
28320,2164093725,404390,2180.765097500,0.407073700,-0.602000,-1.308000,0.103000,0.600000,-4.500000,-87.600000
28321,2164102820,413485,2180.779421800,0.421398000,-0.432000,-1.420000,0.063000,-4.400000,3.400000,-70.300000
28322,2164112617,423282,2180.788819700,0.430795900,-0.259000,-1.474000,0.006000,-17.000000,1.000000,-50.900000
28323,2164122445,433110,2180.793220800,0.435197000,-0.145000,-1.311000,-0.192000,-21.100000,-8.000000,-15.400000
28324,2164131662,442327,2180.807903900,0.449880100,0.076000,-1.202000,-0.313000,-8.900000,-32.700000,13.800000
28325,2164141276,451941,2180.808448800,0.450425000,-0.075000,-1.183000,-0.185000,3.400000,-63.100000,42.100000
28326,2164151225,461890,2180.823106700,0.465082900,-0.424000,-1.170000,-0.005000,7.200000,-65.100000,53.000000
28327,2164160992,471657,2180.830658200,0.472634400,-0.588000,-1.048000,0.182000,-1.300000,-49.200000,55.500000
28328,2164170086,480751,2180.845335400,0.487311600,-0.582000,-0.851000,0.200000,-2.600000,-34.800000,47.900000
28329,2164179700,490365,2180.860266300,0.502242500,-0.493000,-0.709000,0.150000,-1.500000,-28.300000,36.700000
28330,2164189863,500528,2180.862174500,0.504150700,-0.432000,-0.620000,0.165000,2.900000,-28.500000,26.700000
28331,2164199386,510051,2180.881000600,0.522976800,-0.488000,-0.681000,0.170000,4.200000,-27.800000,16.400000
28332,2164208572,519237,2180.881375600,0.523351800,-0.515000,-0.725000,0.202000,1.200000,-24.600000,12.600000
28333,2164218644,529309,2180.892872500,0.534848700,-0.497000,-0.756000,0.248000,-3.400000,-22.700000,10.300000
28334,2164228441,539106,2180.898930800,0.540907000,-0.498000,-0.741000,0.269000,-9.000000,-21.300000,6.000000
28335,2164237414,548079,2180.905739900,0.547716100,-0.508000,-0.721000,0.280000,-11.800000,-19.900000,1.800000
28336,2164247027,557692,2180.920755900,0.562732100,-0.520000,-0.713000,0.295000,-11.800000,-17.900000,-4.100000
28337,2164257007,567672,2180.928207400,0.570183600,-0.534000,-0.729000,0.288000,-10.800000,-15.500000,-12.300000
28338,2164266591,577256,2180.938069600,0.580045800,-0.545000,-0.757000,0.282000,-9.400000,-11.700000,-16.200000
