meta_label,s
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
43290,417694247,0,422.588788400,0.000000000,-0.578000,-0.760000,0.272000,4.100000,0.100000,-0.600000
43291,417708805,14558,422.615134300,0.026345900,-0.613000,-0.748000,0.309000,2.800000,8.600000,-7.500000
43292,417712590,18343,422.615146100,0.026357700,-0.608000,-0.738000,0.318000,3.400000,8.600000,-7.500000
43293,417716771,22524,422.615897400,0.027109000,-0.591000,-0.728000,0.319000,5.500000,11.700000,-8.900000
43294,417731726,37479,422.659443900,0.070655500,-0.548000,-0.761000,0.301000,18.300000,18.400000,-13.100000
43295,417761300,67053,422.660676100,0.071887700,-0.501000,-0.907000,0.310000,22.000000,22.600000,0.400000
43296,417765359,71112,422.661014500,0.072226100,-0.499000,-0.906000,0.310000,22.200000,24.200000,3.800000
43297,417768960,74713,422.690441100,0.101652700,-0.498000,-0.908000,0.331000,22.200000,25.400000,8.000000
43298,417806347,112100,422.700879700,0.112091300,-0.557000,-0.958000,0.410000,-1.000000,33.900000,29.600000
43299,417810132,115885,422.700889300,0.112100900,-0.558000,-0.933000,0.420000,-2.900000,33.900000,31.900000
43300,417814038,119791,422.713505300,0.124716900,-0.560000,-0.893000,0.427000,-3.300000,35.600000,31.900000
43301,417836318,142071,422.714062100,0.125273700,-0.567000,-0.704000,0.364000,21.400000,43.500000,38.800000
43302,417840194,145947,422.719757400,0.130969000,-0.567000,-0.689000,0.358000,26.600000,44.000000,38.800000
43303,417844253,150006,422.743189500,0.154401100,-0.580000,-0.689000,-0.513000,26.200000,33.700000,38.300000
43304,417858811,164564,422.743199600,0.154411200,-0.859000,-0.710000,0.222000,-18.700000,-56.300000,92.300000
43305,417862840,168593,422.744425400,0.155637000,-0.482000,-0.710000,0.331000,-16.900000,-53.700000,95.900000
43306,417866533,172286,422.791085100,0.202296700,-0.993000,-0.822000,0.331000,-16.900000,-44.700000,83.300000
43307,417888843,194596,422.791620000,0.202831600,-0.767000,-0.489000,0.398000,-36.100000,-14.700000,50.400000
43308,417892902,198655,422.791804200,0.203015800,-0.390000,-0.478000,0.496000,-33.900000,-30.900000,50.400000
43309,417896503,202256,422.811329000,0.222540600,-0.565000,-0.547000,0.442000,-37.300000,-49.800000,25.400000
43310,417933860,239613,422.812763100,0.223974700,-0.641000,0.095000,0.289000,-43.800000,-15.900000,-39.900000
43311,417937644,243397,422.813477300,0.224688900,-0.641000,0.055000,0.273000,-25.600000,-16.500000,-53.900000
43312,417941917,247670,422.833842100,0.245053700,-0.567000,-0.072000,0.245000,-8.000000,-17.600000,-66.800000
43313,417956323,262076,422.849702600,0.260914200,-0.508000,-0.622000,0.168000,19.700000,-13.600000,-82.100000
43314,417959924,265677,422.851391800,0.262603400,-0.508000,-0.622000,0.153000,22.300000,-11.100000,-80.700000
43315,417964014,269767,422.859092500,0.270304100,-0.487000,-0.749000,0.153000,26.000000,-8.900000,-77.900000
43316,417979762,285515,422.859100200,0.270311800,-0.377000,-1.146000,0.103000,28.800000,-2.100000,-68.900000
43317,417983913,289666,422.886349100,0.297560700,-0.377000,-1.208000,0.092000,27.200000,2.200000,-62.000000
43318,418001370,307123,422.886359900,0.297571500,-0.430000,-1.490000,-0.040000,1.800000,29.100000,-21.600000
43319,418005277,311030,422.888905200,0.300116800,-0.494000,-1.503000,-0.040000,1.800000,42.400000,-1.400000
43320,418009122,314875,422.917081800,0.328293400,-0.410000,-1.400000,-0.031000,-8.000000,42.400000,16.900000
43321,418031371,337124,422.917094700,0.328306300,-0.103000,-0.981000,0.161000,6.300000,58.600000,68.900000
43322,418035186,340939,422.917344500,0.328556100,-0.094000,-0.963000,0.214000,10.900000,51.700000,73.900000
43323,418039490,345243,422.952807400,0.364019000,-0.094000,-0.947000,0.276000,12.500000,39.700000,75.900000
43324,418053865,359618,422.953207700,0.364419300,-0.261000,-0.904000,0.358000,-3.100000,-11.000000,71.700000
43325,418057893,363646,422.953233600,0.364445200,-0.261000,-0.882000,0.374000,-13.700000,-26.500000,72.400000
43326,418061800,367553,422.975349800,0.386561400,-0.368000,-0.882000,0.378000,-25.200000,-40.100000,74.100000
43327,418098912,404665,422.975360300,0.386571900,-1.502000,0.060000,0.489000,-71.200000,-11.700000,26.100000
43328,418102819,408572,422.976418100,0.387629700,-1.530000,0.180000,0.489000,-64.500000,-2.300000,6.000000
43329,418106847,412600,422.998877500,0.410089100,-1.557000,0.192000,0.510000,-63.200000,6.300000,-12.900000
43330,418121375,427128,423.036412400,0.447624000,-1.417000,0.147000,0.505000,-13.100000,20.500000,-80.100000
43331,418125190,430943,423.036421800,0.447633400,-1.350000,-0.011000,0.471000,-13.100000,20.500000,-96.600000
43332,418129371,435124,423.037016500,0.448228100,-1.291000,-0.243000,0.434000,0.200000,23.300000,-107.600000
43333,418144295,450048,423.069285500,0.480497100,-0.989000,-0.887000,0.319000,32.500000,28.900000,-116.300000
43334,418181163,486916,423.069666900,0.480878500,-0.080000,-1.653000,0.065000,43.600000,-2.400000,-30.600000
43335,418184978,490731,423.069677800,0.480889400,0.039000,-1.637000,-0.038000,44.100000,-2.400000,-20.100000
43336,418188916,494669,423.102649800,0.513861400,0.027000,-1.698000,-0.265000,41.000000,-14.200000,-20.100000
43337,418211378,517131,423.102662300,0.513873900,-0.310000,-1.661000,-0.390000,-36.200000,-44.300000,98.200000
43338,418215193,520946,423.110287400,0.521499000,-0.310000,-1.489000,-0.264000,-46.000000,-42.800000,114.100000
43339,418219161,524914,423.133365200,0.544576800,-0.388000,-1.489000,-0.170000,-51.300000,-39.300000,124.500000
43340,418248857,554610,423.134636800,0.545848400,-0.568000,-0.255000,0.161000,-10.900000,-17.200000,83.900000
43341,418252489,558242,423.134646900,0.545858500,-0.576000,-0.246000,0.224000,-2.900000,-13.700000,71.700000
43342,418256426,562179,423.157244700,0.568456300,-0.576000,-0.277000,0.274000,2.500000,-10.000000,61.700000
43343,418278889,584642,423.157254100,0.568465700,-0.571000,-0.352000,0.454000,6.600000,4.500000,32.900000
43344,418282826,588579,423.169985500,0.581197100,-0.554000,-0.362000,0.454000,6.600000,5.400000,27.500000
43345,418286946,592699,423.177018500,0.588230100,-0.557000,-0.376000,0.484000,6.000000,5.400000,22.400000
43346,418301626,607379,423.177815400,0.589027000,-0.608000,-0.435000,0.544000,1.100000,12.000000,10.300000
43347,418305319,611072,423.222531200,0.633742800,-0.607000,-0.447000,0.529000,1.100000,12.000000,6.300000
43348,418323906,629659,423.223109200,0.634320800,-0.616000,-0.498000,0.460000,-3.800000,14.300000,-10.300000
43349,418327873,633626,423.245886800,0.657098400,-0.615000,-0.513000,0.441000,-3.900000,13.800000,-10.300000
43350,418331505,637258,423.245903500,0.657115100,-0.625000,-0.534000,0.425000,-3.800000,13.000000,-14.000000
43351,418369136,674889,423.246683300,0.657894900,-0.714000,-0.745000,0.349000,-3.200000,12.900000,-33.600000
43352,418373012,678765,423.276142300,0.687353900,-0.715000,-0.760000,0.336000,-4.800000,13.800000,-34.800000
43353,418391416,697169,423.276407100,0.687618700,-0.692000,-0.779000,0.236000,-12.000000,16.500000,-36.200000
43354,418395231,700984,423.292026600,0.703238200,-0.692000,-0.779000,0.217000,-14.200000,16.600000,-36.600000
