meta_label,T
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
64582,622366373,0,628.608842100,0.000000000,-0.379000,-0.966000,0.204000,-21.400000,-10.300000,8.100000
64583,622375986,9613,628.623821300,0.014979200,-0.419000,-0.883000,0.249000,-22.300000,2.800000,0.800000
64584,622386028,19655,628.636485700,0.027643600,-0.415000,-0.808000,0.279000,-9.000000,16.300000,-9.000000
64585,622395428,29055,628.639390400,0.030548300,-0.384000,-0.774000,0.270000,5.500000,26.100000,-17.300000
64586,622404858,38485,628.656181100,0.047339000,-0.340000,-0.804000,0.202000,17.500000,30.800000,-22.500000
64587,622414899,48526,628.661252900,0.052410800,-0.265000,-0.888000,0.143000,20.100000,27.400000,-22.000000
64588,622424605,58232,628.676046200,0.067204100,-0.200000,-1.054000,0.127000,11.600000,17.400000,-16.000000
64589,622433700,67327,628.684023300,0.075181200,-0.187000,-1.101000,0.153000,-5.800000,7.000000,-7.100000
64590,622443314,76941,628.684259700,0.075417600,-0.215000,-1.039000,0.213000,-24.600000,-0.300000,1.500000
64591,622453507,87134,628.707543500,0.098701400,-0.244000,-0.895000,0.319000,-36.200000,-0.800000,3.800000
64592,622462907,96534,628.709827900,0.100985800,-0.296000,-0.746000,0.396000,-38.000000,8.700000,-3.200000
64593,622472124,105751,628.714434600,0.105592500,-0.334000,-0.632000,0.412000,-31.300000,27.700000,-17.000000
64594,622482288,115915,628.735396100,0.126554000,-0.318000,-0.570000,0.376000,-17.000000,53.400000,-42.500000
64595,622491779,125406,628.735750200,0.126908100,-0.166000,-0.574000,0.310000,4.600000,67.500000,-57.500000
64596,622500996,134623,628.748889100,0.140047000,0.644000,-0.723000,-0.301000,70.000000,-53.300000,33.800000
64597,622510610,144237,628.759200300,0.150358200,0.614000,-1.353000,-0.046000,48.200000,-76.100000,2.900000
64598,622520651,154278,628.768635900,0.159793800,-0.478000,-1.343000,-0.159000,55.100000,-32.400000,26.300000
64599,622530051,163678,628.773706200,0.164864100,0.351000,-1.367000,0.098000,39.900000,-54.100000,22.100000
64600,622539452,173079,628.790629600,0.181787500,0.015000,-1.101000,-0.392000,41.400000,-32.900000,18.800000
64601,622549523,183150,628.796435000,0.187592900,-0.573000,-1.577000,-0.147000,30.100000,27.800000,10.200000
64602,622559168,192795,628.806514900,0.197672800,-0.103000,-1.227000,-0.105000,39.400000,46.700000,40.600000
64603,622568354,201981,628.818910700,0.210068600,-0.038000,-1.321000,-0.008000,56.200000,71.000000,48.300000
64604,622577937,211564,628.820549500,0.211707400,0.187000,-1.328000,0.086000,64.600000,68.300000,51.800000
64605,622588039,221666,628.833758500,0.224916400,0.169000,-1.486000,0.121000,63.700000,52.000000,59.900000
64606,622597653,231280,628.845025300,0.236183200,0.035000,-1.566000,0.125000,43.700000,37.500000,86.600000
64607,622606779,240406,628.848357800,0.239515700,-0.034000,-1.455000,0.152000,16.000000,21.100000,96.400000
64608,622616911,250538,628.863821600,0.254979500,-0.153000,-1.269000,0.187000,-14.100000,0.100000,100.200000
64609,622626525,260152,628.871232900,0.262390800,-0.433000,-0.992000,0.232000,-43.900000,-21.400000,95.700000
64610,622635681,269308,628.883151500,0.274309400,-0.724000,-0.620000,0.266000,-43.500000,-23.100000,76.600000
64611,622645203,278830,628.895253100,0.286411000,-0.959000,-0.272000,0.303000,-28.800000,-19.700000,42.300000
64612,622655214,288841,628.901653300,0.292811200,-1.044000,-0.018000,0.347000,-5.700000,-16.800000,-1.400000
64613,622664919,298546,628.909114700,0.300272600,-1.074000,0.027000,0.327000,19.500000,-16.700000,-45.300000
64614,622674106,307733,628.923781700,0.314939600,-0.975000,-0.059000,0.219000,44.100000,-25.100000,-83.800000
64615,622683903,317530,628.931645300,0.322803200,-0.429000,-0.272000,-0.013000,61.800000,-61.600000,-104.800000
64616,622693791,327418,628.942462800,0.333620700,-0.506000,-0.650000,-0.043000,52.600000,-113.500000,-97.500000
64617,622702978,336605,628.958318700,0.349476600,-0.684000,-0.829000,0.252000,29.200000,-141.200000,-84.100000
64618,622712531,346158,628.958327200,0.349485100,-0.923000,-0.768000,0.533000,15.100000,-124.400000,-72.100000
64619,622722724,356351,628.969271800,0.360429700,-0.851000,-0.859000,0.692000,2.800000,-72.100000,-76.600000
64620,622732399,366026,628.977600600,0.368758500,-0.563000,-0.787000,0.645000,-10.300000,-6.000000,-83.900000
64621,622741402,375029,628.983753100,0.374911000,-0.360000,-0.837000,0.615000,-22.100000,10.800000,-83.300000
64622,622750955,384582,628.999966100,0.391124000,-0.282000,-0.953000,0.614000,-36.000000,64.500000,-79.500000
64623,622761149,394776,629.006332300,0.397490200,-0.147000,-1.056000,0.561000,-63.800000,98.000000,-68.000000
64624,622770519,404146,629.016097800,0.407255700,0.470000,-0.413000,-0.146000,16.800000,-3.500000,-40.400000
64625,622779858,413485,629.029657900,0.420815800,0.916000,-1.424000,-0.369000,-27.300000,-75.600000,23.300000
64626,622789960,423587,629.036241500,0.427399400,-0.919000,-1.503000,-0.210000,-100.400000,-1.900000,76.200000
64627,622799543,433170,629.043609200,0.434767100,-0.278000,-0.832000,0.030000,-144.100000,27.200000,74.100000
64628,622808730,442357,629.059079300,0.450237200,-0.305000,-0.458000,0.034000,-160.000000,46.500000,61.800000
64629,622818313,451940,629.066798000,0.457955900,-0.257000,-0.322000,0.128000,-160.900000,60.700000,30.800000
64630,622828384,462011,629.074481300,0.465639200,-0.308000,-0.290000,0.174000,-147.900000,66.200000,1.400000
64631,622837815,471442,629.093383500,0.484541400,-0.350000,-0.432000,0.137000,-127.800000,71.300000,-32.500000
64632,622847154,480781,629.093401700,0.484559600,-0.311000,-0.646000,0.101000,-109.500000,73.100000,-56.300000
64633,622857287,490914,629.105707800,0.496865700,-0.206000,-0.797000,0.071000,-92.900000,65.900000,-67.500000
64634,622866931,500558,629.112429500,0.503587400,-0.165000,-0.900000,0.027000,-52.300000,43.800000,-67.800000
64635,622875965,509592,629.118663400,0.509821300,-0.289000,-1.034000,-0.041000,-38.600000,38.900000,-66.500000
64636,622885609,519236,629.133862800,0.525020700,-0.295000,-1.055000,-0.066000,7.800000,32.500000,-69.900000
64637,622895773,529400,629.140934900,0.532092800,-0.146000,-0.840000,-0.078000,68.600000,17.600000,-72.100000
64638,622905264,538891,629.150183700,0.541341600,-0.129000,-1.297000,-0.202000,113.400000,7.800000,-67.200000
64639,622914481,548108,629.167181500,0.558339400,-0.163000,-1.657000,-0.502000,119.000000,-2.200000,-42.800000
64640,622924095,557722,629.170883300,0.562041200,0.151000,-1.784000,-0.545000,111.000000,-41.600000,1.800000
64641,622934167,567794,629.181560300,0.572718200,0.022000,-1.851000,-0.392000,96.100000,-76.400000,40.900000
64642,622943292,576919,629.193737000,0.584894900,-0.260000,-1.773000,-0.201000,81.200000,-81.200000,63.300000
64643,622952906,586533,629.194367300,0.585525200,-0.365000,-1.608000,-0.039000,65.800000,-71.400000,76.700000
64644,622963008,596635,629.208681600,0.599839500,-0.378000,-1.398000,0.038000,51.000000,-57.200000,77.800000
64645,622972652,606279,629.216441100,0.607599000,-0.332000,-1.175000,0.079000,41.900000,-47.000000,72.000000
64646,622981717,615344,629.226027400,0.617185300,-0.345000,-1.004000,0.106000,41.300000,-41.300000,63.400000
64647,622991911,625538,629.244072800,0.635230700,-0.415000,-0.952000,0.144000,41.100000,-30.500000,56.400000
64648,623001433,635060,629.246319200,0.637477100,-0.467000,-0.949000,0.198000,29.200000,-20.000000,47.100000
64649,623010650,644277,629.253811400,0.644969300,-0.462000,-0.906000,0.232000,18.000000,-10.000000,36.000000
64650,623020233,653860,629.269195300,0.660353200,-0.438000,-0.834000,0.246000,9.600000,-1.300000,21.800000
64651,623030213,663840,629.282089500,0.673247400,-0.407000,-0.770000,0.229000,6.400000,4.400000,7.100000
64652,623039858,673485,629.284607300,0.675765200,-0.339000,-0.719000,0.207000,8.100000,4.600000,-5.200000
64653,623049075,682702,629.304587000,0.695744900,-0.269000,-0.734000,0.160000,11.100000,1.100000,-16.700000
64654,623058688,692315,629.306636700,0.697794600,-0.240000,-0.758000,0.103000,12.800000,-4.000000,-23.500000
64655,623068668,702295,629.315332900,0.706490800,-0.223000,-0.781000,0.091000,14.500000,-10.600000,-27.800000
64656,623077977,711604,629.328633200,0.719791100,-0.230000,-0.823000,0.113000,15.500000,-16.700000,-31.700000
64657,623087499,721126,629.329163400,0.720321300,-0.261000,-0.879000,0.141000,15.200000,-21.500000,-33.500000
64658,623097479,731106,629.343480600,0.734638500,-0.290000,-0.935000,0.159000,12.000000,-23.400000,-37.200000
64659,623107337,740964,629.353061200,0.744219100,-0.331000,-0.984000,0.187000,3.600000,-18.200000,-37.800000
64660,623116402,750029,629.362364900,0.753522800,-0.337000,-1.012000,0.210000,-5.800000,-14.100000,-39.100000
64661,623125985,759612,629.376952400,0.768110300,-0.319000,-1.011000,0.218000,-16.100000,-11.100000,-39.900000
64662,623136118,769745,629.382170300,0.773328200,-0.286000,-1.010000,0.213000,-20.800000,-9.400000,-39.500000
