meta_label,T
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
35012,1598308502,0,1615.094022900,0.000000000,-0.554000,-0.634000,0.246000,22.500000,18.400000,10.900000
35013,1598318208,9706,1615.101414600,0.007391700,-0.559000,-0.664000,0.242000,29.600000,21.600000,0.600000
35014,1598327333,18831,1615.102095000,0.008072100,-0.574000,-0.743000,0.235000,30.100000,24.200000,-5.900000
35015,1598337283,28781,1615.124656400,0.030633500,-0.557000,-0.864000,0.213000,22.200000,24.700000,-7.600000
35016,1598355656,47154,1615.124937800,0.030914900,-0.582000,-0.889000,0.205000,-10.800000,21.200000,6.400000
35017,1598359257,50755,1615.125588200,0.031565300,-0.577000,-0.834000,0.234000,-16.300000,20.700000,9.900000
35018,1598365819,57317,1615.153942300,0.059919400,-0.573000,-0.769000,0.257000,-19.700000,20.800000,11.100000
35019,1598378210,69708,1615.154230100,0.060207200,-0.555000,-0.527000,0.274000,-15.200000,23.400000,6.400000
35020,1598385382,76880,1615.155302800,0.061279900,-0.548000,-0.445000,0.287000,0.500000,27.000000,-5.800000
35021,1598394599,86097,1615.177648100,0.083625200,-0.554000,-0.331000,0.330000,24.900000,34.400000,-23.100000
35022,1598407998,99496,1615.177656200,0.083633300,-0.495000,-0.484000,0.340000,45.800000,46.100000,-49.500000
35023,1598414498,105996,1615.186463300,0.092440400,-0.458000,-0.606000,0.309000,54.400000,47.800000,-54.500000
35024,1598423532,115030,1615.199463900,0.105441000,-0.405000,-1.035000,0.276000,48.200000,50.900000,-54.800000
35025,1598433085,124583,1615.199741600,0.105718700,-0.382000,-1.206000,0.263000,30.300000,55.400000,-42.900000
35026,1598443187,134685,1615.213992600,0.119969700,0.383000,-0.956000,-0.304000,23.300000,37.600000,-26.500000
35027,1598452862,144360,1615.221409800,0.127386900,-0.072000,-1.588000,0.177000,33.800000,-83.200000,-7.700000
35028,1598461957,153455,1615.229426400,0.135403500,-0.670000,-1.654000,0.093000,23.300000,-62.600000,37.400000
35029,1598472120,163618,1615.250906500,0.156883600,-0.670000,-1.000000,-0.045000,7.600000,-47.800000,47.100000
35030,1598481642,173140,1615.251350300,0.157327400,-0.682000,-0.925000,-0.060000,53.600000,1.700000,51.600000
35031,1598490798,182296,1615.258928900,0.164906000,-0.472000,-1.071000,0.088000,99.000000,21.300000,55.400000
35032,1598500382,191880,1615.274038800,0.180015900,-0.431000,-1.339000,0.192000,138.900000,31.200000,57.000000
35033,1598510453,201951,1615.287921400,0.193898500,-0.557000,-1.826000,0.225000,119.800000,39.300000,77.000000
35034,1598520159,211657,1615.289248200,0.195225300,-0.719000,-1.997000,0.181000,66.300000,53.100000,114.400000
35035,1598529284,220782,1615.304955500,0.210932600,-0.667000,-1.776000,0.239000,17.000000,59.200000,143.300000
35036,1598538898,230396,1615.311532400,0.217509500,-0.570000,-0.957000,0.291000,-7.000000,57.200000,151.900000
35037,1598549122,240620,1615.319878100,0.225855200,-0.540000,-0.486000,0.322000,-11.400000,50.700000,140.500000
35038,1598558186,249684,1615.333828400,0.239805500,-0.586000,-0.127000,0.355000,-9.400000,41.200000,113.300000
35039,1598567709,259207,1615.334931600,0.240908700,-0.681000,0.056000,0.408000,-2.500000,29.200000,77.900000
35040,1598577658,269156,1615.349275700,0.255252800,-0.820000,-0.026000,0.395000,-1.000000,18.000000,46.700000
35041,1598587638,279136,1615.363970500,0.269947600,-0.887000,-0.083000,0.372000,-21.900000,12.900000,12.200000
35042,1598596581,288079,1615.364650000,0.270627100,-0.728000,-0.003000,0.359000,-41.400000,1.100000,-0.400000
35043,1598606286,297784,1615.380989200,0.286966300,-0.513000,-0.114000,0.211000,-50.900000,-28.200000,-37.800000
35044,1598616358,307856,1615.386812600,0.292789700,-0.370000,-0.159000,0.071000,-71.300000,-98.600000,-61.300000
35045,1598625758,317256,1615.394033600,0.300010700,-0.578000,-0.051000,0.249000,-74.300000,-125.300000,-83.400000
35046,1598635036,326534,1615.408610200,0.314587300,-0.785000,0.125000,0.559000,-45.700000,-126.200000,-117.000000
35047,1598645230,336728,1615.420493400,0.326470500,-0.879000,0.166000,0.764000,-0.700000,-105.200000,-152.100000
35048,1598654752,346250,1615.423533800,0.329510900,-0.946000,-0.188000,0.700000,29.400000,-62.900000,-165.700000
35049,1598663847,355345,1615.440638700,0.346615800,-0.968000,-0.944000,0.584000,29.600000,-15.300000,-143.800000
35050,1598673461,364959,1615.440649400,0.346626500,-0.822000,-1.180000,0.556000,12.500000,25.500000,-110.900000
35051,1598683502,375000,1615.457900600,0.363877700,-0.616000,-1.222000,0.548000,-1.000000,62.300000,-71.500000
35052,1598693146,384644,1615.461078500,0.367055600,-0.149000,-1.028000,0.216000,-9.100000,87.200000,-43.300000
35053,1598702332,393830,1615.468929000,0.374906100,0.636000,-1.142000,-0.035000,26.500000,-78.400000,-59.100000
35054,1598712587,404085,1615.483698600,0.389675700,-1.374000,-1.550000,-0.130000,-25.300000,-36.900000,32.800000
35055,1598722018,413516,1615.495463100,0.401440200,-0.423000,-0.893000,0.046000,-42.900000,13.600000,19.800000
35056,1598731174,422672,1615.499154300,0.405131400,-0.552000,-0.731000,-0.001000,-48.800000,26.800000,15.400000
35057,1598740788,432286,1615.513975800,0.419952900,-0.660000,-0.752000,-0.001000,-61.500000,75.300000,10.900000
35058,1598750798,442296,1615.521849100,0.427826200,-0.473000,-0.713000,0.097000,-76.700000,88.900000,0.700000
35059,1598760381,451879,1615.529956400,0.435933500,-0.613000,-0.773000,0.157000,-100.800000,104.900000,-4.200000
35060,1598769690,461188,1615.544456600,0.450433700,-0.663000,-0.814000,0.236000,-113.200000,116.300000,2.600000
35061,1598779365,470863,1615.554443800,0.460420900,-0.419000,-0.658000,0.303000,-103.100000,105.600000,-1.800000
35062,1598789375,480873,1615.559507000,0.465484100,-0.279000,-0.430000,0.289000,-71.100000,82.000000,-17.500000
35063,1598798470,489968,1615.573782300,0.479759400,-0.434000,-0.466000,0.212000,-30.700000,62.000000,-33.500000
35064,1598808084,499582,1615.574952700,0.480929800,-0.460000,-0.624000,0.201000,1.700000,48.300000,-44.400000
35065,1598818186,509684,1615.590427600,0.496404700,-0.397000,-0.813000,0.200000,29.100000,27.300000,-58.400000
35066,1598827953,519451,1615.596500400,0.502477500,-0.427000,-1.112000,0.145000,43.900000,6.400000,-61.100000
35067,1598837017,528515,1615.603877000,0.509854100,-0.364000,-1.307000,-0.005000,46.000000,-13.500000,-50.900000
35068,1598847180,538678,1615.619897700,0.525874800,-0.186000,-1.407000,-0.152000,42.600000,-47.100000,-24.500000
35069,1598856733,548231,1615.633747400,0.539724500,-0.356000,-1.453000,-0.096000,36.600000,-89.400000,-6.900000
