meta_label,T
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
33489,323448884,0,339.078100100,0.000000000,-0.390000,-0.889000,0.193000,-15.500000,-10.700000,15.600000
33490,323471255,22371,339.078112900,0.000012800,-0.442000,-0.800000,0.254000,2.300000,-1.600000,4.500000
33491,323475101,26217,339.079331100,0.001231000,-0.442000,-0.800000,0.265000,7.600000,0.500000,3.200000
33492,323478977,30093,339.109563000,0.031462900,-0.432000,-0.807000,0.265000,12.100000,2.300000,0.800000
33493,323501256,52372,339.115100200,0.037000100,-0.363000,-0.930000,0.300000,18.600000,6.900000,-6.600000
33494,323504858,55974,339.116097600,0.037997500,-0.333000,-0.968000,0.294000,17.000000,6.300000,-6.600000
33495,323508825,59941,339.131093900,0.052993800,-0.311000,-0.997000,0.284000,13.900000,5.100000,-7.100000
33496,323531197,82313,339.141336600,0.063236500,-0.294000,-1.018000,0.306000,-6.700000,-3.300000,7.100000
33497,323534890,86006,339.141352600,0.063252500,-0.310000,-1.018000,0.306000,-9.400000,-3.600000,9.900000
33498,323539162,90278,339.153484300,0.075384200,-0.332000,-0.993000,0.332000,-11.200000,-3.200000,11.800000
33499,323553781,104897,339.153883100,0.075783000,-0.382000,-0.928000,0.424000,-14.900000,3.600000,14.800000
33500,323557627,108743,339.170009600,0.091909500,-0.402000,-0.896000,0.424000,-14.900000,7.800000,13.600000
33501,323561869,112985,339.175554800,0.097454700,-0.413000,-0.862000,0.432000,-14.900000,12.000000,10.800000
33502,323576519,127635,339.175951100,0.097851000,-0.383000,-0.773000,0.420000,-12.500000,25.500000,2.000000
33503,323580547,131663,339.198704700,0.120604600,-0.364000,-0.768000,0.413000,-12.500000,29.100000,-2.000000
33504,323598798,149914,339.198715400,0.120615300,-0.286000,-0.854000,0.355000,-14.700000,38.500000,-13.800000
33505,323602613,153729,339.199031600,0.120931500,-0.270000,-0.904000,0.336000,-18.900000,38.500000,-11.500000
33506,323606886,158002,339.220459400,0.142359300,-0.272000,-0.946000,0.318000,-25.200000,40.800000,-12.100000
33507,323621292,172408,339.220751800,0.142651700,-0.256000,-0.908000,0.218000,-47.100000,55.500000,7.500000
33508,323624893,176009,339.224671300,0.146571200,0.565000,-0.257000,-0.223000,-23.200000,42.900000,7.500000
33509,323629166,180282,339.244232800,0.166132700,0.589000,-0.291000,-0.185000,44.500000,-27.000000,3.500000
33510,323643815,194931,339.244243400,0.166143300,0.328000,-0.958000,0.164000,41.100000,-67.600000,4.700000
33511,323647661,198777,339.252036200,0.173936100,-0.256000,-1.053000,0.196000,47.200000,-65.900000,9.900000
33512,323651537,202653,339.267070900,0.188970800,-0.256000,-1.060000,0.214000,43.300000,-61.400000,9.900000
33513,323666309,217425,339.267080100,0.188980000,-0.723000,-0.951000,-0.093000,49.300000,-18.600000,-43.400000
33514,323669910,221026,339.273590300,0.195490200,-0.723000,-1.102000,-0.044000,52.900000,12.000000,-54.900000
33515,323674213,225329,339.295659900,0.217559800,-0.701000,-1.102000,0.008000,56.700000,35.200000,-46.200000
33516,323688802,239918,339.295670700,0.217570600,-0.387000,-1.441000,0.164000,74.400000,99.000000,-4.300000
33517,323692617,243733,339.297062100,0.218962000,-0.387000,-1.441000,0.232000,76.800000,108.300000,13.900000
33518,323696523,247639,339.318139700,0.240039600,-0.189000,-1.547000,0.232000,74.400000,108.400000,28.900000
33519,323718803,269919,339.318907100,0.240807000,0.057000,-1.713000,0.263000,24.300000,58.700000,88.600000
33520,323722435,273551,339.325594100,0.247494000,-0.007000,-1.640000,0.251000,8.000000,58.300000,88.600000
33521,323726677,277793,339.347854800,0.269754700,-0.068000,-1.553000,0.247000,-6.700000,48.900000,98.900000
33522,323741113,292229,339.363980400,0.285880300,-0.179000,-1.157000,0.247000,-47.100000,19.200000,113.600000
33523,323744867,295983,339.363989700,0.285889600,-0.279000,-0.960000,0.254000,-56.200000,10.100000,112.400000
