meta_label,t
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
5858,687864276,0,704.792907100,0.000000000,-0.505000,-0.955000,0.246000,33.000000,1.600000,0.500000
5859,687873432,9156,704.800769500,0.007862400,-0.492000,-0.992000,0.255000,28.400000,-1.900000,5.600000
5860,687883565,19289,704.815865500,0.022958400,-0.504000,-0.980000,0.285000,25.100000,-5.600000,9.300000
5861,687893057,28781,704.824966400,0.032059300,-0.507000,-0.968000,0.334000,26.100000,-7.100000,13.800000
5862,687902243,37967,704.830554900,0.037647800,-0.522000,-0.914000,0.380000,31.600000,-5.800000,17.700000
5863,687911888,47612,704.846253600,0.053346500,-0.515000,-0.830000,0.427000,42.400000,-0.100000,17.000000
5864,687921929,57653,704.852982300,0.060075200,-0.557000,-0.705000,0.479000,57.100000,12.800000,14.900000
5865,687931451,67175,704.863004700,0.070097600,-0.537000,-0.629000,0.494000,73.800000,40.700000,6.600000
5866,687940668,76392,704.875827300,0.082920200,-0.439000,-0.636000,0.477000,86.300000,55.800000,-10.000000
5867,687950312,86036,704.877331700,0.084424600,0.332000,-1.175000,-0.383000,7.100000,-24.900000,49.000000
5868,687960323,96047,704.890813200,0.097906100,-0.353000,-0.739000,0.167000,-14.900000,-34.500000,28.400000
5869,687969815,105539,704.901060100,0.108153000,-0.166000,-0.736000,0.247000,-11.900000,-47.400000,46.300000
5870,687979184,114908,704.905412200,0.112505100,-0.169000,-0.368000,0.204000,0.200000,-59.400000,28.200000
5871,687989195,124919,704.921774800,0.128867700,-0.857000,-0.833000,-0.161000,-22.700000,-43.500000,26.800000
5872,687998900,134624,704.928183200,0.135276100,-0.596000,-0.381000,0.010000,-67.600000,9.400000,40.400000
5873,688007995,143719,704.939658800,0.146751700,-0.318000,0.041000,0.139000,-55.200000,17.500000,19.500000
5874,688017639,153363,704.950652900,0.157745800,-0.460000,0.007000,0.088000,-35.200000,31.600000,-5.300000
5875,688027711,163435,704.958547900,0.165640800,-0.422000,-0.175000,0.110000,-15.600000,41.700000,-35.900000
5876,688037203,172927,704.965566800,0.172659700,-0.558000,-0.589000,0.068000,-12.300000,54.400000,-39.300000
5877,688046420,182144,704.980906600,0.187999500,-0.660000,-0.970000,0.075000,-34.500000,74.600000,-29.100000
5878,688056369,192093,704.988115300,0.195208200,-0.638000,-1.164000,0.139000,-69.600000,95.200000,-13.500000
5879,688066136,201860,704.996525900,0.203618800,-0.555000,-1.149000,0.239000,-104.800000,90.900000,-3.000000
5880,688075261,210985,705.014077300,0.221170200,-0.437000,-1.015000,0.308000,-96.000000,72.200000,-0.700000
5881,688084936,220660,705.016833500,0.223926400,-0.654000,-1.116000,0.230000,-87.300000,63.000000,3.700000
