meta_label,t
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
42148,2297049955,0,2313.710888200,0.000000000,-0.648000,-0.774000,0.190000,11.700000,-2.200000,-42.000000
42149,2297059019,9064,2313.711174900,0.000286700,-0.581000,-0.772000,0.190000,23.400000,-5.800000,-45.800000
42150,2297068847,18892,2313.711670500,0.000782300,-0.513000,-0.790000,0.179000,41.000000,-15.500000,-48.800000
42151,2297078705,28750,2313.732880700,0.021992500,-0.495000,-0.862000,0.190000,57.100000,-27.200000,-47.800000
42152,2297087861,37906,2313.746232100,0.035343900,-0.548000,-0.940000,0.218000,67.600000,-34.800000,-43.500000
42153,2297097474,47519,2313.755751200,0.044863000,-0.581000,-0.956000,0.262000,72.200000,-37.100000,-44.400000
42154,2297107638,57683,2313.763765600,0.052877400,-0.563000,-0.941000,0.343000,77.200000,-37.800000,-39.900000
42155,2297117099,67144,2313.763776800,0.052888600,-0.647000,-0.957000,0.414000,77.900000,-31.100000,-33.800000
42156,2297126316,76361,2313.782909500,0.072021300,-0.714000,-0.961000,0.483000,72.900000,-12.700000,-30.200000
42157,2297135930,85975,2313.786140100,0.075251900,-0.731000,-0.964000,0.510000,62.400000,27.300000,-23.500000
42158,2297145940,95985,2313.793205900,0.082317700,-0.769000,-0.957000,0.503000,32.800000,66.700000,-12.300000
42159,2297155310,105355,2313.808346300,0.097458100,-0.081000,-1.176000,-0.204000,-19.000000,-18.600000,34.900000
42160,2297164771,114816,2313.808567700,0.097679500,0.024000,-0.402000,0.003000,-13.900000,-60.000000,15.700000
42161,2297174720,124765,2313.823154900,0.112266700,-0.599000,-0.781000,0.196000,-17.400000,-56.700000,67.500000
42162,2297184670,134715,2313.831033100,0.120144900,-0.517000,-0.255000,0.075000,7.700000,-46.200000,32.300000
42163,2297193643,143688,2313.839549100,0.128660900,-0.956000,-0.504000,-0.106000,-22.600000,-6.200000,32.800000
42164,2297203226,153271,2313.853544200,0.142656000,-0.715000,-0.258000,0.005000,-39.000000,39.900000,8.400000
42165,2297213328,163373,2313.861543800,0.150655600,-0.458000,-0.173000,0.131000,-20.800000,52.500000,-15.500000
42166,2297222789,172834,2313.868494400,0.157606200,-0.708000,-0.491000,0.065000,-5.400000,64.700000,-35.700000
42167,2297232129,182174,2313.890476000,0.179587800,-0.818000,-0.784000,0.096000,-17.600000,90.400000,-35.900000
42168,2297242231,192276,2313.892707800,0.181819600,-0.744000,-0.910000,0.171000,-36.900000,105.700000,-21.300000
42169,2297251875,201920,2313.897939800,0.187051600,-0.730000,-0.966000,0.239000,-50.900000,110.500000,-12.000000
42170,2297260909,210954,2313.915851800,0.204963600,-0.659000,-0.974000,0.283000,-55.900000,100.300000,-10.100000
42171,2297270523,220568,2313.915861000,0.204972800,-0.665000,-0.987000,0.267000,-57.500000,87.500000,-13.100000
42172,2297280625,230670,2313.930140300,0.219252100,-0.683000,-0.935000,0.260000,-49.400000,71.800000,-24.200000
42173,2297290208,240253,2313.938797500,0.227909300,-0.654000,-0.892000,0.213000,-28.900000,48.700000,-39.000000
42174,2297299395,249440,2313.943133200,0.232245000,-0.668000,-0.923000,0.136000,-4.700000,23.500000,-54.600000
42175,2297309375,259420,2313.958346200,0.247458000,-0.526000,-1.049000,-0.047000,16.200000,-18.400000,-61.100000
42176,2297318989,269034,2313.965907800,0.255019600,-0.224000,-1.140000,-0.158000,40.600000,-87.500000,-51.300000
42177,2297328236,278281,2313.974995000,0.264106800,-0.591000,-1.338000,0.024000,52.400000,-140.200000,-37.900000
42178,2297337850,287895,2313.991980700,0.281092500,-0.817000,-1.340000,0.291000,52.000000,-161.000000,-26.600000
42179,2297347921,297966,2313.996718500,0.285830300,-0.927000,-1.242000,0.470000,48.400000,-158.000000,-16.600000
42180,2297357352,307397,2314.013802400,0.302914200,-1.084000,-1.145000,0.555000,36.400000,-116.800000,-12.700000
42181,2297366661,316706,2314.018202400,0.307314200,-0.996000,-1.006000,0.664000,19.600000,-60.500000,-16.100000
42182,2297376397,326442,2314.025583100,0.314694900,-0.820000,-0.847000,0.734000,14.800000,-7.400000,-25.000000
42183,2297386468,336513,2314.040399700,0.329511500,-0.753000,-0.819000,0.720000,13.600000,79.300000,-25.600000
42184,2297395594,345639,2314.041422800,0.330534600,-0.428000,-0.719000,0.719000,27.600000,118.800000,-35.500000
42185,2297405146,355191,2314.050582200,0.339694000,0.440000,-1.091000,-0.146000,-24.900000,-19.400000,39.600000
42186,2297415432,365477,2314.062879100,0.351990900,0.007000,-0.826000,-0.234000,-48.300000,-37.000000,91.700000
42187,2297424801,374846,2314.070319000,0.359430800,-1.092000,-0.004000,-0.010000,-28.800000,-6.200000,122.300000
42188,2297434018,384063,2314.086744000,0.375855800,-0.253000,-0.406000,-0.088000,67.400000,1.400000,71.700000
42189,2297443815,393860,2314.093134100,0.382245900,-0.726000,-0.442000,-0.118000,81.700000,34.600000,54.700000
42190,2297453734,403779,2314.105409200,0.394521000,-0.568000,-0.703000,0.037000,95.400000,62.800000,35.400000
42191,2297462890,412935,2314.125247800,0.414359600,-0.603000,-0.945000,0.062000,90.900000,76.800000,26.500000
42192,2297472504,422549,2314.125256700,0.414368500,-0.673000,-1.255000,0.091000,74.600000,96.000000,38.700000
42193,2297482728,432773,2314.130975200,0.420087000,-0.528000,-1.299000,0.147000,40.400000,103.300000,71.800000
42194,2297492159,442204,2314.145583200,0.434695000,-0.354000,-1.125000,0.213000,9.400000,87.700000,70.500000
42195,2297501346,451391,2314.146038900,0.435150700,-0.295000,-0.797000,0.252000,-8.100000,66.700000,58.600000
42196,2297510929,460974,2314.153139700,0.442251500,-0.336000,-0.579000,0.237000,-8.300000,43.900000,45.700000
42197,2297520970,471015,2314.168407600,0.457519400,-0.374000,-0.491000,0.164000,9.200000,18.600000,32.800000
42198,2297530370,480415,2314.176091400,0.465203200,-0.289000,-0.495000,-0.090000,19.300000,-20.800000,24.800000
42199,2297539740,489785,2314.183745000,0.472856800,-0.394000,-0.583000,-0.138000,17.000000,-56.800000,23.700000
42200,2297549933,499978,2314.201381600,0.490493400,-0.764000,-0.616000,-0.058000,7.000000,-69.900000,17.300000
42201,2297559608,509653,2314.214675900,0.503787700,-0.865000,-0.522000,0.030000,0.400000,-76.700000,5.400000
42202,2297568612,518657,2314.214686300,0.503798100,-0.926000,-0.503000,0.072000,-3.700000,-78.600000,-9.200000
42203,2297578256,528301,2314.228559000,0.517670800,-0.962000,-0.541000,0.100000,-7.900000,-71.300000,-23.600000
42204,2297588205,538250,2314.238690600,0.527802400,-0.875000,-0.591000,0.117000,-12.700000,-64.600000,-35.800000
42205,2297597728,547773,2314.243591300,0.532703100,-0.851000,-0.687000,0.137000,-17.700000,-60.300000,-40.300000
42206,2297607097,557142,2314.258210300,0.547322100,-0.874000,-0.790000,0.184000,-26.400000,-51.000000,-37.800000
42207,2297617047,567092,2314.265719800,0.554831600,-0.823000,-0.831000,0.240000,-35.800000,-38.900000,-31.100000
42208,2297626783,576828,2314.273954200,0.563066000,-0.734000,-0.811000,0.289000,-41.500000,-24.400000,-28.800000
42209,2297635878,585923,2314.288278800,0.577390600,-0.671000,-0.793000,0.329000,-38.000000,-17.800000,-26.800000
42210,2297645522,595567,2314.288790100,0.577901900,-0.608000,-0.829000,0.315000,-27.800000,-13.400000,-27.800000
42211,2297655441,605486,2314.303202600,0.592314400,-0.545000,-0.881000,0.255000,-24.800000,-12.200000,-26.100000
42212,2297665207,615252,2314.314292900,0.603404700,-0.514000,-0.945000,0.222000,-24.900000,-12.100000,-19.800000
42213,2297674394,624439,2314.317883700,0.606995500,-0.515000,-0.963000,0.206000,-27.900000,-11.200000,-12.500000
42214,2297684618,634663,2314.334382900,0.623494700,-0.513000,-0.923000,0.204000,-29.600000,-11.100000,-6.500000
42215,2297694171,644216,2314.341016800,0.630128600,-0.498000,-0.878000,0.219000,-29.600000,-10.900000,-3.400000
42216,2297703266,653311,2314.349480400,0.638592200,-0.504000,-0.852000,0.224000,-28.300000,-10.200000,-5.300000
42217,2297712849,662894,2314.363324600,0.652436400,-0.500000,-0.829000,0.221000,-26.800000,-10.700000,-7.500000
42218,2297722951,672996,2314.378102000,0.667213800,-0.502000,-0.825000,0.218000,-25.600000,-11.300000,-15.700000
42219,2297732260,682305,2314.378535100,0.667646900,-0.519000,-0.828000,0.207000,-25.300000,-11.800000,-17.500000
42220,2297741660,691705,2314.401196600,0.690308400,-0.523000,-0.840000,0.197000,-25.900000,-12.700000,-16.700000
42221,2297755394,705439,2314.401206200,0.690318000,-0.535000,-0.850000,0.203000,-26.500000,-16.200000,-15.700000
42222,2297761345,711390,2314.413390800,0.702502600,-0.548000,-0.862000,0.207000,-27.200000,-17.500000,-13.300000
42223,2297770532,720577,2314.423911500,0.713023300,-0.585000,-0.895000,0.213000,-30.300000,-17.400000,-7.000000
42224,2297780146,730191,2314.430421400,0.719533200,-0.620000,-0.905000,0.231000,-34.500000,-15.300000,0.200000
