meta_label,t
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
46252,446123444,0,461.705926700,0.000000000,-0.606000,-0.902000,0.248000,10.500000,-7.900000,4.900000
46253,446133516,10072,461.712377900,0.006451200,-0.622000,-0.903000,0.287000,11.700000,-6.300000,19.600000
46254,446142855,19411,461.725338500,0.019411800,-0.614000,-0.910000,0.336000,11.200000,-3.800000,23.100000
46255,446152347,28903,461.735259000,0.029332300,-0.585000,-0.891000,0.362000,11.400000,-0.900000,18.200000
46256,446162357,38913,461.742832400,0.036905700,-0.567000,-0.893000,0.376000,11.500000,1.300000,23.300000
46257,446172063,48619,461.749984400,0.044057700,-0.573000,-0.911000,0.378000,8.700000,4.500000,26.400000
46258,446181127,57683,461.765469600,0.059542900,-0.560000,-0.876000,0.409000,7.100000,10.200000,25.000000
46259,446190741,67297,461.765755700,0.059829000,-0.516000,-0.836000,0.482000,5.100000,19.400000,21.600000
46260,446200751,77307,461.780053500,0.074126800,-0.504000,-0.683000,0.518000,8.400000,34.000000,18.900000
46261,446210335,86891,461.787446700,0.081520000,0.030000,-0.789000,-0.068000,14.100000,50.600000,13.000000
46262,446219552,96108,461.797785700,0.091859000,-0.106000,-0.894000,0.207000,-28.200000,-35.200000,-2.700000
46263,446229715,106271,461.810409500,0.104482800,0.780000,-0.455000,0.224000,-9.700000,-69.600000,79.800000
46264,446239268,115824,461.818427500,0.112500800,-0.366000,-0.789000,0.244000,-4.100000,-98.700000,63.800000
46265,446248424,124980,461.824856100,0.118929400,-0.088000,-0.203000,0.241000,7.000000,-106.500000,47.100000
46266,446258099,134655,461.839795900,0.133869200,-0.820000,-0.433000,-0.010000,21.900000,-97.400000,12.100000
46267,446268140,144696,461.848829400,0.142902700,-1.230000,-0.930000,-0.062000,-20.500000,-10.000000,6.000000
46268,446277631,154187,461.854732400,0.148805700,-1.099000,-0.400000,0.129000,-53.600000,31.400000,12.500000
46269,446286879,163435,461.876163600,0.170236900,-1.079000,-0.221000,0.180000,-46.000000,64.100000,-9.100000
46270,446296950,173506,461.878157100,0.172230400,-0.969000,-0.296000,0.203000,-21.400000,86.900000,-34.900000
46271,446306595,183151,461.888118000,0.182191300,-0.873000,-0.578000,0.237000,-18.200000,102.900000,-44.100000
46272,446315781,192337,461.900221500,0.194294800,-0.807000,-0.903000,0.264000,-31.000000,111.700000,-37.200000
46273,446325395,201951,461.900551900,0.194625200,-0.608000,-1.020000,0.283000,-42.100000,104.700000,-29.400000
46274,446335375,211931,461.914982000,0.209055300,-0.491000,-1.133000,0.266000,-53.300000,89.400000,-18.400000
46275,446345294,221850,461.922503500,0.216576800,-0.470000,-1.141000,0.264000,-67.800000,74.800000,-2.000000
46276,446354175,230731,461.930566200,0.224639500,-0.510000,-1.155000,0.240000,-68.600000,54.300000,9.700000
46277,446364247,240803,461.949620800,0.243694100,-0.602000,-1.131000,0.212000,-69.300000,38.900000,20.600000
46278,446373983,250539,461.952455300,0.246528600,-0.636000,-0.924000,0.204000,-55.800000,23.600000,23.000000
46279,446383047,259603,461.968906800,0.262980100,-0.728000,-0.735000,0.171000,-18.700000,9.200000,17.200000
