meta_label,U
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
11758,1374720905,0,1380.836215500,0.000000000,-0.485000,-0.791000,-0.137000,-4.300000,-1.900000,-14.000000
11759,1374730977,10072,1380.846677400,0.010461900,-0.521000,-0.820000,-0.100000,6.200000,-13.200000,-13.800000
11760,1374740285,19380,1380.851443500,0.015228000,-0.580000,-0.828000,-0.057000,9.700000,-13.300000,-12.900000
11761,1374749777,28872,1380.867044600,0.030829100,-0.611000,-0.811000,-0.024000,13.900000,-10.800000,-14.000000
11762,1374759971,39066,1380.873969700,0.037754200,-0.608000,-0.783000,0.012000,19.200000,-7.500000,-19.800000
11763,1374769493,48588,1380.883998300,0.047782800,-0.605000,-0.811000,0.013000,23.400000,-5.100000,-25.200000
11764,1374778618,57713,1380.897164200,0.060948700,-0.609000,-0.875000,0.013000,24.000000,-3.500000,-28.900000
11765,1374788293,67388,1380.897176200,0.060960700,-0.577000,-0.934000,0.007000,21.000000,-3.500000,-29.200000
11766,1374798243,77338,1380.911377100,0.075161600,-0.531000,-0.959000,-0.005000,18.500000,-8.100000,-23.000000
11767,1374807826,86921,1380.921544200,0.085328700,-0.501000,-0.948000,0.000000,17.600000,-14.800000,-14.700000
11768,1374817043,96138,1380.926243300,0.090027800,-0.491000,-0.921000,0.028000,17.200000,-19.800000,-7.200000
11769,1374827298,106393,1380.943672600,0.107457100,-0.490000,-0.872000,0.069000,19.300000,-21.700000,2.200000
11770,1374836729,115824,1380.948741400,0.112525900,-0.513000,-0.799000,0.131000,24.500000,-18.600000,6.200000
11771,1374845915,125010,1380.959876000,0.123660500,-0.519000,-0.724000,0.210000,37.200000,-10.800000,1.100000
11772,1374855590,134685,1380.971126300,0.134910800,-0.515000,-0.685000,0.266000,53.700000,8.100000,-6.100000
11773,1374865539,144634,1380.979721400,0.143505900,-0.500000,-0.733000,0.284000,71.900000,23.200000,-17.700000
11774,1374875092,154187,1380.985724300,0.149508800,-0.525000,-0.854000,0.254000,69.100000,42.300000,-24.000000
11775,1374884370,163465,1381.001460500,0.165245000,-0.541000,-0.939000,0.259000,61.300000,62.500000,-22.300000
11776,1374894381,173476,1381.008777300,0.172561800,-0.501000,-1.015000,0.247000,51.300000,80.100000,-16.500000
11777,1374904208,183303,1381.017393100,0.181177600,-0.459000,-1.019000,0.198000,40.600000,93.200000,-4.100000
11778,1374913212,192307,1381.039021300,0.202805800,0.338000,-1.154000,-0.430000,12.900000,19.000000,42.100000
11779,1374922764,201859,1381.039485100,0.203269600,-0.321000,-1.156000,0.012000,-3.000000,-7.800000,37.100000
11780,1374932897,211992,1381.046122700,0.209907200,-0.608000,-0.511000,-0.006000,-1.700000,4.700000,68.800000
11781,1374942480,221575,1381.061326700,0.225111200,-0.179000,-0.482000,0.111000,28.100000,7.900000,39.300000
11782,1374951667,230762,1381.061549400,0.225333900,-0.342000,-0.572000,0.025000,31.600000,0.000000,15.000000
11783,1374961861,240956,1381.076064600,0.239849100,-0.703000,-0.735000,-0.052000,5.900000,29.900000,-6.000000
11784,1374971566,250661,1381.084180500,0.247965000,-0.454000,-0.691000,0.051000,-23.400000,56.100000,-14.200000
11785,1374980508,259603,1381.092001200,0.255785700,-0.530000,-0.733000,0.023000,-29.900000,71.700000,-14.600000
11786,1374990122,269217,1381.106753500,0.270538000,-0.393000,-0.740000,0.041000,-40.000000,75.400000,-12.600000
11787,1375000346,279441,1381.113731200,0.277515700,-0.134000,-0.688000,0.067000,-29.500000,61.000000,-19.600000
11788,1375009807,288902,1381.121658900,0.285443400,-0.135000,-0.847000,0.023000,-21.300000,47.900000,-25.200000
11789,1375019024,298119,1381.136289700,0.300074200,-0.223000,-0.914000,0.007000,-18.100000,41.100000,-23.800000
11790,1375028821,307916,1381.144317600,0.308102100,-0.102000,-0.951000,0.036000,-4.600000,22.300000,-24.600000
11791,1375038710,317805,1381.151227900,0.315012400,-0.254000,-1.121000,-0.001000,11.100000,1.700000,-26.200000
11792,1375047805,326900,1381.172079300,0.335863800,-0.496000,-1.302000,-0.027000,16.300000,-2.600000,-19.700000
11793,1375057419,336514,1381.172088700,0.335873200,-0.571000,-1.427000,-0.002000,14.300000,-3.000000,-12.700000
11794,1375067490,346585,1381.182825600,0.346610100,-0.714000,-1.494000,0.012000,8.400000,-2.900000,1.800000
11795,1375077104,356199,1381.189335100,0.353119600,-0.828000,-1.465000,0.019000,3.200000,2.400000,11.600000
11796,1375086291,365386,1381.196405300,0.360189800,-0.873000,-1.389000,0.036000,3.600000,8.800000,22.100000
11797,1375095874,374969,1381.211502800,0.375287300,-0.901000,-1.292000,0.064000,11.100000,13.000000,27.400000
11798,1375105945,385040,1381.220544800,0.384329300,-0.909000,-1.224000,0.103000,28.000000,11.200000,30.600000
