meta_label,U
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
15394,149423814,0,204.413994900,0.000000000,-0.335000,-0.940000,0.128000,6.300000,4.900000,-5.100000
15395,149433366,9552,204.414774300,0.000779400,-0.323000,-0.944000,0.139000,6.100000,4.500000,-6.700000
15396,149443285,19471,204.438164800,0.024169900,-0.323000,-0.912000,0.177000,10.900000,6.000000,-5.500000
15397,149453784,29970,204.438175200,0.024180300,-0.325000,-0.945000,0.255000,24.700000,7.400000,-3.000000
15398,149462269,38455,204.444934500,0.030939600,-0.345000,-0.966000,0.267000,32.000000,12.100000,-4.200000
15399,149471852,48038,204.467000000,0.053005100,-0.382000,-0.997000,0.283000,34.300000,22.200000,-3.400000
15400,149481802,57988,204.474150600,0.060155700,-0.407000,-1.008000,0.301000,34.100000,34.900000,-2.300000
15401,149491354,67540,204.474854100,0.060859200,-0.390000,-1.014000,0.272000,31.800000,49.400000,-2.600000
15402,149500694,76880,204.504317100,0.090322200,-0.199000,-1.190000,-0.327000,-18.600000,-33.600000,43.300000
15403,149513787,89973,204.505255900,0.091261000,0.032000,-1.020000,0.079000,-18.200000,-22.400000,49.600000
15404,149520287,96473,204.511582000,0.097587100,-0.563000,-1.119000,0.048000,-21.400000,-22.900000,50.800000
15405,149529688,105874,204.526921600,0.112926700,-0.506000,-0.769000,0.075000,-23.200000,-0.200000,43.100000
15406,149543757,119943,204.527281900,0.113287000,-0.176000,-0.553000,0.099000,0.100000,-10.100000,7.300000
15407,149549281,125467,204.549625200,0.135630300,-0.283000,-0.798000,0.075000,2.500000,-12.800000,-16.900000
15408,149558682,134868,204.549992300,0.135997400,-0.945000,-1.272000,-0.089000,-57.400000,40.000000,8.900000
15409,149567960,144146,204.564775700,0.150780800,-0.663000,-0.810000,-0.006000,-108.800000,71.100000,20.500000
15410,149578001,154187,204.576857200,0.162862300,-0.228000,-0.347000,0.036000,-100.300000,77.900000,4.600000
15411,149589049,165235,204.579544100,0.165549200,0.000000,-0.227000,-0.023000,-63.200000,74.200000,-19.700000
15412,149596954,173140,204.596223300,0.182228400,-0.054000,-0.536000,-0.082000,-40.100000,74.200000,-36.900000
15413,149611329,187515,204.596231700,0.182236800,-0.181000,-0.801000,-0.088000,-27.200000,86.500000,-38.700000
15414,149616670,192856,204.601905700,0.187910800,-0.013000,-0.845000,-0.080000,-19.600000,84.200000,-38.400000
15415,149626039,202225,204.617181100,0.203186200,0.120000,-0.951000,-0.087000,3.100000,69.200000,-37.300000
15416,149635378,211564,204.617462300,0.203467400,0.025000,-1.198000,-0.122000,27.800000,50.700000,-33.700000
15417,149645297,221483,204.633928700,0.219933800,-0.148000,-1.470000,-0.140000,39.900000,41.600000,-17.700000
15418,149655094,231280,204.639216400,0.225221500,-0.237000,-1.638000,-0.123000,44.900000,36.000000,14.900000
15419,149664159,240345,204.648238500,0.234243600,-0.334000,-1.751000,-0.090000,48.600000,28.800000,33.500000
15420,149673772,249958,204.661793200,0.247798300,-0.454000,-1.829000,-0.060000,49.800000,21.900000,49.600000
15421,149683905,260091,204.671969000,0.257974100,-0.509000,-1.873000,-0.010000,46.800000,6.300000,65.400000
15422,149693366,269552,204.676731700,0.262736800,-0.554000,-1.901000,0.040000,39.300000,-9.800000,82.000000
15423,149702583,278769,204.693900500,0.279905600,-0.585000,-1.855000,0.076000,30.200000,-28.300000,99.200000
15424,149712411,288597,204.699454100,0.285459200,-0.613000,-1.707000,0.117000,22.700000,-45.400000,112.400000
15425,149722269,298455,204.710607500,0.296612600,-0.736000,-1.355000,0.147000,14.300000,-54.700000,116.200000
15426,149731455,307641,204.722950200,0.308955300,-0.781000,-0.985000,0.199000,4.600000,-61.800000,106.400000
15427,149741130,317316,204.722969800,0.308974900,-0.784000,-0.495000,0.226000,2.300000,-66.200000,82.400000
15428,149751049,327235,204.737401500,0.323406600,-0.785000,-0.134000,0.203000,9.400000,-64.200000,44.500000
15429,149760877,337063,204.748004700,0.334009800,-0.734000,0.101000,0.172000,17.800000,-51.800000,1.200000
15430,149769910,346096,204.752236300,0.338241400,-0.608000,0.165000,0.119000,31.500000,-37.900000,-40.900000
15431,149779463,355649,204.767276900,0.353282000,-0.444000,0.000000,0.019000,42.200000,-24.000000,-70.700000
15432,149789504,365690,204.774576900,0.360582000,-0.084000,-0.147000,-0.162000,50.600000,-23.900000,-78.400000
15433,149798904,375090,204.785945900,0.371951000,0.154000,-0.727000,-0.752000,44.500000,-70.700000,-43.300000
15434,149808335,384521,204.797050600,0.383055700,-0.016000,-1.126000,-0.749000,-2.000000,-96.700000,11.800000
15435,149818376,394562,204.804919600,0.390924700,-0.266000,-1.136000,-0.292000,-60.000000,-96.800000,43.600000
15436,149828143,404329,204.811857300,0.397862400,-0.554000,-0.939000,0.064000,-75.600000,-72.700000,52.000000
15437,149837207,413393,204.827367000,0.413372100,-0.528000,-0.629000,0.055000,-73.500000,-49.800000,43.200000
