meta_label,U
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
54903,1159502563,0,1164.256337200,0.000000000,-0.215000,-1.054000,0.058000,1.800000,-0.100000,-8.500000
54904,1159506592,4029,1164.263330900,0.006993700,-0.222000,-1.051000,0.063000,1.000000,-1.200000,-6.300000
54905,1159521455,18892,1164.278570100,0.022232900,-0.236000,-1.016000,0.087000,1.100000,-1.900000,-1.700000
54906,1159525179,22616,1164.290756500,0.034419300,-0.237000,-1.009000,0.099000,2.500000,-2.300000,-0.900000
54907,1159543979,41416,1164.301004900,0.044667700,-0.258000,-1.049000,0.149000,8.100000,-1.000000,-1.200000
54908,1159547672,45109,1164.315943900,0.059606700,-0.258000,-1.063000,0.163000,8.600000,-0.400000,-1.100000
54909,1159566472,63909,1164.316365300,0.060028100,-0.285000,-1.046000,0.208000,9.000000,4.600000,0.000000
54910,1159570165,67602,1164.338333100,0.081995900,-0.285000,-1.046000,0.217000,9.500000,6.200000,1.000000
54911,1159588813,86250,1164.338680000,0.082342800,-0.291000,-0.989000,0.267000,11.000000,14.000000,2.800000
54912,1159592567,90004,1164.339651400,0.083314200,-0.291000,-0.989000,0.267000,12.200000,15.400000,1.900000
54913,1159596534,93971,1164.366777300,0.110440100,-0.281000,-0.977000,0.275000,12.200000,16.300000,1.200000
54914,1159618814,116251,1164.369341100,0.113003900,-0.284000,-1.045000,0.269000,9.800000,19.700000,6.300000
54915,1159622660,120097,1164.375689700,0.119352500,-0.296000,-1.076000,0.265000,2.900000,21.500000,4.600000
54916,1159626780,124217,1164.383978500,0.127641300,-0.264000,-1.093000,0.179000,-5.900000,23.600000,8.200000
54917,1159641551,138988,1164.383986100,0.127648900,-0.148000,-1.006000,0.154000,-28.800000,-51.000000,41.800000
54918,1159645580,143017,1164.406386500,0.150049300,-0.353000,-1.079000,0.038000,-38.400000,-47.700000,46.900000
54919,1159663770,161207,1164.413733800,0.157396600,-0.186000,-0.363000,0.073000,-25.000000,-18.800000,43.300000
54920,1159667615,165052,1164.414000100,0.157662900,-0.186000,-0.332000,0.068000,-17.000000,-16.900000,29.900000
54921,1159671675,169112,1164.429671600,0.173334400,-0.240000,-0.330000,0.055000,-10.600000,-13.500000,14.700000
54922,1159686324,183761,1164.429680100,0.173342900,-0.392000,-0.451000,0.020000,-17.000000,6.200000,-19.400000
54923,1159690170,187607,1164.437369900,0.181032700,-0.390000,-0.451000,0.005000,-17.700000,14.700000,-32.000000
54924,1159694259,191696,1164.450839000,0.194501800,-0.337000,-0.419000,0.008000,-17.800000,22.600000,-44.100000
54925,1159708787,206224,1164.451189200,0.194852000,-0.267000,-0.566000,-0.092000,-30.700000,51.700000,-76.900000
54926,1159712602,210039,1164.452500300,0.196163100,-0.243000,-0.664000,-0.092000,-30.700000,60.400000,-79.000000
54927,1159716844,214281,1164.477358700,0.221021500,-0.158000,-0.720000,-0.088000,-39.800000,66.000000,-79.300000
54928,1159731280,228717,1164.477370200,0.221033000,0.184000,-0.980000,-0.080000,-65.700000,68.100000,-73.400000
54929,1159734882,232319,1164.477543100,0.221205900,0.213000,-1.109000,-0.079000,-65.700000,68.100000,-62.400000
54930,1159739307,236744,1164.506658700,0.250321500,0.256000,-1.158000,-0.059000,-69.800000,65.200000,-49.000000
