meta_label,u
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
23831,230545852,0,247.561764500,0.000000000,-0.708000,-0.519000,0.273000,-26.300000,19.800000,-40.000000
23832,230555160,9308,247.562248500,0.000484000,-0.701000,-0.558000,0.254000,-23.600000,22.600000,-44.200000
23833,230565079,19227,247.576563200,0.014798700,-0.685000,-0.604000,0.231000,-22.200000,25.100000,-49.900000
23834,230574815,28963,247.585177400,0.023412900,-0.607000,-0.640000,0.184000,-21.300000,24.300000,-51.300000
23835,230584002,38150,247.593120400,0.031355900,-0.587000,-0.695000,0.168000,-22.200000,20.700000,-51.200000
23836,230594134,48282,247.609746100,0.047981600,-0.589000,-0.720000,0.161000,-23.900000,17.700000,-49.400000
23837,230603717,57865,247.614029000,0.052264500,-0.581000,-0.726000,0.179000,-23.000000,16.300000,-46.600000
23838,230612873,67021,247.623562800,0.061798300,-0.560000,-0.736000,0.169000,-17.400000,15.400000,-43.100000
23839,230622426,76574,247.636697700,0.074933200,-0.533000,-0.791000,0.147000,-12.000000,13.800000,-37.600000
23840,230632437,86585,247.651332200,0.089567700,-0.508000,-0.850000,0.151000,-10.400000,10.100000,-27.900000
23841,230642112,96260,247.651847300,0.090082800,-0.496000,-0.877000,0.166000,-7.500000,3.300000,-21.800000
23842,230651329,105477,247.668050900,0.106286400,-0.478000,-0.866000,0.195000,-7.200000,-0.600000,-19.200000
23843,230661156,115304,247.674361200,0.112596700,-0.482000,-0.840000,0.212000,0.000000,-1.600000,-16.100000
23844,230670953,125101,247.685729900,0.123965400,-0.509000,-0.808000,0.289000,6.800000,2.300000,-15.000000
23845,230680109,134257,247.696734600,0.134970100,-0.509000,-0.786000,0.310000,11.600000,11.200000,-22.500000
23846,230689753,143901,247.697598700,0.135834200,-0.460000,-0.642000,-0.468000,14.100000,7.300000,-22.900000
23847,230699703,153851,247.711964100,0.150199600,0.016000,-1.004000,0.202000,23.300000,-49.800000,-19.600000
23848,230709561,163709,247.724752800,0.162988300,-0.781000,-1.011000,0.089000,8.000000,-45.900000,14.800000
23849,230718625,172773,247.727192900,0.165428400,-0.711000,-1.065000,0.083000,-3.800000,-18.000000,8.500000
23850,230728209,182357,247.742506400,0.180741900,-0.717000,-1.074000,0.030000,-36.400000,1.900000,19.400000
23851,230738341,192489,247.749372700,0.187608200,-0.792000,-1.059000,0.036000,-74.700000,31.500000,31.700000
23852,230747711,201859,247.757101500,0.195337000,-0.639000,-0.839000,0.116000,-96.600000,54.300000,32.900000
23853,230757080,211228,247.772038700,0.210274200,-0.597000,-0.666000,0.142000,-93.500000,68.700000,24.200000
23854,230767183,221331,247.781365100,0.219600600,-0.624000,-0.690000,0.145000,-86.900000,85.700000,15.400000
23855,230776888,231036,247.786743000,0.224978500,-0.518000,-0.671000,0.160000,-71.100000,86.200000,7.500000
23856,230785861,240009,247.801910200,0.240145700,-0.400000,-0.675000,0.151000,-47.800000,76.600000,1.300000
23857,230795505,249653,247.801920100,0.240155600,-0.349000,-0.703000,0.138000,-14.500000,59.800000,-0.200000
23858,230805577,259725,247.818112800,0.256348300,-0.320000,-0.822000,0.120000,16.100000,37.400000,-1.400000
23859,230815068,269216,247.824301400,0.262536900,-0.514000,-1.160000,0.091000,31.100000,22.600000,4.100000
23860,230824408,278556,247.836871600,0.275107100,-0.574000,-1.273000,0.093000,35.300000,13.000000,14.900000
23861,230834632,288780,247.855982700,0.294218200,-0.549000,-1.246000,0.104000,39.000000,2.900000,26.000000
23862,230844062,298210,247.855992100,0.294227600,-0.445000,-1.108000,0.134000,49.900000,-12.900000,33.300000
23863,230853341,307489,247.862314500,0.300550000,-0.449000,-0.979000,0.174000,69.600000,-33.500000,32.800000
23864,230862832,316980,247.877007700,0.315243200,-0.549000,-0.970000,0.198000,83.500000,-50.200000,27.000000
23865,230872934,327082,247.884192800,0.322428300,-0.642000,-0.917000,0.220000,89.200000,-62.800000,16.000000
23866,230882487,336635,247.894611500,0.332847000,-0.645000,-0.851000,0.242000,90.400000,-69.200000,9.900000
23867,230891704,345852,247.908894500,0.347130000,-0.680000,-0.801000,0.231000,87.900000,-69.900000,9.300000
23868,230901806,355954,247.914021600,0.352257100,-0.737000,-0.752000,0.217000,72.400000,-63.900000,9.400000
23869,230911451,365599,247.922072900,0.360308400,-0.728000,-0.744000,0.174000,54.300000,-55.500000,10.200000
23870,230920515,374663,247.936655700,0.374891200,-0.780000,-0.778000,0.126000,25.400000,-42.100000,13.500000
23871,230930159,384307,247.937300800,0.375536300,-0.798000,-0.775000,0.108000,-9.500000,-24.800000,17.300000
23872,230940200,394348,247.952128400,0.390363900,-0.817000,-0.465000,0.177000,-39.700000,-7.000000,17.000000
23873,230949845,403993,247.959151600,0.397387100,-0.428000,-0.140000,0.243000,-17.700000,-8.600000,-3.300000
23874,230958940,413088,247.967151700,0.405387200,-0.452000,-0.207000,0.239000,9.100000,-13.200000,-26.700000
23875,230969103,423251,247.982456100,0.420691600,-0.513000,-0.268000,0.197000,33.400000,-16.500000,-49.700000
23876,230978595,432743,247.990759600,0.428995100,-1.661000,-1.384000,-0.223000,-3.300000,34.500000,-49.400000
23877,230987781,441929,247.996584900,0.434820400,-1.138000,-1.103000,0.058000,-75.700000,111.600000,-9.500000
23878,230997456,451604,248.012928200,0.451163700,-0.697000,-0.783000,0.229000,-86.800000,130.500000,-2.400000
23879,231007558,461706,248.019052600,0.457288100,-0.663000,-0.898000,0.231000,-88.600000,139.200000,-5.300000
23880,231016928,471076,248.027941300,0.466176800,-0.495000,-0.857000,0.241000,-88.900000,132.700000,-5.200000
23881,231026267,480415,248.042099000,0.480334500,-0.429000,-0.743000,0.222000,-75.200000,121.100000,-8.600000
23882,231035911,490059,248.052186900,0.490422400,-0.222000,-0.500000,0.173000,-41.500000,94.500000,-22.300000
23883,231046013,500161,248.056399000,0.494634500,-0.038000,-0.385000,0.097000,2.100000,51.800000,-33.500000
23884,231055200,509348,248.071594200,0.509829700,-0.065000,-0.561000,-0.160000,39.400000,9.000000,-40.500000
23885,231064753,518901,248.071842800,0.510078300,0.000000,-0.757000,-0.325000,61.600000,-40.300000,-35.600000
23886,231074672,528820,248.087005600,0.525241100,-0.244000,-0.989000,-0.196000,70.900000,-84.800000,-22.200000
23887,231084560,538708,248.094082500,0.532318000,-0.608000,-1.126000,0.029000,62.600000,-103.700000,-9.300000
23888,231093563,547711,248.104782400,0.543017900,-0.824000,-1.090000,0.203000,49.600000,-101.700000,-2.800000
23889,231103269,557417,248.117594900,0.555830400,-0.916000,-0.985000,0.228000,39.800000,-87.500000,-0.400000
23890,231113310,567458,248.124504200,0.562739700,-0.907000,-0.937000,0.168000,28.900000,-68.800000,4.300000
23891,231122741,576889,248.131834200,0.570069700,-0.823000,-0.865000,0.111000,20.000000,-52.100000,4.300000
23892,231132019,586167,248.146534300,0.584769800,-0.770000,-0.853000,0.084000,15.500000,-47.100000,3.600000
23893,231142182,596330,248.161666500,0.599902000,-0.805000,-0.898000,0.080000,7.500000,-40.300000,5.200000
23894,231151735,605883,248.162292200,0.600527700,-0.762000,-0.878000,0.134000,-6.300000,-35.600000,4.700000
23895,231160952,615100,248.176452200,0.614687700,-0.718000,-0.837000,0.187000,-11.900000,-32.000000,3.200000
23896,231170535,624683,248.182077900,0.620313400,-0.732000,-0.827000,0.235000,-17.900000,-25.000000,0.100000
23897,231180576,634724,248.193313000,0.631548500,-0.715000,-0.787000,0.260000,-22.600000,-18.100000,-4.200000
23898,231190220,644368,248.199105400,0.637340900,-0.627000,-0.750000,0.253000,-25.400000,-13.600000,-7.600000
23899,231199346,653494,248.207175300,0.645410800,-0.587000,-0.723000,0.225000,-25.800000,-11.600000,-11.200000
23900,231209295,663443,248.222157800,0.660393300,-0.555000,-0.710000,0.196000,-24.200000,-10.800000,-14.400000
23901,231218940,673088,248.229734600,0.667970100,-0.513000,-0.681000,0.171000,-20.500000,-11.100000,-18.500000
