meta_label,u
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
9375,91554872,0,111.000102900,0.000000000,-0.402000,-0.929000,0.133000,6.100000,-1.500000,-12.300000
9376,91569308,14436,111.000617600,0.000514700,-0.382000,-0.937000,0.142000,7.900000,3.200000,-10.800000
9377,91572940,18068,111.001151100,0.001048200,-0.369000,-0.941000,0.142000,7.900000,3.800000,-10.200000
9378,91579960,25088,111.022617400,0.022514500,-0.352000,-0.976000,0.144000,10.100000,3.600000,-8.700000
9379,91591893,37021,111.022865700,0.022762800,-0.340000,-1.024000,0.153000,8.600000,2.500000,-4.500000
9380,91599645,44773,111.037604600,0.037501700,-0.327000,-1.035000,0.167000,9.900000,1.800000,2.700000
9381,91608801,53929,111.047997100,0.047894200,-0.302000,-1.046000,0.228000,15.800000,0.000000,6.100000
9382,91618873,64001,111.054015900,0.053913000,-0.312000,-1.037000,0.262000,24.000000,-0.600000,11.000000
9383,91628395,73523,111.070440100,0.070337200,-0.297000,-1.007000,0.275000,35.900000,0.900000,12.900000
9384,91637612,82740,111.070449600,0.070346700,-0.309000,-1.024000,0.292000,45.600000,4.300000,14.200000
9385,91647256,92384,111.083911400,0.083808500,-0.333000,-1.032000,0.291000,53.800000,10.200000,10.700000
9386,91657297,102425,111.091590700,0.091487800,-0.308000,-1.019000,0.323000,55.100000,17.400000,8.300000
9387,91666667,111795,111.097409800,0.097306900,-0.290000,-1.047000,0.342000,53.200000,24.700000,3.700000
9388,91676067,121195,111.112177200,0.112074300,-0.309000,-1.089000,0.342000,46.300000,34.300000,3.400000
9389,91686108,131236,111.128373600,0.128270700,-0.325000,-1.222000,0.004000,31.300000,47.100000,10.000000
9390,91695844,140972,111.128383300,0.128280400,-0.245000,-1.156000,-0.149000,-62.200000,-67.500000,90.700000
9391,91705061,150189,111.147853600,0.147750700,0.020000,-0.932000,0.136000,-77.400000,-49.200000,97.300000
9392,91714614,159742,111.147863900,0.147761000,-0.533000,-0.718000,0.177000,-71.100000,-54.300000,106.500000
9393,91724502,169630,111.157930900,0.157828000,-0.239000,-0.201000,0.173000,-52.600000,-48.500000,72.000000
9394,91734269,179397,111.166102200,0.165999300,-0.268000,-0.038000,0.131000,-17.700000,-56.000000,5.400000
9395,91743394,188522,111.172181900,0.172079000,-1.170000,-0.804000,-0.174000,-16.000000,-24.300000,-13.100000
9396,91753405,198533,111.188406800,0.188303900,-1.162000,-0.788000,0.015000,-73.500000,65.900000,-8.800000
9397,91763202,208330,111.195006100,0.194903200,-0.557000,-0.354000,0.125000,-69.300000,78.800000,-31.300000
9398,91772236,217364,111.202314900,0.202212000,-0.311000,-0.337000,0.134000,-35.000000,72.200000,-58.300000
9399,91781819,226947,111.221495800,0.221392900,-0.120000,-0.476000,0.117000,0.200000,55.000000,-74.600000
9400,91792013,237141,111.225000000,0.224897100,-0.261000,-0.889000,0.072000,14.900000,47.700000,-72.100000
9401,91801504,246632,111.232594700,0.232491800,-0.323000,-1.275000,0.089000,17.800000,41.800000,-59.000000
9402,91810691,255819,111.256224900,0.256122000,-0.114000,-1.377000,0.118000,26.200000,21.700000,-46.400000
