meta_label,u
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
34777,335791722,0,347.955677400,0.000000000,-0.384000,-0.872000,0.236000,8.500000,-16.800000,-0.600000
34778,335800908,9186,347.971651100,0.015973700,-0.386000,-0.878000,0.267000,12.300000,-18.300000,0.000000
34779,335810583,18861,347.972011900,0.016334500,-0.386000,-0.891000,0.312000,15.200000,-18.400000,0.100000
34780,335820685,28963,347.988158800,0.032481400,-0.380000,-0.907000,0.363000,19.600000,-17.900000,3.400000
34781,335830177,38455,347.993327000,0.037649600,-0.355000,-0.909000,0.405000,24.800000,-17.300000,-1.500000
34782,335839394,47672,348.001302400,0.045625000,-0.390000,-0.891000,0.406000,29.100000,-13.700000,-6.500000
34783,335849526,57804,348.026426900,0.070749500,-0.440000,-0.921000,0.381000,30.000000,-0.400000,-1.900000
34784,335859110,67388,348.026435500,0.070758100,-0.464000,-0.937000,0.364000,23.500000,31.800000,4.600000
34785,335868388,76666,348.040109100,0.084431700,0.153000,-1.016000,-0.338000,10.900000,-23.500000,38.100000
34786,335877818,86096,348.054105600,0.098428200,-0.267000,-0.839000,0.282000,1.900000,-28.500000,22.300000
34787,335887768,96046,348.054114100,0.098436700,-0.061000,-0.986000,0.215000,-8.200000,-38.500000,28.500000
34788,335897656,105934,348.095330300,0.139652900,-0.446000,-0.955000,0.016000,-27.300000,-25.900000,27.800000
34789,335906660,114938,348.095359600,0.139682200,-0.641000,-1.115000,-0.079000,-75.500000,9.100000,52.000000
34790,335916365,124643,348.097639900,0.141962500,-0.712000,-0.864000,0.067000,-111.100000,45.400000,68.700000
34791,335926437,134715,348.123925500,0.168248100,-0.488000,-0.451000,0.216000,-104.700000,61.400000,63.300000
34792,335950303,158581,348.123938200,0.168260800,-0.365000,-0.620000,0.229000,-14.600000,48.700000,-1.000000
34793,335954149,162427,348.123942600,0.168265200,-0.395000,-0.746000,0.218000,-0.300000,45.400000,-6.000000
34794,335958025,166303,348.144620800,0.188943400,-0.395000,-0.877000,0.209000,10.900000,43.500000,-8.500000
34795,335980274,188552,348.144634100,0.188956700,-0.493000,-1.225000,0.199000,39.900000,34.400000,16.700000
34796,335984181,192459,348.145586500,0.189909100,-0.515000,-1.281000,0.199000,39.900000,34.400000,25.500000
34797,335988301,196579,348.166230200,0.210552800,-0.504000,-1.305000,0.213000,40.300000,32.900000,32.400000
34798,336002798,211076,348.180971300,0.225293900,-0.449000,-1.272000,0.233000,43.200000,20.700000,41.500000
34799,336006582,214860,348.181543400,0.225866000,-0.409000,-1.252000,0.245000,44.000000,20.700000,41.000000
34800,336012412,220690,348.196523000,0.240845600,-0.391000,-1.226000,0.254000,46.000000,8.000000,40.000000
34801,336032768,241046,348.197074500,0.241397100,-0.373000,-0.885000,0.305000,73.300000,-20.300000,21.300000
34802,336036797,245075,348.203400900,0.247723500,-0.373000,-0.885000,0.311000,79.800000,-26.500000,14.600000
34803,336041619,249897,348.234377800,0.278700400,-0.385000,-0.805000,0.295000,84.900000,-31.600000,8.900000
34804,336055353,263631,348.234387000,0.278709600,-0.459000,-0.703000,0.341000,99.500000,-43.700000,-4.200000
34805,336060847,269125,348.235744300,0.280066900,-0.447000,-0.721000,0.340000,103.800000,-47.100000,-7.000000
34806,336070461,278739,348.257369800,0.301692400,-0.474000,-0.727000,0.366000,109.800000,-54.500000,-14.700000
34807,336092771,301049,348.257377600,0.301700200,-0.623000,-1.046000,0.111000,64.200000,-46.600000,-0.200000
34808,336096372,304650,348.257380800,0.301703400,-0.623000,-1.046000,0.058000,39.400000,-37.900000,7.700000
34809,336100645,308923,348.278673000,0.322995600,-0.673000,-1.113000,0.058000,8.400000,-26.200000,21.100000
34810,336115325,323603,348.286453600,0.330776200,-0.434000,-0.323000,0.320000,-21.800000,-7.500000,11.200000
34811,336119171,327449,348.286461000,0.330783600,-0.223000,-0.323000,0.320000,-10.600000,-11.400000,-0.500000
34812,336128449,336727,348.300881800,0.345204400,-0.297000,-0.379000,0.311000,10.300000,-17.600000,-25.500000
34813,336137818,346096,348.310878200,0.355200800,-0.242000,-0.407000,0.092000,19.800000,-22.200000,-39.700000
34814,336147035,355313,348.324514000,0.368836600,-1.050000,-1.307000,-0.165000,-57.400000,31.000000,-5.000000
34815,336157260,365538,348.325701700,0.370024300,-0.965000,-1.002000,0.212000,-87.000000,77.200000,11.100000
34816,336166873,375151,348.332048100,0.376370700,-0.475000,-0.809000,0.266000,-75.500000,86.900000,8.700000
34817,336175907,384185,348.349715300,0.394037900,-0.451000,-0.935000,0.247000,-74.700000,94.200000,1.100000
34818,336185582,393860,348.349724400,0.394047000,-0.455000,-1.024000,0.263000,-81.700000,94.800000,0.400000
34819,336195593,403871,348.362032700,0.406355300,-0.408000,-0.970000,0.304000,-87.900000,93.000000,1.700000
34820,336205145,413423,348.370708600,0.415031200,-0.221000,-0.772000,0.342000,-74.800000,78.600000,-4.000000
34821,336214362,422640,348.388841500,0.433164100,-0.180000,-0.712000,0.326000,-48.200000,55.900000,-7.500000
