meta_label,W
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
30508,294745404,0,301.047333700,0.000000000,-0.449000,-0.847000,0.289000,-14.400000,4.700000,-13.900000
30509,294754468,9064,301.062239800,0.014906100,-0.420000,-0.844000,0.275000,-9.200000,10.600000,-21.500000
30510,294764113,18709,301.062735600,0.015401900,-0.344000,-0.875000,0.239000,-2.300000,12.700000,-25.700000
30511,294774215,28811,301.077742300,0.030408600,-0.290000,-0.935000,0.185000,2.400000,9.800000,-28.300000
30512,294783768,38364,301.085075900,0.037742200,-0.274000,-0.996000,0.149000,3.100000,4.200000,-23.900000
30513,294792985,47581,301.096008400,0.048674700,-0.278000,-1.048000,0.151000,0.300000,0.000000,-19.200000
30514,294803209,57805,301.108517700,0.061184000,-0.288000,-1.050000,0.177000,-3.700000,-1.700000,-14.800000
30515,294812609,67205,301.114765100,0.067431400,-0.275000,-1.057000,0.199000,-8.300000,-1.600000,-15.400000
30516,294821796,76392,301.122606200,0.075272500,-0.257000,-1.056000,0.204000,-13.700000,-2.400000,-15.000000
30517,294831440,86036,301.137460900,0.090127200,-0.274000,-1.043000,0.213000,-17.800000,-3.800000,-16.200000
30518,294841481,96077,301.146210300,0.098876600,-0.293000,-1.007000,0.217000,-17.300000,-2.100000,-19.100000
30519,294851003,105599,301.153568900,0.106235200,-0.304000,-0.949000,0.218000,-10.200000,0.500000,-23.300000
30520,294860312,114908,301.174638500,0.127304800,-0.273000,-0.927000,0.206000,0.400000,1.700000,-27.700000
30521,294870414,125010,301.175232000,0.127898300,-0.271000,-0.928000,0.159000,14.400000,3.000000,-26.200000
30522,294879967,134563,301.182075200,0.134741500,-0.210000,-1.003000,0.138000,25.400000,-0.500000,-23.900000
30523,294889123,143719,301.197153800,0.149820100,-0.169000,-1.095000,0.135000,29.000000,-8.100000,-21.600000
30524,294898737,153333,301.197642900,0.150309200,-0.203000,-1.142000,0.152000,25.900000,-13.900000,-17.800000
30525,294908747,163343,301.213459100,0.166125400,-0.258000,-1.128000,0.215000,19.400000,-15.600000,-8.000000
30526,294918483,173079,301.219703000,0.172369300,-0.301000,-1.067000,0.288000,15.300000,-9.400000,-2.900000
30527,294927547,182143,301.229078600,0.181744900,-0.282000,-0.983000,0.333000,17.600000,1.300000,-6.200000
30528,294937650,192246,301.246341100,0.199007400,-0.265000,-0.953000,0.336000,21.000000,13.300000,-13.700000
30529,294947355,201951,301.281963800,0.234630100,-0.045000,-0.966000,-0.088000,-6.500000,-7.500000,5.100000
30530,294956480,211076,301.281974700,0.234641000,-0.140000,-1.285000,-0.187000,-50.800000,-32.800000,105.600000
30531,294966064,220660,301.287449600,0.240115900,0.280000,-0.788000,0.155000,-50.300000,-49.400000,81.200000
30532,294975830,230426,301.307354500,0.260020800,-0.246000,-0.816000,0.159000,-43.700000,-49.000000,70.800000
30533,295001223,255819,301.307366100,0.260032400,-0.674000,-0.693000,-0.074000,-61.000000,-17.400000,65.800000
30534,295005038,259634,301.307369900,0.260036200,-0.521000,-0.305000,0.005000,-77.800000,-1.100000,68.300000
30535,295009310,263906,301.324481300,0.277147600,-0.521000,0.038000,0.060000,-80.200000,10.000000,58.600000
30536,295023685,278281,301.326433900,0.279100200,-0.418000,0.188000,0.094000,-53.600000,37.500000,1.000000
30537,295027348,281944,301.326987700,0.279654000,-0.418000,0.096000,0.098000,-40.400000,43.900000,-19.700000
30538,295033299,287895,301.347564900,0.300231200,-0.333000,-0.121000,0.091000,-28.800000,47.700000,-35.200000
30539,295046270,300866,301.347995900,0.300662200,-0.224000,-0.848000,0.083000,-29.800000,54.000000,-60.100000
30540,295053107,307703,301.369451100,0.322117400,-0.202000,-1.082000,0.084000,-39.200000,47.600000,-48.000000
30541,295062232,316828,301.370065800,0.322732100,-0.107000,-1.262000,0.109000,-59.200000,42.600000,-31.500000
30542,295071846,326442,301.393499500,0.346165800,-0.119000,-1.332000,0.114000,-71.000000,18.000000,-19.200000
30543,295081918,336514,301.394075500,0.346741800,-0.186000,-1.271000,0.106000,-56.200000,4.100000,-13.300000
30544,295091470,346066,301.395938200,0.348604500,-0.316000,-1.243000,0.063000,-24.600000,-4.500000,-17.000000
30545,295100779,355375,301.422959100,0.375625400,-0.368000,-1.133000,0.058000,32.200000,-10.700000,-28.700000
30546,295113750,368346,301.422980000,0.375646300,-0.373000,-1.514000,0.105000,88.200000,-15.100000,-53.600000
30547,295120129,374725,301.423950300,0.376616600,-0.597000,-1.998000,-0.114000,71.800000,3.100000,-49.800000
30548,295129712,384308,301.444729900,0.397396200,-0.495000,-1.992000,-0.001000,39.600000,40.500000,-24.900000
30549,295143812,398408,301.445257500,0.397923800,0.177000,-1.674000,0.160000,78.700000,33.700000,-0.300000
30550,295149275,403871,301.460140900,0.412807200,0.256000,-1.770000,0.175000,97.400000,16.800000,5.200000
30551,295158492,413088,301.467124600,0.419790900,0.032000,-1.998000,0.112000,89.700000,-8.000000,25.300000
