meta_label,W
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
51325,494900722,0,523.901700800,0.000000000,-0.818000,-0.914000,0.306000,7.100000,-18.700000,-19.800000
51326,494910275,9553,523.902465900,0.000765100,-0.805000,-0.946000,0.333000,4.600000,-18.100000,-21.400000
51327,494919614,18892,523.908721600,0.007020800,-0.754000,-0.955000,0.344000,2.000000,-16.400000,-24.300000
51328,494929563,28841,523.931781800,0.030081000,-0.696000,-0.940000,0.349000,0.100000,-16.500000,-25.900000
51329,494939330,38608,523.931792200,0.030091400,-0.646000,-0.860000,0.379000,4.300000,-17.900000,-25.600000
51330,494948760,48038,523.947053000,0.045352200,-0.576000,-0.781000,0.418000,18.200000,-19.500000,-28.300000
51331,494958038,57316,523.977173000,0.075472200,-0.514000,-0.733000,0.405000,35.700000,-21.700000,-32.400000
51332,494968110,67388,523.977183300,0.075482500,-0.533000,-0.677000,0.423000,55.600000,-19.200000,-25.100000
51333,494977724,77002,523.983912000,0.082211200,-0.597000,-0.706000,0.505000,76.400000,-4.700000,-13.700000
51334,494986910,86188,524.006331900,0.104631100,-0.628000,-0.780000,0.569000,90.800000,17.000000,-12.200000
51335,495008061,107339,524.018806300,0.117105500,0.078000,-1.062000,-0.152000,10.300000,-46.300000,34.200000
51336,495011906,111184,524.018815900,0.117115100,0.078000,-0.941000,0.243000,-11.900000,-66.400000,73.000000
51337,495015782,115060,524.044392900,0.142692100,-0.331000,-0.941000,-0.068000,-32.100000,-58.500000,52.100000
51338,495038062,137340,524.058941400,0.157240600,-0.022000,-0.328000,0.314000,-42.900000,-51.300000,74.700000
51339,495041663,140941,524.059209200,0.157508400,0.087000,-0.123000,0.319000,-42.900000,-51.300000,62.100000
51340,495045600,144878,524.081389700,0.179688900,0.007000,-0.031000,0.310000,-28.300000,-65.000000,62.100000
51341,495083048,182326,524.081400300,0.179699500,-0.552000,-0.005000,0.248000,-78.200000,77.600000,27.100000
51342,495086650,185928,524.082860800,0.181160000,-0.549000,-0.148000,0.252000,-69.900000,78.200000,7.700000
51343,495090831,190109,524.111124600,0.209423800,-0.549000,-0.311000,0.248000,-65.600000,78.700000,-3.700000
51344,495113111,212389,524.111133900,0.209433100,-0.720000,-0.734000,0.379000,-60.000000,82.600000,-10.700000
51345,495117017,216295,524.112875700,0.211174900,-0.579000,-0.718000,0.379000,-47.100000,66.800000,-13.300000
51346,495120680,219958,524.141660600,0.239959800,-0.445000,-0.684000,0.431000,-47.100000,46.600000,-18.900000
51347,495143020,242298,524.141669000,0.239968200,-0.662000,-0.940000,0.438000,75.000000,-32.700000,-40.700000
51348,495146683,245961,524.143188500,0.241487700,-0.859000,-1.304000,0.360000,97.000000,-47.100000,-44.100000
51349,495150528,249806,524.165481600,0.263780800,-0.859000,-1.717000,0.222000,86.700000,-42.100000,-35.000000
51350,495173113,272391,524.166188500,0.264487700,-1.300000,-1.674000,0.398000,-0.700000,20.400000,35.400000
51351,495177111,276389,524.166197100,0.264496300,-0.909000,-0.985000,0.398000,-0.700000,-9.300000,20.200000
51352,495181414,280692,524.196392500,0.294691700,0.177000,-0.117000,0.730000,142.300000,-70.900000,-13.200000
51353,495195576,294854,524.216273700,0.314572900,-1.051000,-1.721000,0.195000,118.500000,-69.800000,-25.400000
51354,495199391,298669,524.216284700,0.314583900,-0.898000,-1.788000,0.151000,118.500000,-69.800000,-8.000000
51355,495203572,302850,524.229553900,0.327853100,-0.802000,-1.686000,0.185000,85.400000,-59.600000,2.000000
51356,495218557,317835,524.249418400,0.347717600,-0.793000,-1.343000,0.054000,3.500000,-11.800000,58.100000
51357,495248101,347379,524.249427300,0.347726500,-0.313000,-0.048000,0.220000,-87.400000,13.600000,60.300000
51358,495251702,350980,524.249430800,0.347730000,-0.313000,-0.048000,0.176000,-80.400000,13.900000,49.100000
51359,495255578,354856,524.269028900,0.367328100,-0.393000,0.020000,0.176000,-73.500000,19.200000,40.300000
51360,495277858,377136,524.269384400,0.367683600,-0.755000,-0.210000,0.124000,-82.800000,90.500000,19.600000
51361,495281581,380859,524.269816400,0.368115600,-0.607000,-0.157000,0.218000,-75.100000,98.200000,19.600000
51362,495285640,384918,524.290880400,0.389179600,-0.489000,-0.155000,0.279000,-60.100000,96.600000,11.600000
51363,495300595,399873,524.292500100,0.390799300,-0.416000,-0.372000,0.344000,-2.000000,65.500000,-15.200000
51364,495304227,403505,524.292696800,0.390996000,-0.467000,-0.524000,0.347000,16.500000,50.400000,-13.600000
51365,495308408,407686,524.321238800,0.419538000,-0.573000,-0.723000,0.346000,30.400000,36.800000,-15.600000
51366,495323180,422458,524.321840900,0.420140100,-0.932000,-1.181000,0.282000,43.900000,11.600000,-0.300000
51367,495327147,426425,524.322802200,0.421101400,-0.995000,-1.284000,0.284000,41.000000,9.300000,9.300000
51368,495331115,430393,524.347228100,0.445527300,-1.026000,-1.349000,0.301000,34.900000,6.500000,18.300000
51369,495353089,452367,524.347236400,0.445535600,-0.627000,-0.715000,0.567000,103.900000,-51.600000,27.800000
51370,495356965,456243,524.347239300,0.445538500,-0.604000,-0.699000,0.565000,103.900000,-72.700000,16.400000
51371,495361208,460486,524.366510000,0.464809200,-0.746000,-0.821000,0.544000,132.000000,-72.700000,6.400000
51372,495375674,474952,524.366840200,0.465139400,-0.958000,-1.058000,0.509000,156.800000,-100.500000,-20.400000
51373,495379520,478798,524.373666700,0.471965900,-0.976000,-1.101000,0.495000,157.500000,-100.500000,-29.100000
51374,495383609,482887,524.396201000,0.494500200,-0.953000,-1.115000,0.481000,153.300000,-100.600000,-29.100000
51375,495398137,497415,524.396513600,0.494812800,-1.124000,-1.203000,0.238000,115.300000,-80.000000,-30.200000
51376,495401952,501230,524.397615900,0.495915100,-1.161000,-1.157000,0.170000,90.300000,-63.200000,-30.200000
51377,495405889,505167,524.425798100,0.524097300,-1.132000,-1.030000,0.121000,63.000000,-44.800000,-20.600000
51378,495428169,527447,524.426276700,0.524575900,-0.887000,0.128000,0.131000,-29.600000,43.300000,-20.000000
51379,495431953,531231,524.427579300,0.525878500,-0.631000,0.128000,0.199000,-20.500000,44.200000,-38.200000
51380,495435860,535138,524.456064800,0.554364000,-0.357000,0.379000,0.199000,-0.400000,35.700000,-61.900000
51381,495458139,557417,524.456767400,0.555066600,-0.144000,-0.520000,-0.614000,27.900000,-68.500000,-33.500000
51382,495462015,561293,524.457593800,0.555893000,-0.404000,-0.790000,-0.398000,11.400000,-80.900000,-33.500000
51383,495465922,565200,524.480831800,0.579131000,-0.639000,-0.926000,-0.177000,-8.400000,-82.900000,-14.500000
51384,495488110,587388,524.494035500,0.592334700,-0.646000,-0.525000,0.273000,-60.000000,-40.300000,9.700000
51385,495491803,591081,524.494044400,0.592343600,-0.572000,-0.525000,0.273000,-55.900000,-36.900000,10.800000
51386,495495862,595140,524.501314800,0.599614000,-0.497000,-0.443000,0.311000,-55.900000,-35.500000,10.100000
51387,495511610,610888,524.501325400,0.599624600,-0.492000,-0.539000,0.501000,-14.800000,-32.300000,1.700000
51388,495515822,615100,524.524073100,0.622372300,-0.492000,-0.539000,0.509000,-6.800000,-28.600000,-0.600000
51389,495533127,632405,524.524082600,0.622381800,-0.572000,-0.819000,0.469000,-3.000000,-13.100000,4.300000
51390,495536759,636037,524.526364200,0.624663400,-0.546000,-0.825000,0.470000,-3.000000,-13.100000,5.100000
51391,495540879,640157,524.547011900,0.645311100,-0.535000,-0.821000,0.473000,-2.800000,-12.100000,5.100000
51392,495555712,654990,524.551883600,0.650182800,-0.586000,-0.811000,0.489000,0.200000,-10.800000,6.500000
51393,495559466,658744,524.552147600,0.650446800,-0.600000,-0.800000,0.504000,1.100000,-10.800000,6.500000
51394,495564044,663322,524.570998000,0.669297200,-0.619000,-0.786000,0.519000,1.600000,-10.800000,7.000000
51395,495578235,677513,524.571006400,0.669305600,-0.692000,-0.786000,0.551000,-0.700000,-9.700000,0.400000
51396,495583515,682793,524.588344400,0.686643600,-0.721000,-0.778000,0.550000,-2.900000,-8.100000,-2.900000
51397,495592977,692255,524.590591800,0.688891000,-0.751000,-0.743000,0.541000,-8.700000,-0.600000,-8.400000
51398,495602255,701533,524.591504200,0.689803400,-0.730000,-0.693000,0.498000,-14.300000,2.300000,-14.100000
51399,495612357,711635,524.614863100,0.713162300,-0.711000,-0.647000,0.442000,-18.800000,3.500000,-15.400000
51400,495623191,722469,524.621709400,0.720008600,-0.676000,-0.633000,0.405000,-21.700000,3.800000,-21.300000
51401,495631584,730862,524.621716700,0.720015900,-0.669000,-0.636000,0.396000,-23.500000,4.300000,-26.600000
51402,495640740,740018,524.636910200,0.735209400,-0.643000,-0.641000,0.385000,-23.600000,4.100000,-32.600000
51403,495650751,750029,524.644329200,0.742628400,-0.597000,-0.629000,0.370000,-20.300000,2.700000,-36.800000
51404,495660456,759734,524.652390800,0.750690000,-0.604000,-0.657000,0.366000,-15.400000,1.900000,-39.300000
