meta_label,W
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
54805,528361171,0,574.622367700,0.000000000,-0.121000,-1.074000,0.020000,-2.300000,9.600000,13.100000
54806,528370114,8943,574.636400100,0.014032400,-0.130000,-1.051000,0.060000,-1.500000,5.800000,12.900000
54807,528379758,18587,574.644311600,0.021943900,-0.135000,-1.037000,0.074000,0.800000,2.200000,13.400000
54808,528389921,28750,574.655761500,0.033393800,-0.160000,-1.002000,0.087000,3.500000,-0.400000,14.500000
54809,528399352,38181,574.659493900,0.037126200,-0.164000,-0.932000,0.133000,10.000000,-1.000000,11.300000
54810,528408630,47459,574.674640300,0.052272600,-0.170000,-0.857000,0.187000,22.800000,-0.200000,5.400000
54811,528418763,57592,574.682021300,0.059653600,-0.199000,-0.832000,0.267000,41.100000,3.900000,2.100000
54812,528428407,67236,574.691821100,0.069453400,-0.229000,-0.887000,0.335000,55.200000,19.900000,-2.300000
54813,528437471,76300,574.711140800,0.088773100,-0.269000,-1.003000,0.381000,55.600000,27.800000,-2.400000
54814,528447085,85914,574.711154800,0.088787100,0.048000,-1.317000,-0.492000,-3.900000,-12.200000,47.000000
54815,528456943,95772,574.719958000,0.097590300,-0.110000,-1.154000,-0.124000,-41.500000,-0.100000,62.800000
54816,528466740,105569,574.733067600,0.110699900,-0.087000,-1.041000,0.041000,-44.600000,-3.000000,59.900000
54817,528475896,114725,574.735563600,0.113195900,-0.136000,-0.673000,0.059000,-31.900000,0.000000,44.000000
54818,528486090,124919,574.750001100,0.127633400,0.102000,-0.415000,0.075000,-9.100000,-10.300000,8.500000
54819,528495612,134441,574.757115700,0.134748000,-0.024000,-0.796000,-0.057000,-14.400000,-11.700000,-24.200000
54820,528504798,143627,574.766708500,0.144340800,-0.735000,-0.826000,-0.154000,-62.600000,31.500000,-20.900000
54821,528514382,153211,574.780324000,0.157956300,-0.301000,-0.515000,-0.022000,-88.500000,65.200000,-12.300000
54822,528524423,163252,574.787662900,0.165295200,-0.133000,-0.389000,0.030000,-79.800000,73.100000,-24.000000
54823,528534159,172988,574.794614000,0.172246300,-0.170000,-0.533000,0.029000,-75.700000,78.000000,-49.000000
54824,528543223,182052,574.810128400,0.187760700,-0.182000,-0.700000,0.039000,-82.500000,83.000000,-53.200000
54825,528553020,191849,574.818751800,0.196384100,-0.090000,-0.762000,0.051000,-82.800000,82.700000,-61.000000
54826,528562817,201646,574.824691800,0.202324100,0.106000,-0.683000,0.032000,-52.300000,54.300000,-65.700000
54827,528572095,210924,574.844937600,0.222569900,0.147000,-0.802000,-0.020000,1.200000,31.300000,-71.600000
54828,528581648,220477,574.844946500,0.222578800,0.100000,-1.119000,-0.032000,69.200000,10.800000,-70.900000
54829,528591658,230487,574.856572500,0.234204800,0.199000,-1.428000,0.056000,102.600000,-19.000000,-67.700000
54830,528601486,240315,574.865203400,0.242835700,-0.127000,-1.998000,-0.145000,63.100000,-21.600000,-38.700000
54831,528610550,249379,574.869526600,0.247158900,-0.485000,-1.998000,-0.119000,14.100000,3.000000,6.100000
54832,528620134,258963,574.884933900,0.262566200,-0.088000,-1.721000,-0.093000,3.400000,10.600000,42.100000
54833,528630205,269034,574.893275400,0.270907700,0.281000,-1.306000,0.007000,36.900000,-5.800000,50.300000
54834,528639422,278251,574.903483400,0.281115700,0.040000,-1.353000,-0.025000,58.900000,-21.000000,49.900000
54835,528648975,287804,574.919441200,0.297073500,-0.108000,-1.392000,-0.040000,38.800000,-19.400000,46.700000
54836,528659047,297876,574.922161700,0.299794000,-0.165000,-1.274000,-0.034000,1.800000,-12.600000,50.300000
54837,528668691,307520,574.929615000,0.307247300,-0.148000,-0.991000,-0.002000,-34.000000,-6.900000,49.500000
54838,528677877,316706,574.944510800,0.322143100,-0.068000,-0.607000,0.070000,-60.200000,-7.100000,35.700000
54839,528687491,326320,574.957033100,0.334665400,-0.007000,-0.080000,0.118000,-65.900000,-20.400000,5.100000
54840,528697532,336361,574.959846900,0.337479200,-0.275000,0.137000,-0.016000,-38.800000,-0.400000,-19.600000
54841,528706932,345761,574.975747100,0.353379400,-0.721000,-0.372000,-0.009000,-70.700000,47.400000,-20.100000
