meta_label,w
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1443,1275542686,0,1292.378191700,0.000000000,-0.495000,-0.788000,0.177000,-20.800000,4.700000,-3.900000
1444,1275552025,9339,1292.378214400,0.000022700,-0.490000,-0.787000,0.168000,-16.600000,1.300000,-7.200000
1445,1275561425,18739,1292.392705700,0.014514000,-0.500000,-0.831000,0.165000,-12.600000,-2.600000,-9.900000
1446,1275571497,28811,1292.401257600,0.023065900,-0.512000,-0.867000,0.155000,-13.300000,-6.300000,-10.000000
1447,1275581019,38333,1292.407466900,0.029275200,-0.523000,-0.896000,0.163000,-17.800000,-9.500000,-5.900000
1448,1275590297,47611,1292.422520000,0.044328300,-0.533000,-0.866000,0.204000,-21.300000,-10.800000,-4.800000
1449,1275599911,57225,1292.422937800,0.044746100,-0.537000,-0.828000,0.264000,-18.300000,-9.600000,-2.000000
1450,1275609860,67174,1292.437400000,0.059208300,-0.537000,-0.790000,0.309000,-6.700000,-7.100000,-1.900000
1451,1275619688,77002,1292.444609500,0.066417800,-0.504000,-0.805000,0.310000,6.000000,-3.200000,-5.200000
1452,1275628752,86066,1292.452867600,0.074675900,-0.478000,-0.842000,0.280000,14.600000,0.000000,-14.000000
1453,1275638732,96046,1292.467211400,0.089019700,-0.467000,-0.847000,0.260000,19.400000,1.000000,-16.400000
1454,1275648468,105782,1292.476278700,0.098087000,-0.449000,-0.839000,0.293000,29.700000,2.500000,-20.400000
1455,1275657533,114847,1292.482737500,0.104545800,-0.450000,-0.833000,0.311000,36.700000,6.900000,-20.900000
1456,1275667177,124491,1292.497459200,0.119267500,-0.514000,-0.866000,0.257000,36.400000,19.500000,-17.300000
1457,1275677371,134685,1292.504614900,0.126423200,-0.523000,-0.972000,0.202000,23.500000,34.000000,-13.400000
1458,1275686862,144176,1292.514162900,0.135971200,-0.497000,-0.981000,0.128000,-0.300000,47.500000,-7.400000
1459,1275696049,153363,1292.528530500,0.150338800,0.424000,-0.573000,-0.466000,1.600000,-8.100000,18.900000
1460,1275705815,163129,1292.534788600,0.156596900,-0.142000,-1.149000,0.122000,10.800000,-45.900000,16.300000
1461,1275715673,172987,1292.555917800,0.177726100,-1.139000,-1.472000,-0.047000,-45.000000,-31.600000,33.300000
1462,1275724890,182204,1292.558227600,0.180035900,-1.266000,-1.347000,-0.058000,-101.700000,36.300000,71.700000
1463,1275734504,191818,1292.558235900,0.180044200,-0.855000,-1.057000,0.113000,-146.200000,80.500000,93.000000
1464,1275744393,201707,1292.580287800,0.202096100,-0.727000,-0.784000,0.200000,-155.300000,102.900000,80.500000
1465,1275754800,212114,1292.580297500,0.202105800,-0.548000,-0.565000,0.226000,-122.900000,105.400000,51.600000
1466,1275763315,220629,1292.589600600,0.211408900,-0.432000,-0.365000,0.175000,-97.900000,91.300000,22.800000
1467,1275772929,230243,1292.603066200,0.224874500,-0.439000,-0.411000,0.096000,-16.100000,75.400000,7.600000
1468,1275782970,240284,1292.609554800,0.231363100,-0.436000,-0.566000,0.065000,22.400000,59.300000,0.900000
1469,1275792339,249653,1292.617318500,0.239126800,-0.466000,-0.740000,0.059000,46.900000,45.400000,-1.100000
1470,1275801801,259115,1292.632990700,0.254799000,-0.484000,-0.794000,0.062000,69.000000,33.200000,1.200000
1471,1275811903,269217,1292.641527000,0.263335300,-0.247000,-0.733000,0.114000,99.200000,11.500000,8.300000
1472,1275821578,278892,1292.647878300,0.269686600,-0.160000,-0.815000,0.182000,130.800000,-21.700000,8.500000
1473,1275830642,287956,1292.665743100,0.287551400,-0.281000,-1.033000,0.187000,137.500000,-48.300000,-4.200000
1474,1275840256,297570,1292.665754300,0.287562600,-0.433000,-1.222000,0.146000,112.100000,-59.500000,-14.400000
1475,1275850327,307641,1292.677943100,0.299751400,-0.584000,-1.333000,0.078000,66.100000,-55.900000,4.100000
1476,1275859850,317164,1292.686429000,0.308237300,-0.635000,-1.334000,0.039000,14.300000,-41.600000,32.600000
1477,1275869067,326381,1292.705835900,0.327644200,-0.549000,-1.063000,0.095000,-26.100000,-32.200000,37.300000
1478,1275879138,336452,1292.708199400,0.330007700,-0.525000,-0.855000,0.110000,-36.800000,-27.200000,37.700000
1479,1275888874,346188,1292.714814900,0.336623200,-0.935000,-0.960000,0.000000,-56.800000,8.500000,39.000000
1480,1275897939,355253,1292.731040900,0.352849200,-1.279000,-1.099000,-0.027000,-87.500000,62.700000,53.000000
1481,1275907552,364866,1292.731057000,0.352865300,-1.033000,-0.786000,0.123000,-89.900000,96.000000,50.700000
1482,1275917685,374999,1292.744993200,0.366801500,-0.753000,-0.574000,0.131000,-68.700000,105.700000,31.100000
1483,1275927268,384582,1292.752316400,0.374124700,-0.595000,-0.632000,0.104000,-42.700000,102.800000,18.400000
1484,1275936363,393677,1292.762311100,0.384119400,-0.595000,-0.667000,0.079000,-13.900000,96.800000,15.900000
1485,1275946465,403779,1292.775232800,0.397041100,-0.515000,-0.648000,0.081000,19.000000,83.700000,22.100000
1486,1275956079,413393,1292.783415700,0.405224000,-0.317000,-0.571000,0.087000,58.100000,60.300000,23.700000
1487,1275965266,422580,1292.789872800,0.411681100,-0.154000,-0.536000,0.131000,107.600000,21.000000,27.600000
1488,1275974910,432224,1292.804907000,0.426715300,-0.311000,-0.780000,0.184000,152.300000,-19.400000,28.000000
1489,1275984982,442296,1292.813926400,0.435734700,-0.570000,-1.052000,0.169000,160.300000,-40.700000,23.500000
1490,1275994718,452032,1292.823403800,0.445212100,-0.476000,-1.105000,0.176000,139.700000,-56.300000,4.700000
1491,1276003690,461004,1292.839727600,0.461535900,-0.440000,-0.893000,0.176000,109.700000,-70.000000,-18.200000
1492,1276013487,470801,1292.842215200,0.464023500,-0.526000,-0.767000,0.171000,81.300000,-73.600000,-38.100000
1493,1276023467,480781,1292.850891900,0.472700200,-0.682000,-0.788000,0.063000,54.900000,-59.100000,-40.700000
1494,1276032562,489876,1292.865281700,0.487090000,-0.875000,-0.902000,0.037000,17.300000,-33.500000,-33.200000
1495,1276042237,499551,1292.865529100,0.487337400,-0.861000,-0.804000,0.050000,-15.300000,-12.300000,-28.400000
1496,1276052248,509562,1292.880637100,0.502445400,-0.597000,-0.613000,0.068000,-18.300000,-13.000000,-30.000000
1497,1276061984,519298,1292.889076700,0.510885000,-0.414000,-0.693000,-0.092000,-9.700000,-28.900000,-30.500000
1498,1276071018,528332,1292.896967700,0.518776000,-0.525000,-0.917000,-0.141000,-14.600000,-37.900000,-18.100000
1499,1276080662,537976,1292.913415000,0.535223300,-0.593000,-0.995000,-0.037000,-29.300000,-42.900000,-4.900000
1500,1276090733,548047,1292.917299600,0.539107900,-0.643000,-0.965000,0.054000,-43.300000,-39.900000,0.300000
1501,1276099920,557234,1292.924621400,0.546429700,-0.592000,-0.856000,0.100000,-49.800000,-36.500000,-0.900000
1502,1276109442,566756,1292.940567200,0.562375500,-0.558000,-0.754000,0.123000,-47.700000,-37.200000,-12.200000
1503,1276119575,576889,1292.947873300,0.569681600,-0.584000,-0.703000,0.141000,-40.300000,-36.100000,-18.800000
1504,1276129250,586564,1292.957879100,0.579687400,-0.616000,-0.661000,0.162000,-23.000000,-32.900000,-18.700000
1505,1276138314,595628,1292.971866300,0.593674600,-0.600000,-0.677000,0.169000,-11.700000,-30.000000,-18.800000
1506,1276147928,605242,1292.971875400,0.593683700,-0.591000,-0.709000,0.187000,-2.700000,-26.900000,-18.400000
1507,1276157969,615283,1292.991420000,0.613228300,-0.579000,-0.752000,0.204000,4.100000,-23.900000,-16.800000
1508,1276167583,624897,1292.992615800,0.614424100,-0.547000,-0.803000,0.206000,8.800000,-23.300000,-13.600000
1509,1276176769,634083,1293.000202100,0.622010400,-0.529000,-0.832000,0.222000,12.000000,-24.000000,-8.900000
1510,1276186871,644185,1293.015346400,0.637154700,-0.523000,-0.857000,0.239000,12.600000,-24.400000,-6.800000
1511,1276196455,653769,1293.023411100,0.645219400,-0.537000,-0.873000,0.258000,10.000000,-23.200000,-5.100000
1512,1276205641,662955,1293.031650100,0.653458400,-0.548000,-0.879000,0.258000,5.900000,-20.500000,-4.200000
1513,1276215225,672539,1293.046727200,0.668535500,-0.532000,-0.882000,0.241000,0.700000,-18.200000,-3.000000
1514,1276225266,682580,1293.053017800,0.674826100,-0.520000,-0.835000,0.228000,-4.700000,-17.000000,-0.900000
1515,1276234788,692102,1293.059696900,0.681505200,-0.511000,-0.820000,0.228000,-7.100000,-19.700000,-2.000000
1516,1276244127,701441,1293.075541100,0.697349400,-0.543000,-0.796000,0.240000,-8.000000,-16.000000,-4.000000
1517,1276254138,711452,1293.087128100,0.708936400,-0.566000,-0.787000,0.251000,-7.800000,-12.000000,-6.200000
1518,1276263843,721157,1293.090647400,0.712455700,-0.561000,-0.774000,0.193000,-7.100000,-9.100000,-9.200000
1519,1276272907,730221,1293.104831600,0.726639900,-0.517000,-0.751000,0.181000,-4.300000,-9.800000,-12.000000
1520,1276282552,739866,1293.105383800,0.727192100,-0.486000,-0.747000,0.178000,-0.300000,-12.100000,-15.800000
1521,1276292593,749907,1293.123987700,0.745796000,-0.498000,-0.786000,0.194000,3.000000,-12.700000,-17.600000
