meta_label,X
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
15466,780245020,0,797.158622100,0.000000000,-0.391000,-0.984000,0.343000,-9.300000,17.500000,22.800000
15467,780254329,9309,797.165614200,0.006992100,-0.411000,-0.917000,0.347000,-4.500000,21.500000,22.100000
15468,780264309,19289,797.180977300,0.022355200,-0.418000,-0.849000,0.353000,5.700000,26.700000,16.000000
15469,780273953,28933,797.188592500,0.029970400,-0.390000,-0.767000,0.340000,19.300000,31.700000,14.500000
15470,780283140,38120,797.195297800,0.036675700,-0.345000,-0.765000,0.324000,28.900000,35.900000,8.700000
15471,780292784,47764,797.210358400,0.051736300,0.377000,-0.958000,-0.194000,23.400000,-37.300000,29.600000
15472,780302886,57866,797.221493600,0.062871500,-0.263000,-1.024000,-0.051000,11.400000,-46.600000,6.300000
15473,780312500,67480,797.236257700,0.077635600,-0.692000,-1.057000,0.150000,-7.800000,-28.800000,38.100000
15474,780321656,76636,797.241791400,0.083169300,-0.587000,-0.855000,-0.041000,-16.400000,5.500000,34.900000
15475,780331331,86311,797.247884000,0.089261900,0.079000,-0.659000,0.218000,-15.400000,16.100000,40.300000
15476,780341402,96382,797.263032700,0.104410600,0.256000,-0.398000,0.233000,1.900000,-23.900000,14.900000
15477,780350467,105447,797.263041700,0.104419600,-0.261000,-0.389000,-0.095000,23.400000,5.400000,2.100000
15478,780360111,115091,797.270683500,0.112061400,-0.439000,-0.679000,-0.112000,19.100000,42.900000,5.800000
15479,780370366,125346,797.285480100,0.126858000,-0.209000,-0.547000,-0.064000,19.100000,67.600000,18.800000
15480,780379766,134746,797.293767200,0.135145100,-0.063000,-0.565000,0.067000,27.900000,76.500000,12.900000
15481,780388892,143872,797.301695400,0.143073300,0.113000,-0.628000,0.121000,33.400000,70.000000,1.100000
15482,780398719,153699,797.318442600,0.159820500,-0.012000,-0.968000,0.127000,25.600000,65.200000,-5.200000
15483,780408669,163649,797.322205800,0.163583700,-0.186000,-1.097000,0.172000,10.900000,62.400000,-5.300000
15484,780417825,172805,797.333231200,0.174609100,-0.244000,-1.141000,0.270000,1.900000,51.900000,3.800000
15485,780427408,182388,797.345411400,0.186789300,-0.473000,-1.212000,0.301000,-0.700000,38.300000,7.900000
15486,780437632,192612,797.355723100,0.197101000,-0.785000,-1.330000,0.321000,-8.200000,34.400000,9.900000
15487,780447032,202012,797.360074900,0.201452800,-1.011000,-1.369000,0.340000,-20.500000,36.500000,10.900000
15488,780456219,211199,797.376013600,0.217391500,-1.135000,-1.298000,0.338000,-33.100000,43.400000,7.200000
15489,780465894,220874,797.376323100,0.217701000,-1.146000,-1.178000,0.348000,-38.700000,52.700000,2.800000
15490,780475935,230915,797.394739200,0.236117100,-1.017000,-1.094000,0.381000,-29.900000,52.600000,-7.200000
15491,780485426,240406,797.398259500,0.239637400,-0.848000,-1.079000,0.370000,-17.300000,39.800000,-17.200000
15492,780494643,249623,797.408233700,0.249611600,-0.734000,-0.998000,0.315000,8.800000,20.500000,-31.700000
15493,780504807,259787,797.421386700,0.262764600,-0.237000,-0.802000,0.177000,61.100000,-37.000000,-45.000000
15494,780514298,269278,797.434044800,0.275422700,-0.036000,-1.164000,0.020000,98.600000,-104.400000,-44.900000
15495,780523576,278556,797.438766000,0.280143900,-0.310000,-1.406000,0.236000,104.000000,-143.900000,-29.200000
15496,780533190,288170,797.450462700,0.291840600,-0.775000,-1.373000,0.520000,98.100000,-152.900000,-8.200000
15497,780543170,298150,797.457725200,0.299103100,-1.041000,-1.228000,0.677000,82.400000,-125.900000,21.300000
15498,780552692,307672,797.473295900,0.314673800,-0.920000,-0.972000,0.702000,61.500000,-79.400000,32.300000
15499,780561971,316951,797.480311800,0.321689700,-0.647000,-0.651000,0.737000,49.500000,-42.200000,26.800000
15500,780571981,326961,797.489238600,0.330616500,-0.553000,-0.516000,0.733000,44.000000,-10.900000,17.900000
15501,780581656,336636,797.495582500,0.336960400,-0.479000,-0.421000,0.704000,42.600000,37.900000,7.000000
15502,780590903,345883,797.510169900,0.351547800,-0.444000,-0.491000,0.697000,34.100000,74.100000,9.700000
15503,780600487,355467,797.510368900,0.351746800,0.320000,-0.421000,-0.064000,16.300000,-30.000000,25.400000
15504,780610619,365599,797.526260900,0.367638800,0.674000,-0.664000,0.040000,-18.400000,-65.300000,17.300000
15505,780619959,374939,797.532238700,0.373616600,-0.752000,-0.507000,0.255000,-16.300000,-43.800000,32.200000
15506,780629298,384278,797.540476200,0.381854100,-0.320000,0.145000,0.196000,0.200000,-43.400000,-13.900000
15507,780639369,394349,797.563667500,0.405045400,-0.530000,-0.355000,-0.032000,-25.500000,-30.100000,-52.700000
15508,780649014,403994,797.563677300,0.405055200,-0.964000,-0.372000,0.040000,-72.400000,3.400000,-69.600000
15509,780658505,413485,797.570601400,0.411979300,-0.779000,-0.188000,0.165000,-90.900000,27.100000,-82.600000
15510,780667722,422702,797.586440600,0.427818500,-0.776000,-0.396000,0.141000,-100.000000,50.500000,-97.400000
15511,780677916,432896,797.593127500,0.434505400,-0.589000,-0.413000,0.168000,-120.400000,69.800000,-103.100000
15512,780687438,442418,797.604051400,0.445429300,-0.225000,-0.307000,0.290000,-121.900000,69.000000,-123.700000
15513,780696655,451635,797.616416800,0.457794700,-0.108000,-0.502000,0.299000,-106.100000,51.100000,-146.000000
15514,780706330,461310,797.622392200,0.463770100,-0.082000,-0.702000,0.281000,-82.900000,37.500000,-147.000000
15515,780716219,471199,797.630142100,0.471520000,-0.056000,-1.091000,0.236000,-62.800000,16.500000,-132.900000
15516,780725436,480416,797.645436400,0.486814300,-0.036000,-1.316000,0.195000,-60.400000,4.400000,-117.100000
15517,780735049,490029,797.645967500,0.487345400,-0.055000,-1.340000,0.200000,-55.200000,-5.300000,-103.000000
15518,780745182,500162,797.660565600,0.501943500,-0.077000,-1.324000,0.155000,-40.200000,-11.200000,-91.900000
15519,780754765,509745,797.667606200,0.508984100,-0.024000,-1.343000,0.116000,-16.500000,-19.100000,-82.100000
15520,780763952,518932,797.678375600,0.519753500,0.057000,-1.465000,0.008000,6.300000,-30.200000,-68.400000
15521,780773505,528485,797.689997000,0.531374900,0.130000,-1.585000,-0.129000,22.000000,-45.200000,-53.500000
15522,780783637,538617,797.699931500,0.541309400,0.006000,-1.718000,-0.098000,28.900000,-57.400000,-31.300000
15523,780792854,547834,797.705186200,0.546564100,-0.162000,-1.711000,-0.014000,28.500000,-57.100000,-3.400000
15524,780802407,557387,797.720007600,0.561385500,-0.233000,-1.581000,0.052000,27.700000,-46.400000,17.100000
15525,780812509,567489,797.727398300,0.568776200,-0.226000,-1.439000,0.113000,27.400000,-36.300000,30.900000
15526,780822154,577134,797.739542500,0.580920400,-0.239000,-1.325000,0.141000,24.100000,-21.700000,35.200000
15527,780831187,586167,797.754769400,0.596147300,-0.227000,-1.227000,0.154000,20.200000,-19.100000,36.400000
15528,780840832,595812,797.754777700,0.596155600,-0.248000,-1.169000,0.155000,14.100000,-11.800000,36.900000
15529,780850812,605792,797.765207700,0.606585600,-0.254000,-1.129000,0.161000,-1.500000,-8.300000,39.000000
15530,780860395,615375,797.772577800,0.613955700,-0.224000,-1.061000,0.178000,-10.900000,-9.400000,41.600000
15531,780869704,624684,797.780506200,0.621884100,-0.189000,-0.978000,0.171000,-17.300000,-13.700000,43.800000
15532,780879836,634816,797.796823900,0.638201800,-0.208000,-0.912000,0.175000,-22.300000,-18.400000,47.100000
15533,780889389,644369,797.803089400,0.644467300,-0.253000,-0.816000,0.201000,-26.500000,-20.500000,47.100000
15534,780898484,653464,797.815172900,0.656550800,-0.281000,-0.733000,0.226000,-27.200000,-22.100000,44.200000
15535,780908159,663139,797.824699300,0.666077200,-0.315000,-0.682000,0.248000,-24.000000,-22.100000,42.700000
15536,780918261,673241,797.835544900,0.676922800,-0.319000,-0.655000,0.281000,-18.200000,-20.400000,38.100000
15537,780927722,682702,797.849026300,0.690404200,-0.314000,-0.680000,0.296000,-9.900000,-18.100000,31.300000
15538,780936939,691919,797.855047100,0.696425000,-0.336000,-0.748000,0.290000,-4.100000,-15.100000,25.000000
15539,780946980,701960,797.862661900,0.704039800,-0.335000,-0.795000,0.254000,-0.800000,-10.900000,18.500000
