meta_label,X
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
8852,86522857,0,115.609092000,0.000000000,-0.628000,-0.856000,0.334000,-3.700000,0.500000,9.400000
8853,86532043,9186,115.609103800,0.000011800,-0.602000,-0.814000,0.340000,-5.400000,1.600000,11.500000
8854,86542176,19319,115.611445900,0.002353900,-0.584000,-0.767000,0.346000,-2.400000,0.300000,13.800000
8855,86551790,28933,115.646614300,0.037522300,-0.568000,-0.728000,0.346000,3.100000,-1.000000,14.100000
8856,86567874,45017,115.646623600,0.037531600,-0.580000,-0.692000,0.348000,18.000000,-1.200000,9.300000
8857,86571536,48679,115.646626800,0.037534800,-0.587000,-0.692000,0.348000,19.400000,-0.400000,7.200000
8858,86580387,57530,115.676729000,0.067637000,-0.599000,-0.740000,0.361000,18.800000,2.100000,4.200000
8859,86605444,82587,115.676749000,0.067657000,-0.571000,-0.746000,0.467000,-10.400000,16.300000,-5.200000
8860,86609259,86402,115.676756900,0.067664900,-0.571000,-0.746000,0.475000,-15.900000,23.300000,-7.900000
8861,86613501,90644,115.691639100,0.082547100,-0.568000,-0.722000,0.475000,-21.100000,32.200000,-9.200000
8862,86628029,105172,115.691648900,0.082556900,0.201000,-0.372000,-0.159000,12.300000,-28.300000,11.600000
8863,86631752,108895,115.691958500,0.082866500,0.512000,-0.372000,-0.159000,16.200000,-55.400000,13.900000
8864,86637795,114938,115.713525800,0.104433800,0.040000,-0.756000,0.094000,17.400000,-61.200000,-0.100000
8865,86650461,127604,115.714010200,0.104918200,-0.412000,-0.820000,0.271000,27.000000,-69.400000,29.900000
8866,86657786,134929,115.720427000,0.111335000,-0.194000,-0.362000,0.208000,34.800000,-72.600000,-1.600000
8867,86666728,143871,115.735554300,0.126462300,-1.151000,-0.692000,-0.278000,46.000000,-26.900000,-16.500000
8868,86676494,153637,115.746644200,0.137552200,-0.891000,-1.106000,-0.073000,15.600000,43.900000,-10.100000
8869,86686291,163434,115.750534400,0.141442400,-0.660000,-0.972000,0.062000,-6.200000,91.100000,3.400000
8870,86695508,172651,115.772614700,0.163522700,-0.727000,-1.051000,0.095000,-26.300000,115.500000,13.000000
8871,86705061,182204,115.784938500,0.175846500,-0.532000,-0.971000,0.191000,-42.800000,123.600000,25.300000
8872,86715194,192337,115.784946700,0.175854700,-0.501000,-0.958000,0.218000,-51.300000,127.300000,32.800000
8873,86724746,201889,115.820171800,0.211079800,-0.542000,-0.954000,0.245000,-50.800000,128.900000,39.800000
8874,86740525,217668,115.820182000,0.211090000,-0.562000,-1.041000,0.291000,-55.100000,118.200000,48.900000
8875,86744340,221483,115.820185800,0.211093800,-0.567000,-1.020000,0.304000,-55.900000,108.300000,49.400000
8876,86753588,230731,115.848315500,0.239223500,-0.646000,-0.966000,0.316000,-53.200000,81.900000,50.400000
8877,86777973,255116,115.848325100,0.239233100,-0.822000,-0.727000,0.282000,-37.000000,2.800000,39.200000
8878,86781575,258718,115.856450300,0.247358300,-0.875000,-0.650000,0.261000,-28.300000,-12.200000,31.700000
8879,86785512,262655,115.870627900,0.261535900,-0.922000,-0.585000,0.223000,-17.800000,-23.800000,23.000000
8880,86808005,285148,115.870987400,0.261895400,-0.470000,-0.441000,0.161000,94.000000,-117.400000,-21.300000
8881,86811851,288994,115.879745600,0.270653600,-0.588000,-0.662000,0.161000,102.900000,-133.000000,-22.600000
8882,86815910,293053,115.895250600,0.286158600,-0.789000,-0.937000,0.143000,101.700000,-141.600000,-17.600000
8883,86830468,307611,115.895259800,0.286167800,-0.987000,-1.010000,0.339000,87.400000,-148.500000,-0.600000
8884,86834283,311426,115.895593500,0.286501500,-0.971000,-0.885000,0.415000,87.400000,-144.000000,0.400000
8885,86839746,316889,115.918941800,0.309849800,-0.986000,-0.802000,0.488000,85.700000,-135.300000,-0.200000
8886,86852991,330134,115.918954700,0.309862700,-0.980000,-0.679000,0.640000,71.100000,-90.300000,-9.300000
8887,86859492,336635,115.923304800,0.314212800,-0.952000,-0.561000,0.688000,49.200000,-72.400000,-14.300000
8888,86868557,345700,115.952624200,0.343532200,-0.982000,-0.465000,0.709000,29.300000,-28.000000,-21.700000
8889,86878232,355375,115.953577000,0.344485000,-0.414000,-0.637000,-0.158000,7.100000,19.400000,-21.800000
8890,86888212,365355,115.954026400,0.344934400,0.020000,-0.506000,0.370000,-8.500000,-45.900000,6.700000
8891,86897947,375090,115.976980400,0.367888400,-1.095000,-0.695000,0.101000,-9.400000,-37.600000,26.200000
8892,86913055,390198,115.977384700,0.368292700,-0.177000,-0.400000,0.260000,-7.500000,-10.800000,-8.600000
8893,86916809,393952,115.982947700,0.373855700,-0.377000,-0.373000,0.206000,-7.000000,-10.800000,-24.300000
8894,86926697,403840,115.997978500,0.388886500,-0.567000,-0.570000,0.134000,-16.300000,2.100000,-40.100000
8895,86935914,413057,115.998397600,0.389305600,-0.823000,-0.632000,0.089000,-44.300000,24.900000,-41.800000
8896,86945528,422671,116.016226100,0.407134100,-0.975000,-0.739000,0.060000,-79.700000,61.000000,-27.900000
8897,86955661,432804,116.020350900,0.411258900,-0.858000,-0.610000,0.132000,-122.100000,86.800000,-26.600000
8898,86965244,442387,116.032558700,0.423466700,-0.629000,-0.582000,0.232000,-143.000000,96.000000,-37.800000
8899,86974308,451451,116.043268900,0.434176900,-0.603000,-0.665000,0.283000,-164.800000,98.700000,-48.700000
8900,86984105,461248,116.044344500,0.435252500,-0.543000,-0.451000,0.320000,-168.500000,93.700000,-61.100000
8901,86994055,471198,116.058651400,0.449559400,-0.351000,-0.284000,0.278000,-139.200000,73.900000,-82.900000
8902,87003180,480323,116.070009600,0.460917600,-0.258000,-0.336000,0.179000,-88.100000,48.100000,-100.800000
8903,87012855,489998,116.072711900,0.463619900,-0.320000,-0.677000,0.096000,-38.300000,26.700000,-106.800000
8904,87022774,499917,116.093430500,0.484338500,-0.346000,-1.049000,0.048000,-5.500000,9.400000,-95.700000
8905,87032724,509867,116.103233600,0.494141600,-0.314000,-1.272000,-0.002000,10.800000,-7.100000,-66.600000
8906,87041666,518809,116.108366300,0.499274300,-0.285000,-1.397000,-0.118000,16.300000,-25.500000,-53.900000
8907,87051890,529033,116.117649400,0.508557400,-0.238000,-1.384000,-0.235000,20.500000,-48.200000,-18.500000
8908,87061352,538495,116.126484700,0.517392700,-0.328000,-1.389000,-0.146000,29.700000,-74.600000,2.000000
