meta_label,X
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
7044,69138970,0,77.306713100,0.000000000,-0.486000,-0.904000,0.343000,-17.500000,-5.300000,0.900000
7045,69148187,9217,77.328883100,0.022170000,-0.499000,-0.892000,0.361000,-25.800000,-6.800000,-0.200000
7046,69157770,18800,77.329950000,0.023236900,-0.513000,-0.837000,0.380000,-32.500000,-6.300000,-2.500000
7047,69167933,28963,77.339138500,0.032425400,-0.518000,-0.772000,0.386000,-34.800000,-0.600000,-9.100000
7048,69177211,38241,77.353586200,0.046873100,-0.505000,-0.742000,0.373000,-31.700000,4.400000,-13.000000
7049,69186612,47642,77.353597200,0.046884100,-0.472000,-0.749000,0.335000,-25.900000,7.500000,-18.800000
7050,69196592,57622,77.367346600,0.060633500,-0.423000,-0.755000,0.311000,-13.700000,9.600000,-25.400000
7051,69206419,67449,77.381233900,0.074520800,-0.379000,-0.818000,0.307000,-9.800000,11.100000,-21.500000
7052,69215483,76513,77.382425300,0.075712200,-0.372000,-0.836000,0.347000,-1.400000,19.100000,-20.200000
7053,69225036,86066,77.396615900,0.089902800,-0.341000,-0.855000,0.333000,5.200000,32.800000,-16.200000
7054,69235077,96107,77.404050000,0.097336900,-0.257000,-0.956000,0.321000,4.400000,44.400000,-11.600000
7055,69244569,105599,77.417536200,0.110823100,0.620000,-0.674000,-0.325000,33.700000,-23.400000,29.100000
7056,69253939,114969,77.427286800,0.120573700,0.453000,-1.048000,0.148000,40.000000,-61.200000,31.600000
7057,69263736,124766,77.434204900,0.127491800,-0.321000,-1.168000,0.218000,28.300000,-85.000000,62.000000
7058,69273594,134624,77.454099700,0.147386600,-0.596000,-0.773000,-0.083000,17.800000,-66.800000,45.200000
7059,69282719,143749,77.465115600,0.158402500,-0.722000,-0.735000,-0.090000,-9.900000,-14.000000,39.100000
7060,69292363,153393,77.465124900,0.158411800,-0.428000,-0.314000,0.048000,-9.800000,18.100000,-0.700000
7061,69302527,163557,77.479221100,0.172508000,-0.440000,-0.389000,0.089000,10.200000,47.600000,-35.900000
7062,69312201,173231,77.492218200,0.185505100,-0.399000,-0.708000,0.123000,11.500000,58.900000,-48.200000
7063,69321235,182265,77.492229300,0.185516200,-0.416000,-1.075000,0.120000,-10.600000,67.500000,-31.500000
7064,69331215,192245,77.502525900,0.195812800,-0.344000,-1.277000,0.141000,-37.000000,69.300000,-14.900000
7065,69340951,201981,77.511543700,0.204830600,-0.265000,-1.227000,0.209000,-52.700000,66.000000,-11.400000
7066,69350016,211046,77.516682700,0.209969600,-0.306000,-1.142000,0.236000,-55.100000,60.200000,5.000000
7067,69359690,220720,77.531815500,0.225102400,-0.371000,-1.106000,0.287000,-47.200000,52.000000,19.900000
7068,69369793,230823,77.539379400,0.232666300,-0.541000,-1.125000,0.271000,-32.500000,42.300000,17.100000
7069,69379254,240284,77.554084200,0.247371100,-0.743000,-1.234000,0.260000,-21.600000,41.700000,20.100000
7070,69388471,249501,77.568348600,0.261635500,-0.823000,-1.310000,0.268000,-17.200000,42.500000,19.200000
7071,69398329,259359,77.568837100,0.262124000,-0.804000,-1.351000,0.291000,-19.100000,37.900000,12.700000
7072,69408156,269186,77.587615200,0.280902100,-0.759000,-1.266000,0.286000,-18.100000,27.400000,2.800000
7073,69417373,278403,77.587623800,0.280910700,-0.634000,-1.081000,0.238000,-4.000000,14.100000,-1.500000
7074,69427018,288048,77.592088600,0.285375500,-0.243000,-0.918000,0.117000,35.200000,-42.400000,-3.900000
7075,69437059,298089,77.606819400,0.300106300,-0.308000,-1.144000,-0.099000,71.800000,-80.000000,8.800000
7076,69446703,307733,77.614065600,0.307352500,-0.579000,-1.281000,0.223000,87.800000,-95.700000,30.200000
7077,69455798,316828,77.624853700,0.318140600,-0.716000,-1.116000,0.475000,98.400000,-96.900000,44.700000
7078,69465442,326472,77.637706600,0.330993500,-0.743000,-0.934000,0.655000,102.100000,-89.500000,42.900000
7079,69475666,336696,77.651603700,0.344890600,-0.737000,-0.866000,0.750000,88.600000,-69.200000,25.300000
7080,69484731,345761,77.652147900,0.345434800,-0.888000,-0.854000,0.774000,60.600000,-30.900000,16.500000
7081,69494314,355344,77.667183400,0.360470300,-0.778000,-0.724000,0.716000,31.000000,6.900000,15.900000
7082,69504233,365263,77.681984200,0.375271100,-0.563000,-0.623000,0.603000,1.900000,34.200000,12.400000
7083,69514061,375091,77.689644500,0.382931400,-0.407000,-0.477000,0.553000,-29.200000,45.800000,8.900000
7084,69523125,384155,77.700479600,0.393766500,0.409000,-0.247000,-0.043000,-32.300000,-9.300000,16.700000
7085,69532769,393799,77.700489300,0.393776200,-0.017000,-0.228000,0.105000,-28.200000,-78.400000,52.200000
7086,69542841,403871,77.720423700,0.413710600,-0.953000,-0.324000,0.156000,-20.400000,-38.100000,12.300000
7087,69552272,413302,77.720433800,0.413720700,-0.387000,-0.023000,0.206000,-31.200000,-41.600000,-22.100000
7088,69561550,422580,77.727468500,0.420755400,-0.889000,-0.238000,0.087000,-52.400000,-17.200000,-47.900000
7089,69571743,432773,77.752531400,0.445818300,-0.805000,-0.122000,0.150000,-71.100000,1.200000,-66.300000
7090,69581266,442296,77.752539800,0.445826700,-0.785000,-0.219000,0.162000,-79.700000,18.500000,-89.900000
7091,69590391,451421,77.757131400,0.450418300,-0.680000,-0.403000,0.181000,-91.600000,30.900000,-110.400000
7092,69600066,461096,77.786794000,0.480080900,-0.419000,-0.623000,0.150000,-93.800000,34.500000,-127.000000
7093,69610046,471076,77.796357700,0.489644600,-0.103000,-0.758000,0.144000,-80.900000,32.900000,-139.600000
7094,69619538,480568,77.796369200,0.489656100,-0.073000,-1.090000,0.087000,-68.800000,30.100000,-138.200000
7095,69628877,489907,77.832148000,0.525434900,0.036000,-1.297000,0.076000,-61.300000,27.400000,-124.300000
7096,69649753,510783,77.832317700,0.525604600,0.161000,-1.436000,0.000000,-11.700000,10.900000,-75.600000
7097,69653598,514628,77.833144800,0.526431700,0.176000,-1.525000,-0.061000,-11.700000,10.900000,-62.800000
7098,69657810,518840,77.854787000,0.548073900,0.186000,-1.590000,-0.138000,-5.000000,5.600000,-46.400000
7099,69687292,548322,77.855285400,0.548572300,-0.114000,-1.777000,-0.006000,42.100000,-60.500000,48.500000
7100,69691290,552320,77.855848500,0.549135400,-0.232000,-1.744000,-0.006000,42.100000,-56.400000,58.800000
7101,69695502,556532,77.884883700,0.578170600,-0.304000,-1.657000,0.071000,39.000000,-50.900000,67.200000
7102,69709755,570785,77.887128100,0.580415000,-0.330000,-1.344000,0.140000,37.700000,-37.700000,75.300000
7103,69713692,574722,77.887150400,0.580437300,-0.324000,-1.252000,0.140000,37.700000,-37.700000,75.000000
7104,69717293,578323,77.911176200,0.604463100,-0.335000,-1.182000,0.139000,39.100000,-35.400000,75.000000
7105,69739787,600817,77.913657400,0.606944300,-0.451000,-0.913000,0.217000,40.800000,-23.700000,68.100000
7106,69743632,604662,77.915019000,0.608305900,-0.451000,-0.875000,0.243000,41.000000,-20.800000,65.700000
7107,69747508,608538,77.929811100,0.623098000,-0.463000,-0.875000,0.274000,40.700000,-18.100000,62.900000
7108,69762249,623279,77.929820600,0.623107500,-0.498000,-0.835000,0.349000,32.600000,-10.100000,50.700000
7109,69765881,626911,77.937215800,0.630502700,-0.491000,-0.835000,0.365000,26.800000,-7.100000,45.200000
7110,69773328,634358,77.959951500,0.653238400,-0.495000,-0.827000,0.376000,19.900000,-4.300000,40.600000
7111,69784773,645803,77.966533400,0.659820300,-0.486000,-0.753000,0.352000,2.300000,2.400000,27.200000
7112,69792495,653525,77.967146600,0.660433500,-0.438000,-0.637000,0.326000,1.200000,3.900000,16.200000
7113,69801956,662986,77.982853100,0.676140000,-0.409000,-0.614000,0.282000,4.100000,3.800000,6.100000
7114,69814774,675804,77.982876000,0.676162900,-0.404000,-0.724000,0.258000,4.900000,3.700000,-1.500000
7115,69821702,682732,77.994785500,0.688072400,-0.399000,-0.745000,0.249000,2.400000,3.200000,-5.000000
7116,69830767,691797,78.005109500,0.698396400,-0.395000,-0.771000,0.231000,1.300000,3.400000,-5.900000
7117,69840411,701441,78.005673800,0.698960700,-0.389000,-0.804000,0.219000,2.500000,3.300000,-6.800000
