meta_label,x
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
53753,1148374666,0,1154.526528800,0.000000000,-0.551000,-0.761000,0.305000,-17.800000,0.000000,3.200000
53754,1148383822,9156,1154.541674000,0.015145200,-0.562000,-0.715000,0.332000,-16.400000,1.000000,-0.700000
53755,1148393466,18800,1154.542114300,0.015585500,-0.567000,-0.690000,0.354000,-11.800000,4.100000,-6.100000
53756,1148403416,28750,1154.557661300,0.031132500,-0.554000,-0.679000,0.369000,-3.400000,6.600000,-9.800000
53757,1148413060,38394,1154.564086300,0.037557500,-0.518000,-0.716000,0.359000,7.500000,6.600000,-16.100000
53758,1148422247,47581,1154.576823500,0.050294700,-0.476000,-0.796000,0.333000,15.800000,3.400000,-19.300000
53759,1148432318,57652,1154.588651600,0.062122800,-0.470000,-0.882000,0.309000,18.900000,0.700000,-22.500000
53760,1148442054,67388,1154.595874600,0.069345800,-0.487000,-0.922000,0.325000,16.700000,0.800000,-17.900000
53761,1148451119,76453,1154.601783000,0.075254200,-0.490000,-0.930000,0.355000,13.300000,2.400000,-18.700000
53762,1148460702,86036,1154.616748600,0.090219800,-0.480000,-0.918000,0.375000,10.400000,5.200000,-22.700000
53763,1148470926,96260,1154.624206900,0.097678100,-0.520000,-0.891000,0.402000,6.600000,15.100000,-21.100000
53764,1148480418,105752,1154.631967400,0.105438600,-0.548000,-0.806000,0.451000,6.900000,48.500000,-20.000000
53765,1148489604,114938,1154.650616900,0.124088100,-0.495000,-0.686000,0.497000,16.800000,76.200000,-21.700000
53766,1148499371,124705,1154.654238400,0.127709600,-0.377000,-0.610000,0.511000,35.500000,102.100000,-26.100000
53767,1148509320,134654,1154.661754400,0.135225600,-0.244000,-0.622000,0.479000,60.500000,125.500000,-30.100000
53768,1148518385,143719,1154.676698300,0.150169500,-0.166000,-0.721000,0.237000,61.400000,148.400000,-38.500000
53769,1148527999,153333,1154.677159800,0.150631000,0.817000,-0.920000,-0.085000,57.600000,-119.400000,24.300000
53770,1148537948,163282,1154.693647700,0.167118900,0.418000,-1.215000,-0.226000,46.900000,-132.000000,-64.100000
