meta_label,x
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
38653,2263444963,0,2280.102289500,0.000000000,-0.500000,-0.767000,0.384000,-26.600000,-10.400000,-1.600000
38654,2263454760,9797,2280.110649200,0.008359700,-0.485000,-0.661000,0.403000,-16.300000,-8.900000,-8.700000
38655,2263464648,19685,2280.119927100,0.017637600,-0.460000,-0.602000,0.408000,-2.500000,-7.400000,-20.200000
38656,2263473865,28902,2280.137083700,0.034794200,-0.430000,-0.610000,0.430000,14.000000,-6.800000,-33.200000
38657,2263483448,38485,2280.137094600,0.034805100,-0.402000,-0.660000,0.412000,31.900000,-3.600000,-41.700000
38658,2263493489,48526,2280.149114300,0.046824800,-0.350000,-0.766000,0.421000,50.200000,-0.800000,-45.700000
38659,2263503195,58232,2280.155756300,0.053466800,-0.335000,-0.904000,0.409000,62.800000,2.400000,-46.900000
38660,2263512290,67327,2280.162696400,0.060406900,-0.394000,-1.074000,0.381000,60.200000,12.800000,-39.000000
38661,2263521904,76941,2280.177468600,0.075179100,-0.418000,-1.166000,0.337000,43.900000,30.400000,-22.800000
38662,2263532006,87043,2280.185062400,0.082772900,0.432000,-1.020000,-0.160000,37.400000,-81.600000,16.400000
38663,2263541192,96229,2280.194132000,0.091842500,-0.408000,-1.439000,0.005000,8.100000,-88.900000,74.700000
38664,2263550714,105751,2280.209970600,0.107681100,-0.740000,-0.857000,0.220000,3.300000,-53.700000,68.100000
38665,2263560694,115731,2280.214771300,0.112481800,-0.152000,-0.492000,0.185000,14.200000,-50.400000,59.000000
38666,2263570552,125589,2280.222959600,0.120670100,-0.954000,-0.560000,-0.111000,2.600000,8.300000,38.900000
38667,2263579617,134654,2280.237702100,0.135412600,-0.626000,-0.362000,0.101000,16.900000,39.900000,26.400000
38668,2263589231,144268,2280.238042200,0.135752700,-0.552000,-0.235000,0.095000,47.000000,68.200000,-6.500000
38669,2263599272,154309,2280.252435300,0.150145800,-0.724000,-0.758000,0.173000,55.700000,99.200000,-20.500000
38670,2263608824,163861,2280.260820800,0.158531300,-0.515000,-1.108000,0.269000,42.900000,110.300000,-16.500000
38671,2263618042,173079,2280.267123000,0.164833500,-0.521000,-1.348000,0.320000,16.400000,111.800000,-5.500000
38672,2263628235,183272,2280.288182400,0.185892900,-0.498000,-1.403000,0.369000,-11.600000,106.500000,11.500000
38673,2263637696,192733,2280.290630700,0.188341200,-0.499000,-1.384000,0.416000,-33.400000,93.800000,31.400000
38674,2263646913,201950,2280.297342900,0.195053400,-0.463000,-1.273000,0.481000,-43.500000,71.500000,49.100000
38675,2263656466,211503,2280.312748700,0.210459200,-0.521000,-1.186000,0.437000,-45.100000,46.000000,51.100000
38676,2263666721,221758,2280.325935600,0.223646100,-0.595000,-1.099000,0.407000,-46.000000,19.600000,50.200000
38677,2263676030,231067,2280.328488700,0.226199200,-0.505000,-0.926000,0.411000,-36.400000,-4.400000,40.600000
38678,2263685369,240406,2280.343309800,0.241020300,-0.359000,-0.688000,0.312000,-12.800000,-39.700000,26.300000
38679,2263695379,250416,2280.350207600,0.247918100,0.056000,-0.468000,0.181000,62.400000,-107.600000,9.200000
38680,2263705207,260244,2280.362870700,0.260581200,-0.115000,-0.643000,0.255000,98.400000,-156.500000,5.700000
38681,2263714241,269278,2280.372442100,0.270152600,-0.748000,-0.971000,0.571000,106.800000,-164.100000,10.900000
38682,2263723793,278830,2280.373021600,0.270732100,-0.948000,-1.067000,0.760000,103.900000,-147.900000,13.000000
38683,2263733743,288780,2280.388053900,0.285764400,-1.405000,-1.150000,0.833000,75.500000,-87.900000,19.900000
38684,2263743509,298546,2280.396858500,0.294569000,-1.136000,-0.909000,0.826000,35.800000,-25.500000,30.100000
38685,2263752696,307733,2280.405074200,0.302784700,-0.874000,-0.604000,0.808000,15.600000,6.700000,27.600000
38686,2263762676,317713,2280.420241600,0.317952100,-0.955000,-0.504000,0.797000,0.000000,42.600000,20.600000
38687,2263772381,327418,2280.424866900,0.322577400,-0.168000,-0.138000,0.094000,-11.200000,73.400000,15.200000
38688,2263781476,336513,2280.433358800,0.331069300,-0.134000,-0.400000,0.268000,8.300000,-67.300000,12.800000
38689,2263791120,346157,2280.447727200,0.345437700,-1.573000,-0.343000,0.234000,-0.300000,-18.900000,-6.100000
38690,2263801223,356260,2280.457826700,0.355537200,-0.469000,-0.107000,0.358000,7.400000,-3.500000,-40.000000
38691,2263810836,365873,2280.462659200,0.360369700,-0.924000,-0.462000,0.182000,-32.000000,18.400000,-64.800000
38692,2263819992,375029,2280.477613000,0.375323500,-0.963000,-0.601000,0.129000,-73.700000,42.600000,-64.600000
38693,2263829728,384765,2280.484936200,0.382646700,-0.812000,-0.509000,0.215000,-103.400000,62.300000,-72.900000
38694,2263839617,394654,2280.494222000,0.391932500,-0.632000,-0.466000,0.264000,-120.300000,73.300000,-88.200000
38695,2263848803,403840,2280.509019800,0.406730300,-0.310000,-0.490000,0.251000,-124.300000,67.300000,-105.800000
38696,2263858448,413485,2280.509028500,0.406739000,0.054000,-0.444000,0.283000,-113.300000,51.000000,-120.600000
38697,2263868519,423556,2280.523148000,0.420858500,0.151000,-0.580000,0.274000,-85.200000,23.900000,-133.000000
38698,2263878133,433170,2280.539465200,0.437175700,0.078000,-0.861000,0.173000,-56.400000,3.600000,-129.200000
38699,2263887228,442265,2280.539475300,0.437185800,0.108000,-1.137000,0.050000,-33.100000,-16.000000,-106.600000
38700,2263896872,451909,2280.554999200,0.452709700,0.275000,-1.235000,-0.158000,-7.700000,-51.700000,-76.100000
38701,2263906883,461920,2280.560029500,0.457740000,-0.067000,-1.516000,-0.138000,5.400000,-91.600000,-25.500000
38702,2263916283,471320,2280.571178000,0.468888500,-0.511000,-1.598000,-0.019000,1.800000,-78.000000,0.000000
38703,2263925744,480781,2280.582227200,0.479937700,-0.564000,-1.431000,0.070000,1.700000,-62.800000,17.700000
38704,2263935755,490792,2280.591996600,0.489707100,-0.554000,-1.282000,0.066000,13.500000,-53.000000,23.100000
38705,2263945491,500528,2280.597633900,0.495344400,-0.530000,-1.177000,0.039000,24.400000,-48.700000,24.700000
38706,2263954555,509592,2280.613826100,0.511536600,-0.515000,-1.105000,-0.001000,33.500000,-47.100000,24.200000
38707,2263964199,519236,2280.614055500,0.511766000,-0.507000,-1.037000,0.017000,37.800000,-45.900000,26.100000
38708,2263974363,529400,2280.628669500,0.526380000,-0.530000,-1.015000,0.098000,36.900000,-41.600000,30.500000
38709,2263983885,538922,2280.635125600,0.532836100,-0.530000,-0.964000,0.189000,31.700000,-34.800000,33.600000
38710,2263993041,548078,2280.643121100,0.540831600,-0.527000,-0.920000,0.265000,24.800000,-28.000000,34.700000
38711,2264003234,558271,2280.665156200,0.562866700,-0.521000,-0.879000,0.317000,16.600000,-20.700000,30.500000
38712,2264012726,567763,2280.672457900,0.570168400,-0.506000,-0.848000,0.344000,6.600000,-14.200000,23.900000
38713,2264021882,576919,2280.673019400,0.570729900,-0.483000,-0.794000,0.381000,-2.300000,-9.600000,21.300000
38714,2264031496,586533,2280.695070700,0.592781200,-0.463000,-0.758000,0.401000,-8.000000,-7.000000,10.600000
38715,2264043765,598802,2280.695654600,0.593365100,-0.427000,-0.725000,0.415000,-12.300000,-6.000000,4.400000
38716,2264051120,606157,2280.706564000,0.604274500,-0.414000,-0.717000,0.410000,-11.800000,-7.400000,-3.000000
38717,2264060307,615344,2280.718124500,0.615835000,-0.401000,-0.718000,0.377000,-11.200000,-8.600000,-10.800000
38718,2264070470,625507,2280.725318400,0.623028900,-0.367000,-0.716000,0.327000,-10.000000,-10.400000,-24.200000
38719,2264080023,635060,2280.732680300,0.630390800,-0.356000,-0.700000,0.293000,-5.500000,-14.000000,-24.200000
38720,2264089240,644277,2280.747178500,0.644889000,-0.330000,-0.744000,0.315000,0.200000,-19.200000,-28.600000
38721,2264098823,653860,2280.748233900,0.645944400,-0.376000,-0.799000,0.334000,5.200000,-21.900000,-32.200000
38722,2264108773,663810,2280.763143700,0.660854200,-0.406000,-0.861000,0.348000,6.200000,-21.300000,-35.500000
38723,2264118478,673515,2280.769869500,0.667580000,-0.407000,-0.900000,0.368000,4.400000,-18.600000,-38.000000
38724,2264127634,682671,2280.780048000,0.677758500,-0.407000,-0.932000,0.385000,2.700000,-16.400000,-38.800000
38725,2264137828,692865,2280.795141100,0.692851600,-0.422000,-0.968000,0.393000,0.200000,-13.000000,-39.900000
38726,2264147258,702295,2280.800381700,0.698092200,-0.427000,-0.985000,0.387000,-2.900000,-8.600000,-39.000000
38727,2264156536,711573,2280.807966100,0.705676600,-0.410000,-0.985000,0.386000,-6.000000,-4.100000,-38.300000
