meta_label,x
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
28971,279967071,0,284.868431500,0.000000000,-0.658000,-0.916000,0.227000,3.900000,-0.800000,4.000000
28972,279976257,9186,284.882642700,0.014211200,-0.667000,-0.912000,0.236000,-3.200000,-3.500000,10.600000
28973,279986359,19288,284.894697100,0.026265600,-0.675000,-0.828000,0.263000,-8.400000,-5.500000,15.400000
28974,279996065,28994,284.897695700,0.029264200,-0.691000,-0.749000,0.304000,-9.200000,-5.300000,16.900000
28975,280005129,38058,284.913828700,0.045397200,-0.700000,-0.656000,0.331000,-5.800000,-3.100000,14.900000
28976,280014682,47611,284.913839400,0.045407900,-0.666000,-0.576000,0.355000,2.300000,-0.200000,9.400000
28977,280024784,57713,284.931497700,0.063066200,-0.637000,-0.547000,0.375000,15.000000,1.800000,1.600000
28978,280034245,67174,284.935264500,0.066833000,-0.619000,-0.584000,0.404000,26.300000,4.800000,-7.000000
28979,280043523,76452,284.942307500,0.073876000,-0.617000,-0.674000,0.453000,32.200000,9.800000,-10.500000
28980,280053686,86615,284.957574400,0.089142900,-0.626000,-0.761000,0.486000,30.000000,19.400000,-10.500000
28981,280063331,96260,284.969960100,0.101528600,-0.605000,-0.802000,0.510000,15.400000,39.400000,-5.000000
28982,280072395,105324,284.972510900,0.104079400,-0.589000,-0.764000,0.553000,8.800000,61.300000,3.000000
28983,280082009,114938,284.994774900,0.126343400,0.330000,-0.749000,-0.116000,9.500000,-52.900000,0.100000
28984,280092081,125010,284.995643700,0.127212200,-0.481000,-0.486000,0.259000,17.600000,-62.200000,43.000000
28985,280101725,134654,285.005193700,0.136762200,-0.387000,-0.621000,0.293000,16.500000,-71.600000,43.000000
28986,280110881,143810,285.017846700,0.149415200,-0.697000,-0.148000,0.304000,33.000000,-65.000000,9.400000
28987,280120434,153363,285.018424200,0.149992700,-0.849000,-0.316000,0.060000,53.500000,-58.600000,-45.000000
28988,280130597,163526,285.032471300,0.164039800,-1.161000,-0.773000,-0.010000,43.900000,1.800000,-53.300000
28989,280139722,172651,285.040854800,0.172423300,-0.707000,-0.717000,0.177000,31.400000,32.600000,-37.800000
28990,280149275,182204,285.047954900,0.179523400,-0.870000,-0.876000,0.170000,27.200000,57.200000,-40.900000
28991,280159438,192367,285.066596400,0.198164900,-0.786000,-0.973000,0.204000,16.500000,78.900000,-25.500000
28992,280168930,201859,285.071659900,0.203228400,-0.752000,-0.998000,0.236000,3.800000,93.200000,-10.000000
28993,280178116,211045,285.078357300,0.209925800,-0.661000,-0.981000,0.291000,-8.300000,101.100000,3.200000
28994,280188341,221270,285.093360500,0.224929000,-0.579000,-0.986000,0.330000,-17.100000,93.100000,15.900000
28995,280197954,230883,285.102204200,0.233772700,-0.547000,-1.011000,0.376000,-27.900000,75.600000,31.500000
28996,280207019,239948,285.107460700,0.239029200,-0.536000,-0.980000,0.382000,-29.300000,53.500000,39.900000
28997,280216694,249623,285.124901700,0.256470200,-0.599000,-0.906000,0.367000,-28.800000,33.600000,38.500000
28998,280226582,259511,285.130200000,0.261768500,-0.643000,-0.785000,0.359000,-31.300000,12.800000,30.400000
28999,280236349,269278,285.141784600,0.273353100,-0.661000,-0.675000,0.365000,-27.700000,-9.400000,18.400000
29000,280245474,278403,285.155152800,0.286721300,-0.807000,-0.652000,0.295000,-16.300000,-32.000000,6.600000
29001,280255088,288017,285.160583900,0.292152400,-0.781000,-0.649000,0.252000,0.400000,-46.100000,5.700000
29002,280265282,298211,285.167919400,0.299487900,-0.628000,-0.728000,0.232000,28.900000,-82.900000,-6.600000
29003,280274407,307336,285.183226400,0.314794900,-0.857000,-0.842000,0.267000,44.100000,-108.900000,-6.300000
29004,280283899,316828,285.183412900,0.314981400,-0.862000,-0.767000,0.464000,60.200000,-123.600000,1.400000
29005,280293848,326777,285.205265000,0.336833500,-1.068000,-0.840000,0.586000,74.300000,-112.700000,-3.500000
29006,280303828,336757,285.205436400,0.337004900,-1.159000,-0.909000,0.616000,41.200000,-47.500000,12.000000
29007,280312771,345700,285.216715400,0.348283900,-0.924000,-0.719000,0.681000,28.600000,-15.700000,13.700000
29008,280322476,355405,285.227461100,0.359029600,-0.831000,-0.520000,0.725000,11.900000,17.900000,9.200000
29009,280332548,365477,285.237084700,0.368653200,-0.842000,-0.473000,0.617000,-3.300000,60.600000,11.100000
29010,280341948,374877,285.242556400,0.374124900,-0.297000,-0.565000,-0.197000,-11.300000,-2.000000,16.600000
29011,280351226,384155,285.265064600,0.396633100,-0.051000,-0.705000,0.390000,-22.600000,-25.700000,52.800000
29012,280361298,394227,285.265688600,0.397257100,-1.006000,-0.303000,0.283000,-14.400000,-9.400000,19.900000
29013,280370972,403901,285.273558900,0.405127400,-0.653000,-0.348000,0.245000,-24.900000,-20.500000,-6.200000
29014,280380067,412996,285.292520800,0.424089300,-0.997000,-0.479000,0.154000,-57.600000,2.000000,-24.500000
29015,280389651,422580,285.292533200,0.424101700,-0.905000,-0.292000,0.205000,-90.900000,26.500000,-31.300000
29016,280399692,432621,285.303113500,0.434682000,-0.798000,-0.173000,0.273000,-103.900000,40.300000,-50.000000
29017,280409336,442265,285.313542400,0.445110900,-0.610000,-0.080000,0.288000,-91.600000,48.000000,-91.700000
29018,280418523,451452,285.317868300,0.449436800,-0.478000,-0.257000,0.247000,-72.900000,45.900000,-112.700000
29019,280428747,461676,285.339756300,0.471324800,-0.340000,-0.408000,0.232000,-56.900000,31.300000,-127.900000
29020,280438330,471259,285.340552400,0.472120900,-0.266000,-0.670000,0.194000,-22.800000,19.100000,-129.700000
29021,280447608,480537,285.351612700,0.483181200,-0.269000,-1.066000,0.122000,-13.100000,8.600000,-110.600000
29022,280456978,489907,285.363028500,0.494597000,-0.262000,-1.354000,-0.101000,-10.900000,-4.800000,-72.900000
29023,280466988,499917,285.370164000,0.501732500,-0.166000,-1.421000,-0.214000,3.900000,-32.300000,-38.500000
29024,280476694,509623,285.377871700,0.509440200,-0.425000,-1.541000,-0.146000,17.500000,-55.300000,-5.900000
29025,280485880,518809,285.392288400,0.523856900,-0.631000,-1.481000,0.028000,21.700000,-55.000000,29.700000
29026,280495555,528484,285.402216600,0.533785100,-0.665000,-1.319000,0.131000,23.700000,-49.400000,48.300000
29027,280505596,538525,285.407731100,0.539299600,-0.722000,-1.183000,0.184000,24.900000,-42.700000,54.600000
