meta_label,B
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
4364,43370323,0,98.390421500,0.000000000,-0.601000,-0.871000,0.393000,33.100000,-36.500000,-22.500000
4365,43380456,10133,98.390431400,0.000009900,-0.597000,-0.958000,0.414000,35.900000,-35.400000,-21.400000
4366,43390100,19777,98.392458600,0.002037100,-0.521000,-0.959000,0.430000,33.900000,-34.400000,-19.700000
4367,43399165,28842,98.407837200,0.017415700,-0.515000,-0.910000,0.455000,31.300000,-31.800000,-23.300000
4368,43409023,38700,98.414455400,0.024033900,-0.535000,-0.855000,0.536000,32.300000,-25.600000,-20.900000
4369,43418850,48527,98.424634100,0.034212600,-0.555000,-0.824000,0.593000,34.600000,-13.900000,-26.300000
4370,43428037,57714,98.438007400,0.047585900,-0.553000,-0.814000,0.604000,34.100000,3.600000,-32.000000
4371,43437590,67267,98.445119600,0.054698100,-0.538000,-0.796000,0.583000,30.600000,23.900000,-30.100000
4372,43447692,77369,98.452230700,0.061809200,0.046000,-0.964000,-0.036000,27.100000,-8.600000,21.000000
4373,43457275,86952,98.467234500,0.076813000,-0.305000,-0.853000,0.111000,12.900000,-34.900000,20.900000
4374,43466461,96138,98.467982200,0.077560700,-0.597000,-0.956000,0.106000,-7.700000,-13.200000,88.000000
4375,43476106,105783,98.476366700,0.085945200,-0.590000,-0.664000,0.173000,-6.800000,2.700000,81.100000
4376,43486177,115854,98.491039300,0.100617800,0.086000,-0.154000,0.319000,22.300000,-21.400000,67.800000
4377,43495547,125224,98.501696900,0.111275400,-0.144000,-0.295000,-0.004000,49.700000,-29.000000,20.900000
4378,43504947,134624,98.513623500,0.123202000,-1.207000,-0.901000,-0.126000,12.000000,41.800000,-2.300000
4379,43515110,144787,98.522449000,0.132027500,-0.781000,-0.784000,0.049000,-35.300000,87.700000,18.400000
4380,43524724,154401,98.542407300,0.151985800,-0.614000,-0.739000,0.199000,-57.700000,112.200000,24.100000
4381,43533789,163466,98.550611000,0.160189500,-0.325000,-0.710000,0.306000,-60.900000,110.900000,10.400000
4382,43543402,173079,98.550622500,0.160201000,-0.439000,-0.868000,0.273000,-63.900000,101.100000,3.500000
4383,43553657,183334,98.573784200,0.183362700,-0.578000,-1.024000,0.262000,-77.100000,101.800000,9.100000
4384,43570504,200181,98.573792700,0.183371200,-0.353000,-0.875000,0.413000,-76.100000,69.300000,9.700000
4385,43574136,203813,98.579946600,0.189525100,-0.353000,-0.875000,0.393000,-67.900000,53.000000,4.600000
4386,43582193,211870,98.596458600,0.206037100,-0.518000,-0.963000,0.373000,-60.700000,28.000000,2.100000
4387,43593089,222766,98.596662600,0.206241100,-0.648000,-0.961000,0.342000,-37.600000,7.900000,-6.300000
4388,43601512,231189,98.614851400,0.224429900,-0.639000,-0.919000,0.317000,-8.400000,-14.700000,-15.600000
4389,43610699,240376,98.617793300,0.227371800,-0.736000,-1.001000,0.263000,14.800000,-27.700000,-24.800000
4390,43620832,250509,98.624731000,0.234309500,-0.596000,-1.136000,0.363000,34.800000,-60.000000,-27.800000
4391,43630354,260031,98.639746900,0.249325400,-0.354000,-1.020000,0.285000,90.700000,-112.100000,-38.400000
4392,43639540,269217,98.640293500,0.249872000,-0.702000,-1.425000,0.232000,106.000000,-139.300000,-35.900000
4393,43649490,279167,98.662311700,0.271890200,-0.755000,-1.449000,0.360000,102.200000,-150.500000,-24.900000
4394,43659378,289055,98.662956800,0.272535300,-1.007000,-1.487000,0.508000,83.500000,-139.600000,-17.900000
4395,43668717,298394,98.672059200,0.281637700,-1.218000,-1.273000,0.637000,52.900000,-97.800000,-0.900000
4396,43677965,307642,98.692320100,0.301898600,-1.002000,-0.879000,0.658000,37.200000,-47.500000,-2.000000
4397,43688159,317836,98.692759100,0.302337600,-0.860000,-0.724000,0.629000,31.100000,15.100000,-18.100000
4398,43697620,327297,98.699845400,0.309423900,-0.679000,-0.687000,0.633000,22.000000,46.400000,-26.200000
4399,43706837,336514,98.714763000,0.324341500,0.259000,-0.837000,0.086000,8.700000,-47.400000,17.400000
4400,43716634,346311,98.729687400,0.339265900,-0.459000,-0.768000,0.073000,19.100000,-28.600000,47.600000
4401,43726492,356169,98.732158500,0.341737000,-0.736000,-0.657000,0.160000,43.700000,-2.300000,43.500000
4402,43736045,365722,98.749050200,0.358628700,-0.293000,-0.572000,0.142000,59.600000,6.500000,46.600000
4403,43745292,374969,98.749058400,0.358636900,-0.375000,-0.639000,0.128000,71.900000,22.200000,38.200000
4404,43755364,385041,98.762024900,0.371603400,-0.348000,-0.709000,0.160000,83.400000,32.700000,42.700000
4405,43765161,394838,98.768828400,0.378406900,-0.419000,-0.900000,0.104000,83.500000,49.500000,44.000000
4406,43774195,403872,98.774784500,0.384363000,-0.350000,-1.064000,0.097000,58.700000,65.700000,58.200000
4407,43783808,413485,98.791881100,0.401459600,-0.171000,-0.988000,0.175000,20.800000,65.100000,72.200000
4408,43793666,423343,98.799369900,0.408948400,-0.114000,-0.825000,0.242000,-12.800000,48.800000,81.200000
4409,43803128,432805,98.809098200,0.418676700,-0.274000,-0.629000,0.288000,-38.500000,30.900000,88.000000
4410,43812650,442327,98.827799600,0.437378100,-0.394000,-0.387000,0.328000,-58.000000,14.400000,83.200000
4411,43822630,452307,98.828136700,0.437715200,-0.506000,-0.013000,0.394000,-64.800000,-10.000000,59.800000
4412,43832488,462165,98.834746800,0.444325300,-0.673000,0.205000,0.404000,-55.600000,-18.600000,25.700000
4413,43841430,471107,98.850302800,0.459881300,-0.940000,0.112000,0.361000,-63.500000,-14.400000,0.400000
4414,43851074,480751,98.850964600,0.460543100,-0.982000,-0.002000,0.429000,-80.300000,-12.800000,-21.500000
4415,43861268,490945,98.865286600,0.474865100,-0.939000,-0.113000,0.442000,-98.200000,-15.800000,-45.500000
4416,43870882,500559,98.871893400,0.481471900,-0.870000,-0.164000,0.424000,-106.500000,-19.200000,-67.500000
4417,43879946,509623,98.880854100,0.490432600,-0.850000,-0.140000,0.362000,-80.100000,-17.000000,-83.600000
4418,43890079,519756,98.901118900,0.510697400,-0.825000,-0.487000,0.261000,-35.300000,-9.700000,-93.500000
4419,43899540,529217,98.902378200,0.511956700,-0.653000,-0.860000,0.206000,-4.400000,1.100000,-90.100000
4420,43908757,538434,98.910411700,0.519990200,-0.450000,-0.999000,0.233000,29.200000,6.000000,-80.700000
4421,43918402,548079,98.935377400,0.544955900,-0.214000,-1.134000,0.246000,80.700000,5.300000,-65.700000
4422,43928412,558089,98.962443100,0.572021600,0.187000,-1.714000,0.322000,129.500000,-13.400000,-6.100000
4423,43938118,567795,98.977548200,0.587126700,-1.096000,-1.998000,-0.204000,74.100000,42.000000,44.100000
4424,43947182,576859,98.984312800,0.593891300,-0.119000,-1.794000,0.185000,44.400000,42.500000,92.800000
4425,43957009,586686,99.000260200,0.609838700,-0.304000,-1.429000,0.114000,57.400000,55.100000,100.400000
4426,43983562,613239,99.014408400,0.623986900,-0.389000,-0.929000,0.262000,9.000000,42.300000,113.000000
4427,44005841,635518,99.014418000,0.623996500,-0.716000,-0.100000,0.396000,-34.600000,15.100000,101.200000
4428,44009748,639425,99.033773100,0.643351600,-0.716000,0.099000,0.424000,-34.700000,8.200000,87.000000
4429,44028182,657859,99.033784000,0.643362500,-1.240000,0.207000,0.358000,-12.800000,2.900000,5.700000
4430,44031936,661613,99.034108200,0.643686700,-1.240000,0.207000,0.339000,-15.200000,11.700000,-8.100000
4431,44036178,665855,99.053779900,0.663358400,-1.331000,0.035000,0.370000,-22.700000,19.300000,-18.300000
