meta_label,B
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
36195,349425402,0,354.326626600,0.000000000,-0.770000,-0.774000,0.346000,-3.700000,-15.200000,13.700000
36196,349435474,10072,354.334817800,0.008191200,-0.774000,-0.721000,0.431000,-1.300000,-17.300000,16.300000
36197,349444996,19594,354.334828900,0.008202300,-0.770000,-0.658000,0.482000,3.500000,-16.400000,13.400000
36198,349454213,28811,354.358478100,0.031851500,-0.788000,-0.631000,0.521000,10.900000,-13.800000,10.700000
36199,349467886,42484,354.358490800,0.031864200,-0.786000,-0.628000,0.527000,21.100000,-3.800000,2.100000
36200,349473929,48527,354.363900800,0.037274200,-0.793000,-0.630000,0.531000,22.600000,1.500000,-2.600000
36201,349483116,57714,354.386538200,0.059911600,-0.813000,-0.652000,0.550000,25.100000,15.000000,-9.300000
36202,349492699,67297,354.386927800,0.060301200,-0.799000,-0.717000,0.521000,21.600000,33.300000,-18.200000
36203,349502801,77399,354.410600100,0.083973500,-0.747000,-0.760000,0.436000,9.400000,52.300000,-16.300000
36204,349512323,86921,354.415992700,0.089366100,-0.604000,-0.723000,0.293000,-4.900000,66.200000,-11.700000
36205,349521540,96138,354.416650700,0.090024100,-0.399000,-0.632000,0.137000,-14.400000,67.300000,-8.900000
36206,349531154,105752,354.433685900,0.107059300,0.127000,-0.670000,-0.290000,-19.200000,-25.900000,43.000000
36207,349542935,117533,354.439060900,0.112434300,-0.227000,-0.486000,0.309000,-9.200000,-47.300000,39.500000
36208,349550656,125254,354.439079900,0.112453300,-0.594000,-0.351000,0.143000,3.000000,-43.500000,20.100000
36209,349559965,134563,354.454119500,0.127492900,-0.764000,-0.263000,-0.001000,-5.800000,-6.000000,-14.000000
36210,349569976,144574,354.461279700,0.134653100,-0.869000,-0.442000,0.009000,-36.800000,32.400000,-24.000000
36211,349579742,154340,354.476462100,0.149835500,-0.875000,-0.222000,0.153000,-45.100000,65.800000,-26.400000
36212,349588867,163465,354.483695000,0.157068400,-0.595000,-0.251000,0.196000,-31.300000,77.100000,-45.000000
36213,349598451,173049,354.485739300,0.159112700,-0.690000,-0.546000,0.179000,-30.000000,88.600000,-51.000000
36214,349608583,183181,354.507570500,0.180943900,-0.702000,-0.787000,0.220000,-47.400000,96.200000,-36.200000
36215,349617922,192520,354.512128600,0.185502000,-0.652000,-0.850000,0.296000,-68.500000,93.800000,-15.700000
36216,349627292,201890,354.515184800,0.188558200,-0.583000,-0.792000,0.360000,-75.900000,76.500000,-2.800000
36217,349637486,212084,354.530753100,0.204126500,-0.608000,-0.770000,0.372000,-70.100000,48.600000,-0.100000
36218,349646977,221575,354.536196400,0.209569800,-0.673000,-0.732000,0.371000,-53.500000,0.700000,-5.400000
36219,349656195,230793,354.551374400,0.224747800,-0.807000,-0.729000,0.350000,-24.500000,-24.800000,-12.900000
36220,349665778,240376,354.566055800,0.239429200,-0.969000,-0.748000,0.352000,30.900000,-43.000000,-20.300000
36221,349675788,250386,354.566780700,0.240154100,-1.326000,-1.135000,0.307000,34.800000,-34.300000,-17.000000
36222,349685402,260000,354.585002300,0.258375700,-1.141000,-1.026000,0.543000,23.500000,-55.800000,-4.100000
36223,349694619,269217,354.585010700,0.258384100,-0.735000,-1.009000,0.584000,60.200000,-106.400000,-23.200000
36224,349704630,279228,354.596998800,0.270372200,-0.993000,-1.278000,0.531000,82.700000,-135.000000,-40.600000
36225,349714244,288842,354.604536000,0.277909400,-0.974000,-1.489000,0.379000,83.200000,-141.700000,-48.500000
36226,349723430,298028,354.611286700,0.284660100,-1.230000,-1.751000,0.151000,45.300000,-110.800000,-24.900000
36227,349733044,307642,354.626136200,0.299509600,-0.999000,-1.485000,0.155000,5.600000,-71.900000,29.400000
36228,349743085,317683,354.633568500,0.306941900,-0.633000,-1.033000,0.206000,-4.200000,-55.500000,72.500000
36229,349752729,327327,354.643043200,0.316416600,-0.576000,-0.722000,0.199000,1.200000,-49.100000,74.100000
36230,349761946,336544,354.671253200,0.344626600,-0.605000,-0.474000,0.169000,10.400000,-39.100000,63.100000
36231,349772109,346707,354.671723800,0.345097200,-0.596000,-0.269000,0.151000,26.200000,-16.500000,42.000000
36232,349781632,356230,354.680535200,0.353908600,-0.440000,-0.145000,0.156000,75.400000,-5.200000,13.300000
36233,349791429,366027,354.686017100,0.359390500,-0.415000,-0.406000,0.081000,88.900000,9.100000,-1.100000
36234,349800371,374969,354.701339700,0.374713100,-0.430000,-0.775000,0.040000,68.600000,28.000000,6.800000
36235,349813037,387635,354.702665700,0.376039100,-0.309000,-0.739000,0.081000,41.100000,43.500000,37.700000
36236,349820331,394929,354.708528800,0.381902200,-0.276000,-0.609000,0.106000,20.400000,45.300000,45.000000
36237,349829243,403841,354.723785800,0.397159200,-0.266000,-0.495000,0.132000,2.300000,45.500000,60.500000
36238,349838979,413577,354.731162600,0.404536000,-0.260000,-0.373000,0.184000,-17.800000,40.300000,72.600000
36239,349848867,423465,354.738776900,0.412150300,-0.276000,-0.171000,0.259000,-36.800000,27.300000,75.600000
36240,349858145,432743,354.746215200,0.419588600,-0.398000,0.051000,0.352000,-47.200000,8.500000,70.400000
36241,349867668,442266,354.761351200,0.434724600,-0.559000,0.232000,0.427000,-45.900000,-14.200000,55.300000
36242,349877739,452337,354.769767600,0.443141000,-0.938000,0.165000,0.423000,-47.600000,-28.600000,26.700000
36243,349887292,461890,354.775979200,0.449352600,-1.195000,0.088000,0.469000,-72.800000,-27.100000,17.200000
36244,349896570,471168,354.795422200,0.468795600,-1.116000,0.357000,0.575000,-90.400000,-34.700000,-17.200000
36245,349906123,480721,354.795629000,0.469002400,-1.168000,0.460000,0.562000,-68.000000,-37.100000,-64.900000
36246,349916225,490823,354.806523400,0.479896800,-1.258000,0.351000,0.460000,-29.700000,-27.800000,-112.900000
36247,349925656,500254,354.814552600,0.487926000,-1.308000,-0.172000,0.336000,-1.000000,-8.400000,-136.500000
36248,349935025,509623,354.820936100,0.494309500,-1.139000,-0.874000,0.293000,29.900000,9.100000,-141.500000
36249,349945097,519695,354.836921900,0.510295300,-0.886000,-1.306000,0.225000,75.900000,23.200000,-132.600000
36250,349954741,529339,354.843892600,0.517266000,-0.431000,-1.705000,0.247000,125.000000,34.600000,-106.400000
36251,349963806,538404,354.859074900,0.532448300,-0.234000,-1.998000,0.258000,95.300000,27.000000,-50.300000
36252,349973450,548048,354.866555200,0.539928600,-0.757000,-1.910000,-0.026000,41.300000,52.600000,19.100000
36253,349983583,558181,354.874030800,0.547404200,0.159000,-1.838000,0.198000,44.500000,60.500000,80.100000
36254,349993044,567642,354.889134400,0.562507800,-0.028000,-1.637000,0.136000,46.200000,50.700000,127.100000
36255,350002322,576920,354.889426300,0.562799700,-0.012000,-1.395000,0.145000,15.800000,38.100000,148.400000
36256,350012302,586900,354.908762200,0.582135600,-0.242000,-0.902000,0.129000,-6.200000,32.300000,157.000000
36257,350021977,596575,354.911308300,0.584681700,-0.413000,-0.498000,0.174000,-10.400000,34.200000,152.800000
36258,350031133,605731,354.918515800,0.591889200,-0.582000,-0.215000,0.220000,-15.100000,35.200000,147.700000
36259,350040747,615345,354.933810900,0.607184300,-0.701000,0.025000,0.266000,-21.600000,33.600000,139.900000
36260,350050757,625355,354.941912400,0.615285800,-0.780000,0.376000,0.381000,-21.100000,25.900000,116.100000
36261,350060371,634969,354.948881200,0.622254600,-0.850000,0.743000,0.440000,-16.500000,12.800000,82.900000
36262,350069557,644155,354.971095600,0.644469000,-0.978000,0.771000,0.455000,-8.700000,-0.100000,45.600000
36263,350079629,654227,354.979507800,0.652881200,-1.388000,0.381000,0.418000,-18.200000,-1.900000,14.600000
36264,350089365,663963,354.980063000,0.653436400,-1.312000,0.293000,0.518000,-51.900000,0.500000,-3.700000
36265,350098765,673363,354.993813200,0.667186600,-1.291000,0.210000,0.558000,-74.300000,-13.900000,-31.700000
36266,350108074,682672,354.994266900,0.667640300,-1.424000,0.086000,0.543000,-91.700000,-22.400000,-62.500000
36267,350118023,692621,355.017547800,0.690921200,-1.399000,-0.005000,0.521000,-96.300000,-28.900000,-119.800000
36268,350127912,702510,355.023538800,0.696912200,-1.370000,-0.099000,0.427000,-82.900000,-21.200000,-149.400000
36269,350136915,711513,355.023968100,0.697341500,-1.141000,-0.382000,0.266000,-34.500000,-12.500000,-168.100000
36270,350147078,721676,355.041711800,0.715085200,-0.905000,-0.896000,0.139000,9.800000,-0.600000,-155.200000
36271,350156509,731107,355.046582100,0.719955500,-0.585000,-1.496000,0.053000,52.200000,7.900000,-117.300000
36272,350165787,740385,355.053264400,0.726637800,-0.444000,-1.971000,-0.079000,41.300000,14.000000,-43.800000
36273,350175340,749938,355.068873900,0.742247300,-0.253000,-1.998000,-0.395000,6.000000,4.000000,32.700000
36274,350185381,759979,355.080130500,0.753503900,-0.012000,-1.896000,-0.635000,-4.000000,-29.000000,76.700000
36275,350195056,769654,355.083481000,0.756854400,-0.307000,-1.644000,-0.346000,-4.200000,-66.200000,106.700000
36276,350204242,778840,355.100886300,0.774259700,-0.731000,-1.352000,-0.077000,-9.400000,-68.300000,123.100000
36277,350213825,788423,355.106521300,0.779894700,-0.837000,-0.831000,0.080000,-16.800000,-51.700000,129.700000
36278,350223897,798495,355.117696200,0.791069600,-0.767000,-0.317000,0.180000,-8.800000,-36.900000,111.000000
36279,350233023,807621,355.128211000,0.801584400,-0.731000,-0.024000,0.231000,8.000000,-29.400000,79.500000
36280,350242667,817265,355.128909700,0.802283100,-0.760000,0.017000,0.288000,21.900000,-24.800000,29.300000
36281,350252616,827214,355.143507000,0.816880400,-0.842000,-0.104000,0.337000,25.500000,-12.700000,12.700000
36282,350262505,837103,355.151081500,0.824454900,-0.833000,-0.216000,0.365000,15.800000,-5.900000,4.000000
36283,350271539,846137,355.159722000,0.833095400,-0.787000,-0.288000,0.394000,11.600000,-6.700000,-1.200000
36284,350281092,855690,355.174828600,0.848202000,-0.800000,-0.335000,0.415000,0.600000,-9.500000,-5.500000
36285,350291255,865853,355.181110800,0.854484200,-0.850000,-0.361000,0.423000,-4.600000,-10.200000,-7.800000
36286,350300624,875222,355.189199600,0.862573000,-0.860000,-0.358000,0.435000,-7.100000,-10.900000,-11.800000
36287,350309994,884592,355.203788700,0.877162100,-0.826000,-0.352000,0.468000,-6.000000,-12.300000,-20.300000
36288,350320096,894694,355.218460300,0.891833700,-0.812000,-0.386000,0.497000,-2.800000,-12.300000,-31.700000
36289,350329801,904399,355.219560400,0.892933800,-0.839000,-0.465000,0.508000,-1.000000,-7.500000,-43.200000
36290,350338774,913372,355.233546100,0.906919500,-0.823000,-0.542000,0.469000,-3.400000,-0.600000,-50.100000
36291,350348419,923017,355.234347100,0.907720500,-0.772000,-0.571000,0.428000,-6.300000,3.600000,-54.000000
36292,350358399,932997,355.250672800,0.924046200,-0.758000,-0.606000,0.411000,-8.500000,5.300000,-59.000000
36293,350368104,942702,355.256674600,0.930048000,-0.773000,-0.659000,0.421000,-12.100000,8.100000,-60.800000
36294,350377291,951889,355.263799600,0.937173000,-0.796000,-0.700000,0.417000,-17.100000,12.300000,-61.200000
36295,350387576,962174,355.279293600,0.952667000,-0.786000,-0.708000,0.384000,-22.200000,17.800000,-58.900000
36296,350397190,971788,355.288226300,0.961599700,-0.766000,-0.700000,0.346000,-24.400000,19.600000,-56.600000
