meta_label,b
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
63347,1870749158,0,1887.469253000,0.000000000,-0.380000,-0.937000,0.189000,27.800000,6.300000,-21.100000
63348,1870758742,9584,1887.485411000,0.016158000,-0.372000,-1.005000,0.199000,32.300000,5.600000,-19.200000
63349,1870768783,19625,1887.493008800,0.023755800,-0.359000,-1.081000,0.204000,35.600000,3.100000,-14.200000
63350,1870778427,29269,1887.499920900,0.030667900,-0.366000,-1.111000,0.203000,36.400000,1.100000,-7.100000
63351,1870787614,38456,1887.519880800,0.050627800,-0.342000,-1.112000,0.209000,37.400000,-1.200000,-0.100000
63352,1870797288,48130,1887.522994400,0.053741400,-0.306000,-1.076000,0.224000,40.900000,-5.700000,5.300000
63353,1870807299,58141,1887.530004100,0.060751100,-0.290000,-1.011000,0.291000,50.100000,-11.400000,11.800000
63354,1870816699,67541,1887.544530100,0.075277100,-0.241000,-0.953000,0.372000,63.400000,-18.700000,7.000000
63355,1870826069,76911,1887.544849900,0.075596900,-0.224000,-0.923000,0.391000,77.000000,-27.900000,-1.000000
63356,1870836079,86921,1887.560017600,0.090764600,-0.251000,-0.943000,0.385000,87.200000,-34.800000,-11.400000
63357,1870845907,96749,1887.567382600,0.098129600,-0.365000,-0.998000,0.367000,84.500000,-21.900000,-10.900000
63358,1870854910,105752,1887.575688700,0.106435700,-0.482000,-1.018000,0.381000,78.700000,1.100000,-6.100000
63359,1870864493,115335,1887.594247800,0.124994800,-0.437000,-0.948000,0.387000,66.800000,20.500000,-7.600000
63360,1870874687,125529,1887.597300300,0.128047300,-0.352000,-0.901000,0.305000,62.800000,38.200000,-6.800000
63361,1870884057,134899,1887.604458500,0.135205500,-0.323000,-1.030000,-0.145000,51.800000,53.800000,-0.200000
63362,1870893365,144207,1887.619813900,0.150560900,0.594000,-0.889000,0.077000,24.900000,-107.100000,49.700000
63363,1870903498,154340,1887.627628400,0.158375400,-1.219000,-1.489000,-0.150000,-14.700000,-50.100000,42.500000
63364,1870913051,163893,1887.634417300,0.165164300,-0.562000,-0.686000,0.155000,-29.600000,-6.700000,59.600000
