meta_label,C
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
46058,444258703,0,461.233231100,0.000000000,-0.391000,-0.873000,0.083000,60.800000,20.400000,-23.000000
46059,444268195,9492,461.241407100,0.008176000,-0.400000,-1.000000,0.062000,58.800000,10.300000,-17.700000
46060,444277412,18709,461.248699700,0.015468600,-0.473000,-1.092000,0.103000,48.200000,12.000000,-8.700000
46061,444287025,28322,461.267094500,0.033863400,-0.571000,-1.102000,0.189000,25.900000,23.500000,-0.900000
46062,444297066,38363,461.271137600,0.037906500,-0.616000,-1.088000,0.291000,14.400000,40.700000,8.900000
46063,444306741,48038,461.278537800,0.045306700,-0.651000,-1.038000,0.357000,5.400000,61.100000,12.800000
46064,444315867,57164,461.293699200,0.060468100,-0.604000,-1.004000,0.368000,3.600000,76.400000,15.400000
46065,444325542,66839,461.305339400,0.072108300,-0.547000,-0.800000,0.392000,18.300000,84.700000,15.300000
46066,444335583,76880,461.308287200,0.075056100,-0.425000,-0.725000,0.392000,50.100000,85.500000,14.100000
46067,444344647,85944,461.323342500,0.090111400,0.238000,-1.112000,-0.343000,79.900000,71.500000,9.700000
46068,444354291,95588,461.323897100,0.090666000,-0.509000,-0.642000,0.076000,0.100000,-30.300000,101.400000
46069,444364485,105782,461.342226900,0.108995800,-0.651000,-0.897000,0.314000,53.200000,-34.400000,78.400000
46070,444374099,115396,461.346151800,0.112920700,-0.901000,-0.803000,0.280000,73.800000,-31.700000,53.300000
46071,444383133,124430,461.359286300,0.126055200,-0.886000,-0.788000,0.269000,66.400000,-24.500000,49.500000
46072,444393357,134654,461.368749700,0.135518600,-0.981000,-0.855000,0.277000,37.500000,-13.000000,33.100000
46073,444402757,144054,461.377698300,0.144467200,-0.866000,-0.705000,0.304000,6.500000,-6.000000,16.900000
46074,444411974,153271,461.392604700,0.159373600,-0.786000,-0.565000,0.308000,-6.200000,-5.500000,-0.700000
46075,444421619,162916,461.399160500,0.165929400,-0.682000,-0.510000,0.323000,-22.500000,-11.500000,-14.800000
46076,444431660,172957,461.405810800,0.172579700,-0.640000,-0.387000,0.244000,-40.400000,-12.600000,-32.000000
46077,444441304,182601,461.421128500,0.187897400,-0.656000,-0.159000,0.214000,-56.800000,-6.300000,-43.500000
46078,444450399,191696,461.421138500,0.187907400,-0.586000,-0.030000,0.198000,-67.700000,1.000000,-56.100000
46079,444460043,201340,461.437014000,0.203782900,-0.400000,0.166000,0.163000,-72.400000,6.200000,-71.800000
46080,444470206,211503,461.443006600,0.209775500,-0.236000,0.150000,0.130000,-60.800000,10.100000,-99.100000
46081,444479454,220751,461.454089200,0.220858100,-0.215000,-0.094000,0.051000,-48.700000,12.700000,-119.200000
46082,444488885,230182,461.466695100,0.233464000,-0.166000,-0.379000,-0.003000,-39.200000,20.400000,-132.500000
46083,444499017,240314,461.473455600,0.240224500,-0.081000,-0.679000,-0.059000,-35.100000,27.200000,-139.400000
46084,444508692,249989,461.480901100,0.247670000,-0.125000,-0.969000,-0.112000,-40.900000,45.000000,-128.300000
46085,444517757,259054,461.495862700,0.262631600,-0.012000,-1.027000,-0.105000,-37.700000,52.700000,-121.100000
46086,444527370,268667,461.496265100,0.263034000,0.115000,-1.163000,-0.108000,-15.900000,54.000000,-109.700000
46087,444537442,278739,461.510722300,0.277491200,0.085000,-1.370000,-0.102000,18.200000,55.200000,-91.700000
46088,444546964,288261,461.518460500,0.285229400,0.154000,-1.605000,-0.035000,34.900000,47.400000,-71.600000
46089,444556181,297478,461.529936700,0.296705600,-0.035000,-1.891000,-0.023000,35.700000,46.600000,-34.700000
46090,444566283,307580,461.540981200,0.307750100,-0.146000,-1.998000,0.006000,27.300000,47.800000,7.200000
46091,444575867,317164,461.548938800,0.315707700,-0.209000,-1.978000,0.076000,18.000000,45.800000,48.400000
46092,444585053,326350,461.555817000,0.322585900,-0.354000,-1.845000,0.123000,14.200000,38.600000,79.800000
46093,444594667,335964,461.571076300,0.337845200,-0.493000,-1.654000,0.157000,12.600000,32.400000,95.200000
46094,444604830,346127,461.578228100,0.344997000,-0.665000,-1.400000,0.172000,13.700000,28.700000,104.900000
46095,444614352,355649,461.587952400,0.354721300,-0.776000,-1.087000,0.200000,21.200000,29.900000,99.100000
46096,444623508,364805,461.601418600,0.368187500,-0.819000,-0.812000,0.230000,34.500000,30.700000,91.700000
46097,444633702,374999,461.608450400,0.375219300,-0.787000,-0.603000,0.268000,49.300000,27.800000,59.500000
46098,444643224,384521,461.625138200,0.391907100,-0.708000,-0.493000,0.279000,68.700000,11.600000,34.200000
46099,444652350,393647,461.630760000,0.397528900,-0.689000,-0.496000,0.212000,71.100000,0.400000,13.700000
46100,444661964,403261,461.631112400,0.397881300,-0.625000,-0.655000,-0.005000,56.400000,-14.200000,3.900000
46101,444672127,413424,461.653288800,0.420057700,-0.481000,-0.851000,-0.436000,19.600000,-41.900000,9.200000
46102,444682046,423343,461.653719100,0.420488000,-0.547000,-0.777000,-0.338000,-14.900000,-68.100000,17.800000
46103,444690805,432102,461.664943400,0.431712300,-0.600000,-0.618000,-0.124000,-33.200000,-82.200000,17.800000
46104,444700999,442296,461.681667400,0.448436300,-0.742000,-0.487000,0.023000,-40.000000,-81.900000,7.800000
46105,444710460,451757,461.683800000,0.450568900,-0.739000,-0.363000,0.097000,-39.400000,-72.400000,-9.600000
46106,444719677,460974,461.690852500,0.457621400,-0.605000,-0.367000,0.113000,-32.200000,-65.900000,-30.200000
46107,444729260,470557,461.706142700,0.472911600,-0.576000,-0.457000,0.134000,-19.800000,-60.300000,-45.100000
46108,444739332,480629,461.714942200,0.481711100,-0.550000,-0.660000,0.135000,-10.900000,-52.000000,-56.200000
46109,444748885,490182,461.720841600,0.487610500,-0.488000,-0.864000,0.125000,-10.100000,-44.500000,-52.800000
46110,444758132,499429,461.741018900,0.507787800,-0.412000,-0.974000,0.153000,-15.200000,-40.600000,-46.000000
46111,444767776,509073,461.743199200,0.509968100,-0.338000,-1.010000,0.187000,-18.800000,-41.700000,-38.800000
46112,444777848,519145,461.751412800,0.518181700,-0.320000,-1.020000,0.241000,-19.200000,-41.700000,-32.100000
46113,444787157,528454,461.765608600,0.532377500,-0.336000,-1.011000,0.282000,-18.300000,-39.000000,-27.300000
46114,444796557,537854,461.777678800,0.544447700,-0.344000,-1.004000,0.326000,-18.200000,-34.300000,-24.900000
46115,444806537,547834,461.780831500,0.547600400,-0.351000,-0.990000,0.355000,-17.300000,-28.800000,-23.800000
