meta_label,C
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
16311,1418498549,0,1435.307982400,0.000000000,-0.379000,-0.914000,0.041000,-6.200000,38.500000,24.500000
16312,1418507919,9370,1435.318441000,0.010458600,-0.474000,-0.919000,0.125000,-7.300000,44.400000,43.100000
16313,1418517258,18709,1435.318451200,0.010468800,-0.512000,-0.916000,0.219000,-4.200000,51.900000,53.100000
16314,1418527299,28750,1435.339192400,0.031210000,-0.499000,-0.894000,0.258000,1.300000,56.700000,56.800000
16315,1418537828,39279,1435.339201800,0.031219400,-0.487000,-0.923000,0.310000,5.200000,57.700000,58.400000
16316,1418546435,47886,1435.345635600,0.037653200,-0.494000,-0.938000,0.383000,5.800000,56.300000,56.300000
16317,1418555682,57133,1435.360516300,0.052533900,-0.527000,-0.921000,0.420000,5.600000,53.500000,51.200000
16318,1418565693,67144,1435.375267400,0.067285000,-0.562000,-0.921000,0.441000,3.700000,49.700000,48.400000
16319,1418575246,76697,1435.376773500,0.068791100,-0.546000,-0.858000,0.481000,7.900000,43.000000,46.000000
16320,1418584524,85975,1435.394183900,0.086201500,-0.528000,-0.799000,0.501000,16.200000,33.800000,37.800000
16321,1418594626,96077,1435.397476200,0.089493800,-0.564000,-0.768000,0.473000,26.800000,27.600000,30.900000
16322,1418604423,105874,1435.405332800,0.097350400,-0.547000,-0.708000,0.445000,41.300000,19.000000,24.200000
16323,1418613396,114847,1435.429344100,0.121361700,-0.530000,-0.678000,0.444000,62.600000,9.100000,13.800000
16324,1418623010,124461,1435.429354100,0.121371700,-0.557000,-0.723000,0.409000,80.500000,-0.400000,2.400000
16325,1418633264,134715,1435.435656300,0.127673900,0.056000,-1.151000,-0.307000,67.500000,-64.200000,31.200000
16326,1418642451,143902,1435.451363300,0.143380900,-0.798000,-0.909000,0.247000,47.900000,-98.200000,26.500000
16327,1418651881,153332,1435.458224300,0.150241900,-1.397000,-0.844000,0.311000,32.100000,-67.700000,51.400000
16328,1418661495,162946,1435.473061300,0.165078900,-0.933000,-0.747000,0.268000,15.400000,-43.400000,23.900000
16329,1418671506,172957,1435.481044500,0.173062100,-0.882000,-0.707000,0.305000,-6.500000,-32.000000,4.900000
16330,1418680723,182174,1435.481524000,0.173541600,-0.764000,-0.645000,0.318000,-25.600000,-31.800000,-5.700000
16331,1418690276,191727,1435.503738300,0.195755900,-0.751000,-0.552000,0.281000,-41.400000,-26.500000,-18.400000
16332,1418702880,204331,1435.503748300,0.195765900,-0.725000,-0.499000,0.193000,-73.500000,-13.700000,-19.300000
16333,1418710083,211534,1435.510446500,0.202464100,-0.614000,-0.413000,0.197000,-87.400000,-4.800000,-22.700000
16334,1418719148,220599,1435.532896400,0.224914000,-0.370000,-0.268000,0.196000,-89.900000,-5.300000,-39.000000
16335,1418728883,230334,1435.533079900,0.225097500,-0.245000,-0.224000,0.152000,-83.500000,-5.800000,-49.900000
16336,1418738833,240284,1435.540788100,0.232805700,-0.208000,-0.368000,0.101000,-69.200000,-2.700000,-60.900000
16337,1418747989,249440,1435.555272600,0.247290200,-0.150000,-0.526000,0.062000,-59.500000,1.500000,-65.600000
16338,1418757633,259084,1435.555644200,0.247661800,-0.108000,-0.699000,0.028000,-51.700000,6.400000,-71.800000
16339,1418767644,269095,1435.570524500,0.262542100,-0.237000,-0.917000,-0.040000,-52.200000,18.300000,-73.400000
16340,1418777349,278800,1435.579253200,0.271270800,-0.313000,-1.076000,-0.024000,-58.400000,39.400000,-58.400000
16341,1418786475,287926,1435.586716200,0.278733800,-0.251000,-1.136000,0.027000,-55.800000,53.800000,-52.100000
16342,1418796119,297570,1435.605959900,0.297977500,-0.232000,-1.209000,0.063000,-42.900000,60.800000,-25.500000
16343,1418806068,307519,1435.608695000,0.300712600,-0.276000,-1.293000,0.084000,-25.400000,65.500000,-1.600000
16344,1418815469,316920,1435.615520400,0.307538000,-0.309000,-1.349000,0.113000,5.200000,65.700000,25.000000
16345,1418824869,326320,1435.630572100,0.322589700,-0.403000,-1.417000,0.158000,25.600000,62.700000,51.500000
16346,1418834971,336422,1435.643728200,0.335745800,-0.450000,-1.446000,0.186000,37.600000,57.900000,67.300000
16347,1418844707,346158,1435.654805400,0.346823000,-0.519000,-1.440000,0.205000,45.300000,53.300000,85.400000
16348,1418853771,355222,1435.660755700,0.352773300,-0.556000,-1.367000,0.224000,51.900000,46.500000,99.000000
16349,1418863477,364928,1435.667786700,0.359804300,-0.649000,-1.305000,0.243000,54.700000,40.700000,103.700000
16350,1418873518,374969,1435.682770200,0.374787800,-0.656000,-1.206000,0.255000,46.100000,31.200000,95.900000
16351,1418882979,384430,1435.683239300,0.375256900,-0.714000,-1.055000,0.250000,23.400000,19.700000,83.800000
16352,1418892226,393677,1435.689976900,0.381994500,-0.737000,-0.846000,0.251000,7.400000,11.600000,73.300000
16353,1418902451,403902,1435.705480200,0.397497800,-0.749000,-0.634000,0.229000,-0.500000,3.600000,60.400000
16354,1418912034,413485,1435.713077300,0.405094900,-0.750000,-0.408000,0.193000,0.000000,-3.000000,46.100000
16355,1418921068,422519,1435.721708800,0.413726400,-0.639000,-0.294000,0.070000,4.900000,-8.500000,24.000000
16356,1418930651,432102,1435.737721900,0.429739500,-0.454000,-0.305000,-0.173000,7.900000,-48.500000,8.700000
16357,1418940692,442143,1435.743314700,0.435332300,-0.528000,-0.355000,-0.225000,4.200000,-74.500000,0.000000
16358,1418950245,451696,1435.751216800,0.443234400,-0.745000,-0.410000,-0.089000,0.000000,-85.200000,-12.300000
16359,1418959523,460974,1435.765430000,0.457447600,-0.844000,-0.450000,0.004000,-6.200000,-87.100000,-25.000000
16360,1418969656,471107,1435.775739500,0.467757100,-0.888000,-0.506000,0.077000,-12.400000,-82.300000,-38.200000
16361,1418979269,480720,1435.780187300,0.472204900,-0.850000,-0.607000,0.125000,-15.000000,-76.000000,-54.200000
16362,1418988364,489815,1435.796126500,0.488144100,-0.739000,-0.713000,0.159000,-16.600000,-72.400000,-65.400000
16363,1418997978,499429,1435.796140600,0.488158200,-0.707000,-0.844000,0.182000,-21.800000,-67.400000,-69.700000
16364,1419007928,509379,1435.811491300,0.503508900,-0.666000,-0.912000,0.236000,-28.100000,-60.200000,-69.200000
16365,1419017816,519267,1435.817926600,0.509944200,-0.584000,-0.944000,0.290000,-32.100000,-52.800000,-66.700000
16366,1419026881,528332,1435.826909400,0.518927000,-0.535000,-0.945000,0.329000,-31.800000,-47.300000,-62.800000
16367,1419037013,538464,1435.840424400,0.532442000,-0.528000,-0.954000,0.364000,-29.200000,-41.100000,-53.000000
16368,1419046597,548048,1435.852125500,0.544143100,-0.533000,-0.945000,0.389000,-24.100000,-27.800000,-43.900000
16369,1419055753,557204,1435.855131400,0.547149000,-0.517000,-0.931000,0.388000,-16.300000,-19.800000,-36.000000
16370,1419065275,566726,1435.871734000,0.563751600,-0.488000,-0.939000,0.382000,-6.900000,-13.200000,-31.600000
16371,1419075438,576889,1435.877984600,0.570002200,-0.469000,-0.941000,0.374000,-5.500000,-6.700000,-29.500000
16372,1419084960,586411,1435.887976900,0.579994500,-0.465000,-0.902000,0.342000,-5.300000,-0.200000,-26.900000
16373,1419094147,595598,1435.901840200,0.593857800,-0.434000,-0.892000,0.289000,-4.300000,2.300000,-21.300000
16374,1419103730,605181,1435.909095600,0.601113200,-0.396000,-0.888000,0.259000,-4.700000,1.500000,-18.800000
16375,1419113802,615253,1435.915853600,0.607871200,-0.391000,-0.890000,0.257000,-6.500000,-0.200000,-19.600000
16376,1419122988,624439,1435.930180700,0.622198300,-0.436000,-0.892000,0.273000,-9.600000,-1.100000,-21.400000
16377,1419132632,634083,1435.930635100,0.622652700,-0.496000,-0.883000,0.287000,-13.800000,1.400000,-21.500000
16378,1419142551,644002,1435.946247200,0.638264800,-0.468000,-0.888000,0.266000,-18.200000,2.500000,-15.300000
16379,1419152348,653799,1435.952784100,0.644801700,-0.432000,-0.840000,0.242000,-22.500000,1.600000,-16.800000
16380,1419161413,662864,1435.960415200,0.652432800,-0.421000,-0.819000,0.231000,-23.800000,-0.400000,-19.400000
16381,1419171088,672539,1435.976040200,0.668057800,-0.436000,-0.826000,0.239000,-24.900000,-2.800000,-23.000000
16382,1419181159,682610,1435.984875400,0.676893000,-0.467000,-0.838000,0.240000,-27.900000,-2.000000,-25.000000
16383,1419190498,691949,1435.990723100,0.682740700,-0.475000,-0.812000,0.235000,-24.500000,-0.200000,-24.400000
16384,1419199899,701350,1436.005407600,0.697425200,-0.433000,-0.796000,0.196000,-17.100000,-1.800000,-23.100000
