meta_label,C
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
5618,1315685306,0,1320.401271000,0.000000000,-0.162000,-1.032000,0.213000,-0.300000,-1.600000,11.600000
5619,1315694401,9095,1320.415684000,0.014413000,-0.175000,-0.995000,0.254000,5.500000,3.500000,13.700000
5620,1315704076,18770,1320.416339400,0.015068400,-0.209000,-1.031000,0.276000,11.500000,11.800000,16.200000
5621,1315714086,28780,1320.433450300,0.032179300,-0.228000,-1.023000,0.271000,17.400000,21.500000,20.500000
5622,1315723914,38608,1320.438744500,0.037473500,-0.191000,-1.041000,0.260000,22.500000,30.200000,25.500000
5623,1315732856,47550,1320.446157100,0.044886100,-0.158000,-1.095000,0.251000,24.900000,35.800000,32.800000
5624,1315742928,57622,1320.460705200,0.059434200,-0.120000,-1.142000,0.256000,21.600000,36.000000,40.800000
5625,1315752450,67144,1320.472073000,0.070802000,-0.119000,-1.164000,0.265000,11.000000,32.800000,45.700000
5626,1315761728,76422,1320.475681600,0.074410600,-0.155000,-1.140000,0.296000,-3.200000,29.700000,46.400000
5627,1315771373,86067,1320.492410100,0.091139100,-0.277000,-1.131000,0.364000,-19.100000,32.800000,54.000000
5628,1315781353,96047,1320.499499600,0.098228600,-0.335000,-1.015000,0.438000,-31.300000,48.300000,56.700000
5629,1315790966,105660,1320.506814200,0.105543200,-0.301000,-0.826000,0.485000,-20.000000,54.500000,53.100000
5630,1315800153,114847,1320.520870900,0.119599900,-0.262000,-0.685000,0.499000,2.300000,54.900000,40.700000
5631,1315809828,124522,1320.537895900,0.136624900,-0.126000,-0.590000,-0.480000,18.300000,18.100000,32.100000
5632,1315819960,134654,1320.537913600,0.136642600,0.354000,-0.996000,0.261000,-1.600000,-42.200000,58.100000
5633,1315829483,144177,1320.555406800,0.154135800,-0.636000,-0.804000,0.388000,25.400000,-41.900000,70.600000
5634,1315838700,153394,1320.555740600,0.154469600,-0.519000,-0.862000,0.257000,38.600000,-38.700000,48.500000
5635,1315848649,163343,1320.567839900,0.166568900,-0.544000,-0.826000,0.294000,25.800000,-35.200000,33.800000
5636,1315858446,173140,1320.578911400,0.177640400,-0.460000,-0.837000,0.344000,21.800000,-43.600000,16.900000
5637,1315867511,182205,1320.582427700,0.181156700,-0.562000,-0.887000,0.276000,10.800000,-49.600000,0.000000
5638,1315877185,191879,1320.601816400,0.200545400,-0.638000,-0.842000,0.244000,-2.800000,-43.400000,-11.400000
5639,1315887226,201920,1320.603805500,0.202534500,-0.635000,-0.791000,0.215000,-16.500000,-29.800000,-12.100000
5640,1315896596,211290,1320.620772600,0.219501600,-0.506000,-0.660000,0.198000,-23.900000,-15.600000,-19.600000
5641,1315905935,220629,1320.633271100,0.232000100,-0.344000,-0.583000,0.196000,-26.100000,-13.100000,-27.300000
5642,1315916098,230792,1320.633574800,0.232303800,-0.225000,-0.577000,0.177000,-32.100000,-14.800000,-32.400000
5643,1315925682,240376,1320.648116400,0.246845400,-0.121000,-0.572000,0.135000,-41.000000,-18.700000,-38.400000
5644,1315934777,249471,1320.648578200,0.247307200,-0.088000,-0.583000,0.076000,-48.400000,-19.300000,-43.100000
5645,1315944451,259145,1320.660635400,0.259364400,-0.163000,-0.616000,0.030000,-56.600000,-10.600000,-45.300000
5646,1315954584,269278,1320.670220500,0.268949500,-0.171000,-0.623000,-0.006000,-62.400000,4.000000,-51.900000
5647,1315963984,278678,1320.679517600,0.278246600,-0.115000,-0.735000,-0.010000,-73.000000,18.400000,-59.200000
5648,1315973262,287956,1320.685890600,0.284619600,0.081000,-0.715000,0.027000,-78.200000,27.400000,-67.200000
5649,1315983395,298089,1320.700429900,0.299158900,0.229000,-0.755000,0.034000,-66.800000,27.600000,-71.100000
5650,1315992978,307672,1320.707995800,0.306724800,0.375000,-0.810000,0.045000,-30.900000,23.100000,-68.900000
5651,1316002134,316828,1320.716231600,0.314960600,0.404000,-0.981000,0.048000,14.600000,17.400000,-61.600000
5652,1316011687,326381,1320.735466300,0.334195300,0.146000,-1.513000,-0.060000,37.000000,20.900000,-36.500000
5653,1316021881,336575,1320.737965200,0.336694200,0.141000,-1.633000,-0.009000,37.500000,40.500000,-8.800000
5654,1316031433,346127,1320.746002400,0.344731400,0.000000,-1.825000,-0.007000,33.700000,57.500000,23.800000
5655,1316040528,355222,1320.760881300,0.359610300,-0.022000,-1.867000,0.046000,29.000000,69.500000,48.600000
5656,1316050264,364958,1320.770821500,0.369550500,-0.034000,-1.850000,0.131000,20.400000,71.400000,66.400000
5657,1316060244,374938,1320.778058600,0.376787600,-0.050000,-1.728000,0.214000,9.400000,63.600000,71.800000
5658,1316069400,384094,1320.792928200,0.391657200,-0.123000,-1.442000,0.240000,-1.200000,51.600000,68.800000
5659,1316079014,393708,1320.792940500,0.391669500,-0.204000,-1.198000,0.251000,-6.600000,38.500000,66.200000
5660,1316089177,403871,1320.807297300,0.406026300,-0.343000,-0.922000,0.264000,-4.000000,26.800000,60.300000
5661,1316098822,413516,1320.813248000,0.411977000,-0.482000,-0.670000,0.261000,5.600000,18.600000,48.900000
5662,1316107947,422641,1320.820676200,0.419405200,-0.563000,-0.525000,0.239000,23.100000,12.100000,33.900000
5663,1316118080,432774,1320.835919600,0.434648600,-0.569000,-0.496000,0.121000,40.200000,5.500000,17.800000
5664,1316127541,442235,1320.845071700,0.443800700,-0.358000,-0.561000,-0.169000,53.700000,-17.300000,2.100000
5665,1316136727,451421,1320.854613900,0.453342900,-0.407000,-0.773000,-0.256000,58.400000,-54.500000,1.600000
5666,1316146341,461035,1320.869868700,0.468597700,-0.616000,-0.960000,-0.119000,49.300000,-79.700000,3.500000
5667,1316156352,471046,1320.873388600,0.472117600,-0.697000,-0.954000,0.010000,37.200000,-80.900000,0.400000
5668,1316165966,480660,1320.881225600,0.479954600,-0.681000,-0.934000,0.147000,18.900000,-74.200000,-10.800000
5669,1316175152,489846,1320.895833400,0.494562400,-0.623000,-0.923000,0.172000,9.300000,-64.700000,-21.700000
5670,1316184766,499460,1320.896054800,0.494783800,-0.537000,-0.929000,0.258000,3.000000,-55.000000,-26.500000
5671,1316194715,509409,1320.911905600,0.510634600,-0.471000,-0.974000,0.307000,-1.500000,-43.200000,-24.800000
5672,1316204207,518901,1320.919556400,0.518285400,-0.340000,-0.999000,0.348000,-5.300000,-31.900000,-21.100000
5673,1316213699,528393,1320.929072300,0.527801300,-0.233000,-1.014000,0.382000,-7.500000,-23.500000,-16.700000
