meta_label,c
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
17050,165346342,0,184.773019700,0.000000000,-0.468000,-0.806000,0.096000,10.000000,3.700000,-13.700000
17051,165355834,9492,184.773029600,0.000009900,-0.474000,-0.863000,0.113000,13.700000,5.200000,-11.200000
17052,165365783,19441,184.794412200,0.021392500,-0.473000,-0.910000,0.135000,14.200000,7.200000,-8.300000
17053,165375672,29330,184.794916100,0.021896400,-0.478000,-0.958000,0.154000,10.000000,10.600000,-3.700000
17054,165384644,38302,184.802349800,0.029330100,-0.499000,-0.962000,0.177000,4.700000,15.300000,-1.900000
17055,165394258,47916,184.816799700,0.043780000,-0.512000,-0.947000,0.183000,1.600000,21.300000,7.700000
17056,165404421,58079,184.826159500,0.053139800,-0.521000,-0.904000,0.210000,9.400000,31.900000,14.600000
17057,165413913,67571,184.831275200,0.058255500,-0.495000,-0.888000,0.241000,21.800000,35.400000,17.700000
17058,165423130,76788,184.846631900,0.073612200,-0.472000,-0.901000,0.241000,30.300000,36.900000,18.300000
17059,165433263,86921,184.853665600,0.080645900,-0.440000,-0.966000,-0.561000,23.800000,26.600000,13.800000
17060,165442907,96565,184.865217700,0.092198000,-0.091000,-0.852000,0.173000,-19.400000,-27.800000,68.300000
17061,165451972,105630,184.876515200,0.103495500,-0.608000,-0.919000,0.161000,-16.200000,-22.100000,54.200000
17062,165461585,115243,184.876803800,0.103784100,-0.746000,-0.646000,0.177000,-1.500000,-14.200000,55.500000
17063,165471382,125040,184.891647800,0.118628100,-0.592000,-0.585000,0.217000,18.900000,-17.700000,34.800000
17064,165481271,134929,184.899786000,0.126766300,-0.687000,-0.669000,0.223000,26.000000,-20.300000,14.300000
17065,165490396,144054,184.907273900,0.134254200,-0.652000,-0.632000,0.239000,25.600000,-21.600000,0.900000
17066,165500712,154370,184.929120900,0.156101200,-0.695000,-0.625000,0.221000,25.300000,-21.600000,-18.200000
17067,165510112,163770,184.929413800,0.156394100,-0.662000,-0.646000,0.202000,21.000000,-16.800000,-27.000000
17068,165519573,173231,184.936309700,0.163290000,-0.524000,-0.652000,0.203000,14.800000,-18.600000,-33.100000
17069,165528943,182601,184.951409300,0.178389600,-0.489000,-0.754000,0.198000,3.200000,-20.500000,-35.200000
17070,165538923,192581,184.960789200,0.187769500,-0.493000,-0.815000,0.156000,-26.400000,-18.200000,-33.000000
17071,165548567,202225,184.966515900,0.193496200,-0.401000,-0.785000,0.113000,-42.000000,-16.700000,-29.900000
17072,165557723,211381,184.981815800,0.208796100,-0.333000,-0.692000,0.073000,-49.000000,-15.300000,-34.200000
17073,165567520,221178,184.988879900,0.215860200,-0.269000,-0.604000,0.023000,-49.600000,-10.800000,-43.100000
17074,165577561,231219,185.000079400,0.227059700,-0.279000,-0.678000,-0.034000,-48.000000,-1.900000,-48.700000
17075,165586595,240253,185.011568200,0.238548500,-0.342000,-0.789000,-0.089000,-52.000000,14.400000,-51.300000
17076,165596209,249867,185.012383300,0.239363600,-0.420000,-0.937000,-0.099000,-60.600000,35.500000,-50.000000
17077,165606281,259939,185.033895700,0.260876000,-0.366000,-0.963000,-0.085000,-64.600000,55.100000,-45.200000
17078,165615986,269644,185.034407200,0.261387500,-0.226000,-0.965000,-0.055000,-53.400000,64.500000,-36.400000
17079,165625050,278708,185.041360700,0.268341000,-0.093000,-0.988000,-0.008000,-26.200000,59.800000,-33.600000
17080,165635305,288963,185.057344800,0.284325100,-0.066000,-1.150000,0.006000,4.900000,41.500000,-19.700000
17081,165644766,298424,185.064054500,0.291034800,-0.275000,-1.405000,-0.013000,19.700000,26.900000,-1.500000
17082,165653953,307611,185.075282500,0.302262800,-0.343000,-1.479000,0.018000,21.800000,19.600000,17.600000
17083,165663475,317133,185.086765800,0.313746100,-0.482000,-1.424000,0.010000,30.000000,18.300000,33.500000
17084,165673547,327205,185.096330300,0.323310600,-0.616000,-1.297000,0.011000,41.000000,23.600000,43.800000
17085,165683191,336849,185.101515400,0.328495700,-0.595000,-1.211000,0.099000,47.000000,24.800000,37.000000
17086,165692378,346036,185.116283700,0.343264000,-0.632000,-1.232000,0.140000,38.900000,23.500000,25.700000
17087,165701991,355649,185.116861600,0.343841900,-0.643000,-1.149000,0.130000,24.600000,20.300000,15.100000
17088,165711941,365599,185.131413300,0.358393600,-0.639000,-1.028000,0.009000,15.400000,17.500000,11.100000
17089,165721463,375121,185.139378100,0.366358400,-0.432000,-0.978000,-0.274000,8.800000,3.200000,13.000000
17090,165730802,384460,185.150679600,0.377659900,-0.395000,-0.909000,-0.394000,-0.800000,-31.600000,28.100000
17091,165740904,394562,185.161793000,0.388773300,-0.630000,-0.859000,-0.237000,-4.400000,-56.900000,43.300000
