meta_label,D
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
37060,357742407,0,374.739731100,0.000000000,-0.476000,-0.817000,0.175000,12.000000,3.000000,-1.500000
37061,357752632,10225,374.742219800,0.002488700,-0.523000,-0.808000,0.223000,17.600000,6.900000,-7.200000
37062,357761971,19564,374.749277000,0.009545900,-0.545000,-0.809000,0.248000,25.900000,13.200000,-13.600000
37063,357771188,28781,374.764091900,0.024360800,-0.576000,-0.855000,0.265000,27.000000,22.800000,-18.800000
37064,357780985,38578,374.776492300,0.036761200,-0.575000,-0.895000,0.258000,25.100000,33.200000,-23.200000
37065,357790995,48588,374.779027800,0.039296700,-0.523000,-0.937000,0.256000,23.300000,42.500000,-25.800000
37066,357800090,57683,374.794986400,0.055255300,-0.507000,-1.163000,-0.509000,18.600000,50.900000,-24.000000
37067,357809674,67267,374.794996300,0.055265200,0.076000,-1.129000,0.148000,-0.400000,-18.800000,24.300000
37068,357819532,77125,374.816586200,0.076855100,-0.572000,-1.073000,0.047000,-9.600000,-31.100000,58.000000
37069,357829451,87044,374.816796100,0.077065000,-0.391000,-0.656000,0.119000,-8.500000,-13.400000,42.600000
37070,357838515,96108,374.824273800,0.084542700,-0.135000,-0.346000,0.120000,9.700000,-27.400000,27.800000
37071,357848129,105722,374.839192600,0.099461500,-0.638000,-0.575000,-0.047000,25.400000,-26.400000,4.800000
37072,357858231,115824,374.847240300,0.107509200,-1.074000,-0.971000,-0.091000,-11.100000,51.200000,9.500000
37073,357867570,125163,374.853907100,0.114176000,-0.381000,-0.494000,0.087000,-37.000000,58.200000,2.600000
37074,357876940,134533,374.870562500,0.130831400,-0.273000,-0.432000,0.093000,-34.800000,56.500000,-13.400000
37075,357887072,144665,374.876646100,0.136915000,-0.160000,-0.417000,0.076000,-18.700000,48.500000,-20.900000
37076,357896778,154371,374.886054300,0.146323200,-0.223000,-0.553000,0.031000,-10.500000,45.100000,-23.100000
37077,357905842,163435,374.914307200,0.174576100,-0.476000,-0.865000,0.028000,-24.000000,55.200000,-18.700000
37078,357915456,173049,374.914317700,0.174586600,-0.485000,-0.973000,0.086000,-43.600000,59.000000,-11.900000
37079,357925558,183151,374.916191000,0.176459900,-0.338000,-0.876000,0.109000,-51.200000,46.400000,-10.700000
37080,357935050,192643,374.936531000,0.196799900,-0.489000,-0.874000,0.086000,-46.600000,33.900000,-12.000000
37081,357950035,207628,374.936994400,0.197263300,-0.602000,-0.866000,0.073000,-27.900000,22.700000,-28.800000
37082,357954308,211901,374.950119800,0.210388700,-0.602000,-0.864000,0.076000,-15.400000,15.900000,-28.400000
37083,357964044,221637,374.968087100,0.228356000,-0.617000,-0.936000,0.075000,17.800000,-2.100000,-50.000000
37084,357973139,230732,374.968096400,0.228365300,-0.685000,-1.169000,0.066000,52.100000,-21.600000,-53.600000
37085,357982722,240315,374.968099700,0.228368600,-0.986000,-1.692000,-0.010000,69.500000,-28.600000,-47.300000
37086,357992733,250326,374.989290600,0.249559500,-0.343000,-1.447000,0.093000,59.800000,-74.600000,-45.200000
37087,358002529,260122,374.990004700,0.250273600,-0.249000,-1.504000,0.027000,102.400000,-121.700000,-28.000000
37088,358011594,269187,374.998485500,0.258754400,-0.706000,-1.819000,0.055000,94.200000,-136.200000,-6.700000
37089,358021635,279228,375.011724200,0.271993100,-0.769000,-1.761000,0.301000,75.300000,-132.900000,14.800000
37090,358031279,288872,375.019459600,0.279728500,-1.029000,-1.661000,0.427000,46.300000,-96.800000,29.100000
37091,358040466,298059,375.026671100,0.286940000,-1.054000,-1.188000,0.572000,22.200000,-56.700000,27.600000
37092,358050049,307642,375.049567100,0.309836000,-0.704000,-0.773000,0.602000,18.000000,-30.100000,15.600000
37093,358060151,317744,375.049835300,0.310104200,-0.754000,-0.621000,0.595000,24.300000,5.300000,-2.200000
37094,358069734,327327,375.056778100,0.317047000,0.149000,-1.049000,-0.310000,13.500000,23.000000,-22.800000
37095,358078921,336514,375.071989800,0.332258700,-0.017000,-0.096000,0.069000,5.300000,-35.400000,10.000000
37096,358088657,346250,375.079962200,0.340231100,-0.585000,-0.419000,0.014000,52.800000,-18.500000,14.800000
37097,358098515,356108,375.086565800,0.346834700,-0.198000,-0.614000,-0.039000,62.000000,2.300000,8.700000
37098,358107701,365294,375.101543700,0.361812600,-0.125000,-0.620000,-0.024000,66.800000,17.500000,12.500000
37099,358117346,374939,375.102153200,0.362422100,0.009000,-0.768000,-0.015000,64.500000,25.600000,19.600000
37100,358127387,384980,375.118216500,0.378485400,0.115000,-0.805000,-0.007000,53.900000,26.800000,26.900000
37101,358137153,394746,375.139201000,0.399469900,-0.015000,-0.913000,-0.043000,42.100000,34.800000,44.900000
37102,358146218,403811,375.140258600,0.400527500,-0.081000,-0.931000,-0.016000,27.900000,45.100000,62.800000
37103,358155801,413394,375.146521900,0.406790800,-0.040000,-0.906000,0.057000,11.800000,45.300000,76.000000
37104,358166086,423679,375.155496400,0.415765300,-0.051000,-0.671000,0.122000,0.700000,38.900000,81.000000
37105,358175151,432744,375.170017100,0.430286000,-0.271000,-0.565000,0.160000,-5.100000,31.900000,78.800000
37106,358184673,442266,375.175253200,0.435522100,-0.416000,-0.462000,0.207000,-10.600000,25.300000,71.900000
37107,358194653,452246,375.184523300,0.444792200,-0.586000,-0.379000,0.229000,-15.500000,18.300000,58.700000
37108,358204480,462073,375.194592400,0.454861300,-0.859000,-0.368000,0.234000,-25.000000,21.200000,36.900000
37109,358213484,471077,375.199073000,0.459341900,-0.969000,-0.307000,0.266000,-38.200000,28.500000,27.000000
37110,358223097,480690,375.214136600,0.474405500,-0.977000,-0.218000,0.327000,-48.700000,30.600000,-5.300000
37111,358233261,490854,375.221716100,0.481985000,-1.049000,-0.239000,0.349000,-55.800000,26.800000,-28.800000
37112,358242661,500254,375.245400300,0.505669200,-1.070000,-0.286000,0.365000,-70.100000,22.100000,-49.100000
37113,358251969,509562,375.247589600,0.507858500,-1.046000,-0.296000,0.355000,-70.600000,16.800000,-67.800000
37114,358261858,519451,375.251419800,0.511688700,-0.910000,-0.214000,0.339000,-51.100000,7.500000,-89.300000
37115,358271624,529217,375.275045600,0.535314500,-0.777000,-0.342000,0.269000,-21.600000,-5.300000,-107.600000
37116,358280811,538404,375.275056200,0.535325100,-0.731000,-0.918000,0.218000,1.900000,-16.700000,-115.900000
