meta_label,D
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
36814,2245762987,0,2262.417214500,0.000000000,-0.428000,-0.889000,0.117000,31.700000,12.800000,14.000000
36815,2245772601,9614,2262.432842500,0.015628000,-0.450000,-0.910000,0.140000,28.000000,9.300000,12.600000
36816,2245782794,19807,2262.440267300,0.023052800,-0.484000,-0.905000,0.169000,21.700000,9.700000,10.300000
36817,2245792225,29238,2262.448869400,0.031654900,-0.486000,-0.882000,0.193000,14.700000,11.200000,6.500000
36818,2245801442,38455,2262.464543000,0.047328500,-0.483000,-0.831000,0.204000,15.600000,13.200000,4.700000
36819,2245811300,48313,2262.469625200,0.052410700,-0.481000,-0.791000,0.224000,20.700000,16.800000,2.700000
36820,2245821189,58202,2262.477406300,0.060191800,-0.470000,-0.748000,0.226000,30.500000,21.600000,1.600000
36821,2245830284,67297,2262.492073500,0.074859000,-0.447000,-0.716000,0.242000,42.500000,26.400000,3.100000
36822,2245839897,76910,2262.492621200,0.075406700,-0.394000,-0.714000,0.267000,52.500000,30.900000,2.800000
36823,2245849969,86982,2262.507303700,0.090089200,0.169000,-0.971000,-0.378000,55.400000,34.000000,0.700000
36824,2245859583,96596,2262.515859400,0.098644900,-0.109000,-0.686000,0.142000,35.600000,-54.800000,51.500000
36825,2245868769,105782,2262.523474600,0.106260100,-0.361000,-0.840000,0.191000,38.300000,-65.000000,20.900000
36826,2245878353,115366,2262.540269400,0.123054900,-0.623000,-0.656000,0.170000,40.800000,-59.500000,22.100000
36827,2245888394,125407,2262.544826600,0.127612100,-0.735000,-0.781000,0.005000,33.700000,-24.400000,8.800000
36828,2245897733,134746,2262.553556800,0.136342300,-0.844000,-0.844000,-0.020000,2.300000,10.700000,8.700000
36829,2245907255,144268,2262.566776800,0.149562300,-0.489000,-0.631000,0.104000,-7.600000,19.300000,4.600000
36830,2245917235,154248,2262.577630400,0.160415900,-0.496000,-0.618000,0.121000,5.500000,27.400000,-4.500000
36831,2245926971,163984,2262.582137300,0.164922800,-0.640000,-0.782000,0.109000,0.000000,41.300000,-4.900000
36832,2245936035,173048,2262.597479600,0.180265100,-0.631000,-0.873000,0.119000,-13.500000,52.500000,-4.500000
36833,2245945649,182662,2262.597830500,0.180616000,-0.679000,-0.982000,0.125000,-35.700000,66.100000,-4.800000
36834,2245955782,192795,2262.618691300,0.201476800,-0.707000,-0.978000,0.173000,-56.300000,77.800000,-1.800000
36835,2245965243,202256,2262.619337600,0.202123100,-0.630000,-0.949000,0.238000,-67.000000,79.100000,-1.500000
