meta_label,D
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
60888,586848875,0,591.712110500,0.000000000,-0.422000,-0.948000,0.316000,-2.800000,-4.400000,3.200000
60889,586859008,10133,591.725088400,0.012977900,-0.417000,-0.952000,0.323000,-5.000000,-0.900000,1.800000
60890,586867828,18953,591.725485600,0.013375100,-0.410000,-0.939000,0.290000,-8.200000,0.000000,2.200000
60891,586877442,28567,591.725493200,0.013382700,-0.405000,-0.918000,0.277000,-9.600000,-1.800000,2.100000
60892,586887575,38700,591.745057800,0.032947300,-0.419000,-0.869000,0.297000,-4.500000,-2.500000,0.100000
60893,586896914,48039,591.745068500,0.032958000,-0.429000,-0.842000,0.347000,1.500000,-2.300000,-3.500000
60894,586906253,57378,591.765669100,0.053558600,-0.466000,-0.821000,0.405000,10.700000,2.500000,-4.200000
60895,586916447,67572,591.765681600,0.053571100,-0.437000,-0.846000,0.425000,21.500000,7.200000,-9.900000
60896,586926060,77185,591.772661500,0.060551000,-0.382000,-0.922000,0.415000,28.400000,9.500000,-17.200000
60897,586935186,86311,591.787632500,0.075522000,-0.370000,-1.016000,0.430000,25.300000,14.000000,-18.600000
60898,586944769,95894,591.795877800,0.083767300,0.059000,-0.991000,-0.204000,12.800000,21.800000,-15.600000
60899,586954780,105905,591.809756800,0.097646300,-0.369000,-1.185000,0.152000,2.500000,-36.900000,-18.100000
60900,586964241,115366,591.825319500,0.113209000,-0.433000,-1.218000,0.167000,-12.100000,-21.200000,26.900000
60901,586973580,124705,591.825583600,0.113473100,-0.519000,-0.946000,0.206000,-24.300000,-3.100000,30.300000
60902,586983285,134410,591.840471300,0.128360800,-0.169000,-0.545000,0.258000,-13.000000,0.000000,17.300000
60903,586994425,145550,591.840480600,0.128370100,-0.123000,-0.418000,0.269000,16.900000,-14.600000,-8.400000
60904,587002666,153791,591.847412200,0.135301700,-0.108000,-0.359000,0.271000,39.400000,-24.400000,-36.900000
60905,587012005,163130,591.862729300,0.150618800,-0.397000,-0.555000,-0.004000,26.200000,2.800000,-62.900000
60906,587022076,173201,591.870470500,0.158360000,-0.629000,-0.918000,0.049000,-17.900000,38.700000,-35.200000
60907,587031751,182876,591.877734000,0.165623500,-0.382000,-0.797000,0.146000,-35.500000,50.200000,-18.500000
60908,587040938,192063,591.899753700,0.187643200,-0.329000,-0.872000,0.204000,-48.100000,53.200000,-17.900000
60909,587050582,201707,591.900407000,0.188296500,-0.294000,-0.930000,0.251000,-56.500000,51.500000,-11.600000
