meta_label,d
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
26203,883480935,0,900.375386600,0.000000000,-0.456000,-0.748000,0.155000,20.600000,26.700000,19.200000
26204,883490579,9644,900.391481800,0.016095200,-0.543000,-0.799000,0.183000,33.400000,15.800000,20.000000
26205,883500528,19593,900.402069800,0.026683200,-0.590000,-0.819000,0.262000,40.800000,8.800000,14.600000
26206,883510264,29329,900.406145900,0.030759300,-0.662000,-0.885000,0.315000,40.500000,7.200000,10.200000
26207,883519451,38516,900.419791900,0.044405300,-0.716000,-0.917000,0.322000,33.400000,11.800000,10.100000
26208,883529065,48130,900.431005400,0.055618800,-0.674000,-0.924000,0.313000,23.800000,15.900000,9.400000
26209,883539136,58201,900.434748300,0.059361700,-0.648000,-0.932000,0.291000,11.400000,16.600000,9.100000
26210,883548231,67296,900.453079900,0.077693300,-0.619000,-0.891000,0.244000,-5.700000,16.000000,9.100000
26211,883557906,76971,900.453290600,0.077904000,-0.594000,-0.764000,0.223000,-20.300000,9.400000,8.000000
26212,883568008,87073,900.467889600,0.092503000,-0.214000,-0.651000,-0.423000,-18.700000,-48.000000,36.800000
26213,883577622,96687,900.473933500,0.098546900,-0.284000,-0.733000,0.196000,-27.300000,-64.000000,30.000000
26214,883586686,105751,900.480665600,0.105279000,-1.107000,-0.491000,0.187000,-17.900000,-37.100000,10.700000
26215,883596911,115976,900.494824500,0.119437900,-0.635000,-0.484000,0.208000,-23.700000,-33.600000,-2.800000
26216,883606402,125467,900.502740500,0.127353900,-0.699000,-0.483000,0.160000,-31.500000,-24.200000,-20.400000
26217,883615589,134654,900.511231100,0.135844500,-0.620000,-0.439000,0.173000,-34.000000,-14.400000,-32.100000
26218,883625203,144268,900.527727100,0.152340500,-0.582000,-0.483000,0.135000,-30.300000,-8.800000,-51.500000
26219,883635152,154217,900.532356800,0.156970200,-0.642000,-0.626000,0.093000,-34.000000,4.900000,-61.700000
26220,883644797,163862,900.541080100,0.165693500,-0.497000,-0.727000,0.071000,-34.600000,18.000000,-65.700000
26221,883653983,173048,900.554239700,0.178853100,-0.431000,-0.838000,0.065000,-28.000000,24.300000,-61.100000
26222,883663658,182723,900.555041000,0.179654400,-0.450000,-1.034000,0.058000,-17.600000,29.900000,-43.700000
26223,883673638,192703,900.569801100,0.194414500,-0.411000,-1.190000,0.062000,-8.500000,34.200000,-31.200000
26224,883683160,202225,900.577320300,0.201933700,-0.376000,-1.325000,0.080000,-0.300000,30.100000,-17.500000
26225,883692438,211503,900.584734900,0.209348300,-0.418000,-1.468000,0.107000,-0.100000,24.000000,0.700000
26226,883702540,221605,900.603332100,0.227945500,-0.584000,-1.587000,0.091000,-6.500000,26.300000,24.600000
26227,883712215,231280,900.606975700,0.231589100,-0.730000,-1.587000,0.106000,-10.800000,32.700000,50.600000
26228,883721341,240406,900.614994800,0.239608200,-0.686000,-1.468000,0.158000,-6.400000,29.200000,70.500000
26229,883730985,250050,900.629436900,0.254050300,-0.609000,-1.324000,0.214000,5.700000,16.300000,80.800000
26230,883741057,260122,900.639803300,0.264416700,-0.584000,-1.121000,0.252000,20.200000,-5.400000,79.700000
26231,883750548,269613,900.644392400,0.269005800,-0.639000,-0.862000,0.266000,41.200000,-27.300000,74.200000
26232,883759735,278800,900.666118500,0.290731900,-0.726000,-0.660000,0.297000,64.000000,-42.600000,61.400000
26233,883769929,288994,900.667425900,0.292039300,-0.691000,-0.483000,0.350000,86.500000,-56.500000,27.900000
26234,883779512,298577,900.674790500,0.299403900,-0.650000,-0.390000,0.383000,108.200000,-72.900000,5.800000
26235,883788668,307733,900.690520100,0.315133500,-0.655000,-0.443000,0.378000,119.600000,-85.700000,-9.100000
26236,883798282,317347,900.691026600,0.315640000,-0.677000,-0.498000,0.334000,116.400000,-90.800000,-16.900000
26237,883808384,327449,900.704503200,0.329116600,-0.690000,-0.578000,0.246000,82.100000,-82.300000,-16.700000
