meta_label,d
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
23520,2117941839,0,2134.622908600,0.000000000,-0.372000,-1.102000,0.151000,8.700000,20.800000,-5.200000
23521,2117951361,9522,2134.632705000,0.009796400,-0.371000,-1.049000,0.175000,-3.400000,18.400000,3.100000
23522,2117960456,18617,2134.636871900,0.013963300,-0.407000,-0.967000,0.244000,-2.500000,19.400000,8.900000
23523,2117970040,28201,2134.652440800,0.029532200,-0.430000,-0.901000,0.350000,3.500000,22.300000,9.900000
23524,2117980203,38364,2134.659087900,0.036179300,-0.453000,-0.855000,0.398000,11.400000,27.000000,8.000000
23525,2117989634,47795,2134.671501300,0.048592700,-0.479000,-0.817000,0.410000,19.700000,33.400000,5.700000
23526,2117998881,57042,2134.681773000,0.058864400,-0.461000,-0.763000,0.398000,27.900000,37.500000,0.600000
23527,2118008617,66778,2134.691267700,0.068359100,-0.419000,-0.737000,0.379000,36.900000,39.400000,-6.500000
23528,2118018536,76697,2134.696742000,0.073833400,-0.383000,-0.767000,0.321000,40.700000,37.900000,-13.500000
23529,2118027723,85884,2134.711610000,0.088701400,-0.363000,-0.847000,0.276000,34.500000,32.300000,-18.700000
23530,2118037336,95497,2134.713010300,0.090101700,-0.375000,-0.884000,0.251000,19.800000,26.000000,-19.600000
23531,2118047347,105508,2134.726738800,0.103830200,0.387000,-0.832000,-0.137000,17.600000,-54.400000,-2.700000
23532,2118057022,115183,2134.734746000,0.111837400,-0.360000,-1.199000,0.163000,-12.900000,-87.000000,29.900000
23533,2118066178,124339,2134.746391200,0.123482600,-0.932000,-0.720000,0.138000,-27.300000,-55.300000,1.600000
23534,2118075822,133983,2134.756621100,0.133712500,-0.442000,-0.565000,0.170000,-34.800000,-47.200000,-9.100000
23535,2118085802,143963,2134.767037600,0.144129000,-0.606000,-0.448000,0.086000,-29.800000,-25.800000,-34.400000
23536,2118095080,153241,2134.771867300,0.148958700,-0.510000,-0.518000,0.101000,-25.000000,-11.100000,-50.200000
23537,2118104633,162794,2134.788172500,0.165263900,-0.460000,-0.563000,0.063000,-15.100000,4.700000,-67.500000
23538,2118114674,172835,2134.794451000,0.171542400,-0.426000,-0.872000,0.039000,-7.300000,22.200000,-72.700000
23539,2118124379,182540,2134.805621600,0.182713000,-0.163000,-1.094000,0.029000,-3.600000,32.400000,-70.400000
23540,2118133474,191635,2134.822117500,0.199208900,-0.108000,-1.302000,0.038000,-7.100000,36.500000,-60.200000
23541,2118143088,201249,2134.822126100,0.199217500,-0.043000,-1.446000,0.077000,-9.100000,38.100000,-45.200000
23542,2118153221,211382,2134.832380800,0.209472200,-0.023000,-1.606000,0.111000,-9.000000,31.800000,-22.900000
23543,2118162682,220843,2134.841060000,0.218151400,-0.078000,-1.722000,0.132000,-14.900000,23.500000,20.900000
23544,2118171960,230121,2134.846859500,0.223950900,-0.147000,-1.738000,0.159000,-25.700000,13.100000,47.300000
23545,2118182093,240254,2134.863097500,0.240188900,-0.294000,-1.640000,0.132000,-34.900000,8.300000,66.000000
23546,2118191737,249898,2134.869706300,0.246797700,-0.303000,-1.454000,0.170000,-28.800000,2.200000,76.500000
23547,2118200801,258962,2134.878950500,0.256041900,-0.303000,-1.207000,0.208000,-4.800000,-8.200000,77.200000
23548,2118210415,268576,2134.893245500,0.270336900,-0.355000,-1.031000,0.238000,26.500000,-19.600000,71.700000
23549,2118220395,278556,2134.900663000,0.277754400,-0.484000,-0.921000,0.270000,58.800000,-26.200000,62.200000
23550,2118229887,288048,2134.907659800,0.284751200,-0.526000,-0.744000,0.316000,92.400000,-32.900000,47.600000
23551,2118239226,297387,2134.922044400,0.299135800,-0.505000,-0.603000,0.378000,125.300000,-42.400000,26.700000
23552,2118249298,307459,2134.930383000,0.307474400,-0.426000,-0.577000,0.452000,157.400000,-55.500000,4.000000
23553,2118258912,317073,2134.937578600,0.314670000,-0.438000,-0.661000,0.475000,175.500000,-67.600000,-15.700000
23554,2118268098,326259,2134.956214900,0.333306300,-0.443000,-0.908000,0.355000,168.700000,-74.800000,-26.900000
23555,2118277712,335873,2134.959568300,0.336659700,-0.576000,-1.064000,0.141000,119.100000,-67.400000,-8.300000
23556,2118287753,345914,2134.968034800,0.345126200,-0.561000,-0.950000,0.073000,58.900000,-51.800000,26.100000
23557,2118297489,355650,2134.981804600,0.358896000,-0.473000,-0.697000,0.084000,10.900000,-34.200000,31.500000
23558,2118306553,364714,2134.982366700,0.359458100,-0.491000,-0.446000,0.060000,-26.700000,-19.100000,23.000000
23559,2118316472,374633,2134.996964500,0.374055900,-0.205000,-0.039000,0.246000,-31.300000,-24.000000,-12.300000
23560,2118326269,384430,2135.004330500,0.381421900,-0.104000,-0.004000,0.132000,-11.600000,-33.200000,-41.800000
23561,2118335364,393525,2135.019542300,0.396633700,-0.496000,-0.320000,-0.082000,-38.500000,-12.900000,-54.100000
23562,2118344978,403139,2135.020017300,0.397108700,-0.821000,-0.650000,-0.081000,-90.000000,29.200000,-46.700000
23563,2118355141,413302,2135.035380900,0.412472300,-0.700000,-0.597000,0.099000,-122.300000,62.900000,-47.000000
23564,2118364969,423130,2135.050459700,0.427551100,-0.365000,-0.714000,0.179000,-135.200000,76.900000,-54.000000
23565,2118373850,432011,2135.050468800,0.427560200,-0.280000,-0.842000,0.211000,-138.800000,84.200000,-57.700000
23566,2118383647,441808,2135.069253300,0.446344700,-0.242000,-0.916000,0.240000,-127.900000,87.700000,-52.200000
23567,2118393627,451788,2135.071688700,0.448780100,-0.116000,-0.895000,0.230000,-89.000000,83.900000,-50.900000
23568,2118402691,460852,2135.079345700,0.456437100,-0.188000,-1.036000,0.175000,-50.400000,78.400000,-40.800000
23569,2118412336,470497,2135.094512100,0.471603500,-0.172000,-1.088000,0.157000,-24.900000,74.000000,-31.800000
23570,2118422377,480538,2135.102432800,0.479524200,-0.166000,-1.062000,0.173000,-3.900000,67.200000,-30.500000
23571,2118432021,490182,2135.110937400,0.488028800,-0.042000,-1.055000,0.115000,30.800000,39.300000,-38.300000
23572,2118441177,499338,2135.128163700,0.505255100,0.266000,-1.033000,-0.124000,50.500000,-16.500000,-34.500000
23573,2118450821,508982,2135.128174500,0.505265900,0.455000,-1.104000,-0.248000,63.500000,-88.300000,-14.500000
23574,2118460893,519054,2135.139864100,0.516955500,-0.128000,-1.381000,0.010000,54.500000,-116.600000,2.400000
23575,2118470293,528454,2135.147789000,0.524880400,-0.582000,-1.318000,0.173000,37.400000,-108.800000,15.200000
23576,2118479663,537824,2135.154382500,0.531473900,-0.685000,-1.131000,0.205000,23.100000,-87.000000,17.700000
23577,2118489734,547895,2135.169220200,0.546311600,-0.626000,-0.964000,0.212000,14.200000,-64.200000,14.900000
23578,2118499379,557540,2135.180692100,0.557783500,-0.542000,-0.845000,0.202000,13.700000,-50.000000,9.100000
23579,2118508443,566604,2135.185452200,0.562543600,-0.540000,-0.829000,0.181000,15.900000,-39.900000,3.500000
23580,2118518087,576248,2135.206222300,0.583313700,-0.523000,-0.888000,0.204000,14.000000,-30.300000,-1.900000
23581,2118528464,586625,2135.207166300,0.584257700,-0.484000,-0.907000,0.245000,9.100000,-22.000000,-4.000000
23582,2118537620,595781,2135.216313100,0.593404500,-0.446000,-0.912000,0.276000,5.000000,-14.800000,-4.000000
23583,2118546929,605090,2135.229479000,0.606570400,-0.421000,-0.910000,0.292000,0.700000,-8.500000,-7.000000
23584,2118557092,615253,2135.239622800,0.616714200,-0.378000,-0.899000,0.297000,-3.700000,-2.300000,-9.900000
23585,2118566645,624806,2135.253462100,0.630553500,-0.332000,-0.877000,0.300000,-8.200000,-0.200000,-14.800000
23586,2118575770,633931,2135.261346000,0.638437400,-0.308000,-0.865000,0.306000,-9.600000,2.100000,-20.300000
23587,2118585384,643545,2135.261358800,0.638450200,-0.312000,-0.872000,0.289000,-10.700000,6.100000,-23.000000
23588,2118595578,653739,2135.282263200,0.659354600,-0.297000,-0.910000,0.269000,-12.700000,9.100000,-24.600000
23589,2118605252,663413,2135.282699400,0.659790800,-0.242000,-0.923000,0.260000,-14.200000,7.900000,-24.800000
23590,2118614195,672356,2135.291880000,0.668971400,-0.232000,-0.942000,0.243000,-14.900000,4.600000,-24.500000
23591,2118624297,682458,2135.304724000,0.681815400,-0.237000,-0.967000,0.228000,-16.400000,1.600000,-24.200000
23592,2118634002,692163,2135.312155400,0.689246800,-0.251000,-0.985000,0.222000,-19.800000,-1.200000,-22.200000
23593,2118643097,701258,2135.319815800,0.696907200,-0.253000,-0.980000,0.225000,-23.700000,-3.900000,-19.000000
