meta_label,d
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
18858,812858814,0,817.677667700,0.000000000,-0.443000,-0.788000,0.225000,9.000000,8.500000,-3.600000
18859,812871236,12422,817.677889700,0.000222000,-0.362000,-0.909000,0.221000,33.900000,4.500000,-2.300000
18860,812878591,19777,817.693371100,0.015703400,-0.360000,-0.966000,0.254000,44.200000,0.500000,3.600000
18861,812887564,28750,817.698609000,0.020941300,-0.375000,-1.076000,0.297000,43.000000,0.300000,12.600000
18862,812897422,38608,817.721671200,0.044003500,-0.374000,-1.125000,0.387000,37.200000,0.900000,22.400000
18863,812907463,48649,817.723022100,0.045354400,-0.346000,-1.150000,0.409000,25.300000,-0.200000,24.800000
18864,812916436,57622,817.723030200,0.045362500,-0.343000,-1.104000,0.384000,5.600000,-3.700000,22.800000
18865,812926050,67236,817.749499000,0.071831300,-0.377000,-1.022000,0.398000,-14.200000,-9.600000,25.100000
18866,812938716,79902,817.749509600,0.071841900,-0.526000,-0.946000,0.450000,-49.500000,-4.700000,20.200000
18867,812946071,87257,817.752313100,0.074645400,-0.585000,-0.801000,0.478000,-59.700000,0.000000,18.000000
18868,812954952,96138,817.768727600,0.091059900,-0.197000,-0.160000,-0.456000,-66.700000,8.000000,9.500000
18869,812964780,105966,817.773757600,0.096089900,0.155000,-0.526000,0.491000,-8.100000,-66.500000,-2.400000
18870,812974607,115793,817.781236400,0.103568700,-0.805000,-0.879000,0.171000,-12.700000,-90.000000,16.100000
18871,812983763,124949,817.795840700,0.118173000,-0.828000,-0.635000,0.173000,-18.700000,-42.400000,-4.000000
18872,812993377,134563,817.796386000,0.118718300,-0.681000,-0.485000,0.155000,-22.500000,-16.200000,-30.900000
18873,813003327,144513,817.811147200,0.133479500,-0.677000,-0.450000,0.103000,-15.000000,8.300000,-57.500000
18874,813013246,154432,817.819314900,0.141647200,-0.534000,-0.642000,0.098000,-1.800000,26.000000,-73.600000
18875,813022188,163374,817.827715300,0.150047600,-0.458000,-0.971000,0.107000,-10.900000,42.600000,-67.800000
18876,813031802,172988,817.845401300,0.167733600,-0.324000,-1.198000,0.114000,-24.000000,52.300000,-48.100000
18877,813041995,183181,817.848114900,0.170447200,-0.164000,-1.311000,0.152000,-30.500000,51.000000,-21.100000
18878,813051335,192521,817.858243100,0.180575400,0.020000,-1.286000,0.186000,-22.400000,41.600000,2.100000
18879,813060735,201921,817.883821100,0.206153400,0.008000,-1.348000,0.186000,-11.900000,29.000000,17.600000
18880,813070837,212023,817.883831000,0.206163300,-0.061000,-1.461000,0.181000,-8.600000,17.800000,34.800000
18881,813080695,221881,817.893475600,0.215807900,-0.160000,-1.462000,0.192000,-7.600000,6.000000,53.800000
18882,813089515,230701,817.902862400,0.225194700,-0.261000,-1.350000,0.250000,4.700000,-3.700000,57.100000
18883,813099159,240345,817.903083900,0.225416200,-0.302000,-1.190000,0.315000,35.800000,-16.600000,49.000000
18884,813109231,250417,817.924076200,0.246408500,-0.416000,-1.267000,0.348000,63.500000,-40.900000,37.500000
18885,813118845,260031,817.924086800,0.246419100,-0.562000,-1.317000,0.351000,74.700000,-51.100000,31.300000
18886,813128031,269217,817.933409200,0.255741500,-0.670000,-1.285000,0.329000,71.400000,-54.500000,26.300000
18887,813138042,279228,817.945999600,0.268331900,-0.711000,-1.152000,0.321000,57.100000,-52.900000,21.600000
18888,813147717,288903,817.958680500,0.281012800,-0.728000,-0.983000,0.290000,49.600000,-48.500000,19.100000
18889,813156812,297998,817.961067900,0.283400200,-0.637000,-0.773000,0.256000,43.300000,-45.500000,12.600000
18890,813166487,307673,817.976800000,0.299132300,-0.533000,-0.516000,0.183000,34.400000,-40.400000,9.100000
18891,813176589,317775,817.983604600,0.305936900,-0.364000,-0.402000,0.109000,26.700000,-34.500000,11.000000
18892,813186111,327297,817.998489700,0.320822000,-0.311000,-0.432000,0.071000,15.100000,-29.500000,13.500000
18893,813195267,336453,818.006127000,0.328459300,-0.410000,-0.574000,0.005000,-28.200000,-21.100000,25.400000
18894,813205461,346647,818.017776900,0.340109200,-0.085000,0.104000,0.217000,-37.400000,-14.300000,27.600000
18895,813215074,356260,818.020989900,0.343322200,0.073000,0.201000,0.281000,7.000000,-32.900000,-16.400000
18896,813224169,365355,818.035935700,0.358268000,0.113000,0.087000,0.319000,51.900000,-56.700000,-54.300000
18897,813233783,374969,818.036398200,0.358730500,-0.410000,-0.865000,0.046000,37.500000,-79.700000,-46.100000
18898,813243855,385041,818.058944300,0.381276600,-1.068000,-0.940000,-0.117000,-58.700000,-9.100000,-22.000000
18899,813253499,394685,818.068442500,0.390774800,-0.712000,-0.222000,0.097000,-54.900000,28.700000,-31.800000
18900,813262563,403749,818.075854000,0.398186300,-0.765000,-0.552000,0.108000,-41.000000,61.300000,-47.100000
18901,813272421,413607,818.081207600,0.403539900,-0.600000,-0.883000,0.210000,-45.100000,78.900000,-48.600000
18902,813282249,423435,818.090106900,0.412439200,-0.482000,-1.352000,0.239000,-61.500000,86.300000,-30.900000
18903,813291496,432682,818.104980600,0.427312900,-0.325000,-1.386000,0.261000,-69.100000,82.500000,-10.900000
18904,813301080,442266,818.105152100,0.427484400,-0.285000,-1.436000,0.240000,-79.400000,74.000000,10.600000
18905,813311121,452307,818.119450900,0.441783200,-0.250000,-1.206000,0.264000,-89.900000,63.700000,30.700000
18906,813320887,462073,818.131180100,0.453512400,-0.178000,-0.835000,0.281000,-76.400000,44.900000,31.400000
18907,813329921,471107,818.142672900,0.465005200,-0.142000,-0.710000,0.065000,-49.700000,16.800000,10.900000
18908,813339565,480751,818.150021800,0.472354100,-0.046000,-0.542000,-0.238000,-16.100000,-25.800000,3.100000
18909,813349484,490670,818.155868100,0.478200400,-0.267000,-0.780000,-0.218000,31.000000,-82.700000,6.500000
18910,813358854,500040,818.171713000,0.494045300,-0.609000,-1.146000,-0.040000,49.500000,-84.500000,11.900000
18911,813368346,509532,818.171941100,0.494273400,-0.719000,-1.189000,0.162000,50.600000,-79.000000,14.600000
18912,813378326,519512,818.188335600,0.510667900,-0.704000,-1.096000,0.209000,61.700000,-72.700000,11.600000
18913,813388153,529339,818.193416000,0.515748300,-0.556000,-1.001000,0.151000,79.600000,-72.000000,5.600000
18914,813397187,538373,818.206506400,0.528838700,-0.525000,-1.078000,0.128000,87.600000,-68.000000,8.300000
18915,813406862,548048,818.216719400,0.539051700,-0.532000,-1.243000,0.175000,79.400000,-60.200000,20.900000
18916,813416934,558120,818.226397800,0.548730100,-0.506000,-1.165000,0.236000,68.200000,-52.200000,35.800000
18917,813426395,567581,818.230724100,0.553056400,-0.481000,-1.067000,0.311000,61.300000,-43.900000,46.900000
18918,813435673,576859,818.246510900,0.568843200,-0.481000,-1.034000,0.370000,51.700000,-33.800000,55.500000
18919,813445928,587114,818.253297200,0.575629500,-0.466000,-0.993000,0.398000,37.600000,-25.700000,57.900000
18920,813455389,596575,818.261067100,0.583399400,-0.449000,-0.925000,0.411000,20.900000,-21.700000,48.100000
18921,813464545,605731,818.282097900,0.604430200,-0.455000,-0.825000,0.430000,4.700000,-20.900000,44.100000
18922,813474098,615284,818.282109300,0.604441600,-0.523000,-0.735000,0.483000,-4.100000,-17.700000,27.300000
18923,813484200,625386,818.290926800,0.613259100,-0.575000,-0.688000,0.515000,-10.200000,-2.900000,13.000000
18924,813493814,635000,818.299413300,0.621745600,-0.582000,-0.683000,0.500000,-11.600000,6.300000,1.100000
18925,813502939,644125,818.306030100,0.628362400,-0.564000,-0.674000,0.452000,-13.600000,13.100000,-9.400000
18926,813512950,654136,818.343371400,0.665703700,-0.525000,-0.668000,0.360000,-14.200000,16.100000,-16.600000
18927,813522594,663780,818.343710400,0.666042700,-0.505000,-0.663000,0.344000,-12.400000,17.300000,-24.600000
18928,813531811,672997,818.344805200,0.667137500,-0.513000,-0.692000,0.349000,-8.900000,19.400000,-32.900000
18929,813541425,682611,818.365699200,0.688031500,-0.478000,-0.750000,0.341000,-5.500000,19.900000,-39.700000
18930,813561415,702601,818.366350800,0.688683100,-0.444000,-0.899000,0.291000,-7.800000,15.500000,-42.400000
18931,813565200,706386,818.367107500,0.689439800,-0.436000,-0.924000,0.282000,-10.800000,12.800000,-40.500000
18932,813570358,711544,818.388827500,0.711159800,-0.438000,-0.936000,0.276000,-13.800000,10.200000,-38.500000
18933,813583939,725125,818.389886200,0.712218500,-0.440000,-0.933000,0.254000,-23.400000,4.500000,-33.000000
18934,813590226,731412,818.396053100,0.718385400,-0.437000,-0.924000,0.247000,-25.700000,0.300000,-29.600000
18935,813599138,740324,818.410965000,0.733297300,-0.441000,-0.893000,0.249000,-29.000000,-0.800000,-28.700000
18936,813608752,749938,818.417145700,0.739478000,-0.434000,-0.863000,0.257000,-30.500000,-3.000000,-30.500000
18937,813618732,759918,818.433803200,0.756135500,-0.426000,-0.838000,0.277000,-28.400000,-2.500000,-33.400000
