meta_label,F
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
34398,962275914,0,979.156388800,0.000000000,-0.671000,-0.682000,0.394000,0.200000,-2.800000,-7.100000
34399,962285528,9614,979.171495400,0.015106600,-0.703000,-0.677000,0.416000,-0.400000,-3.500000,-4.500000
34400,962295691,19777,979.180419700,0.024030900,-0.731000,-0.657000,0.427000,0.300000,-0.500000,-5.300000
34401,962305305,29391,979.185988900,0.029600100,-0.709000,-0.633000,0.433000,3.500000,2.200000,-9.000000
34402,962314369,38455,979.205462200,0.049073400,-0.709000,-0.646000,0.444000,7.000000,5.200000,-13.400000
34403,962323922,48008,979.205477200,0.049088400,-0.725000,-0.648000,0.467000,10.200000,11.500000,-18.300000
34404,962333963,58049,979.218685400,0.062296600,-0.714000,-0.665000,0.511000,14.000000,19.500000,-21.200000
34405,962343577,67663,979.224537000,0.068148200,-0.695000,-0.685000,0.557000,18.300000,30.100000,-20.400000
34406,962352763,76849,979.231146500,0.074757700,-0.656000,-0.737000,0.574000,23.100000,41.500000,-16.500000
34407,962363018,87104,979.246365500,0.089976700,-0.554000,-0.814000,0.501000,19.400000,53.600000,-16.300000
34408,962372479,96565,979.253560300,0.097171500,0.171000,-0.885000,-0.054000,3.400000,-56.400000,48.400000
34409,962381666,105752,979.261276100,0.104887300,-0.411000,-1.042000,0.145000,-21.200000,-49.200000,45.900000
34410,962391280,115366,979.281057800,0.124669000,-0.967000,-1.041000,0.376000,-36.300000,-29.500000,90.300000
34411,962401260,125346,979.283294500,0.126905700,-0.480000,-0.506000,0.380000,-30.000000,-33.600000,70.700000
34412,962410782,134868,979.291709900,0.135321100,-0.925000,-0.220000,0.096000,-9.900000,-25.100000,35.700000
34413,962420121,144207,979.306562100,0.150173300,-0.900000,-0.370000,0.102000,-10.700000,20.600000,30.200000
34414,962430132,154218,979.318005400,0.161616600,-0.784000,-0.202000,0.119000,-12.300000,50.400000,21.100000
34415,962439868,163954,979.320929300,0.164540500,-0.785000,-0.252000,0.135000,-21.200000,79.400000,6.300000
34416,962448901,172987,979.336883900,0.180495100,-0.525000,-0.160000,0.212000,-24.800000,95.800000,-6.500000
34417,962458546,182632,979.336907400,0.180518600,-0.457000,-0.283000,0.222000,-18.700000,98.500000,-26.100000
34418,962468587,192673,979.356070200,0.199681400,-0.603000,-0.593000,0.215000,-23.500000,105.100000,-28.700000
34419,962478018,202104,979.358813200,0.202424400,-0.584000,-0.790000,0.290000,-43.300000,104.500000,-15.300000
34420,962487418,211504,979.365992500,0.209603700,-0.430000,-0.799000,0.434000,-55.600000,76.400000,-4.800000
34421,962497672,221758,979.381063900,0.224675100,-0.466000,-0.747000,0.487000,-40.500000,45.200000,-2.300000
34422,962507195,231281,979.390643900,0.234255100,-0.742000,-0.855000,0.403000,-29.000000,28.800000,-1.900000
34423,962516259,240345,979.396512600,0.240123800,-0.935000,-0.930000,0.366000,-22.000000,24.100000,-5.900000
34424,962525873,249959,979.413094600,0.256705800,-1.067000,-0.986000,0.400000,-14.400000,23.900000,-9.400000
34425,962536067,260153,979.418696800,0.262308000,-1.040000,-1.035000,0.416000,-2.500000,16.900000,-15.300000
34426,962545497,269583,979.431461500,0.275072700,-1.060000,-1.124000,0.366000,4.300000,6.900000,-14.600000
34427,962554684,278770,979.441674900,0.285286100,-0.993000,-1.050000,0.212000,8.000000,-4.000000,-12.800000
34428,962564450,288536,979.456566900,0.300178100,-0.405000,-0.933000,0.056000,33.600000,-46.600000,-9.700000
34429,962574461,298547,979.465426500,0.309037700,-0.524000,-1.106000,0.008000,56.500000,-121.700000,2.700000
34430,962583708,307794,979.470996200,0.314607400,-0.908000,-1.291000,0.188000,59.000000,-165.400000,37.500000
34431,962593170,317256,979.473864000,0.317475200,-1.101000,-1.114000,0.491000,53.400000,-180.200000,47.800000
34432,962603211,327297,979.493575900,0.337187100,-1.293000,-0.904000,0.730000,47.300000,-138.100000,42.000000
34433,962613496,337582,979.494205100,0.337816300,-1.410000,-0.699000,0.885000,20.200000,-83.000000,30.000000
34434,962622011,346097,979.501835500,0.345446700,-1.107000,-0.384000,0.895000,16.300000,-48.400000,2.300000
34435,962631625,355711,979.516380700,0.359991900,-0.841000,-0.274000,0.839000,15.900000,-30.600000,-29.500000
34436,962641696,365782,979.527941100,0.371552300,-0.808000,-0.426000,0.649000,1.500000,-14.400000,-42.100000
34437,962651035,375121,979.531182700,0.374793900,-0.773000,-0.595000,0.604000,-26.100000,4.000000,-35.700000
34438,962660436,384522,979.547662700,0.391273900,-0.656000,-0.439000,0.631000,-42.500000,22.900000,-26.100000
34439,962670538,394624,979.553516000,0.397127200,-0.385000,-0.324000,0.728000,-38.400000,43.300000,-24.500000
34440,962680243,404329,979.565941100,0.409552300,-0.254000,-0.322000,0.826000,-25.600000,63.800000,-28.500000
34441,962689308,413394,979.576185200,0.419796400,-0.202000,-0.300000,0.752000,-10.700000,91.800000,-34.200000
34442,962698921,423007,979.576659800,0.420271000,0.608000,-0.909000,-0.021000,9.100000,-69.400000,42.400000
34443,962709054,433140,979.591295100,0.434906300,-0.881000,-1.522000,0.066000,-17.100000,-68.700000,126.100000
34444,962718668,442754,979.603332700,0.446943900,-0.681000,-0.247000,0.427000,35.200000,-31.300000,38.300000
34445,962727793,451879,979.606386200,0.449997400,-0.873000,-0.727000,0.268000,69.500000,-3.200000,11.900000
34446,962737956,462042,979.623748200,0.467359400,-1.041000,-0.874000,0.247000,93.200000,36.400000,8.500000
34447,962747479,471565,979.628700900,0.472312100,-0.921000,-1.268000,0.343000,98.200000,61.300000,27.700000
34448,962756635,480721,979.638581600,0.482192800,-0.840000,-1.403000,0.320000,76.900000,78.700000,60.000000
34449,962766248,490334,979.651363100,0.494974300,-0.736000,-1.289000,0.304000,48.600000,88.700000,88.500000
34450,962776290,500376,979.659690500,0.503301700,-0.509000,-0.690000,0.322000,25.400000,82.800000,104.400000
34451,962785842,509928,979.666263900,0.509875100,-0.273000,-0.276000,0.331000,21.300000,64.000000,98.300000
34452,962795059,519145,979.681945100,0.525556300,-0.363000,-0.103000,0.281000,16.600000,42.400000,84.800000
34453,962805131,529217,979.689047500,0.532658700,-0.472000,0.055000,0.257000,6.500000,25.600000,71.600000
34454,962814745,538831,979.699148900,0.542760100,-0.561000,0.178000,0.244000,-1.600000,9.000000,52.500000
34455,962823992,548078,979.711229700,0.554840900,-0.745000,0.194000,0.186000,-14.200000,-3.700000,32.400000
34456,962833545,557631,979.711758600,0.555369800,-0.826000,0.142000,0.059000,-37.300000,-11.800000,8.500000
34457,962843586,567672,979.726385400,0.569996600,-0.720000,0.218000,-0.006000,-65.100000,-46.400000,-7.400000
34458,962853200,577286,979.737538400,0.581149600,-0.934000,0.264000,0.169000,-83.100000,-54.100000,-30.000000
34459,962862386,586472,979.741606400,0.585217600,-1.095000,0.216000,0.347000,-86.900000,-44.800000,-57.600000
34460,962872489,596575,979.756434900,0.600046100,-1.082000,0.087000,0.410000,-94.200000,-31.000000,-81.400000
34461,962882194,606280,979.763678400,0.607289600,-0.979000,0.007000,0.681000,-88.200000,-15.200000,-105.900000
34462,962891197,615283,979.776850800,0.620462000,-0.892000,-0.128000,0.828000,-67.100000,5.000000,-123.900000
34463,962900811,624897,979.789086100,0.632697300,-0.820000,-0.641000,0.834000,-43.000000,29.800000,-127.100000
34464,962910761,634847,979.794875200,0.638486400,-0.572000,-1.039000,0.824000,-26.700000,51.400000,-115.100000
