meta_label,F
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
31037,1560089008,0,1576.873761900,0.000000000,-0.615000,-0.923000,0.127000,-5.500000,1.700000,15.600000
31038,1560098195,9187,1576.881977700,0.008215800,-0.645000,-0.924000,0.151000,-8.800000,-2.300000,21.600000
31039,1560107717,18709,1576.882466500,0.008704600,-0.660000,-0.881000,0.164000,-12.200000,-5.900000,26.700000
31040,1560117667,28659,1576.910923500,0.037161600,-0.656000,-0.839000,0.167000,-15.300000,-9.800000,28.100000
31041,1560128135,39127,1576.911520300,0.037758400,-0.649000,-0.773000,0.215000,-17.900000,-16.200000,21.300000
31042,1560136620,47612,1576.911737000,0.037975100,-0.657000,-0.722000,0.234000,-16.800000,-20.200000,16.400000
31043,1560146264,57256,1576.933456300,0.059694400,-0.653000,-0.704000,0.274000,-9.500000,-23.800000,8.400000
31044,1560158197,69189,1576.933848600,0.060086700,-0.594000,-0.646000,0.345000,0.400000,-27.400000,-1.100000
31045,1560165797,76789,1576.945391400,0.071629500,-0.586000,-0.689000,0.406000,12.600000,-30.800000,-9.800000
31046,1560175044,86036,1576.956366200,0.082604300,-0.576000,-0.742000,0.435000,21.600000,-32.300000,-19.700000
31047,1560185146,96138,1576.964053500,0.090291600,-0.590000,-0.763000,0.440000,27.400000,-29.100000,-26.600000
31048,1560194638,105630,1576.985016900,0.111255000,-0.630000,-0.772000,0.469000,32.200000,-18.100000,-29.900000
31049,1560203916,114908,1576.985626600,0.111864700,-0.629000,-0.804000,0.513000,36.200000,-0.300000,-30.100000
31050,1560213469,124461,1576.987521200,0.113759300,-0.640000,-0.852000,0.520000,38.000000,22.600000,-29.600000
31051,1560223510,134502,1577.008139700,0.134377800,-0.566000,-0.889000,0.472000,36.900000,44.600000,-25.400000
31052,1560233154,144146,1577.008566900,0.134805000,-0.456000,-0.927000,0.378000,29.100000,61.600000,-11.700000
31053,1560242371,153363,1577.019283000,0.145521100,-0.135000,-0.959000,-0.046000,9.000000,73.200000,-7.500000
31054,1560252412,163404,1577.031042800,0.157280900,0.028000,-0.796000,-0.045000,-12.600000,-62.900000,69.400000
31055,1560262057,173049,1577.040610600,0.166848700,0.313000,-0.856000,0.227000,-4.600000,-91.800000,52.400000
31056,1560271152,182144,1577.045763400,0.172001500,-0.909000,-0.620000,0.060000,-8.600000,-52.900000,41.000000
31057,1560280796,191788,1577.060927900,0.187166000,-0.808000,-0.549000,-0.018000,-34.700000,-4.100000,46.600000
31058,1560290807,201799,1577.068573400,0.194811500,-0.574000,-0.405000,0.051000,-48.000000,21.200000,29.400000
31059,1560300451,211443,1577.077372400,0.203610500,-0.501000,-0.109000,0.163000,-32.500000,36.900000,-5.400000
31060,1560309668,220660,1577.091721600,0.217959700,-0.650000,-0.354000,0.141000,-16.300000,44.000000,-40.400000
31061,1560319282,230274,1577.099117900,0.225356000,-0.877000,-0.752000,0.082000,-31.900000,66.700000,-44.300000
31062,1560329414,240406,1577.105616400,0.231854500,-0.771000,-0.816000,0.165000,-59.700000,89.600000,-29.300000
31063,1560338479,249471,1577.120706800,0.246944900,-0.472000,-0.666000,0.265000,-64.600000,88.200000,-28.200000
31064,1560348093,259085,1577.121134600,0.247372700,-0.612000,-0.816000,0.202000,-63.600000,79.800000,-33.800000
31065,1560358225,269217,1577.151189800,0.277427900,-0.573000,-0.812000,0.228000,-66.200000,76.600000,-32.000000
31066,1560367992,278984,1577.151452000,0.277690100,-0.508000,-0.823000,0.247000,-59.300000,50.500000,-36.900000
31067,1560376995,287987,1577.152215100,0.278453200,-0.570000,-0.929000,0.237000,-47.200000,28.900000,-38.600000
31068,1560386975,297967,1577.178900400,0.305138500,-0.647000,-1.004000,0.218000,-29.200000,8.400000,-38.400000
31069,1560398206,309198,1577.178913400,0.305151500,-0.723000,-1.137000,0.183000,8.600000,-10.500000,-37.300000
31070,1560406203,317195,1577.190043400,0.316281500,-0.772000,-1.210000,0.129000,36.300000,-23.500000,-38.400000
31071,1560415450,326442,1577.195592600,0.321830700,-0.990000,-1.555000,0.073000,35.000000,-16.000000,-27.900000
31072,1560425522,336514,1577.204990400,0.331228500,-0.957000,-1.553000,0.285000,10.900000,-20.400000,-7.800000
31073,1560435014,346006,1577.218004500,0.344242600,-0.439000,-1.203000,0.270000,54.300000,-69.100000,-17.300000
31074,1560444231,355223,1577.218618900,0.344857000,-0.658000,-1.516000,0.118000,81.200000,-94.800000,-18.200000
31075,1560453875,364867,1577.233090400,0.359328500,-0.631000,-1.555000,0.084000,80.400000,-115.200000,-2.200000
31076,1560463947,374939,1577.240437000,0.366675100,-0.856000,-1.481000,0.211000,63.400000,-112.700000,16.200000
31077,1560473225,384217,1577.247935700,0.374173800,-0.885000,-1.168000,0.420000,47.400000,-81.500000,33.900000
31078,1560482747,393739,1577.266604700,0.392842800,-0.661000,-0.754000,0.589000,47.400000,-50.400000,17.200000
31079,1560492727,403719,1577.270741700,0.396979800,-0.641000,-0.626000,0.678000,55.800000,-18.100000,1.300000
31080,1560502493,413485,1577.278007700,0.404245800,-0.149000,-1.088000,-0.333000,-6.100000,-46.200000,37.400000
31081,1560511558,422550,1577.293368500,0.419606600,-0.237000,-0.351000,0.090000,26.900000,-41.800000,40.500000
31082,1560521202,432194,1577.293472900,0.419711000,-0.738000,-0.496000,0.139000,56.600000,-24.800000,35.800000
31083,1560531274,442266,1577.310031800,0.436269900,-0.422000,-0.472000,0.089000,69.300000,-12.700000,31.800000
31084,1560540796,451788,1577.315879900,0.442118000,-0.412000,-0.662000,0.060000,71.700000,1.200000,30.800000
31085,1560549982,460974,1577.325310800,0.451548900,-0.302000,-0.713000,0.108000,74.500000,8.300000,26.300000
31086,1560560237,471229,1577.342443500,0.468681600,-0.291000,-0.819000,0.106000,75.600000,12.400000,26.800000
31087,1560569668,480660,1577.345341000,0.471579100,-0.383000,-0.951000,0.099000,69.800000,22.200000,37.800000
31088,1560578915,489907,1577.353245900,0.479484000,-0.419000,-0.984000,0.132000,56.400000,31.500000,53.600000
31089,1560588499,499491,1577.368265100,0.494503200,-0.425000,-0.926000,0.194000,43.800000,35.200000,64.600000
31090,1560598570,509562,1577.390496800,0.516734900,-0.517000,-0.861000,0.232000,28.700000,34.600000,76.000000
31091,1560608062,519054,1577.391074200,0.517312300,-0.610000,-0.726000,0.259000,16.200000,34.500000,77.500000
31092,1560617340,528332,1577.400400600,0.526638700,-0.683000,-0.559000,0.271000,6.800000,34.400000,72.200000
31093,1560627351,538343,1577.406061300,0.532299400,-0.733000,-0.405000,0.294000,0.000000,33.900000,62.700000
