meta_label,F
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
22002,212960136,0,217.883885800,0.000000000,-0.230000,-0.930000,0.274000,5.300000,2.300000,-7.400000
22003,212969872,9736,217.883895600,0.000009800,-0.236000,-0.965000,0.340000,7.200000,5.100000,-9.400000
22004,212978967,18831,217.891167200,0.007281400,-0.219000,-1.001000,0.370000,10.000000,7.200000,-11.500000
22005,212988581,28445,217.906773200,0.022887400,-0.214000,-1.044000,0.392000,10.600000,8.600000,-11.300000
22006,212998530,38394,217.921827300,0.037941500,-0.199000,-1.047000,0.427000,8.900000,10.800000,-8.700000
22007,213008266,48130,217.929095500,0.045209700,-0.178000,-1.008000,0.468000,10.900000,15.200000,-8.800000
22008,213017361,57225,217.937120400,0.053234600,-0.152000,-1.028000,0.485000,17.500000,21.900000,-11.000000
22009,213027219,67083,217.951748900,0.067863100,-0.135000,-1.056000,0.456000,21.600000,30.100000,-11.400000
22010,213037046,76910,217.959822900,0.075937100,-0.109000,-1.106000,0.453000,21.700000,35.900000,-1.300000
22011,213046447,86311,217.959834100,0.075948300,-0.122000,-1.143000,0.451000,14.300000,41.600000,9.300000
22012,213055816,95680,217.982405500,0.098519700,-0.162000,-1.063000,0.437000,-4.600000,55.000000,17.100000
22013,213068726,108590,217.989838600,0.105952800,-0.171000,-0.749000,0.430000,-29.100000,66.000000,21.000000
22014,213075807,115671,217.996149500,0.112263700,-0.176000,-0.640000,-0.189000,-27.400000,69.700000,30.200000
22015,213084719,124583,218.004901500,0.121015700,0.152000,-0.406000,-0.123000,24.800000,-59.600000,130.000000
22016,213094332,134196,218.004912700,0.121026900,0.765000,-0.505000,0.209000,34.800000,-87.100000,22.700000
22017,213104404,144268,218.027378400,0.143492600,-0.784000,-0.599000,0.152000,45.500000,-62.300000,12.200000
22018,213113896,153760,218.034243000,0.150357200,-0.877000,-1.035000,-0.226000,13.200000,-22.000000,-5.400000
22019,213123113,162977,218.034677800,0.150792000,-0.534000,-0.913000,-0.044000,-47.100000,32.100000,22.000000
22020,213133276,173140,218.050061600,0.166175800,-0.186000,-0.517000,0.097000,-53.600000,43.600000,20.800000
22021,213142981,182845,218.056613500,0.172727700,-0.169000,-0.508000,0.088000,-58.700000,51.400000,1.800000
22022,213151985,191849,218.065352500,0.181466700,-0.186000,-0.601000,0.155000,-66.300000,53.300000,-3.200000
22023,213161568,201432,218.079154400,0.195268600,-0.153000,-0.706000,0.213000,-75.600000,47.800000,-11.800000
22024,213171640,211504,218.088884000,0.204998200,-0.119000,-0.841000,0.245000,-79.500000,24.600000,-32.400000
22025,213181162,221026,218.094297300,0.210411500,-0.232000,-1.020000,0.220000,-81.300000,15.800000,-30.500000
22026,213190470,230334,218.110655900,0.226770100,-0.346000,-1.128000,0.233000,-80.500000,10.200000,-18.500000
22027,213200298,240162,218.130010200,0.246124400,-0.418000,-1.146000,0.261000,-44.400000,3.900000,-15.200000
22028,213210186,250050,218.130252700,0.246366900,-0.516000,-1.268000,0.193000,-17.500000,4.900000,-31.900000
22029,213219464,259328,218.140574900,0.256689100,-0.710000,-1.447000,0.190000,0.700000,16.800000,-37.500000
22030,213228895,268759,218.141953000,0.258067200,-0.645000,-1.446000,0.207000,35.000000,26.300000,-51.100000
22031,213239058,278922,218.164950900,0.281065100,-0.671000,-1.943000,0.066000,31.800000,34.500000,-62.300000
22032,213248458,288322,218.164959300,0.281073500,-0.075000,-1.520000,0.041000,1.200000,35.400000,-29.800000
22033,213257798,297662,218.169345000,0.285459200,0.631000,-1.206000,-0.239000,81.300000,-43.200000,-15.300000
22034,213267839,307703,218.183948900,0.300063100,0.058000,-1.841000,-0.279000,102.200000,-101.500000,11.600000
22035,213277513,317377,218.191886100,0.308000300,-0.112000,-1.647000,0.218000,99.600000,-135.100000,52.400000
22036,213286608,326472,218.203535300,0.319649500,-0.576000,-1.566000,0.567000,86.700000,-123.600000,60.400000
22037,213296222,336086,218.214469900,0.330584100,-0.736000,-1.152000,0.770000,60.800000,-73.900000,49.800000
22038,213306355,346219,218.222130300,0.338244500,-0.505000,-0.732000,0.813000,52.200000,-23.100000,16.300000
22039,213315938,355802,218.241158600,0.357272800,-0.404000,-0.660000,0.719000,52.800000,-2.400000,-11.100000
22040,213325033,364897,218.243901100,0.360015300,-0.300000,-0.730000,0.629000,42.700000,16.300000,-23.400000
22041,213334800,374664,218.251272900,0.367387100,-0.291000,-0.860000,0.546000,19.800000,40.300000,-13.500000
22042,213344688,384552,218.266619000,0.382733200,-0.179000,-0.807000,0.499000,8.100000,59.600000,-6.900000
22043,213353936,393800,218.267030100,0.383144300,-0.015000,-0.577000,0.150000,10.500000,72.100000,-9.900000
22044,213363488,403352,218.282473000,0.398587200,0.602000,-1.035000,-0.075000,21.200000,-58.700000,150.700000
22045,213373621,413485,218.289330400,0.405444600,-0.468000,-1.336000,-0.031000,-24.600000,-38.900000,88.900000
22046,213383296,423160,218.304245500,0.420359700,0.154000,-0.343000,0.124000,-18.100000,-13.500000,83.200000
22047,213392360,432224,218.312074400,0.428188600,-0.114000,-0.438000,0.000000,18.900000,-1.000000,21.400000
22048,213401974,441838,218.319242200,0.435356400,-0.118000,-0.763000,-0.025000,52.900000,32.800000,-4.300000
22049,213411924,451788,218.348899800,0.465014000,-0.039000,-1.199000,0.034000,52.200000,53.500000,9.600000
22050,213421354,461218,218.350026700,0.466140900,0.005000,-1.270000,0.078000,41.200000,71.900000,32.200000
