meta_label,f
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
34058,959007161,0,965.192862000,0.000000000,-0.364000,-0.898000,0.045000,41.100000,-4.200000,12.600000
34059,959016378,9217,965.204811500,0.011949500,-0.421000,-0.912000,0.101000,46.500000,-1.000000,10.500000
34060,959025992,18831,965.215539600,0.022677600,-0.477000,-0.943000,0.176000,43.400000,7.100000,7.600000
34061,959036186,29025,965.228971500,0.036109500,-0.545000,-0.994000,0.271000,34.400000,22.800000,11.300000
34062,959045616,38455,965.231718700,0.038856700,-0.569000,-1.216000,0.308000,15.600000,42.600000,17.200000
34063,959054894,47733,965.245748400,0.052886400,-0.649000,-1.146000,0.255000,-5.600000,67.500000,30.400000
34064,959064508,57347,965.252890100,0.060028100,-0.290000,-0.937000,0.082000,-5.400000,73.900000,32.000000
34065,959074458,67297,965.260259800,0.067397800,-0.100000,-0.829000,-0.036000,14.500000,56.500000,34.700000
34066,959083827,76666,965.277462100,0.084600100,-0.114000,-0.887000,-0.017000,38.000000,30.000000,31.500000
34067,959093289,86128,965.277471600,0.084609600,-0.265000,-0.976000,0.096000,51.100000,10.000000,34.100000
34068,959103238,96077,965.292444000,0.099582000,-0.383000,-0.950000,0.268000,62.700000,-1.700000,26.800000
34069,959113157,105996,965.297857500,0.104995500,-0.522000,-0.961000,0.395000,70.300000,3.800000,6.600000
34070,959122221,115060,965.305633900,0.112771900,-0.575000,-0.970000,0.503000,72.800000,6.200000,-12.400000
34071,959131744,124583,965.320420000,0.127558000,-0.618000,-1.005000,0.515000,68.900000,21.100000,-24.700000
34072,959141937,134776,965.329554800,0.136692800,-0.055000,-1.270000,-0.292000,5.800000,-27.900000,-35.700000
34073,959151368,144207,965.338423500,0.145561500,-0.398000,-0.718000,0.166000,3.300000,-53.200000,15.600000
34074,959160646,153485,965.357052100,0.164190100,-0.972000,-1.094000,0.212000,0.200000,-38.900000,14.100000
34075,959170809,163648,965.357686000,0.164824000,-0.806000,-0.662000,0.228000,6.000000,-26.100000,0.300000
34076,959180362,173201,965.366051300,0.173189300,-0.786000,-0.502000,0.178000,7.100000,-11.600000,-16.300000
34077,959189518,182357,965.380551600,0.187689600,-0.516000,-0.391000,0.224000,5.900000,-3.900000,-35.000000
34078,959199040,191879,965.381160500,0.188298500,-0.442000,-0.343000,0.169000,2.200000,-2.800000,-53.600000
34079,959209173,202012,965.395428600,0.202566600,-0.318000,-0.350000,0.096000,-7.600000,4.100000,-61.800000
34080,959218787,211626,965.403045600,0.210183600,-0.145000,-0.314000,0.034000,-16.700000,10.200000,-61.100000
34081,959227912,220751,965.412673500,0.219811500,0.053000,-0.375000,0.006000,-19.700000,11.000000,-66.400000
34082,959237923,230762,965.428989300,0.236127300,0.025000,-0.540000,-0.043000,-29.100000,11.500000,-69.600000
34083,959247567,240406,965.433354000,0.240492000,-0.012000,-0.755000,-0.076000,-43.600000,24.400000,-64.700000
34084,959256754,249593,965.440472400,0.247610400,-0.068000,-0.912000,-0.108000,-62.600000,37.900000,-50.600000
34085,959266367,259206,965.455556200,0.262694200,-0.090000,-0.968000,-0.089000,-76.800000,50.600000,-40.800000
34086,959276500,269339,965.465189200,0.272327200,-0.148000,-1.099000,-0.064000,-84.800000,61.900000,-24.100000
34087,959286205,279044,965.470610000,0.277748000,-0.170000,-1.197000,0.051000,-83.500000,64.300000,-10.400000
34088,959295270,288109,965.490531200,0.297669200,-0.165000,-1.202000,0.086000,-70.200000,55.400000,-5.100000
34089,959304975,297814,965.492900800,0.300038800,-0.309000,-1.408000,0.079000,-63.700000,48.300000,4.200000
34090,959314986,307825,965.505405000,0.312543000,-0.478000,-1.297000,0.126000,-58.200000,44.100000,12.000000
34091,959324111,316950,965.515152400,0.322290400,-0.569000,-1.298000,0.116000,-33.000000,30.500000,6.900000
34092,959333664,326503,965.515875800,0.323013800,-0.635000,-1.227000,0.102000,-7.900000,24.300000,6.500000
34093,959343888,336727,965.531094600,0.338232600,-0.604000,-1.161000,0.105000,27.200000,11.700000,-3.700000
34094,959353472,346311,965.538970800,0.346108800,-0.888000,-1.629000,-0.025000,38.600000,13.200000,8.100000
34095,959362536,355375,965.546101300,0.353239300,0.054000,-1.192000,-0.011000,30.600000,-14.700000,-21.900000
34096,959372333,365172,965.562786500,0.369924500,0.093000,-1.257000,-0.216000,73.700000,-139.300000,-49.600000
34097,959382221,375060,965.567994100,0.375132100,-0.351000,-1.492000,-0.081000,77.700000,-180.900000,-54.000000
34098,959391408,384247,965.581649800,0.388787800,-0.514000,-1.449000,0.205000,60.600000,-185.500000,-52.700000
34099,959400961,393800,965.590506800,0.397644800,-1.159000,-1.620000,0.365000,3.200000,-122.900000,-13.200000
34100,959411154,403993,965.602793200,0.409931200,-1.051000,-1.125000,0.596000,-25.800000,-58.400000,-4.100000
34101,959420738,413577,965.605286300,0.412424300,-0.523000,-0.381000,0.713000,-4.300000,-16.100000,-23.000000
34102,959429863,422702,965.620367000,0.427505000,-0.451000,-0.503000,0.710000,9.500000,34.900000,-43.800000
