meta_label,f
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
45058,434643590,0,446.793191000,0.000000000,-0.334000,-0.948000,0.182000,38.600000,30.800000,10.500000
45059,434653265,9675,446.801368100,0.008177100,-0.366000,-0.977000,0.227000,39.400000,40.300000,13.100000
45060,434662360,18770,446.809428500,0.016237500,-0.379000,-1.017000,0.264000,39.700000,51.400000,16.700000
45061,434672005,28415,446.826264000,0.033073000,-0.334000,-1.032000,0.308000,41.400000,58.300000,22.400000
45062,434682107,38517,446.830417900,0.037226900,-0.268000,-1.059000,0.339000,46.500000,53.000000,19.800000
45063,434691598,48008,446.837958500,0.044767500,-0.153000,-1.104000,0.186000,39.300000,15.800000,13.600000
45064,434700785,57195,446.853332600,0.060141600,-0.009000,-1.221000,-0.321000,11.500000,-27.500000,45.900000
45065,434710582,66992,446.863769600,0.070578600,-0.140000,-1.238000,0.371000,15.200000,-48.500000,59.500000
45066,434720470,76880,446.868071800,0.074880800,-0.428000,-0.893000,0.242000,36.000000,-55.300000,28.800000
45067,434729718,86128,446.883070000,0.089879000,-0.518000,-0.812000,0.215000,35.200000,-52.100000,18.100000
45068,434739271,95681,446.883389800,0.090198800,-0.580000,-0.699000,0.219000,31.800000,-46.100000,2.900000
45069,434749403,105813,446.902870600,0.109679600,-0.598000,-0.566000,0.224000,31.200000,-38.900000,-21.200000
45070,434759078,115488,446.905467200,0.112276200,-0.597000,-0.532000,0.186000,31.800000,-28.400000,-42.500000
45071,434768112,124522,446.913647600,0.120456600,-0.526000,-0.582000,0.147000,30.400000,-14.400000,-52.000000
45072,434777756,134166,446.928195100,0.135004100,-0.326000,-0.675000,0.134000,28.300000,-6.100000,-58.600000
45073,434787767,144177,446.935488800,0.142297800,-0.148000,-0.755000,0.100000,22.900000,-1.800000,-57.500000
45074,434797137,153547,446.943094600,0.149903600,-0.014000,-0.830000,0.065000,12.200000,-3.100000,-50.600000
45075,434806628,163038,446.958680000,0.165489000,0.013000,-0.856000,0.008000,-1.200000,0.000000,-42.800000
45076,434816669,173079,446.965910200,0.172719200,-0.107000,-0.917000,-0.060000,-32.900000,14.200000,-30.900000
45077,434826405,182815,446.973529900,0.180338900,-0.180000,-0.917000,-0.042000,-55.500000,32.700000,-15.000000
45078,434835470,191880,446.987968600,0.194777600,-0.084000,-0.821000,0.033000,-60.700000,43.300000,-8.700000
45079,434845022,201432,446.988534400,0.195343400,-0.055000,-0.974000,0.040000,-63.700000,48.700000,-6.200000
45080,434855186,211596,447.003269300,0.210078300,-0.087000,-1.003000,0.098000,-69.800000,51.500000,-1.100000
45081,434864616,221026,447.011509300,0.218318300,-0.131000,-1.083000,0.118000,-71.200000,49.400000,1.000000
45082,434873894,230304,447.019219600,0.226028600,-0.161000,-1.096000,0.151000,-70.800000,46.500000,4.600000
45083,434883966,240376,447.037170000,0.243979000,-0.238000,-1.073000,0.171000,-64.000000,39.400000,8.800000
45084,434893580,249990,447.040076400,0.246885400,-0.365000,-1.008000,0.157000,-52.300000,36.600000,8.600000
45085,434902736,259146,447.048969400,0.255778400,-0.458000,-1.009000,0.176000,-35.600000,36.100000,3.500000
45086,434912380,268790,447.063139600,0.269948600,-0.535000,-1.113000,0.182000,-23.400000,35.200000,-5.100000
45087,434922391,278801,447.074914600,0.281723600,-0.583000,-1.223000,0.191000,-20.000000,32.200000,-2.500000
45088,434931730,288140,447.077705700,0.284514700,-0.521000,-1.263000,0.206000,-16.700000,23.200000,3.100000
45089,434941221,297631,447.092727000,0.299536000,-0.417000,-1.253000,0.214000,-11.600000,6.500000,8.300000
45090,434951263,307673,447.100364300,0.307173300,-0.344000,-1.274000,0.188000,-12.000000,-15.300000,14.500000
45091,434960937,317347,447.112054800,0.318863800,-0.117000,-1.052000,0.276000,8.100000,-55.200000,10.600000
45092,434970002,326412,447.122954300,0.329763300,-0.098000,-0.764000,0.349000,49.000000,-89.900000,-14.200000
45093,434979646,336056,447.123287200,0.330096200,-0.297000,-0.756000,0.439000,77.800000,-106.800000,-35.800000
45094,434989687,346097,447.138614700,0.345423700,-0.428000,-0.817000,0.522000,98.000000,-109.300000,-66.600000
