meta_label,I
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
34680,334859183,0,351.851254000,0.000000000,-0.630000,-0.816000,0.319000,17.000000,-7.700000,1.900000
34681,334868278,9095,351.868314500,0.017060500,-0.643000,-0.905000,0.323000,4.400000,-4.400000,0.500000
34682,334877861,18678,351.868716300,0.017462300,-0.670000,-0.900000,0.342000,-9.600000,-2.000000,3.200000
34683,334888024,28841,351.882239900,0.030985900,-0.656000,-0.839000,0.356000,-21.100000,-0.800000,0.100000
34684,334897577,38394,351.888806800,0.037552800,-0.656000,-0.782000,0.372000,-28.200000,0.900000,-5.500000
34685,334906764,47581,351.900644500,0.049390500,-0.624000,-0.698000,0.362000,-27.300000,1.600000,-11.000000
34686,334916866,57683,351.918858100,0.067604100,-0.566000,-0.637000,0.335000,-15.900000,-0.600000,-16.600000
34687,334926449,67266,351.919296000,0.068042000,-0.552000,-0.632000,0.318000,-0.700000,-4.100000,-22.300000
34688,334935758,76575,351.926101900,0.074847900,-0.551000,-0.694000,0.324000,10.800000,-8.400000,-23.400000
34689,334945158,85975,351.941279100,0.090025100,-0.567000,-0.762000,0.363000,15.600000,-12.100000,-27.400000
34690,334955229,96046,351.957177200,0.105923200,-0.595000,-0.835000,0.419000,11.700000,-10.400000,-29.800000
34691,334964904,105721,351.957186800,0.105932800,-0.636000,-0.889000,0.508000,-11.000000,0.700000,-29.300000
34692,334974030,114847,351.975756100,0.124502100,-0.681000,-0.872000,0.537000,-30.300000,22.400000,-29.700000
34693,334983705,124522,351.985920600,0.134666600,-0.685000,-0.733000,0.690000,-38.900000,52.800000,-37.500000
34694,334993715,134532,351.995620300,0.144366300,-0.639000,-0.369000,0.730000,-25.100000,89.600000,-53.200000
34695,335003237,144054,352.001240600,0.149986600,-0.076000,0.070000,0.174000,7.900000,125.900000,-79.000000
34696,335012515,153332,352.001553100,0.150299100,1.080000,-0.827000,0.251000,109.400000,-10.100000,-78.600000
34697,335022465,163282,352.023856400,0.172602400,0.179000,-1.686000,0.189000,96.600000,-47.300000,-39.000000
34698,335033086,173903,352.024373200,0.173119200,-0.706000,-1.252000,0.185000,74.700000,-33.500000,-18.200000
34699,335041387,182204,352.033711700,0.182457700,-0.089000,-1.482000,0.249000,111.000000,0.900000,-23.400000
34700,335050940,191757,352.047172200,0.195918200,-0.160000,-1.809000,0.229000,119.300000,6.600000,12.300000
34701,335061103,201920,352.055367400,0.204113400,-0.301000,-1.969000,0.271000,113.000000,25.900000,85.100000
34702,335070503,211320,352.072276400,0.221022400,-0.269000,-1.875000,0.300000,87.500000,27.600000,110.900000
34703,335079843,220660,352.076508400,0.225254400,-0.468000,-1.705000,0.296000,52.300000,31.700000,125.600000
34704,335089823,230640,352.085124100,0.233870100,-0.658000,-1.349000,0.311000,15.100000,40.400000,135.700000
