meta_label,I
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
40443,2280656228,0,2297.316188800,0.000000000,-0.776000,-0.475000,0.225000,25.900000,5.900000,-24.000000
40444,2280665934,9706,2297.316399000,0.000210200,-0.794000,-0.658000,0.211000,19.800000,2.600000,-29.000000
40445,2280675212,18984,2297.325382900,0.009194100,-0.814000,-0.793000,0.245000,4.800000,-0.600000,-21.500000
40446,2280684642,28414,2297.337615000,0.021426200,-0.792000,-0.810000,0.284000,-12.300000,-2.900000,-8.600000
40447,2280694592,38364,2297.348697500,0.032508700,-0.761000,-0.760000,0.336000,-26.000000,-5.200000,9.100000
40448,2280704175,47947,2297.354521900,0.038333100,-0.735000,-0.666000,0.409000,-35.500000,-2.900000,14.600000
40449,2280713484,57256,2297.370562400,0.054373600,-0.721000,-0.537000,0.474000,-41.600000,0.700000,13.700000
40450,2280723616,67388,2297.375539400,0.059350600,-0.722000,-0.451000,0.551000,-45.500000,8.800000,6.500000
40451,2280733230,77002,2297.398140100,0.081951300,-0.733000,-0.368000,0.632000,-46.700000,20.700000,-3.400000
40452,2280742356,86128,2297.399095100,0.082906300,-0.693000,-0.238000,0.644000,-35.800000,34.400000,-17.100000
40453,2280751970,95742,2297.400220500,0.084031700,-0.651000,-0.182000,0.636000,-16.700000,50.000000,-34.700000
40454,2280762133,105905,2297.423522200,0.107333400,-0.549000,-0.385000,0.582000,0.700000,61.100000,-53.800000
40455,2280772113,115885,2297.423531700,0.107342900,-0.421000,-0.637000,0.505000,11.200000,68.200000,-63.100000
40456,2280780902,124674,2297.428068000,0.111879200,0.609000,-0.438000,-0.003000,73.800000,-8.700000,-36.400000
40457,2280791005,134777,2297.443901400,0.127712600,-0.426000,-1.665000,0.169000,74.600000,-79.600000,-33.100000
40458,2280800466,144238,2297.450247800,0.134059000,-0.882000,-1.659000,0.333000,39.200000,-72.700000,49.400000
40459,2280809683,153455,2297.463389500,0.147200700,-1.044000,-0.951000,0.200000,15.800000,-50.900000,75.200000
40460,2280819297,163069,2297.482549100,0.166360300,-1.026000,-1.016000,0.252000,33.300000,3.300000,37.000000
40461,2280829368,173140,2297.503450000,0.187261200,-0.821000,-0.942000,0.368000,52.000000,35.200000,43.800000
40462,2280838982,182754,2297.503993500,0.187804700,-0.889000,-1.000000,0.422000,87.200000,51.000000,46.400000
40463,2280848108,191880,2297.510095600,0.193906800,-0.843000,-1.107000,0.443000,90.200000,61.000000,48.700000
