meta_label,I
meta_speed,fast

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
25408,1505966092,0,1510.662762700,0.000000000,-0.490000,-0.898000,0.294000,27.700000,9.000000,-0.800000
25409,1505976011,9919,1510.663132400,0.000369700,-0.480000,-0.955000,0.278000,22.900000,6.300000,4.200000
25410,1505984861,18769,1510.663644700,0.000882000,-0.464000,-0.959000,0.270000,13.700000,1.900000,5.400000
25411,1505994903,28811,1510.686102700,0.023340000,-0.461000,-0.943000,0.293000,3.800000,-3.200000,9.000000
25412,1506004608,38516,1510.686411700,0.023649000,-0.500000,-0.925000,0.327000,-3.800000,-6.800000,11.000000
25413,1506014039,47947,1510.694796500,0.032033800,-0.541000,-0.901000,0.352000,-12.800000,-6.100000,11.700000
25414,1506023347,57255,1510.723066800,0.060304100,-0.561000,-0.861000,0.364000,-17.300000,-4.200000,12.200000
25415,1506033632,67540,1510.735848300,0.073085600,-0.591000,-0.804000,0.401000,-19.400000,-0.500000,11.500000
25416,1506043063,76971,1510.735858000,0.073095300,-0.610000,-0.736000,0.419000,-20.700000,3.900000,9.100000
25417,1506052219,86127,1510.745828100,0.083065400,-0.598000,-0.695000,0.440000,-21.000000,7.600000,4.800000
25418,1506065953,99861,1510.746583100,0.083820400,-0.572000,-0.705000,0.434000,-25.200000,14.700000,-4.500000
25419,1506072027,105935,1510.762599100,0.099836400,-0.558000,-0.737000,0.433000,-30.200000,17.400000,-9.600000
25420,1506081060,114968,1510.769842500,0.107079800,-0.606000,-0.724000,0.470000,-41.700000,28.300000,-13.400000
25421,1506090674,124582,1510.774794100,0.112031400,-0.581000,-0.612000,0.401000,-47.300000,48.000000,-16.000000
25422,1506100746,134654,1510.791952400,0.129189700,0.699000,-0.017000,-0.118000,58.100000,-27.200000,-58.400000
25423,1506110970,144878,1510.798325300,0.135562600,-0.198000,-0.893000,0.146000,60.600000,-36.500000,-25.000000
25424,1506119485,153393,1510.798910100,0.136147400,-0.676000,-1.057000,0.252000,76.800000,-19.600000,-10.800000
25425,1506129099,163007,1510.814501600,0.151738900,-0.314000,-0.837000,0.295000,74.500000,-16.500000,-19.000000
25426,1506139171,173079,1510.820606800,0.157844100,-0.774000,-0.892000,0.084000,92.800000,31.000000,-51.900000
25427,1506148479,182387,1510.843784500,0.181021800,-0.682000,-1.285000,0.179000,112.900000,77.200000,-38.500000
25428,1506158032,191940,1510.844698100,0.181935400,-0.508000,-1.511000,0.383000,123.700000,106.300000,-10.700000
25429,1506167798,201706,1510.851237900,0.188475200,-0.186000,-1.952000,0.366000,87.100000,98.600000,16.600000
25430,1506177748,211656,1510.888895800,0.226133100,-0.022000,-1.988000,0.329000,27.100000,71.800000,49.400000
25431,1506186812,220720,1510.888907000,0.226144300,-0.212000,-1.689000,0.326000,-17.500000,51.200000,81.900000
25432,1506196426,230334,1510.889773600,0.227010900,-0.392000,-1.246000,0.321000,-39.700000,43.100000,101.700000
25433,1506206620,240528,1510.911124300,0.248361600,-0.472000,-0.793000,0.303000,-50.200000,39.300000,100.100000
25434,1506231005,264913,1510.911407500,0.248644800,-0.744000,-0.106000,0.334000,-38.200000,14.700000,23.300000
25435,1506234607,268515,1510.912372300,0.249609600,-0.793000,-0.058000,0.323000,-36.500000,14.700000,23.300000
25436,1506238971,272879,1510.940995500,0.278232800,-0.801000,-0.001000,0.304000,-34.200000,9.200000,7.200000
25437,1506253437,287345,1510.941006300,0.278243600,-0.548000,0.083000,0.088000,-13.400000,-22.700000,-32.700000
25438,1506257100,291008,1510.942226300,0.279463600,-0.360000,0.027000,-0.063000,-4.200000,-46.600000,-32.700000
25439,1506263784,297692,1510.965545200,0.302782500,-0.300000,-0.094000,-0.138000,-0.200000,-105.300000,-41.400000
25440,1506283500,317408,1510.965554700,0.302792000,-1.115000,-0.179000,0.808000,-8.700000,-92.500000,-50.700000
25441,1506287437,321345,1510.965558000,0.302795300,-1.144000,-0.179000,0.808000,-3.000000,-69.700000,-60.800000
25442,1506292839,326747,1510.986294800,0.323532100,-1.078000,-0.275000,0.892000,1.200000,-47.400000,-73.800000
25443,1506306023,339931,1510.986305400,0.323542700,-0.734000,-0.574000,0.864000,-8.200000,13.700000,-92.600000
25444,1506312280,346188,1511.002037200,0.339274500,-0.610000,-0.899000,0.894000,-15.200000,35.000000,-88.100000
