meta_label,i
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
56182,1171729425,0,1188.575732100,0.000000000,-0.701000,-0.670000,0.320000,3.000000,0.900000,6.400000
56183,1171739130,9705,1188.583429200,0.007697100,-0.713000,-0.698000,0.329000,4.400000,3.700000,2.900000
56184,1171748256,18831,1188.590482900,0.014750800,-0.703000,-0.726000,0.355000,4.500000,6.900000,1.400000
56185,1171758419,28994,1188.605613400,0.029881300,-0.678000,-0.752000,0.411000,6.100000,8.700000,1.500000
56186,1171767880,38455,1188.613090300,0.037358200,-0.689000,-0.758000,0.422000,6.900000,12.300000,0.600000
56187,1171777097,47672,1188.624914700,0.049182600,-0.678000,-0.707000,0.416000,8.600000,18.200000,2.700000
56188,1171786772,57347,1188.638488100,0.062756000,-0.647000,-0.643000,0.396000,12.300000,26.600000,4.100000
56189,1171796752,67327,1188.644133100,0.068401000,-0.625000,-0.603000,0.391000,17.900000,37.500000,5.600000
56190,1171806457,77032,1188.650894800,0.075162700,-0.174000,-0.638000,-0.142000,24.300000,47.100000,-6.600000
56191,1171815552,86127,1188.665180900,0.089448800,-0.177000,-0.754000,0.070000,-5.900000,-65.700000,39.700000
56192,1171825227,95802,1188.672657200,0.096925100,-0.065000,-0.738000,0.244000,-0.100000,-84.200000,33.100000
56193,1171835421,105996,1188.681901300,0.106169200,-0.993000,-0.616000,0.251000,5.500000,-69.400000,12.500000
56194,1171844516,115091,1188.697318400,0.121586300,-0.356000,-0.274000,0.255000,21.300000,-77.400000,-17.700000
56195,1171854007,124582,1188.697367300,0.121635200,-1.004000,-0.695000,-0.135000,-10.500000,-31.600000,-15.500000
56196,1171864048,134623,1188.713412900,0.137680800,-1.508000,-0.898000,0.094000,-55.200000,33.300000,16.300000
56197,1171873754,144329,1188.718601000,0.142868900,-0.729000,-0.116000,0.228000,-41.300000,47.000000,6.300000
56198,1171882910,153485,1188.725061700,0.149329600,-0.800000,-0.212000,0.190000,-16.000000,57.400000,-19.100000
56199,1171892524,163099,1188.740013400,0.164281300,-0.752000,-0.333000,0.210000,0.400000,67.000000,-33.100000
56200,1171902626,173201,1188.748030100,0.172298000,-0.856000,-0.584000,0.220000,5.900000,74.500000,-41.200000
56201,1171911995,182570,1188.755032400,0.179300300,-0.927000,-0.821000,0.236000,-1.100000,86.100000,-42.100000
56202,1171921304,191879,1188.774096800,0.198364700,-0.779000,-0.990000,0.284000,-11.900000,85.700000,-38.900000
56203,1171931406,201981,1188.777757100,0.202025000,-0.699000,-1.014000,0.328000,-16.300000,67.500000,-25.500000
56204,1171940989,211564,1188.785234500,0.209502400,-0.730000,-0.971000,0.351000,-2.100000,29.300000,-16.500000
56205,1171950237,220812,1188.800231300,0.224499200,-0.818000,-1.024000,0.292000,16.800000,11.500000,-8.000000
56206,1171959759,230334,1188.800734000,0.225001900,-1.000000,-1.216000,0.204000,20.800000,7.400000,9.900000
56207,1171969953,240528,1188.815418100,0.239686000,-0.668000,-1.219000,0.256000,16.400000,-32.100000,19.000000
56208,1171979383,249958,1188.822819400,0.247087300,-0.117000,-0.785000,0.090000,62.200000,-108.800000,-3.900000
56209,1171988631,259206,1188.832561200,0.256829100,-0.447000,-0.969000,0.148000,86.800000,-160.600000,-18.600000
56210,1171998794,269369,1188.846083800,0.270351700,-0.557000,-1.050000,0.405000,101.600000,-198.000000,-17.200000
56211,1172008255,278830,1188.852952400,0.277220300,-0.900000,-1.039000,0.646000,110.200000,-206.800000,-24.300000
56212,1172017442,288017,1188.860704600,0.284972500,-1.173000,-0.996000,0.743000,97.500000,-171.500000,-36.800000
56213,1172027086,297661,1188.875368200,0.299636100,-1.299000,-0.802000,0.785000,71.600000,-96.700000,-41.700000
56214,1172037127,307702,1188.889361700,0.313629600,-1.162000,-0.580000,0.822000,53.600000,-18.900000,-49.500000
56215,1172046833,317408,1188.890058600,0.314326500,-0.935000,-0.567000,0.813000,44.600000,44.200000,-48.900000
56216,1172055928,326503,1188.907485900,0.331753800,-0.677000,-0.672000,0.705000,30.600000,88.200000,-46.800000
56217,1172065633,336208,1188.913088900,0.337356800,0.143000,-0.878000,0.018000,18.700000,-28.700000,11.300000
56218,1172075674,346249,1188.920506000,0.344773900,-0.583000,-1.257000,-0.088000,-32.600000,2.600000,60.200000
56219,1172084769,355344,1188.935415500,0.359683400,-1.476000,-1.167000,0.204000,-48.300000,53.100000,92.200000
56220,1172094413,364988,1188.935881000,0.360148900,-0.556000,-0.315000,0.283000,-18.100000,62.100000,70.900000
56221,1172104515,375090,1188.950402900,0.374670800,-0.294000,-0.125000,0.219000,18.500000,56.200000,24.900000
56222,1172114221,384796,1188.958570000,0.382837900,-0.331000,-0.486000,0.143000,26.100000,54.100000,-5.300000
56223,1172123285,393860,1188.965367900,0.389635800,-0.293000,-0.753000,-0.062000,16.300000,49.600000,-23.600000
56224,1172133448,404023,1188.983402300,0.407670200,-0.083000,-0.957000,-0.457000,-5.000000,26.500000,-9.500000
56225,1172143001,413576,1188.987780100,0.412048000,0.140000,-0.891000,-0.396000,-14.400000,-35.500000,25.900000
56226,1172152127,422702,1188.996082000,0.420349900,-0.160000,-0.858000,-0.122000,-14.300000,-90.600000,58.300000
56227,1172161679,432254,1189.010750400,0.435018300,-0.591000,-0.817000,0.168000,-12.700000,-111.200000,74.500000
56228,1172171721,442296,1189.021697300,0.445965200,-0.874000,-0.801000,0.397000,-18.300000,-97.400000,86.300000
56229,1172181365,451940,1189.025601600,0.449869500,-0.906000,-0.619000,0.516000,-27.600000,-57.900000,84.100000
56230,1172190551,461126,1189.040619000,0.464886900,-0.716000,-0.313000,0.540000,-18.200000,-48.600000,64.000000
56231,1172200165,470740,1189.040911500,0.465179400,-0.665000,-0.207000,0.488000,7.500000,-44.900000,43.600000
56232,1172210176,480751,1189.059039300,0.483307200,-0.731000,-0.336000,0.442000,35.400000,-39.500000,30.400000
56233,1172219606,490181,1189.063052900,0.487320800,-0.705000,-0.470000,0.440000,43.300000,-38.200000,22.000000
56234,1172229037,499612,1189.069972000,0.494239900,-0.657000,-0.560000,0.447000,46.900000,-40.200000,15.100000
56235,1172239048,509623,1189.085199300,0.509467200,-0.682000,-0.699000,0.461000,43.500000,-39.500000,12.300000
56236,1172248814,519389,1189.094262400,0.518530300,-0.737000,-0.724000,0.496000,34.800000,-35.000000,13.500000
56237,1172257878,528453,1189.101549800,0.525817700,-0.721000,-0.686000,0.529000,25.600000,-31.400000,14.400000
56238,1172267431,538006,1189.116639000,0.540906900,-0.704000,-0.629000,0.515000,20.400000,-29.700000,14.300000
56239,1172277686,548261,1189.122616400,0.546884300,-0.695000,-0.600000,0.485000,17.100000,-30.800000,12.600000
56240,1172287086,557661,1189.132866100,0.557134000,-0.675000,-0.575000,0.464000,15.000000,-32.300000,4.700000
56241,1172296303,566878,1189.145152300,0.569420200,-0.682000,-0.587000,0.458000,12.300000,-34.000000,0.700000
56242,1172306466,577041,1189.153579900,0.577847800,-0.737000,-0.601000,0.484000,8.800000,-32.100000,1.600000
56243,1172315989,586564,1189.160485300,0.584753200,-0.723000,-0.612000,0.495000,5.700000,-26.000000,0.100000
56244,1172325175,595750,1189.175183400,0.599451300,-0.656000,-0.594000,0.498000,4.600000,-25.600000,-5.200000
56245,1172334850,605425,1189.175753800,0.600021700,-0.606000,-0.599000,0.498000,7.000000,-26.100000,-15.300000
56246,1172344738,615313,1189.192567900,0.616835800,-0.587000,-0.651000,0.485000,6.900000,-26.500000,-26.000000
56247,1172354383,624958,1189.197934200,0.622202100,-0.608000,-0.744000,0.472000,3.600000,-25.500000,-29.400000
56248,1172363630,634205,1189.205296300,0.629564200,-0.653000,-0.782000,0.478000,-1.800000,-20.600000,-27.700000
56249,1172373610,644185,1189.220617600,0.644885500,-0.698000,-0.797000,0.498000,-8.300000,-13.000000,-21.100000
56250,1172383346,653921,1189.231169700,0.655437600,-0.687000,-0.795000,0.491000,-14.800000,-4.000000,-14.000000
