meta_label,i
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
51061,2382747856,0,2399.392830100,0.000000000,-0.439000,-0.774000,0.237000,-7.300000,3.500000,-16.100000
51062,2382757562,9706,2399.392844600,0.000014500,-0.407000,-0.776000,0.229000,1.600000,0.900000,-16.200000
51063,2382767755,19899,2399.400342200,0.007512100,-0.386000,-0.831000,0.222000,10.300000,-3.600000,-15.500000
51064,2382777125,29269,2399.420583900,0.027753800,-0.397000,-0.903000,0.241000,14.000000,-8.300000,-13.400000
51065,2382786342,38486,2399.420592700,0.027762600,-0.437000,-0.964000,0.300000,13.000000,-10.500000,-8.800000
51066,2382796505,48649,2399.438202600,0.045372500,-0.465000,-0.985000,0.358000,9.500000,-8.500000,-2.400000
51067,2382806149,58293,2399.438532300,0.045702200,-0.488000,-0.987000,0.393000,3.000000,2.700000,0.800000
51068,2382815580,67724,2399.445156800,0.052326700,-0.470000,-0.972000,0.410000,-3.600000,11.200000,0.800000
51069,2382824858,77002,2399.459983500,0.067153400,-0.455000,-0.938000,0.438000,-11.000000,21.100000,0.100000
51070,2382834899,87043,2399.468491400,0.075661300,-0.458000,-0.864000,0.465000,-14.100000,35.100000,-1.200000
51071,2382844422,96566,2399.482666500,0.089836400,-0.441000,-0.790000,-0.254000,-7.000000,39.500000,-1.900000
51072,2382853669,105813,2399.491363100,0.098533000,0.493000,-0.757000,0.331000,4.600000,-68.100000,24.700000
51073,2382863680,115824,2399.497574900,0.104744800,-0.293000,-1.051000,0.197000,2.500000,-59.500000,45.700000
51074,2382873293,125437,2399.520614700,0.127784600,-0.654000,-0.716000,0.236000,0.500000,-48.500000,50.300000
51075,2382882480,134624,2399.520900600,0.128070500,-0.518000,-0.722000,0.050000,4.200000,-39.000000,27.900000
51076,2382892094,144238,2399.522211500,0.129381400,-0.899000,-1.083000,-0.067000,-31.200000,-1.300000,22.600000
51077,2382902196,154340,2399.544720400,0.151890300,-0.631000,-0.784000,0.107000,-65.000000,31.400000,36.300000
51078,2382912115,164259,2399.549788100,0.156958000,-0.471000,-0.602000,0.203000,-66.500000,42.900000,15.900000
51079,2382921027,173171,2399.550246000,0.157415900,-0.482000,-0.643000,0.199000,-62.600000,47.300000,6.300000
51080,2382931068,183212,2399.569947800,0.177117700,-0.521000,-0.729000,0.178000,-62.000000,50.900000,-8.400000
51081,2382940743,192887,2399.572058200,0.179228100,-0.625000,-0.804000,0.185000,-65.200000,62.200000,-8.800000
51082,2382949807,201951,2399.581013900,0.188183800,-0.653000,-0.826000,0.219000,-67.000000,66.500000,-10.700000
51083,2382959421,211565,2399.595107400,0.202277300,-0.585000,-0.824000,0.258000,-56.100000,61.200000,-17.700000
51084,2382969615,221759,2399.605309100,0.212479000,-0.571000,-0.892000,0.251000,-45.800000,52.400000,-22.200000
51085,2382979137,231281,2399.610081900,0.217251800,-0.565000,-1.004000,0.238000,-32.900000,41.800000,-30.400000
51086,2382988232,240376,2399.626079000,0.233248900,-0.506000,-1.147000,0.218000,-18.600000,24.900000,-31.700000
51087,2382997876,250020,2399.647403600,0.254573500,-0.448000,-1.232000,0.096000,-9.900000,1.400000,-33.300000
51088,2383007917,260061,2399.647999100,0.255169000,-0.005000,-1.086000,-0.159000,7.600000,-46.800000,-32.300000
51089,2383017287,269431,2399.654686700,0.261856600,-0.057000,-1.059000,-0.181000,44.500000,-112.000000,-28.200000
51090,2383026779,278923,2399.662518700,0.269688600,-0.552000,-1.181000,0.094000,75.700000,-144.100000,-16.500000
51091,2383036881,289025,2399.678284600,0.285454500,-0.815000,-1.275000,0.374000,95.900000,-142.900000,-3.100000
51092,2383047166,299310,2399.678294600,0.285464500,-0.825000,-1.305000,0.513000,102.600000,-121.100000,-2.600000
51093,2383055559,307703,2399.692983400,0.300153300,-0.777000,-1.340000,0.576000,94.900000,-110.300000,-6.100000
51094,2383065234,317378,2399.700906900,0.308076800,-0.778000,-1.277000,0.617000,72.900000,-68.700000,-2.900000
51095,2383075336,327480,2399.707263300,0.314433200,-0.803000,-1.159000,0.634000,40.100000,-27.600000,6.100000
51096,2383084614,336758,2399.722145600,0.329315500,-0.825000,-1.063000,0.690000,14.900000,21.900000,20.300000
51097,2383094075,346219,2399.722645400,0.329815300,-0.691000,-0.840000,0.905000,5.000000,67.800000,21.200000
