meta_label,J
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
7374,1332568787,0,1338.692811700,0.000000000,-0.661000,-0.532000,0.264000,1.600000,1.400000,-7.100000
7375,1332578859,10072,1338.703656500,0.010844800,-0.665000,-0.558000,0.281000,5.100000,5.400000,-15.300000
7376,1332588472,19685,1338.707514500,0.014702800,-0.664000,-0.622000,0.301000,4.700000,11.100000,-21.900000
7377,1332597567,28780,1338.722763000,0.029951300,-0.656000,-0.672000,0.281000,3.300000,16.900000,-25.400000
7378,1332607242,38455,1338.724596300,0.031784600,-0.629000,-0.711000,0.312000,0.700000,23.900000,-25.700000
7379,1332617253,48466,1338.741794700,0.048983000,-0.602000,-0.687000,0.325000,0.300000,33.200000,-27.700000
7380,1332626897,58110,1338.745329600,0.052517900,-0.554000,-0.619000,0.352000,9.900000,46.200000,-30.600000
7381,1332636023,67236,1338.752428200,0.059616500,-0.476000,-0.566000,0.393000,34.100000,60.200000,-36.200000
7382,1332646216,77429,1338.767886200,0.075074500,-0.387000,-0.591000,0.390000,66.800000,71.700000,-47.000000
7383,1332655708,86921,1338.779999800,0.087188100,-0.324000,-0.755000,0.377000,100.100000,82.600000,-56.000000
7384,1332664925,96138,1338.783532800,0.090721100,0.536000,-1.432000,-0.266000,104.600000,19.900000,-50.200000
7385,1332674539,105752,1338.797950700,0.105139000,-0.170000,-1.760000,0.055000,60.300000,-63.300000,10.100000
7386,1332684549,115762,1338.805149500,0.112337800,-0.592000,-1.729000,0.111000,14.100000,-71.300000,76.200000
7387,1332694224,125437,1338.817300200,0.124488500,-1.225000,-0.899000,-0.201000,51.400000,-13.600000,45.900000
7388,1332703350,134563,1338.836562400,0.143750700,-0.520000,-1.431000,0.029000,38.500000,-4.400000,68.300000
7389,1332713055,144268,1338.836571800,0.143760100,-0.880000,-1.041000,-0.053000,54.500000,23.300000,69.800000
7390,1332723188,154401,1338.843049100,0.150237400,-0.843000,-1.077000,0.132000,65.700000,39.700000,73.200000
7391,1332732191,163404,1338.858431400,0.165619700,-0.856000,-0.906000,0.163000,80.900000,54.200000,67.200000
7392,1332741866,173079,1338.858443300,0.165631600,-0.898000,-1.072000,0.233000,78.400000,65.500000,67.600000
7393,1332751968,183181,1338.878543900,0.185732200,-0.793000,-1.048000,0.280000,60.700000,65.100000,71.500000
7394,1332761612,192825,1338.880760000,0.187948300,-0.809000,-0.985000,0.314000,35.400000,60.600000,73.000000
7395,1332770677,201890,1338.889325200,0.196513500,-0.841000,-0.816000,0.320000,4.500000,55.100000,73.800000
7396,1332780840,212053,1338.903002300,0.210190600,-0.754000,-0.563000,0.362000,-27.400000,44.900000,67.900000
7397,1332790393,221606,1338.913118200,0.220306500,-0.696000,-0.211000,0.418000,-47.700000,26.500000,45.100000
7398,1332799549,230762,1338.917674900,0.224863200,-0.609000,0.163000,0.421000,-54.600000,0.400000,21.300000
7399,1332809101,240314,1338.933085000,0.240273300,-0.653000,0.491000,0.395000,-41.900000,-23.400000,-6.500000
7400,1332819143,250356,1338.940198300,0.247386600,-0.298000,0.652000,0.515000,-8.800000,-83.700000,-53.500000
7401,1332828817,260030,1338.952063000,0.259251300,-0.367000,0.472000,0.495000,22.100000,-115.600000,-94.800000
7402,1332837943,269156,1338.962794300,0.269982600,-0.857000,0.123000,0.508000,18.200000,-104.600000,-121.200000
7403,1332847618,278831,1338.970019200,0.277207500,-0.952000,-0.087000,0.088000,22.200000,-78.400000,-127.800000
7404,1332857628,288841,1338.977892600,0.285080900,-0.634000,-0.445000,0.112000,22.900000,-76.800000,-121.400000
7405,1332866937,298150,1338.992600100,0.299788400,-1.061000,-0.916000,0.040000,10.300000,-40.700000,-87.600000
7406,1332876429,307642,1338.993384700,0.300573000,-0.785000,-0.912000,0.068000,3.400000,-11.200000,-69.200000
7407,1332886378,317591,1339.007831200,0.315019500,-0.630000,-0.891000,0.069000,15.500000,8.000000,-57.400000
7408,1332896297,327510,1339.015282400,0.322470700,-0.508000,-1.058000,0.049000,29.500000,23.500000,-47.600000
7409,1332905301,336514,1339.026874500,0.334062800,-0.505000,-1.279000,0.021000,26.100000,36.900000,-29.000000
7410,1332914853,346066,1339.037845900,0.345034200,-0.555000,-1.344000,-0.012000,6.200000,57.200000,-3.700000
7411,1332924833,356046,1339.045681700,0.352870000,-0.495000,-1.285000,-0.005000,-17.500000,80.400000,31.800000
7412,1332934386,365599,1339.052993000,0.360181300,-0.275000,-1.091000,0.100000,-33.000000,87.500000,42.500000
7413,1332943756,374969,1339.067665400,0.374853700,-0.232000,-0.960000,0.178000,-38.700000,76.100000,45.900000
