meta_label,J
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
8275,80974626,0,135.975742000,0.000000000,-0.270000,-1.125000,0.207000,3.100000,18.400000,2.500000
8276,80984545,9919,135.987363500,0.011621500,-0.259000,-1.096000,0.192000,-5.400000,17.000000,5.900000
8277,80994250,19624,135.990481000,0.014739000,-0.219000,-1.057000,0.183000,-11.800000,12.500000,9.000000
8278,81003467,28841,136.005792100,0.030050100,-0.224000,-1.024000,0.182000,-16.400000,6.700000,12.300000
8279,81013051,38425,136.006277300,0.030535300,-0.248000,-0.992000,0.179000,-20.700000,1.700000,13.800000
8280,81023183,48557,136.025342400,0.049600400,-0.296000,-0.929000,0.205000,-22.200000,-1.100000,16.800000
8281,81032705,58079,136.028434800,0.052692800,-0.329000,-0.870000,0.238000,-21.500000,-0.400000,14.800000
8282,81041861,67235,136.035747200,0.060005200,-0.365000,-0.827000,0.268000,-19.200000,2.100000,8.900000
8283,81051933,77307,136.051044300,0.075302300,-0.386000,-0.783000,0.298000,-16.000000,7.400000,3.000000
8284,81061608,86982,136.058275800,0.082533800,-0.376000,-0.744000,0.341000,-6.900000,17.800000,-4.600000
8285,81070764,96138,136.065738600,0.089996600,-0.379000,-0.791000,0.377000,-5.200000,28.800000,-12.200000
8286,81080286,105660,136.081074300,0.105332300,-0.364000,-0.859000,0.378000,-7.200000,42.200000,-21.600000
8287,81090480,115854,136.088403700,0.112661700,-0.283000,-0.919000,-0.244000,-2.200000,25.300000,-19.100000
8288,81100002,125376,136.101411900,0.125669900,0.677000,-1.355000,0.190000,15.100000,-60.300000,-22.900000
8289,81109219,134593,136.110647100,0.134905100,-0.174000,-1.279000,-0.039000,-9.400000,-56.200000,19.100000
8290,81119016,144390,136.119274400,0.143532400,-0.562000,-0.906000,-0.016000,10.900000,-14.500000,25.600000
8291,81128935,154309,136.125561300,0.149819300,0.135000,-1.011000,0.124000,19.400000,-14.800000,24.900000
8292,81138121,163495,136.141182700,0.165440700,-0.166000,-0.940000,-0.094000,22.900000,-28.800000,34.800000
8293,81147644,173018,136.141192000,0.165450000,-0.783000,-1.342000,-0.185000,31.700000,27.400000,12.100000
8294,81157868,183242,136.157821700,0.182079700,-0.308000,-1.296000,-0.032000,34.500000,55.700000,40.300000
8295,81167482,192856,136.171599900,0.195857900,-0.376000,-1.369000,-0.002000,47.800000,84.200000,52.300000
