meta_label,j
meta_speed,normal

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
16458,159654179,0,166.014943100,0.000000000,-0.206000,-0.992000,0.186000,6.600000,12.900000,-5.200000
16459,159664067,9888,166.014959300,0.000016200,-0.200000,-1.037000,0.181000,3.300000,14.900000,-4.700000
16460,159673956,19777,166.030224400,0.015281300,-0.194000,-1.015000,0.197000,2.200000,18.300000,-1.900000
16461,159682959,28780,166.038296300,0.023353200,-0.181000,-1.002000,0.213000,5.100000,23.200000,1.300000
16462,159712167,57988,166.038305400,0.023362300,-0.095000,-1.073000,0.253000,10.700000,29.900000,9.200000
16463,159715799,61620,166.043456900,0.028513800,-0.099000,-1.107000,0.262000,7.500000,29.300000,11.600000
16464,159720224,66045,166.061094200,0.046151100,-0.099000,-1.107000,0.265000,3.000000,28.900000,14.600000
16465,159734751,80572,166.061104500,0.046161400,-0.156000,-1.007000,0.296000,-4.800000,32.700000,26.800000
16466,159738505,84326,166.061107500,0.046164400,-0.156000,-0.951000,0.320000,-2.300000,36.600000,30.400000
16467,159742748,88569,166.082215500,0.067272400,-0.177000,-0.951000,0.345000,2.700000,41.500000,31.700000
16468,159757184,103005,166.082510400,0.067567300,-0.208000,-0.864000,0.383000,16.100000,63.600000,23.500000
16469,159760785,106606,166.083049500,0.068106400,-0.202000,-0.864000,0.383000,20.700000,54.100000,23.400000
16470,159770033,115854,166.112957500,0.098014400,0.441000,-0.933000,-0.504000,-4.700000,-33.500000,38.800000
16471,159779738,125559,166.113265600,0.098322500,0.622000,-0.500000,0.186000,15.100000,-64.300000,27.000000
16472,159788711,134532,166.113512700,0.098569600,-0.277000,-1.007000,0.149000,14.700000,-58.800000,9.700000
16473,159798721,144542,166.141715000,0.126771900,-0.324000,-0.644000,-0.045000,12.400000,-36.800000,-9.500000
16474,159809709,155530,166.141755800,0.126812700,-0.536000,-1.177000,-0.114000,-31.000000,-3.400000,-10.800000
16475,159817613,163434,166.142419600,0.127476500,-0.467000,-0.991000,-0.005000,-79.500000,23.500000,2.600000
16476,159827197,173018,166.164265200,0.149322100,-0.434000,-0.710000,0.110000,-96.100000,44.700000,4.800000
16477,159839649,185470,166.164945900,0.150002800,-0.345000,-0.535000,0.187000,-73.700000,60.300000,-6.300000
16478,159847096,192917,166.187721500,0.172778400,-0.269000,-0.456000,0.199000,-59.000000,60.900000,-19.800000
16479,159856038,201859,166.189473800,0.174530700,-0.259000,-0.577000,0.191000,-34.300000,58.000000,-28.500000
16480,159865804,211625,166.189484500,0.174541400,-0.301000,-0.731000,0.204000,-25.400000,52.500000,-43.900000
16481,159875693,221514,166.218937000,0.203993900,-0.278000,-0.801000,0.244000,-20.000000,33.500000,-45.700000
16482,159884910,230731,166.218946100,0.204003000,-0.268000,-0.889000,0.261000,-11.800000,14.300000,-51.300000
16483,159894493,240314,166.218949400,0.204006300,-0.292000,-1.015000,0.251000,-4.600000,-3.300000,-56.400000
16484,159904595,250416,166.240005800,0.225062700,-0.348000,-1.228000,0.224000,-14.600000,-17.400000,-58.000000
16485,159914728,260549,166.240373300,0.225430200,-0.388000,-1.395000,0.209000,-24.300000,-28.300000,-59.800000
16486,159923365,269186,166.247267500,0.232324400,-0.397000,-1.419000,0.187000,-27.800000,-34.200000,-60.700000
16487,159932979,278800,166.262059500,0.247116400,-0.460000,-1.433000,0.117000,-24.100000,-28.000000,-58.300000
16488,159943081,288902,166.271314600,0.256371500,-0.470000,-1.453000,0.054000,-16.500000,-11.400000,-55.600000
16489,159952237,298058,166.277131800,0.262188700,-0.363000,-1.526000,0.014000,-12.900000,11.700000,-56.000000
16490,159961820,307641,166.292803900,0.277860800,-0.135000,-1.549000,0.012000,-16.500000,25.400000,-51.500000
16491,159971922,317743,166.299139900,0.284196800,0.154000,-1.497000,0.028000,-18.200000,29.700000,-35.300000
16492,159981597,327418,166.310120900,0.295177800,0.614000,-1.136000,0.084000,2.400000,10.700000,-23.600000
16493,159990662,336483,166.322785900,0.307842800,0.848000,-0.749000,-0.090000,72.200000,-25.800000,-33.100000
16494,160000245,346066,166.322794700,0.307851600,0.875000,-1.047000,-0.687000,152.500000,-85.400000,-33.400000
16495,160010286,356107,166.337475100,0.322532000,0.772000,-1.465000,-0.724000,173.800000,-128.900000,16.900000
16496,160019900,365721,166.347052700,0.332109600,0.499000,-1.736000,0.114000,148.100000,-153.100000,64.400000
16497,160029117,374938,166.351685300,0.336742200,-0.043000,-1.700000,0.591000,109.800000,-135.800000,97.200000
16498,160039250,385071,166.367271400,0.352328300,-0.419000,-1.302000,0.945000,77.000000,-82.000000,92.700000
16499,160048802,394623,166.374694900,0.359751800,-0.684000,-0.808000,1.102000,49.900000,-17.900000,78.600000
16500,160057989,403810,166.385288500,0.370345400,-0.691000,-0.480000,1.189000,42.100000,41.000000,40.800000
16501,160067572,413393,166.399379600,0.384436500,-0.608000,-0.578000,1.077000,28.300000,96.300000,6.300000
16502,160077796,423617,166.405570200,0.390627100,-0.399000,-0.711000,0.894000,0.000000,139.600000,-4.800000
16503,160087105,432926,166.412577100,0.397634000,-0.199000,-0.858000,0.838000,-20.700000,168.400000,-6.800000
16504,160096444,442265,166.434429100,0.419486000,0.387000,-0.769000,0.019000,-56.900000,8.200000,1.100000
16505,160106485,452306,166.437524300,0.422581200,0.587000,-0.726000,-0.139000,-100.000000,-53.100000,82.600000
16506,160116282,462103,166.449725300,0.434782200,-0.892000,-1.319000,0.214000,-115.700000,-30.300000,87.000000
16507,160125255,471076,166.462887000,0.447943900,-0.583000,0.424000,0.187000,-90.900000,7.300000,29.700000
16508,160134869,480690,166.462895100,0.447952000,-0.783000,0.391000,0.063000,6.700000,59.700000,-26.600000
16509,160144788,490609,166.481394300,0.466451200,-0.498000,-0.249000,0.022000,75.600000,93.800000,-38.300000
16510,160154829,500650,166.481631400,0.466688300,0.057000,-0.949000,-0.114000,85.000000,88.800000,-46.400000
16511,160163741,509562,166.486979000,0.472035900,0.555000,-1.292000,-0.672000,59.700000,31.900000,-17.400000
16512,160173812,519633,166.502466800,0.487523700,0.879000,-1.433000,-0.587000,28.700000,-50.200000,9.200000
16513,160183609,529430,166.509539400,0.494596300,0.363000,-1.351000,-0.152000,0.600000,-99.800000,39.000000
16514,160192582,538403,166.520331100,0.505388000,-0.076000,-1.095000,0.177000,-10.600000,-109.400000,52.200000
16515,160202196,548017,166.533147300,0.518204200,-0.328000,-0.934000,0.320000,-9.200000,-89.700000,62.300000
16516,160212298,558119,166.540240500,0.525297400,-0.300000,-0.784000,0.297000,-4.600000,-66.300000,58.600000
16517,160221851,567672,166.547315500,0.532372400,-0.228000,-0.634000,0.247000,9.200000,-52.200000,41.100000
16518,160231007,576828,166.561846600,0.546903500,-0.262000,-0.598000,0.209000,31.200000,-44.000000,27.700000
16519,160240773,586594,166.570636600,0.555693500,-0.336000,-0.674000,0.199000,50.300000,-32.600000,18.600000
16520,160250723,596544,166.577735400,0.562792300,-0.308000,-0.781000,0.215000,62.100000,-21.700000,10.900000
16521,160259909,605730,166.596185800,0.581242700,-0.240000,-0.850000,0.227000,63.000000,-24.100000,3.500000
16522,160269492,615313,166.596196400,0.581253300,-0.232000,-0.900000,0.250000,58.800000,-27.800000,-3.900000
16523,160279533,625354,166.607274100,0.592331000,-0.277000,-0.956000,0.327000,49.600000,-28.500000,-8.400000
16524,160289239,635060,166.615372100,0.600429000,-0.300000,-0.969000,0.384000,37.800000,-27.300000,-11.000000
16525,160298303,644124,166.622106200,0.607163100,-0.290000,-0.937000,0.434000,26.800000,-25.800000,-17.400000
16526,160307978,653799,166.637022900,0.622079800,-0.312000,-0.928000,0.463000,16.700000,-21.700000,-24.800000
16527,160317989,663810,166.644153000,0.629209900,-0.285000,-0.923000,0.453000,6.100000,-16.700000,-31.900000
16528,160327328,673149,166.652174000,0.637230900,-0.228000,-0.902000,0.427000,-1.800000,-14.700000,-37.300000
16529,160336758,682579,166.669675900,0.654732800,-0.187000,-0.902000,0.392000,-6.800000,-15.600000,-43.300000
16530,160346861,692682,166.674126900,0.659183800,-0.161000,-0.925000,0.349000,-11.200000,-17.700000,-45.400000
16531,160356535,702356,166.683814800,0.668871700,-0.124000,-0.937000,0.302000,-15.700000,-23.500000,-45.700000
16532,160365661,711482,166.696791300,0.681848200,-0.105000,-0.931000,0.281000,-17.700000,-25.700000,-43.900000
16533,160375305,721126,166.697493200,0.682550100,-0.105000,-0.933000,0.287000,-17.000000,-30.800000,-43.200000
16534,160385377,731198,166.712597300,0.697654200,-0.119000,-0.947000,0.299000,-15.700000,-31.500000,-43.000000
16535,160394930,740751,166.719406200,0.704463100,-0.120000,-0.961000,0.293000,-16.500000,-31.500000,-43.400000
16536,160404086,749907,166.727757700,0.712814600,-0.113000,-0.974000,0.297000,-17.100000,-29.900000,-43.300000
16537,160414340,760161,166.745965700,0.731022600,-0.106000,-1.013000,0.297000,-18.500000,-28.600000,-41.500000
16538,160423893,769714,166.749393200,0.734450100,-0.100000,-1.019000,0.308000,-19.600000,-27.200000,-39.800000
16539,160432958,778779,166.756568800,0.741625700,-0.106000,-1.025000,0.324000,-20.400000,-25.300000,-39.700000
16540,160442571,788392,166.772268100,0.757325000,-0.116000,-1.024000,0.338000,-19.900000,-21.900000,-40.400000
16541,160452551,798372,166.784913900,0.769970800,-0.119000,-1.037000,0.331000,-17.900000,-17.100000,-36.700000
16542,160462074,807895,166.788259600,0.773316500,-0.097000,-1.045000,0.315000,-15.700000,-12.000000,-33.000000
16543,160471413,817234,166.803299200,0.788356100,-0.056000,-1.057000,0.290000,-13.800000,-8.800000,-29.900000
16544,160481484,827305,166.809685800,0.794742700,-0.021000,-1.071000,0.259000,-12.800000,-9.000000,-25.000000
16545,160491037,836858,166.817657800,0.802714700,0.000000,-1.068000,0.235000,-12.900000,-12.900000,-22.700000
16546,160500315,846136,166.831950500,0.817007400,0.009000,-1.056000,0.226000,-12.300000,-16.200000,-20.200000
16547,160509837,855658,166.832772600,0.817829500,0.016000,-1.066000,0.232000,-7.400000,-19.000000,-15.700000
16548,160519878,865699,166.846814100,0.831871000,0.009000,-1.098000,0.242000,-5.900000,-20.900000,-12.200000
