meta_label,j
meta_speed,slow

count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
20797,831502231,0,860.440523800,0.000000000,-0.473000,-0.890000,0.324000,11.800000,-2.500000,2.900000
20798,831511906,9675,860.440734800,0.000211000,-0.524000,-0.873000,0.355000,11.800000,2.400000,-2.200000
20799,831521855,19624,860.463396200,0.022872400,-0.529000,-0.817000,0.386000,22.800000,8.800000,-3.700000
20800,831531195,28964,860.466385000,0.025861200,-0.489000,-0.781000,0.398000,36.100000,13.600000,-6.800000
20801,831540686,38455,860.472390700,0.031866900,-0.461000,-0.758000,0.392000,49.700000,17.400000,-9.800000
20802,831550849,48618,860.486653000,0.046129200,-0.424000,-0.785000,0.388000,59.900000,18.500000,-17.400000
20803,831560311,58080,860.492799700,0.052275900,-0.419000,-0.853000,0.380000,63.800000,22.100000,-28.300000
20804,831569589,67358,860.510556500,0.070032700,-0.487000,-0.885000,0.385000,60.700000,31.200000,-31.700000
20805,831579203,76972,860.515474700,0.074950900,-0.498000,-0.914000,0.340000,53.200000,44.700000,-28.700000
20806,831589183,86952,860.522904100,0.082380300,-0.429000,-0.941000,0.302000,45.300000,57.700000,-15.500000
20807,831598827,96596,860.538025400,0.097501600,-0.345000,-0.975000,0.266000,31.800000,65.900000,-4.600000
20808,831607983,105752,860.538276100,0.097752300,-0.295000,-0.969000,0.227000,16.600000,70.800000,9.100000
20809,831617932,115701,860.553505900,0.112982100,-0.257000,-0.952000,0.190000,-3.900000,73.700000,23.700000
20810,831627882,125651,860.568379900,0.127856100,-0.273000,-0.794000,0.193000,-23.400000,82.200000,35.100000
20811,831636946,134715,860.568390600,0.127866800,-0.254000,-0.588000,0.254000,-30.200000,91.100000,30.600000
20812,831646530,144299,860.584196000,0.143672200,0.466000,0.131000,-0.438000,54.700000,-59.100000,34.500000
20813,831656632,154401,860.590518500,0.149994700,1.188000,-0.331000,0.389000,75.300000,-150.900000,-8.400000
20814,831666154,163923,860.598535200,0.158011400,-1.251000,-1.571000,-0.031000,-1.400000,-91.500000,50.200000
20815,831675341,173110,860.613012700,0.172488900,-1.428000,-1.266000,-0.004000,-45.000000,-17.800000,31.600000
20816,831685076,182845,860.624885900,0.184362100,-0.730000,-0.703000,0.041000,-52.000000,16.300000,67.600000
20817,831695056,192825,860.627871500,0.187347700,-0.804000,-0.571000,0.189000,-53.200000,46.900000,69.500000
20818,831704212,201981,860.642683000,0.202159200,-0.443000,-0.160000,0.298000,-29.500000,49.000000,39.400000
20819,831713765,211534,860.644385100,0.203861300,-0.635000,-0.353000,0.243000,0.400000,46.400000,2.200000
20820,831723684,221453,860.660128900,0.219605100,-0.708000,-0.740000,0.222000,0.800000,57.100000,-13.300000
20821,831733481,231250,860.666453200,0.225929400,-0.445000,-0.948000,0.292000,-9.200000,49.400000,-11.700000
20822,831742607,240376,860.675566800,0.235043000,-0.481000,-1.062000,0.329000,-18.900000,28.000000,-3.900000
20823,831752251,250020,860.687858000,0.247334200,-0.652000,-1.099000,0.328000,-27.800000,10.700000,5.000000
20824,831762292,260061,860.697941100,0.257417300,-0.753000,-1.054000,0.341000,-38.100000,-9.200000,10.200000
20825,831771601,269370,860.710401600,0.269877800,-0.788000,-0.893000,0.366000,-30.700000,-22.200000,4.500000
20826,831781092,278861,860.718246300,0.277722500,-1.003000,-0.787000,0.348000,-14.800000,-21.700000,-5.400000
20827,831791164,288933,860.736552800,0.296029000,-1.008000,-0.839000,0.284000,1.500000,-10.200000,-16.500000
20828,831800808,298577,860.740217300,0.299693500,-1.125000,-1.048000,0.305000,11.800000,1.100000,-26.400000
20829,831809964,307733,860.740738300,0.300214500,-1.149000,-1.262000,0.297000,13.900000,9.800000,-31.800000
20830,831819517,317286,860.763391800,0.322868000,-0.984000,-1.364000,0.263000,11.600000,16.300000,-31.800000
20831,831831694,329463,860.763517700,0.322993900,-0.834000,-1.421000,0.233000,8.100000,23.300000,-28.000000
20832,831839263,337032,860.774773600,0.334249800,-0.568000,-1.389000,0.226000,8.500000,20.600000,-26.800000
20833,831848358,346127,860.785462600,0.344938800,-0.244000,-1.310000,0.197000,17.300000,4.400000,-24.400000
20834,831858583,356352,860.793679100,0.353155300,0.136000,-1.203000,-0.029000,39.400000,-31.700000,-28.200000
20835,831868135,365904,860.800560900,0.360037100,0.294000,-1.373000,-0.462000,62.200000,-116.700000,-13.800000
20836,831877230,374999,860.815662900,0.375139100,0.218000,-1.507000,-0.348000,74.000000,-163.500000,10.800000
20837,831886844,384613,860.815929900,0.375406100,-0.140000,-1.508000,0.085000,78.100000,-165.300000,36.900000
20838,831896763,394532,860.832419200,0.391895400,-0.713000,-1.455000,0.455000,54.800000,-119.000000,65.400000
20839,831906530,404299,860.837854000,0.397330200,-0.916000,-1.111000,0.757000,42.000000,-56.800000,72.100000
20840,831915777,413546,860.845672400,0.405148600,-0.762000,-0.627000,0.840000,48.200000,-1.100000,55.500000
20841,831925727,423496,860.860979200,0.420455400,-0.492000,-0.291000,0.812000,68.300000,36.000000,27.300000
